Date,Open,High,Low,Close,Adj Close,Volume
2005-09-29,182.0,183.369995,162.25,170.0,117.55138400000001,52645995
2005-09-30,171.0,171.699997,166.5,168.5,116.514175,6145745
2005-10-03,168.100006,170.0,166.5,168.0,116.168449,1837081
2005-10-04,167.0,174.0,165.5,172.5,119.280075,3235071
2005-10-05,170.0,172.0,167.0,167.0,115.47693600000001,948849
2005-10-06,168.5,175.0,162.0,162.0,112.019547,1603481
2005-10-07,164.5,164.5,160.179993,161.25,111.50095400000001,3265765
2005-10-10,160.0,160.0,143.0,143.0,98.881454,14905164
2005-10-11,143.25,148.41000400000001,139.869995,146.0,100.95591,13737555
2005-10-12,148.0,156.0,148.0,151.75,104.9319,14371508
2005-10-13,153.0,154.779999,146.149994,148.5,102.684593,9083684
2005-10-14,148.0,149.0,143.25,143.25,99.05432900000001,4005554
2005-10-17,143.0,146.0,135.0,136.0,94.041107,3821084
2005-10-18,135.5,138.744995,130.75,134.0,92.658165,4180229
2005-10-19,133.0,136.25,130.0,134.75,93.17675,4050466
2005-10-20,137.0,142.0,134.100006,137.75,95.25119000000001,4596104
2005-10-21,140.5,154.5,140.5,154.5,106.833481,10531296
2005-10-24,153.0,175.0,153.0,163.5,113.05675500000001,2852381
2005-10-25,162.0,165.0,142.83900500000001,160.0,110.63661200000001,3122949
2005-10-26,161.0,175.0,159.0,165.0,114.093994,2780932
2005-10-27,164.0,166.0,163.0,165.0,114.093994,850083
2005-10-28,166.75,166.75,162.0,162.75,112.53817,656704
2005-10-31,162.75,171.550003,162.300003,170.5,117.89714099999999,2385032
2005-11-01,173.0,179.0,164.0,166.0,114.78546899999999,2734749
2005-11-02,167.0,169.0,154.0,156.0,107.870682,1670628
2005-11-03,160.0,162.0,153.5,155.5,107.52496299999999,1944820
2005-11-04,154.5,156.990005,150.0,150.75,104.240425,3084983
2005-11-07,152.0,152.541,144.25,146.0,100.95591,1673696
2005-11-08,147.0,147.75,144.0,144.0,99.572937,8519751
2005-11-09,145.0,147.125,142.25,144.0,99.572937,137547
2005-11-10,142.5,146.25,142.5,143.0,98.881454,61270
2005-11-11,145.0,146.0,143.0,144.0,99.572937,498910
2005-11-14,143.0,144.0,140.0,140.0,96.807014,482163
2005-11-15,142.0,142.990005,134.0,136.0,94.041107,2860299
2005-11-16,135.5,138.0,135.0,137.0,94.732582,1360028
2005-11-17,136.0,137.585999,136.0,136.75,94.559708,3762840
2005-11-18,138.25,139.0,135.899994,135.75,93.86824,3423157
2005-11-21,138.0,140.350006,136.850006,139.0,96.11554699999999,1712725
2005-11-22,141.5,150.16000400000001,139.5,149.0,103.030342,5221293
2005-11-23,150.5,160.75,149.824997,156.0,107.870682,1583195
2005-11-24,158.0,159.990005,157.0,157.25,108.735046,1305500
2005-11-25,157.5,160.25,156.0,156.0,107.870682,965009
2005-11-28,157.5,159.990005,155.46499599999999,156.0,107.870682,132516
2005-11-29,159.0,169.0,158.399994,168.5,116.514175,2517232
2005-11-30,169.5,172.0,168.75,170.25,117.724258,2353493
2005-12-01,170.0,172.0,168.503998,170.0,117.55138400000001,989942
2005-12-02,172.0,177.0,168.199997,177.0,122.39173100000001,3521471
2005-12-05,176.0,185.0,174.5,185.0,127.923592,4048817
2005-12-06,185.0,187.5,182.009995,187.25,129.479355,1899224
2005-12-07,185.0,187.490005,175.5,178.0,123.083199,7360689
2005-12-08,180.0,190.0,180.0,190.0,131.38098100000002,3078473
2005-12-09,191.0,192.5,186.75,188.75,130.51663200000002,0
2005-12-12,186.25,196.0,186.25,194.0,134.146896,6204096
2005-12-13,195.0,196.130005,189.25,190.0,131.38098100000002,2639687
2005-12-14,188.0,190.899994,188.0,190.0,131.38098100000002,1810065
2005-12-15,191.0,194.050995,189.0,194.0,134.146896,11148310
2005-12-16,193.0,197.75,193.0,197.5,136.56706200000002,6533857
2005-12-19,196.0,197.990005,193.350006,195.25,135.01123,2653252
2005-12-20,194.0,196.0,192.0,194.0,134.146896,1357926
2005-12-21,194.0,196.0,192.259995,194.0,134.146896,1572388
2005-12-22,195.0,195.0,192.807007,193.0,133.455399,1123022
2005-12-23,196.0,196.0,193.0,194.0,134.146896,70879
2005-12-26,194.0,194.0,194.0,194.0,134.146896,0
2005-12-27,194.0,194.0,194.0,194.0,134.146896,0
2005-12-28,192.0,194.0,191.25,191.25,132.245331,386033
2005-12-29,193.0,194.0,191.279999,194.0,134.146896,514545
2005-12-30,196.0,196.0,192.25,194.0,134.146896,452110
2006-01-03,197.0,200.0,194.0,195.0,134.838348,4700716
2006-01-04,198.0,208.0,197.009995,208.0,143.82759099999998,3293369
2006-01-05,207.0,220.0,204.5,210.25,145.383408,5515473
2006-01-06,212.0,214.0,208.0,208.0,143.82759099999998,1719279
2006-01-09,208.0,216.0,208.0,212.5,146.939224,1550245
2006-01-10,213.75,214.0,206.5,209.75,145.037674,925179
2006-01-11,211.0,216.75,208.029999,216.0,149.35936,4504761
2006-01-12,214.0,217.0,214.0,215.0,148.667938,1091877
2006-01-13,213.25,218.0,213.0,218.0,150.742355,644159
2006-01-16,218.0,218.0,215.0,217.5,150.396637,389936
2006-01-17,216.5,229.350006,216.0,223.0,154.199768,3459185
2006-01-18,220.0,226.0,219.22000099999997,225.0,155.582718,1879706
2006-01-19,226.0,229.75,224.0,228.0,157.65715,1879988
2006-01-20,229.75,233.0,226.02999900000003,228.0,157.65715,2765267
2006-01-23,225.0,225.0,215.57000699999998,223.0,154.199768,4094050
2006-01-24,226.0,227.0,220.0,222.25,153.681152,1739213
2006-01-25,224.0,232.0,223.75,228.0,157.65715,2734034
2006-01-26,229.5,230.0,224.0,224.0,154.89123500000002,1472522
2006-01-27,230.0,232.643005,219.0,220.0,152.125351,2339676
2006-01-30,223.0,223.0,207.25,209.0,144.519058,3093522
2006-01-31,213.0,213.75,201.029999,202.25,139.851608,6132229
2006-02-01,203.5,216.0,202.029999,215.0,148.667938,3860061
2006-02-02,200.0,218.0,189.029999,204.75,141.580261,5216661
2006-02-03,205.0,209.0,205.0,206.75,142.963211,1205932
2006-02-06,207.0,208.0,204.955002,205.0,141.753143,792816
2006-02-07,205.25,207.0,195.108994,203.5,140.715912,1370363
2006-02-08,199.0,203.0,198.0,200.75,138.81436200000002,999698
2006-02-09,204.0,207.5,202.0,205.0,141.753143,1606010
2006-02-10,207.0,207.470001,197.0,197.5,136.56706200000002,1553234
2006-02-13,198.0,203.0,197.25,197.5,136.56706200000002,436800
2006-02-14,196.5,199.970001,183.029999,187.75,129.82515,6664969
2006-02-15,187.0,192.0,185.029999,188.0,129.997986,2709263
2006-02-16,189.75,192.0,187.0,190.25,131.553818,3240270
2006-02-17,192.0,192.0,187.0,190.0,131.38098100000002,697242
2006-02-20,190.0,190.970001,186.0,186.0,128.61506699999998,1570851
2006-02-21,186.25,191.0,184.779999,191.0,132.072418,4539200
2006-02-22,190.0,191.488007,187.25,188.0,129.997986,592108
2006-02-23,191.75,193.75,188.0,193.25,133.628265,1862563
2006-02-24,194.0,205.0,194.0,200.0,138.295746,950278
2006-02-27,200.0,204.554993,199.0,200.0,138.295746,2909623
2006-02-28,202.0,202.970001,195.0,197.75,136.739944,380117
2006-03-01,197.75,204.0,196.029999,201.5,139.332962,1398717
2006-03-02,202.75,204.720001,197.0,199.0,137.60429399999998,1096258
2006-03-03,200.0,202.0,199.279999,201.0,138.98722800000002,1895387
2006-03-06,202.5,205.0,200.029999,204.25,141.234543,1860164
2006-03-07,201.75,203.0,198.0,199.5,137.950027,835419
2006-03-08,197.0,199.75,193.75,195.0,134.838348,806591
2006-03-09,199.5,199.5,188.0,189.5,131.035233,458799
2006-03-10,188.0,190.0,180.25,183.0,126.54061100000001,1873635
2006-03-13,184.0,188.0,180.529999,184.0,127.23208600000001,2306201
2006-03-14,184.25,188.25,183.5,186.0,128.61506699999998,2157345
2006-03-15,189.0,197.75,179.0,179.5,124.12043,1761803
2006-03-16,180.0,185.75,170.029999,180.0,124.46615600000001,8056417
2006-03-17,182.75,186.0,180.779999,182.5,126.19486200000001,1811453
2006-03-20,184.25,191.970001,181.279999,191.5,132.418182,1424982
2006-03-21,192.5,207.0,192.279999,207.0,143.136124,11503485
2006-03-22,207.0,215.47000099999997,202.100998,211.0,145.902054,3767756
2006-03-23,215.0,220.55000299999998,212.27999900000003,216.0,149.35936,2866075
2006-03-24,218.75,222.25,216.75,220.0,152.125351,2906687
2006-03-27,221.5,221.5,214.0,220.0,152.125351,1011199
2006-03-28,219.5,220.72000099999997,212.75,218.5,151.08810400000002,426249
2006-03-29,212.25,223.0,212.25,221.0,152.816803,825447
2006-03-30,221.5,223.123001,217.358994,221.25,152.989655,363119
2006-03-31,217.5,223.0,217.5,220.0,152.125351,606869
2006-04-03,222.75,225.0,216.57499700000002,223.25,154.37261999999998,926416
2006-04-04,225.0,229.0,222.75,222.75,154.026917,2248249
2006-04-05,223.75,224.899994,218.5,221.0,152.816803,4511204
2006-04-06,223.75,263.0,223.5,240.0,165.954895,6787203
2006-04-07,240.75,245.0,234.5,235.0,162.49752800000002,2078554
2006-04-10,234.0,236.75,232.25999500000003,235.0,162.49752800000002,1225800
2006-04-11,240.0,240.0,234.0,238.75,165.090576,338796
2006-04-12,234.25,238.0,232.67500299999998,235.0,162.49752800000002,1113226
2006-04-13,236.0,242.0,232.813004,235.0,162.49752800000002,1605069
2006-04-18,240.5,240.5,227.00999500000003,233.5,161.460297,1619504
2006-04-19,235.0,237.00999500000003,233.25,234.5,162.151779,585766
2006-04-20,236.75,236.75999500000003,228.0,228.0,157.65715,525774
2006-04-21,233.0,240.75,228.75,237.25,164.053299,563683
2006-04-24,235.5,240.0,234.5,238.0,164.571945,213552
2006-04-25,239.75,239.75,234.25,237.25,164.053299,513527
2006-04-26,237.5,237.74000499999997,236.0,237.0,163.880493,491783
2006-04-27,236.0,249.0,230.0,244.0,168.72081,3219445
2006-04-28,242.0,252.0,233.25,240.25,166.127777,1270313
2006-05-02,240.25,245.5,236.75,244.75,169.23941000000002,1463157
2006-05-03,244.75,244.99000499999997,227.48800699999998,230.5,159.385864,740323
2006-05-04,227.0,229.75,215.00999500000003,219.0,151.433868,1763087
2006-05-05,223.75,228.0,219.50999500000003,225.75,156.101334,200520
2006-05-08,230.5,231.99000499999997,224.25999500000003,228.0,157.65715,429134
2006-05-09,225.5,236.0,225.00999500000003,234.5,162.151779,1513018
2006-05-10,238.0,239.74000499999997,230.0,233.25,161.28741499999998,2591544
2006-05-11,235.0,238.0,230.25999500000003,230.75,159.558701,1208441
2006-05-12,229.75,230.00999500000003,213.25,215.0,148.667938,2668909
2006-05-15,212.0,215.0,209.0,210.0,145.21054099999998,1563607
2006-05-16,209.0,214.74000499999997,201.5,203.0,140.370224,965447
2006-05-17,204.0,204.0,192.25,192.25,132.936768,675221
2006-05-18,195.0,200.490005,193.0,196.0,135.529831,498673
2006-05-19,194.25,206.0,194.25,203.5,140.715912,1206033
2006-05-22,199.0,199.0,190.25,190.25,131.553818,790963
2006-05-23,199.5,199.649994,192.0,194.0,134.146896,2074425
2006-05-24,191.0,204.399994,191.0,198.5,137.258499,2135787
2006-05-25,196.75,197.5,193.5,193.5,133.801132,3137018
2006-05-26,200.0,208.0,195.5,208.0,143.82759099999998,1951063
2006-05-30,203.5,207.0,202.0,204.0,141.06166100000002,680735
2006-05-31,202.0,213.0,200.75,210.25,145.383408,6663111
2006-06-01,210.0,213.0,205.0,209.0,144.519058,2926957
2006-06-02,211.25,215.25,208.75,213.0,147.284988,490327
2006-06-05,212.75,216.891998,212.00999500000003,214.5,148.32218899999998,182510
2006-06-06,212.5,219.0,208.0,208.0,143.82759099999998,660645
2006-06-07,208.0,214.5,200.0,200.5,138.641495,6765677
2006-06-08,197.0,200.0,193.0,193.25,133.628265,4259596
2006-06-09,197.5,199.990005,195.25,197.0,136.22131299999998,245403
2006-06-12,195.0,201.0,191.0,191.0,132.072418,2857039
2006-06-13,190.0,190.0,183.0,183.0,126.54061100000001,939441
2006-06-14,184.25,187.75,183.009995,185.0,127.923592,935475
2006-06-15,187.75,195.0,187.0,192.0,132.763947,700416
2006-06-16,195.0,197.0,192.75,195.0,134.838348,1974240
2006-06-19,192.0,197.75,192.0,195.0,134.838348,147885
2006-06-20,192.0,195.5,191.5,195.5,135.184113,1237923
2006-06-21,192.0,195.25,192.0,194.0,134.146896,128511
2006-06-22,197.0,198.5,194.75,196.0,135.529831,476775
2006-06-23,193.0,199.75,193.0,195.75,135.35696399999998,157498
2006-06-26,195.0,199.75,195.0,195.0,134.838348,164147
2006-06-27,199.5,199.5,193.25,195.0,134.838348,189183
2006-06-28,195.0,199.25,194.0,199.0,137.60429399999998,297560
2006-06-29,199.0,200.0,195.5,200.0,138.295746,237323
2006-06-30,200.0,219.0,199.300003,214.0,147.97644,1412831
2006-07-03,215.0,221.0,210.75999500000003,219.5,151.77958700000002,2183728
2006-07-04,220.75,220.75,213.0,213.0,147.284988,282332
2006-07-05,218.0,225.0,212.75,212.75,147.112106,815901
2006-07-06,218.0,218.0,209.0,213.0,147.284988,437351
2006-07-07,208.5,211.5,208.0,208.0,143.82759099999998,1269901
2006-07-10,207.0,210.0,206.0,206.75,142.963211,1365544
2006-07-11,206.0,212.0,204.5,208.0,143.82759099999998,1222748
2006-07-12,210.0,211.0,202.25,205.0,141.753143,1103102
2006-07-13,202.0,208.0,200.5,205.0,141.753143,967846
2006-07-14,200.0,204.0,199.25,200.0,138.295746,1065652
2006-07-17,199.25,199.25,184.199997,193.0,133.455399,1596414
2006-07-18,185.0,187.25,161.75,168.5,116.514175,5551876
2006-07-19,170.0,187.5,160.009995,177.75,122.910393,6080577
2006-07-20,178.5,179.990005,161.0,161.0,111.328056,2833674
2006-07-21,160.0,162.0,150.0,151.25,104.586151,1746280
2006-07-24,152.0,161.0,152.0,158.0,109.253647,3332461
2006-07-25,158.0,158.0,140.5,148.5,102.684593,0
2006-07-26,148.5,162.0,148.5,161.0,111.328056,1457829
2006-07-27,163.0,170.0,156.0,157.0,108.56215700000001,1555277
2006-07-28,158.0,164.412994,151.75,153.0,105.796249,1659462
2006-07-31,155.0,158.5,151.0,155.0,107.179184,1824750
