Date,Open,High,Low,Close,Adj Close,Volume
2010-03-19,550.0,589.0,549.0,574.5,504.84606900000006,23019536
2010-03-22,570.0,578.5,568.0,577.0,507.042816,0
2010-03-23,580.0,597.0,575.0,597.0,524.618042,0
2010-03-24,605.0,609.0,580.5,585.0,514.072937,1451668
2010-03-25,590.0,595.0,587.0,595.0,522.860596,1224769
2010-03-26,595.0,595.0,585.0,592.0,520.224243,1334834
2010-03-29,598.0,603.5,583.0,593.0,521.103088,567790
2010-03-30,590.5,600.0,590.0,596.0,523.739319,457680
2010-03-31,586.0,588.0,577.0,583.5,512.7548830000001,1393861
2010-04-01,594.0,594.0,585.5,593.0,521.103088,826944
2010-04-06,595.0,603.5,595.0,601.0,528.133118,641991
2010-04-07,602.0,608.0,598.0,605.0,531.648193,418133
2010-04-08,608.0,610.0,599.5,603.5,530.329895,585569
2010-04-09,602.0,633.0,602.0,625.0,549.223267,1012630
2010-04-12,628.0,628.0,616.0,624.0,548.3445429999999,678489
2010-04-13,620.0,623.0,614.0,615.0,540.43573,139806
2010-04-14,616.0,624.0,616.0,620.0,544.829468,290957
2010-04-15,615.0,619.5,605.0,615.0,540.43573,284301
2010-04-16,620.0,620.0,586.0,590.0,518.466675,243199
2010-04-19,600.5,600.5,580.0,586.5,515.391113,308061
2010-04-20,604.0,604.0,577.0,590.0,518.466675,497234
2010-04-21,590.0,590.0,577.5,580.0,509.67916900000006,259635
2010-04-22,585.0,585.0,550.0,555.0,487.71029699999997,1186977
2010-04-23,565.0,585.0,555.0,585.0,514.072937,471306
2010-04-26,575.0,585.0,561.0,565.0,496.497833,609431
2010-04-27,575.0,575.0,539.0,550.0,483.316467,218280
2010-04-28,560.0,565.0,530.0,559.0,491.22525,511011
2010-04-29,560.0,580.0,560.0,570.0,500.891663,471760
2010-04-30,561.0,595.0,561.0,593.0,521.103088,326885
2010-05-04,598.0,598.0,560.0,560.0,492.10406500000005,469628
2010-05-05,567.0,593.0,565.0,593.0,521.103088,790199
2010-05-06,597.5,597.5,583.5,592.0,520.224243,453940
2010-05-07,571.5,595.0,571.5,589.0,517.587891,1700496
2010-05-10,595.0,595.0,580.0,580.0,509.67916900000006,431003
2010-05-11,580.0,594.0,575.0,594.0,521.981812,2215998
2010-05-12,590.0,625.0,590.0,605.0,531.648193,1816674
2010-05-13,606.0,620.0,595.0,603.0,529.8906860000001,335923
2010-05-14,605.5,620.0,598.0,610.0,536.041809,742386
2010-05-17,619.0,619.0,595.0,600.0,527.254395,782090
2010-05-18,587.5,605.0,585.0,590.0,518.466675,356867
2010-05-19,581.5,581.5,550.0,550.0,483.316467,1708440
2010-05-20,555.0,563.0,520.5,528.0,463.98379500000004,2210600
2010-05-21,528.0,549.5,528.0,538.0,472.771393,907255
2010-05-24,540.0,552.0,535.0,543.0,477.165161,76238
2010-05-25,536.5,560.0,531.0,539.0,473.650146,369198
