Date,Open,High,Low,Close,Adj Close,Volume
2015-06-30,1.27,1.27,1.27,1.27,1.27,0
2015-07-24,1.27996,1.27996,1.27996,1.27996,1.27996,0
2015-07-27,1.28997,1.28997,1.28997,1.28997,1.28997,0
2015-07-28,1.2820799999999999,1.2820799999999999,1.2820799999999999,1.2820799999999999,1.2820799999999999,0
2015-07-29,1.27552,1.27552,1.27552,1.27552,1.27552,0
2015-07-30,1.2663,1.2663,1.2663,1.2663,1.2663,0
2015-07-31,1.27,1.27,1.27,1.27,1.27,0
2015-08-03,1.27155,1.27155,1.27155,1.27155,1.27155,0
2015-08-04,1.27162,1.27162,1.27162,1.27162,1.27162,0
2015-08-05,1.23,1.245,1.225,1.235,1.235,470042
2015-08-06,1.2738399999999999,1.2738399999999999,1.2738399999999999,1.2738399999999999,1.2738399999999999,0
2015-08-07,1.27956,1.27956,1.27956,1.27956,1.27956,0
2015-08-10,1.27819,1.27819,1.27819,1.27819,1.27819,0
2015-08-11,1.23,1.24375,1.22875,1.2375,1.2375,15148
2015-08-12,1.29496,1.29496,1.29496,1.29496,1.29496,0
2015-08-13,1.29211,1.29211,1.29211,1.29211,1.29211,0
2015-08-14,1.28814,1.28814,1.28814,1.28814,1.28814,0
2015-08-17,1.2846799999999998,1.2846799999999998,1.2846799999999998,1.2846799999999998,1.2846799999999998,0
2015-08-18,1.27545,1.27545,1.27545,1.27545,1.27545,0
2015-08-19,1.2785,1.2785,1.2785,1.2785,1.2785,0
2015-08-20,1.29338,1.29338,1.29338,1.29338,1.29338,0
2015-08-21,1.3066799999999998,1.3066799999999998,1.3066799999999998,1.3066799999999998,1.3066799999999998,0
2015-08-24,1.33122,1.33122,1.33122,1.33122,1.33122,0
2015-08-25,1.3156700000000001,1.3156700000000001,1.3156700000000001,1.3156700000000001,1.3156700000000001,0
2015-08-26,1.31618,1.31618,1.31618,1.31618,1.31618,0
2015-08-27,1.30765,1.30765,1.30765,1.30765,1.30765,0
2015-08-28,1.27,1.27,1.27,1.27,1.27,0
2015-09-01,1.31685,1.31685,1.31685,1.31685,1.31685,0
2015-09-02,1.31646,1.31646,1.31646,1.31646,1.31646,0
2015-09-03,1.3064200000000001,1.3064200000000001,1.3064200000000001,1.3064200000000001,1.3064200000000001,0
2015-09-04,1.3134,1.3134,1.3134,1.3134,1.3134,0
2015-09-07,1.3104200000000001,1.3104200000000001,1.3104200000000001,1.3104200000000001,1.3104200000000001,0
2015-09-08,1.30522,1.30522,1.30522,1.30522,1.30522,0
2015-09-09,1.3023200000000001,1.3023200000000001,1.3023200000000001,1.3023200000000001,1.3023200000000001,0
2015-09-10,1.30367,1.30367,1.30367,1.30367,1.30367,0
2015-09-11,1.31314,1.31314,1.31314,1.31314,1.31314,0
2015-09-14,1.3154299999999999,1.3154299999999999,1.3154299999999999,1.3154299999999999,1.3154299999999999,0
2015-09-15,1.3159299999999998,1.3159299999999998,1.3159299999999998,1.3159299999999998,1.3159299999999998,0
2015-09-16,1.30508,1.30508,1.30508,1.30508,1.30508,0
2015-09-17,1.30657,1.30657,1.30657,1.30657,1.30657,0
2015-09-18,1.30805,1.30805,1.30805,1.30805,1.30805,0
2015-09-21,1.29572,1.29572,1.29572,1.29572,1.29572,0
2015-09-22,1.30044,1.30044,1.30044,1.30044,1.30044,0
2015-09-23,1.1835,1.19167,1.1835,1.18875,1.18875,40474
2015-09-24,1.32481,1.32481,1.32481,1.32481,1.32481,0
2015-09-25,1.31978,1.31978,1.31978,1.31978,1.31978,0
2015-09-28,1.32382,1.32382,1.32382,1.32382,1.32382,0
2015-09-29,1.32876,1.32876,1.32876,1.32876,1.32876,0
2015-09-30,1.32,1.32,1.32,1.32,1.32,0
2015-10-01,1.32534,1.32534,1.32534,1.32534,1.32534,0
2015-10-02,1.32964,1.32964,1.32964,1.32964,1.32964,0
2015-10-05,1.3242200000000002,1.3242200000000002,1.3242200000000002,1.3242200000000002,1.3242200000000002,0
2015-10-06,1.3273,1.3273,1.3273,1.3273,1.3273,0
2015-10-07,1.31532,1.31532,1.31532,1.31532,1.31532,0
2015-10-08,1.32175,1.32175,1.32175,1.32175,1.32175,0
2015-10-09,1.3274299999999999,1.3274299999999999,1.3274299999999999,1.3274299999999999,1.3274299999999999,0
2015-10-12,1.32871,1.32871,1.32871,1.32871,1.32871,0
2015-10-13,1.33911,1.33911,1.33911,1.33911,1.33911,0
2015-10-14,1.2,1.215,1.2,1.205,1.205,57586
2015-10-15,1.32016,1.32016,1.32016,1.32016,1.32016,0
2015-10-16,1.32041,1.32041,1.32041,1.32041,1.32041,0
2015-10-19,1.30977,1.30977,1.30977,1.30977,1.30977,0
2015-10-20,1.3150899999999999,1.3150899999999999,1.3150899999999999,1.3150899999999999,1.3150899999999999,0
2015-10-21,1.3165200000000001,1.3165200000000001,1.3165200000000001,1.3165200000000001,1.3165200000000001,0
2015-10-22,1.29815,1.29815,1.29815,1.29815,1.29815,0
2015-10-23,1.28841,1.28841,1.28841,1.28841,1.28841,0
2015-10-26,1.2896,1.2896,1.2896,1.2896,1.2896,0
2015-10-27,1.2936299999999998,1.2936299999999998,1.2936299999999998,1.2936299999999998,1.2936299999999998,0
2015-10-28,1.29491,1.29491,1.29491,1.29491,1.29491,0
2015-10-29,1.28451,1.28451,1.28451,1.28451,1.28451,0
2015-10-30,1.32,1.32,1.32,1.32,1.32,0
2015-11-02,1.28219,1.28219,1.28219,1.28219,1.28219,0
2015-11-03,1.2747600000000001,1.2747600000000001,1.2747600000000001,1.2747600000000001,1.2747600000000001,0
2015-11-04,1.26454,1.26454,1.26454,1.26454,1.26454,0
2015-11-05,1.29824,1.29824,1.29824,1.29824,1.29824,0
2015-11-06,1.30687,1.30687,1.30687,1.30687,1.30687,0
2015-11-09,1.3046799999999998,1.3046799999999998,1.3046799999999998,1.3046799999999998,1.3046799999999998,0
2015-11-10,1.30225,1.30225,1.30225,1.30225,1.30225,0
2015-11-11,1.29684,1.29684,1.29684,1.29684,1.29684,0
2015-11-12,1.29824,1.29824,1.29824,1.29824,1.29824,0
2015-11-13,1.29742,1.29742,1.29742,1.29742,1.29742,0
2015-11-16,1.29621,1.29621,1.29621,1.29621,1.29621,0
2015-11-17,1.29189,1.29189,1.29189,1.29189,1.29189,0
2015-11-18,1.29211,1.29211,1.29211,1.29211,1.29211,0
2015-11-19,1.28942,1.28942,1.28942,1.28942,1.28942,0
2015-11-20,1.29217,1.29217,1.29217,1.29217,1.29217,0
2015-11-23,1.29693,1.29693,1.29693,1.29693,1.29693,0
2015-11-24,1.3030700000000002,1.3030700000000002,1.3030700000000002,1.3030700000000002,1.3030700000000002,0
2015-11-25,1.30102,1.30102,1.30102,1.30102,1.30102,0
2015-11-26,1.2974299999999999,1.2974299999999999,1.2974299999999999,1.2974299999999999,1.2974299999999999,0
2015-11-27,1.30174,1.30174,1.30174,1.30174,1.30174,0
2015-11-30,1.32,1.32,1.32,1.32,1.32,0
2015-12-01,1.30239,1.30239,1.30239,1.30239,1.30239,0
2015-12-02,1.30975,1.30975,1.30975,1.30975,1.30975,0
2015-12-03,1.31489,1.31489,1.31489,1.31489,1.31489,0
2015-12-04,1.3112,1.3112,1.3112,1.3112,1.3112,0
2015-12-07,1.31227,1.31227,1.31227,1.31227,1.31227,0
2015-12-08,1.32039,1.32039,1.32039,1.32039,1.32039,0
2015-12-09,1.30898,1.30898,1.30898,1.30898,1.30898,0
2015-12-10,1.3088600000000001,1.3088600000000001,1.3088600000000001,1.3088600000000001,1.3088600000000001,0
2015-12-11,1.30751,1.30751,1.30751,1.30751,1.30751,0
2015-12-14,1.31639,1.31639,1.31639,1.31639,1.31639,0
2015-12-15,1.31744,1.31744,1.31744,1.31744,1.31744,0
2015-12-16,1.32205,1.32205,1.32205,1.32205,1.32205,0
2015-12-17,1.32693,1.32693,1.32693,1.32693,1.32693,0
2015-12-18,1.32664,1.32664,1.32664,1.32664,1.32664,0
2015-12-21,1.33044,1.33044,1.33044,1.33044,1.33044,0
2015-12-22,1.33775,1.33775,1.33775,1.33775,1.33775,0
2015-12-23,1.3301100000000001,1.3301100000000001,1.3301100000000001,1.3301100000000001,1.3301100000000001,0
2015-12-24,1.175,1.175,1.1687299999999998,1.1725,1.1725,57600
2015-12-29,1.33744,1.33744,1.33744,1.33744,1.33744,0
2015-12-30,1.2075,1.21,1.1907299999999998,1.19375,1.19375,17668
2015-12-31,1.3431,1.3431,1.3431,1.3431,1.3431,0
2016-01-04,1.3414700000000002,1.3414700000000002,1.3414700000000002,1.3414700000000002,1.3414700000000002,0
2016-01-05,1.34097,1.34097,1.34097,1.34097,1.34097,0
2016-01-06,1.34578,1.34578,1.34578,1.34578,1.34578,0
2016-01-07,1.35306,1.35306,1.35306,1.35306,1.35306,0
2016-01-08,1.35901,1.35901,1.35901,1.35901,1.35901,0
2016-01-11,1.35712,1.35712,1.35712,1.35712,1.35712,0
2016-01-12,1.37006,1.37006,1.37006,1.37006,1.37006,0
2016-01-13,1.36443,1.36443,1.36443,1.36443,1.36443,0
2016-01-14,1.36827,1.36827,1.36827,1.36827,1.36827,0
2016-01-15,1.38111,1.38111,1.38111,1.38111,1.38111,0
2016-01-18,1.3806200000000002,1.3806200000000002,1.3806200000000002,1.3806200000000002,1.3806200000000002,0
2016-01-19,1.39342,1.39342,1.39342,1.39342,1.39342,0
2016-01-20,1.3894600000000001,1.3894600000000001,1.3894600000000001,1.3894600000000001,1.3894600000000001,0
2016-01-21,1.3905,1.3905,1.3905,1.3905,1.3905,0
2016-01-22,1.37265,1.37265,1.37265,1.37265,1.37265,0
2016-01-25,1.37901,1.37901,1.37901,1.37901,1.37901,0
2016-01-26,1.37455,1.37455,1.37455,1.37455,1.37455,0
2016-01-27,1.3817,1.3817,1.3817,1.3817,1.3817,0
2016-01-28,1.37311,1.37311,1.37311,1.37311,1.37311,0
2016-01-29,1.3431,1.3431,1.3431,1.3431,1.3431,0
2016-02-01,1.3724,1.3724,1.3724,1.3724,1.3724,0
2016-02-02,1.37255,1.37255,1.37255,1.37255,1.37255,0
2016-02-03,1.36058,1.36058,1.36058,1.36058,1.36058,0
2016-02-04,1.36711,1.36711,1.36711,1.36711,1.36711,0
2016-02-05,1.37439,1.37439,1.37439,1.37439,1.37439,0
2016-02-08,1.38436,1.38436,1.38436,1.38436,1.38436,0
2016-02-09,1.3823299999999998,1.3823299999999998,1.3823299999999998,1.3823299999999998,1.3823299999999998,0
2016-02-10,1.37927,1.37927,1.37927,1.37927,1.37927,0
2016-02-11,1.38796,1.38796,1.38796,1.38796,1.38796,0
2016-02-12,1.3817,1.3817,1.3817,1.3817,1.3817,0
2016-02-15,1.37786,1.37786,1.37786,1.37786,1.37786,0
2016-02-16,1.39008,1.39008,1.39008,1.39008,1.39008,0
