Date,Open,High,Low,Close,Adj Close,Volume
2000-01-31,3.0545,3.0545,3.0545,3.0545,2.6326240000000003,0
2000-02-29,2.9648,2.9648,2.9648,2.9648,2.555313,0
2000-03-31,3.019,3.019,3.019,3.019,2.602027,0
2000-04-28,2.9394,2.9394,2.9394,2.9394,2.5334220000000003,0
2000-05-31,2.9821,2.9821,2.9821,2.9821,2.570224,0
2000-06-30,3.186,3.186,3.186,3.186,2.745962,0
2000-07-31,3.2102,3.2102,3.2102,3.2102,2.766819,0
2000-08-31,3.3253,3.3253,3.3253,3.3253,2.866022,0
2000-09-29,3.1927,3.1927,3.1927,3.1927,2.751737,0
2000-10-31,3.1978,3.1978,3.1978,3.1978,2.756132,0
2000-11-30,3.3623,3.3623,3.3623,3.3623,2.897912,0
2000-12-29,3.527,3.527,3.527,3.527,3.039864,0
2001-01-01,2.87,2.87,2.87,2.87,2.473607,0
2001-01-02,2.87,2.875,2.865,2.875,2.477916,356847
2001-01-03,2.88,2.88,2.8597099999999998,2.87,2.473607,1422627
2001-01-04,2.88,2.895,2.88,2.8875,2.488689,378863
2001-01-05,2.89,2.89,2.87,2.875,2.477916,413435
2001-01-08,2.885,2.885,2.86,2.87,2.473607,628309
2001-01-09,2.8725,2.875,2.86,2.87,2.473607,802400
2001-01-10,2.89,2.89,2.865,2.8725,2.475761,474008
2001-01-11,2.88,2.89,2.875,2.88,2.482225,278701
2001-01-12,2.89,2.95,2.89,2.94,2.533939,749463
2001-01-15,2.97,3.01,2.97,3.0025,2.587807,80645
2001-01-16,2.9975,3.02,2.9975,3.01,2.59427,362754
2001-01-17,3.015,3.035,3.005,3.0275,2.609353,526840
2001-01-18,3.04,3.04,3.015,3.0275,2.609353,234730
2001-01-19,3.05,3.07,3.05,3.0525,2.6309,511503
2001-01-22,3.06,3.075,3.05,3.065,2.641674,28386
2001-01-23,3.08,3.1,3.07,3.085,2.658912,111138
2001-01-24,3.1,3.12,3.08,3.12,2.689077,179445
2001-01-25,3.14,3.17,3.12,3.16,2.723553,270524
2001-01-26,3.14,3.17,3.14,3.155,2.7192439999999998,24193
2001-01-29,3.1675,3.17,3.1525,3.165,2.727862,36125
2001-01-30,3.17,3.17,3.16,3.165,2.727862,26232
2001-01-31,3.7348,3.7348,3.7348,3.7348,3.218964,0
2001-02-01,3.17,3.17,3.15,3.16,2.723553,31956
2001-02-02,3.15,3.19,3.15,3.175,2.736481,96781
2001-02-05,3.19,3.19,3.1675,3.19,2.7494099999999997,37871
2001-02-06,3.195,3.205,3.19,3.205,2.762338,121789
2001-02-07,3.215,3.215,3.195,3.2025,2.760184,39993
2001-02-08,3.215,3.22,3.2,3.21,2.766648,63474
2001-02-09,3.22,3.22,3.21,3.21,2.766648,40599
