Date,Open,High,Low,Close,Adj Close,Volume
2000-01-31,3.739,3.739,3.739,3.739,3.3398120000000002,0
2000-02-29,3.8021,3.8021,3.8021,3.8021,3.396174,0
2000-03-31,3.9703,3.9703,3.9703,3.9703,3.546417,0
2000-04-28,3.9096,3.9096,3.9096,3.9096,3.492198,0
2000-05-31,3.9549,3.9549,3.9549,3.9549,3.532661,0
2000-06-30,3.9779,3.9779,3.9779,3.9779,3.553205,0
2000-07-31,3.9644,3.9644,3.9644,3.9644,3.541147,0
2000-08-31,4.1868,4.1868,4.1868,4.1868,3.7398029999999998,0
2000-09-29,3.966,3.966,3.966,3.966,3.5425760000000004,0
2000-10-31,4.0119,4.0119,4.0119,4.0119,3.583575,0
2000-11-30,3.899,3.899,3.899,3.899,3.482729,0
2000-12-29,3.8636,3.8636,3.8636,3.8636,3.4511089999999998,0
2001-01-01,3.19,3.19,3.19,3.19,2.849425,0
2001-01-02,3.18,3.22,3.18,3.19,2.849425,0
2001-01-03,3.18,3.19,3.16,3.18,2.840492,0
2001-01-04,3.24,3.25,3.22,3.24,2.894086,0
2001-01-05,3.23,3.28,3.23,3.24,2.894086,0
2001-01-08,3.25,3.27,3.24,3.25,2.903018,0
2001-01-09,3.25,3.28,3.24,3.25,2.903018,0
2001-01-10,3.25,3.26,3.23,3.24,2.894086,0
2001-01-11,3.24,3.25,3.23,3.24,2.894086,0
2001-01-12,3.26,3.28,3.24,3.27,2.9208830000000003,0
2001-01-15,3.26,3.3,3.26,3.29,2.938748,0
2001-01-16,3.28,3.3,3.27,3.28,2.929816,0
2001-01-17,3.28,3.34,3.28,3.33,2.9744770000000003,0
2001-01-18,3.32,3.35,3.31,3.33,2.9744770000000003,0
2001-01-19,3.34,3.37,3.34,3.35,2.992342,0
2001-01-22,3.35,3.35,3.33,3.34,2.9834099999999997,0
2001-01-23,3.35,3.35,3.33,3.34,2.9834099999999997,0
2001-01-24,3.35,3.38,3.35,3.37,3.010207,0
2001-01-25,3.38,3.38,3.36,3.36,3.001275,0
2001-01-26,3.35,3.36,3.33,3.33,2.9744770000000003,0
2001-01-29,3.33,3.35,3.33,3.34,2.9834099999999997,0
2001-01-30,3.36,3.37,3.35,3.36,3.001275,0
2001-01-31,3.912,3.912,3.912,3.912,3.4943410000000004,0
2001-02-01,3.36,3.36,3.33,3.34,2.9834099999999997,0
2001-02-02,3.35,3.36,3.33,3.35,2.992342,0
2001-02-05,3.34,3.39,3.34,3.38,3.019139,0
2001-02-06,3.37,3.39,3.36,3.38,3.019139,0
2001-02-07,3.38,3.38,3.36,3.37,3.010207,0
2001-02-08,3.37,3.38,3.36,3.37,3.010207,0
2001-02-09,3.38,3.38,3.36,3.37,3.010207,0
2001-02-12,3.38,3.38,3.36,3.37,3.010207,0
2001-02-13,3.37,3.39,3.37,3.38,3.019139,0
2001-02-14,3.38,3.39,3.34,3.35,2.992342,0
2001-02-15,3.36,3.38,3.34,3.38,3.019139,0
2001-02-16,3.37,3.37,3.34,3.35,2.992342,0
2001-02-19,3.35,3.35,3.33,3.34,2.9834099999999997,0
2001-02-20,3.34,3.36,3.33,3.33,2.9744770000000003,0
2001-02-21,3.32,3.34,3.3,3.31,2.956613,0
2001-02-22,3.31,3.32,3.29,3.3,2.94768,0
2001-02-23,3.31,3.32,3.26,3.27,2.9208830000000003,0
2001-02-26,3.29,3.29,3.26,3.27,2.9208830000000003,0
2001-02-27,3.28,3.29,3.27,3.28,2.929816,0
2001-02-28,3.7342,3.7342,3.7342,3.7342,3.335524,0
2001-03-01,3.28,3.28,3.25,3.26,2.9119509999999997,0
2001-03-02,3.25,3.27,3.25,3.25,2.903018,0
2001-03-05,3.26,3.26,3.25,3.26,2.9119509999999997,0
2001-03-06,3.28,3.31,3.28,3.3,2.94768,0
2001-03-07,3.31,3.31,3.29,3.31,2.956613,0
2001-03-08,3.31,3.33,3.31,3.32,2.965545,0
2001-03-09,3.32,3.33,3.31,3.31,2.956613,0
2001-03-12,3.28,3.3,3.26,3.27,2.9208830000000003,0
2001-03-13,3.2,3.23,3.2,3.2,2.858357,0
2001-03-14,3.2,3.21,3.11,3.16,2.822627,0
2001-03-15,3.14,3.17,3.14,3.15,2.813695,0
2001-03-16,3.14,3.15,3.08,3.09,2.7601009999999997,0
2001-03-19,3.08,3.11,3.06,3.07,2.742236,0
2001-03-20,3.08,3.09,3.05,3.06,2.733304,0
2001-03-21,3.06,3.06,2.97,2.99,2.670778,0
2001-03-22,2.96,2.96,2.88,2.89,2.581454,0
2001-03-23,2.92,2.96,2.9,2.94,2.626115,0
2001-03-26,2.94,3.03,2.94,3.02,2.6975740000000004,0
2001-03-27,3.01,3.07,3.0,3.06,2.733304,0
2001-03-28,3.07,3.08,3.04,3.05,2.724371,0
2001-03-29,3.04,3.06,3.02,3.05,2.724371,0
2001-03-30,3.513,3.513,3.513,3.513,3.13794,0
2001-04-02,3.08,3.08,3.05,3.07,2.742236,0
2001-04-03,3.06,3.08,3.05,3.07,2.742236,0
2001-04-04,3.05,3.05,3.0,3.04,2.715439,0
2001-04-05,3.05,3.08,3.04,3.07,2.742236,0
2001-04-06,3.1,3.1,3.02,3.03,2.7065069999999998,0
2001-04-09,3.02,3.07,3.0,3.06,2.733304,0
2001-04-10,3.06,3.14,3.06,3.14,2.8047619999999998,0
2001-04-11,3.14,3.15,3.12,3.14,2.8047619999999998,0
2001-04-12,3.13,3.16,3.13,3.15,2.813695,0
2001-04-13,3.558,3.558,3.558,3.558,3.1781349999999997,0
2001-04-16,3.558,3.558,3.558,3.558,3.1781349999999997,0
2001-04-17,3.16,3.16,3.13,3.15,2.813695,0
2001-04-18,3.16,3.2,3.16,3.2,2.858357,0
2001-04-19,3.2,3.22,3.19,3.21,2.86729,0
2001-04-20,3.21,3.23,3.19,3.22,2.8762220000000003,0
2001-04-23,3.2,3.23,3.19,3.2,2.858357,0
2001-04-24,3.21,3.25,3.21,3.24,2.894086,0
2001-04-25,3.24,3.26,3.23,3.25,2.903018,0
2001-04-26,3.25,3.28,3.25,3.27,2.9208830000000003,0
2001-04-27,3.29,3.3,3.27,3.28,2.929816,0
2001-04-30,3.7089,3.7089,3.7089,3.7089,3.312925,0
2001-05-01,3.32,3.32,3.3,3.31,2.956613,0
2001-05-02,3.32,3.34,3.26,3.32,2.965545,0
2001-05-03,3.34,3.34,3.29,3.3,2.94768,0
2001-05-04,3.31,3.33,3.29,3.31,2.956613,0
2001-05-07,3.717,3.717,3.717,3.717,3.32016,0
2001-05-08,3.31,3.33,3.31,3.32,2.965545,0
2001-05-09,3.33,3.34,3.31,3.32,2.965545,0
2001-05-10,3.31,3.33,3.3,3.32,2.965545,0
2001-05-11,3.3,3.32,3.28,3.3,2.94768,0
2001-05-14,3.28,3.3,3.27,3.28,2.929816,0
2001-05-15,3.27,3.3,3.27,3.28,2.929816,0
2001-05-16,3.27,3.3,3.25,3.28,2.929816,0
2001-05-17,3.29,3.3,3.25,3.27,2.9208830000000003,0
2001-05-18,3.28,3.29,3.26,3.27,2.9208830000000003,0
2001-05-21,3.28,3.28,3.26,3.27,2.9208830000000003,0
2001-05-22,3.26,3.29,3.26,3.28,2.929816,0
2001-05-23,3.29,3.3,3.26,3.28,2.929816,0
2001-05-24,3.25,3.28,3.25,3.26,2.9119509999999997,0
2001-05-25,3.25,3.28,3.25,3.26,2.9119509999999997,0
2001-05-28,3.745,3.745,3.745,3.745,3.3451699999999995,0
2001-05-29,3.27,3.28,3.25,3.26,2.9119509999999997,0
2001-05-30,3.25,3.27,3.25,3.26,2.9119509999999997,0
2001-05-31,3.687,3.687,3.687,3.687,3.293363,0
2001-06-01,3.27,3.27,3.25,3.26,2.9119509999999997,0
2001-06-04,3.27,3.27,3.25,3.26,2.9119509999999997,0
2001-06-05,3.26,3.27,3.25,3.26,2.9119509999999997,0
2001-06-06,3.28,3.28,3.25,3.26,2.9119509999999997,0
2001-06-07,3.28,3.28,3.25,3.26,2.9119509999999997,0
2001-06-08,3.27,3.28,3.25,3.27,2.9208830000000003,0
2001-06-11,3.28,3.28,3.25,3.26,2.9119509999999997,0
2001-06-12,3.25,3.28,3.25,3.26,2.9119509999999997,0
2001-06-13,3.26,3.29,3.25,3.27,2.9208830000000003,0
2001-06-14,3.27,3.28,3.25,3.26,2.9119509999999997,0
2001-06-15,3.27,3.27,3.23,3.25,2.903018,0
2001-06-18,3.25,3.26,3.22,3.24,2.894086,0
2001-06-19,3.25,3.27,3.23,3.25,2.903018,0
2001-06-20,3.24,3.26,3.23,3.25,2.903018,0
2001-06-21,3.24,3.26,3.23,3.24,2.894086,0
2001-06-22,3.23,3.26,3.23,3.24,2.894086,0
2001-06-25,3.23,3.26,3.23,3.24,2.894086,0
2001-06-26,3.25,3.25,3.21,3.22,2.8762220000000003,0
2001-06-27,3.22,3.24,3.21,3.23,2.885153,0
2001-06-28,3.22,3.22,3.19,3.21,2.86729,0
2001-06-29,3.5797,3.5797,3.5797,3.5797,3.197519,0
2001-07-02,3.21,3.23,3.21,3.22,2.8762220000000003,0
2001-07-03,3.23,3.23,3.2,3.21,2.86729,0
2001-07-04,3.23,3.23,3.2,3.21,2.86729,0
2001-07-05,3.22,3.22,3.17,3.19,2.849425,0
2001-07-06,3.19,3.19,3.15,3.16,2.822627,0
2001-07-09,3.16,3.16,3.1,3.11,2.777966,0
2001-07-10,3.14,3.14,3.11,3.12,2.786898,0
2001-07-11,3.12,3.12,3.08,3.1,2.7690330000000003,0
2001-07-12,3.1,3.13,3.1,3.11,2.777966,0
2001-07-13,3.13,3.13,3.09,3.1,2.7690330000000003,0
2001-07-16,3.09,3.11,3.09,3.1,2.7690330000000003,0
2001-07-17,3.1,3.1,3.03,3.05,2.724371,0
2001-07-18,3.06,3.06,3.02,3.03,2.7065069999999998,0
2001-07-19,3.03,3.05,3.01,3.02,2.6975740000000004,0
2001-07-20,3.02,3.02,2.99,3.01,2.6886419999999998,0
2001-07-23,3.02,3.02,2.99,3.01,2.6886419999999998,0
2001-07-24,3.01,3.01,2.97,2.98,2.661844,0
2001-07-25,2.99,3.0,2.96,2.97,2.6529130000000003,0
2001-07-26,2.97,2.98,2.77,2.96,2.64398,0
2001-07-27,2.97,3.0,2.97,2.98,2.661844,0
2001-07-30,3.0,3.01,2.98,3.0,2.67971,0
2001-07-31,3.513,3.513,3.513,3.513,3.13794,0
2001-08-01,3.03,3.07,3.03,3.06,2.733304,0
2001-08-02,3.06,3.12,3.06,3.1,2.7690330000000003,0
2001-08-03,3.12,3.12,3.09,3.1,2.7690330000000003,0
2001-08-06,3.09,3.11,3.08,3.1,2.7690330000000003,0
2001-08-07,3.08,3.11,3.07,3.11,2.777966,0
2001-08-08,3.1,3.13,3.09,3.11,2.777966,0
2001-08-09,3.08,3.1,3.07,3.08,2.751168,0
2001-08-10,3.09,3.11,3.09,3.1,2.7690330000000003,0
2001-08-13,3.12,3.13,3.09,3.12,2.786898,0
2001-08-14,3.12,3.15,3.12,3.14,2.8047619999999998,0
2001-08-15,3.13,3.15,3.13,3.14,2.8047619999999998,0
2001-08-16,3.12,3.12,3.1,3.11,2.777966,0
2001-08-17,3.1,3.11,3.06,3.07,2.742236,0
2001-08-20,3.08,3.08,3.05,3.07,2.742236,0
2001-08-21,3.09,3.1,3.07,3.08,2.751168,0
2001-08-22,3.1,3.1,3.07,3.09,2.7601009999999997,0
2001-08-23,3.1,3.11,3.08,3.09,2.7601009999999997,0
2001-08-24,3.08,3.11,3.08,3.1,2.7690330000000003,0
2001-08-27,3.477,3.477,3.477,3.477,3.105783,0
2001-08-28,3.11,3.12,3.09,3.1,2.7690330000000003,0
2001-08-29,3.09,3.11,3.08,3.09,2.7601009999999997,0
2001-08-30,3.1,3.11,3.08,3.09,2.7601009999999997,0
2001-08-31,3.3789,3.3789,3.3789,3.3789,3.018157,0
2001-09-03,3.05,3.06,3.03,3.04,2.715439,0
2001-09-04,3.03,3.05,3.03,3.04,2.715439,0
2001-09-05,3.04,3.04,3.03,3.03,2.7065069999999998,0
2001-09-06,3.02,3.03,2.99,2.99,2.670778,0
2001-09-07,2.95,2.98,2.9,2.91,2.5993180000000002,0
2001-09-10,2.89,2.91,2.84,2.86,2.554656,0
2001-09-11,2.87,2.93,2.82,2.83,2.527859,0
2001-09-12,2.7,2.8,2.7,2.77,2.474265,0
2001-09-13,2.79,2.79,2.76,2.78,2.483197,0
2001-09-14,2.8,2.8,2.71,2.72,2.4296029999999997,0
2001-09-17,2.71,2.72,2.67,2.71,2.420671,0
2001-09-18,2.7,2.73,2.69,2.72,2.4296029999999997,0
2001-09-19,2.68,2.7,2.66,2.66,2.376009,0
2001-09-20,2.64,2.66,2.59,2.6,2.3224150000000003,0
2001-09-21,2.59,2.59,2.46,2.49,2.224159,0
2001-09-24,2.49,2.57,2.49,2.56,2.286685,0
2001-09-25,2.58,2.6,2.55,2.59,2.313483,0
2001-09-26,2.7,2.7,2.59,2.62,2.34028,0
