Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,70.0,70.0,70.0,70.0,4.431472,0
2000-01-04,70.0,70.0,70.0,70.0,4.431472,1500000
2000-01-05,70.833,70.833,70.833,70.833,4.484207,1500000
2000-01-06,70.833,72.0,70.833,70.833,4.484207,1500000
2000-01-07,72.75,72.75,72.75,72.75,4.605565,1500000
2000-01-10,72.75,72.75,72.75,72.75,4.605565,1500000
2000-01-11,73.333,73.333,72.75,72.75,4.605565,7800
2000-01-12,72.167,72.167,72.167,72.167,4.568656,7800
2000-01-13,72.167,72.167,72.167,72.167,4.568656,7800
2000-01-14,72.167,72.167,72.167,72.167,4.568656,7800
2000-01-17,72.167,72.167,72.167,72.167,4.568656,7800
2000-01-18,72.0,72.0,72.0,72.0,4.558085,7800
2000-01-19,71.833,71.833,71.833,71.833,4.5475129999999995,7800
2000-01-20,71.333,71.333,71.333,71.333,4.51586,7800
2000-01-21,71.167,71.167,71.167,71.167,4.505351,7800
2000-01-24,71.167,71.167,71.167,71.167,4.505351,150000
2000-01-25,71.167,71.167,71.167,71.167,4.505351,150000
2000-01-26,70.833,70.833,70.833,70.833,4.484207,0
2000-01-27,70.833,70.833,70.833,70.833,4.484207,150000
2000-01-28,70.667,70.667,70.667,70.667,4.473696,150000
2000-01-31,70.667,70.667,70.667,70.667,4.473696,150000
2000-02-01,70.667,70.667,70.667,70.667,4.473696,150000
2000-02-02,70.417,70.417,70.417,70.417,4.4578690000000005,150000
2000-02-03,70.0,70.167,70.0,70.167,4.442043,150000
2000-02-04,70.167,70.167,70.167,70.167,4.442043,0
2000-02-07,70.167,70.167,70.167,70.167,4.442043,150000
2000-02-08,70.167,70.167,70.167,70.167,4.442043,150000
2000-02-09,70.167,70.167,70.167,70.167,4.442043,150000
2000-02-10,70.0,70.0,70.0,70.0,4.431472,0
2000-02-11,69.0,69.0,69.0,69.0,4.368165,0
2000-02-14,68.75,68.75,68.75,68.75,4.352339,150000
2000-02-15,66.25,66.25,66.25,66.25,4.19407,150000
2000-02-16,65.667,65.667,65.667,65.667,4.157163,150000
2000-02-17,65.667,65.667,65.667,65.667,4.157163,150000
2000-02-18,65.667,65.667,65.667,65.667,4.157163,150000
2000-02-21,65.5,65.5,65.5,65.5,4.146591,150000
2000-02-22,65.5,65.5,65.5,65.5,4.146591,150000
2000-02-23,65.25,65.25,65.25,65.25,4.130764,0
2000-02-24,65.0,65.0,65.0,65.0,4.1149379999999995,150000
2000-02-25,65.0,65.0,65.0,65.0,4.1149379999999995,150000
2000-02-28,65.0,65.0,65.0,65.0,4.1149379999999995,600000
2000-02-29,65.0,65.0,65.0,65.0,4.1149379999999995,0
2000-03-01,65.0,65.0,65.0,65.0,4.1149379999999995,600000
2000-03-02,65.0,65.0,65.0,65.0,4.1149379999999995,600000
2000-03-03,65.0,65.0,65.0,65.0,4.1149379999999995,600000
2000-03-06,65.0,65.0,65.0,65.0,4.1149379999999995,600000
2000-03-07,65.0,65.0,65.0,65.0,4.1149379999999995,600000
2000-03-08,65.0,65.0,65.0,65.0,4.1149379999999995,600000
2000-03-09,65.0,65.0,65.0,65.0,4.1149379999999995,600000
2000-03-10,64.0,64.0,64.0,64.0,4.05163,600000
2000-03-13,64.0,64.0,64.0,64.0,4.05163,600000
2000-03-14,64.0,64.0,64.0,64.0,4.05163,600000
2000-03-15,64.0,64.0,63.833,63.833,4.0410580000000005,600000
2000-03-16,64.0,64.0,64.0,64.0,4.05163,600000
2000-03-17,63.833,63.833,63.833,63.833,4.0410580000000005,15000
2000-03-20,63.833,63.833,63.833,63.833,4.0410580000000005,15000
2000-03-21,63.833,63.833,63.833,63.833,4.0410580000000005,15000
2000-03-22,63.833,63.833,63.833,63.833,4.0410580000000005,15000
2000-03-23,63.833,63.833,63.833,63.833,4.0410580000000005,0
2000-03-24,63.833,63.833,63.833,63.833,4.0410580000000005,0
2000-03-27,63.833,63.833,63.833,63.833,4.0410580000000005,15000
2000-03-28,63.833,63.833,63.833,63.833,4.0410580000000005,15000
2000-03-29,62.917,62.917,62.917,62.917,3.983071,15000
2000-03-30,61.667,61.667,61.667,61.667,3.9039370000000004,15000
2000-03-31,61.5,61.5,61.5,61.5,3.893364,15000
2000-04-03,61.5,61.5,61.5,61.5,3.893364,132000
2000-04-04,61.5,61.5,61.5,61.5,3.893364,210000
2000-04-05,61.5,61.5,61.5,61.5,3.893364,210000
2000-04-06,61.5,61.5,61.5,61.5,3.893364,210000
2000-04-07,61.5,61.5,61.5,61.5,3.893364,210000
2000-04-10,61.5,61.5,61.5,61.5,3.893364,210000
2000-04-11,61.5,61.5,61.5,61.5,3.893364,210000
2000-04-12,61.5,61.5,61.5,61.5,3.893364,210000
2000-04-13,61.5,61.5,61.5,61.5,3.893364,210000
2000-04-14,61.5,61.5,61.5,61.5,3.893364,210000
2000-04-17,59.583,59.583,59.583,59.583,3.772004,210000
2000-04-18,60.25,60.25,60.25,60.25,3.814231,72966
2000-04-19,60.417,60.417,60.417,60.417,3.8248029999999997,72966
2000-04-20,61.0,61.0,61.0,61.0,3.861711,72966
2000-04-21,61.0,61.0,61.0,61.0,3.861711,0
2000-04-24,61.0,61.0,61.0,61.0,3.861711,0
2000-04-25,61.0,61.667,61.0,61.0,3.861711,30702
2000-04-26,60.333,61.667,60.333,61.25,3.8775370000000002,13326
2000-04-27,60.583,61.833,60.5,61.0,3.861711,105900
2000-04-28,61.5,62.0,61.5,61.667,3.9039370000000004,18600
2000-05-01,61.417,61.417,61.417,61.417,3.8881099999999997,0
2000-05-02,61.667,62.5,60.333,62.083,4.909503,66270
2000-05-03,62.5,62.5,62.25,62.25,4.922708999999999,14250
2000-05-04,62.667,62.833,62.667,62.667,4.955685,16914
2000-05-05,62.0,63.333,62.0,62.667,4.955685,21180
2000-05-08,63.333,63.333,62.0,62.667,4.955685,29580
2000-05-09,64.0,64.0,64.0,64.0,5.061098,54630
2000-05-10,64.333,65.0,64.333,64.333,5.087432,22380
2000-05-11,65.0,65.0,63.833,64.417,5.094075,36324
2000-05-12,63.833,64.417,63.833,64.417,5.094075,474
2000-05-15,65.0,65.0,63.833,64.417,5.094075,15564
2000-05-16,64.833,64.833,63.833,64.417,5.094075,20850
2000-05-17,63.833,65.0,63.833,64.417,5.094075,6558
2000-05-18,64.167,65.0,63.5,64.25,5.08087,20610
2000-05-19,64.833,64.833,64.833,64.833,5.126972,89208
2000-05-22,65.5,65.5,64.167,64.833,5.126972,38742
2000-05-23,65.5,65.5,64.167,64.833,5.126972,12624
2000-05-24,64.167,65.5,64.167,64.833,5.126972,9546
2000-05-25,64.833,65.333,64.167,64.833,5.126972,15624
2000-05-26,65.5,65.5,64.167,64.833,5.126972,7110
2000-05-29,64.833,64.833,64.833,64.833,5.126972,0
2000-05-30,65.0,65.5,64.167,65.0,5.140178,48942
2000-05-31,64.167,65.0,64.167,65.0,5.140178,18750
2000-06-01,64.167,65.833,64.167,65.417,5.173154,6354
2000-06-02,66.167,66.167,64.667,65.417,5.173154,1908
2000-06-05,65.417,65.417,65.417,65.417,5.173154,31308
2000-06-06,65.417,65.417,65.417,65.417,5.173154,6726
2000-06-07,65.417,65.417,65.417,65.417,5.173154,7956
2000-06-08,65.417,65.417,65.417,65.417,5.173154,10914
2000-06-09,65.417,65.417,65.417,65.417,5.173154,7014
2000-06-12,65.583,65.583,65.583,65.583,5.186282,18342
2000-06-13,65.583,65.583,65.583,65.583,5.186282,8400
2000-06-14,65.583,65.583,65.583,65.583,5.186282,1500
2000-06-15,65.583,65.583,65.583,65.583,5.186282,40182
2000-06-16,65.583,65.583,65.583,65.583,5.186282,9606
2000-06-19,65.25,65.25,65.25,65.25,5.159947,29022
2000-06-20,65.25,65.25,65.25,65.25,5.159947,46338
2000-06-21,65.25,65.25,65.25,65.25,5.159947,25092
2000-06-22,65.25,65.25,65.25,65.25,5.159947,14598
2000-06-23,65.25,65.25,65.25,65.25,5.159947,17688
2000-06-26,65.25,65.25,65.25,65.25,5.159947,40662
2000-06-27,65.083,65.083,65.083,65.083,5.1467410000000005,27876
