Date,Open,High,Low,Close,Adj Close,Volume
2011-12-21,1.03,1.0365,1.03,1.0325,1.0325,732531
2011-12-22,1.0325,1.04,1.0325,1.03875,1.03875,316415
2011-12-23,1.0425,1.0425,1.0425,1.04,1.04,28166
2011-12-28,1.035,1.035,1.035,1.0375,1.0375,260300
2011-12-29,1.0425,1.045,1.0351,1.03875,1.03875,160417
2011-12-30,0.97457,0.97457,0.97457,0.97457,0.97457,0
2012-01-03,1.04,1.0422,1.038,1.04,1.04,174793
2012-01-04,1.0376,1.0422,1.0376,1.04,1.04,31640
2012-01-05,1.04,1.0425,1.04,1.04,1.04,116071
2012-01-06,1.04,1.0415,1.038,1.04,1.04,130595
2012-01-09,1.04125,1.0424,1.04125,1.04,1.04,35299
2012-01-10,1.0375,1.0375,1.0355,1.03625,1.03625,153638
2012-01-11,1.0375,1.0375,1.035,1.03625,1.03625,90476
2012-01-12,1.0399,1.0399,1.0385,1.0375,1.0375,71200
2012-01-13,1.0355,1.0399,1.035,1.035,1.035,282527
2012-01-16,1.035,1.0375,1.035,1.03625,1.03625,187544
2012-01-17,1.036,1.0375,1.036,1.03625,1.03625,382959
2012-01-18,1.035,1.0375,1.0326,1.0375,1.0375,191116
2012-01-19,1.03675,1.03675,1.036,1.03375,1.03375,15291
2012-01-20,1.0335,1.0365,1.03,1.03,1.03,104750
2012-01-23,1.03,1.0349,1.03,1.03,1.03,318331
2012-01-24,1.03101,1.03101,1.0276,1.02875,1.02875,119786
2012-01-25,1.0275,1.0275,1.025,1.025,1.025,253471
2012-01-26,1.0285,1.0297,1.025,1.0275,1.0275,106400
2012-01-27,1.0275,1.03,1.0253,1.0275,1.0275,334921
2012-01-30,1.0275,1.03,1.025,1.0275,1.0275,282830
2012-01-31,0.97457,0.97457,0.97457,0.97457,0.97457,0
2012-02-01,1.0315,1.0315,1.0315,1.02875,1.02875,37800
2012-02-02,1.0325,1.0325,1.026,1.02875,1.02875,331381
2012-02-03,1.0325,1.0325,1.0285,1.03,1.03,639340
2012-02-06,1.03,1.035,1.0275,1.03375,1.03375,860807
2012-02-07,1.04,1.04,1.0311,1.035,1.035,404243
2012-02-08,1.04,1.04,1.0361,1.03875,1.03875,929180
2012-02-09,1.04,1.04,1.0399,1.04,1.04,749551
2012-02-10,1.04,1.05,1.04,1.0475,1.0475,2403800
2012-02-13,1.05,1.0525,1.0461,1.05125,1.05125,1072974
2012-02-14,1.055,1.055,1.055,1.055,1.055,516124
2012-02-15,1.055,1.0575,1.0511,1.055,1.055,249066
2012-02-16,1.0575,1.06,1.0536,1.05625,1.05625,642009
2012-02-17,1.06,1.06,1.055,1.06125,1.06125,409600
2012-02-20,1.065,1.0674,1.06,1.06375,1.06375,961246
2012-02-21,1.0675,1.07,1.067,1.07,1.07,678256
2012-02-22,1.0725,1.0774,1.07,1.0725,1.0725,196599
2012-02-23,1.0775,1.0775,1.0703,1.07375,1.07375,265089
2012-02-24,1.08,1.08,1.0759,1.07375,1.07375,97838
2012-02-27,1.0725,1.0725,1.07,1.07125,1.07125,86075
2012-02-28,1.07,1.0725,1.06,1.06125,1.06125,615692
2012-02-29,0.97457,0.97457,0.97457,0.97457,0.97457,0
2012-03-01,1.06,1.0615,1.06,1.06,1.06,103825
2012-03-02,1.0625,1.0625,1.0586,1.0625,1.0625,691551
2012-03-05,1.0675,1.0675,1.0611,1.06375,1.06375,220185
2012-03-06,1.065,1.0674,1.0625,1.06375,1.06375,159183
2012-03-07,1.0628,1.0649,1.0625,1.06375,1.06375,103154
2012-03-08,1.065,1.07,1.0628,1.06625,1.06625,2048551
2012-03-09,1.065,1.0675,1.065,1.06625,1.06625,823852
2012-03-12,1.07,1.0725,1.066,1.0725,1.0725,657377
2012-03-13,1.075,1.0775,1.07301,1.0775,1.0775,426887
2012-03-14,1.075,1.0774,1.0725,1.07375,1.07375,253211
2012-03-15,1.075,1.075,1.0725,1.075,1.075,299925
2012-03-16,1.075,1.075,1.07,1.075,1.075,7633387
2012-03-19,1.0725,1.0758,1.0675,1.0675,1.0675,1827106
2012-03-20,1.0675,1.075,1.065,1.0675,1.0675,1864939
2012-03-21,1.065,1.065,1.06,1.065,1.065,329374
