Date,Open,High,Low,Close,Adj Close,Volume
2002-11-12,79.0,79.0,76.152,78.0,44.205658,1167606
2002-11-13,78.68,79.0,78.0,78.0,44.205658,12779
2002-11-14,79.0,80.0,79.0,79.0,44.772403999999995,15750
2002-11-15,79.5,80.0,79.0,79.0,44.772403999999995,34319
2002-11-18,80.0,80.0,79.5,79.5,45.055763,228221
2002-11-19,80.0,80.0,79.5,79.5,45.055763,52351
2002-11-20,79.75,79.75,79.0,79.5,45.055763,75000
2002-11-21,80.0,80.0,79.0,79.5,45.055763,1952939
2002-11-22,82.0,82.0,80.0,81.0,45.905879999999996,1933176
2002-11-25,82.75,83.0,82.5,82.5,46.755984999999995,136346
2002-11-26,83.0,83.0,82.5,82.5,46.755984999999995,754641
2002-11-27,83.0,83.0,82.0,82.5,46.755984999999995,212148
2002-11-28,85.0,86.199997,85.0,85.5,48.456203,1348086
2002-11-29,86.629997,86.629997,85.5,85.5,48.456203,1713
2002-12-02,87.0,88.0,86.5,87.0,49.30632,1506523
2002-12-03,89.0,90.18,88.0,90.0,51.006527,2270570
2002-12-04,93.0,93.0,90.5,91.5,51.856646999999995,5310166
2002-12-05,92.0,93.0,90.5,91.5,51.856646999999995,530028
2002-12-06,92.629997,93.0,90.5,91.5,51.856646999999995,1007826
2002-12-09,96.0,97.0,92.5,95.0,53.840225,48907
2002-12-10,93.0,95.0,93.0,94.0,53.273487,1627377
2002-12-11,94.0,95.5,92.5,92.5,52.42337,0
2002-12-12,96.5,96.5,94.0,94.0,53.273487,696978
2002-12-13,96.5,97.0,93.0,95.0,53.840225,1128400
2002-12-16,96.5,97.0,95.0,95.0,53.840225,424444
2002-12-17,96.0,97.5,95.0,97.0,54.973709,2415000
2002-12-18,100.0,100.0,96.0,98.5,55.823806999999995,2444757
2002-12-19,98.0,101.0,97.0,99.0,56.107197,7137250
2002-12-20,100.0,101.0,99.0,99.0,56.107197,1204051
2002-12-23,100.5,100.629997,99.5,99.5,56.390556000000004,1394994
2002-12-24,100.629997,101.0,99.5,99.5,56.390556000000004,59156
2002-12-27,98.33000200000001,101.0,98.33000200000001,99.5,56.390556000000004,624452
2002-12-30,99.599998,101.0,98.5,98.5,55.823806999999995,175020
2002-12-31,99.629997,99.629997,98.0,98.0,55.540436,328295
2003-01-02,95.370003,99.0,93.313004,98.0,55.540436,410690
2003-01-03,100.0,100.0,97.0,98.0,55.540436,774409
2003-01-06,96.5,100.0,96.5,98.0,55.540436,1871263
2003-01-07,98.5,98.5,97.0,97.0,54.973709,207346
2003-01-08,97.0,98.5,95.0,97.0,54.973709,2225710
2003-01-09,95.0,97.0,94.904999,95.0,53.840225,183064
2003-01-10,94.0,95.0,94.0,95.0,53.840225,161000
2003-01-13,98.5,98.5,97.0,97.0,54.973709,2031
2003-01-14,96.75,97.0,96.5,96.5,54.690342,0
2003-01-15,97.0,98.5,95.0,97.0,54.973709,198701
2003-01-16,97.5,104.0,97.5,102.5,58.090778,1720872
2003-01-17,103.199997,104.0,101.370003,102.5,58.090778,355723
2003-01-20,104.0,104.0,101.0,102.5,58.090778,639945
2003-01-21,103.779999,104.0,102.0,102.5,58.090778,918958
2003-01-22,104.0,104.0,102.220001,103.0,58.374153,416130
2003-01-23,103.0,103.849998,100.0,101.5,57.524043999999996,581988
2003-01-24,102.779999,103.5,100.0,100.5,56.95731,2479386
2003-01-27,98.440002,100.0,98.0,100.0,56.673935,306295
2003-01-28,99.0,101.5,99.0,100.0,56.673935,22820
2003-01-29,98.0,99.0,97.0,99.0,56.107197,769852
2003-01-30,101.0,101.0,97.5,99.5,56.390556000000004,48301
2003-01-31,99.5,100.5,99.5,99.5,56.390556000000004,448404
2003-02-03,100.629997,101.0,100.0,100.0,56.673935,12730
2003-02-04,104.0,104.0,102.239998,102.5,58.090778,311212
2003-02-05,101.0,102.0,101.0,102.0,57.807411,550000
2003-02-06,100.0,101.0,100.0,101.0,57.240665,125000
2003-02-07,100.0,104.309998,99.5,101.0,57.240665,522164
2003-02-10,101.0,101.0,101.0,101.0,57.240665,24200
2003-02-11,102.0,104.0,101.0,102.0,57.807411,1846916
2003-02-12,104.0,104.0,100.0,101.5,57.524043999999996,1283000
2003-02-13,100.0,100.0,100.0,100.0,56.673935,5580000
2003-02-14,102.5,103.5,102.398003,102.5,58.090778,2290751
2003-02-17,102.0,104.0,101.5,102.5,58.090778,139084
2003-02-18,101.0,102.0,101.0,102.0,57.807411,1216423
2003-02-19,100.0,101.5,98.0,100.5,56.95731,1318948
2003-02-20,99.0,100.5,99.0,100.5,56.95731,1010237
2003-02-21,100.5,101.0,100.0,100.0,56.673935,0
2003-02-24,100.0,100.0,99.5,100.0,56.673935,42529
2003-02-25,100.0,100.0,98.0,98.0,55.540436,113149
2003-02-26,99.0,99.0,97.5,97.5,55.257084,18258
2003-02-27,98.0,98.0,96.400002,97.5,55.257084,19418
2003-02-28,97.75,98.0,97.5,97.5,55.257084,0
2003-03-03,98.779999,98.779999,97.5,97.5,55.257084,1000
2003-03-04,98.5,98.5,96.5,98.0,55.540436,34508
2003-03-05,99.0,99.0,97.0,97.5,55.257084,1158006
2003-03-06,97.5,97.5,95.0,97.0,54.973709,93218
2003-03-07,95.0,96.5,92.0,94.0,53.273487,260721
2003-03-10,95.5,95.5,92.449997,93.5,52.99012,615168
2003-03-11,92.220001,93.0,92.220001,92.5,52.42337,5411
2003-03-12,91.5,92.5,91.449997,92.5,52.42337,38008
2003-03-13,92.0,92.5,90.0,90.5,51.289909,936853
2003-03-14,89.370003,91.0,89.370003,90.0,51.006527,2492083
2003-03-17,90.0,92.0,90.0,91.5,51.856646999999995,1262591
2003-03-18,92.5,93.0,90.0,92.5,52.42337,3884050
2003-03-19,92.5,93.629997,92.0,93.5,52.99012,1120512
2003-03-20,93.75,94.0,93.5,93.5,52.99012,0
2003-03-21,92.5,93.5,92.0,93.5,52.99012,2131562
2003-03-24,93.0,93.0,92.0,92.0,52.140011,50000
2003-03-25,92.0,92.0,92.0,92.0,52.140011,1166974
2003-03-26,92.5,92.593002,92.0,92.5,52.42337,2864725
2003-03-27,92.75,93.5,92.0,92.0,52.140011,0
2003-03-28,92.0,93.0,92.0,92.5,52.42337,755000
2003-03-31,93.0,93.0,92.400002,92.5,52.42337,103393
2003-04-01,92.0,93.5,92.0,93.5,52.99012,1640235
2003-04-02,95.5,96.5,95.0,95.0,53.840225,96800
2003-04-03,96.0,96.0,93.0,95.0,53.840225,56000
2003-04-04,93.5,94.0,93.0,94.0,53.273487,150341
2003-04-07,94.0,94.5,93.0,94.0,53.273487,315142
2003-04-08,93.75,94.0,93.0,93.0,52.706745,106383
2003-04-09,92.25,93.75,92.25,93.0,52.706745,5268
2003-04-10,93.5,94.0,93.0,93.0,52.706745,0
2003-04-11,94.0,94.0,93.0,93.0,52.706745,127800
2003-04-14,93.849998,93.849998,92.25,93.0,52.706745,25553
2003-04-15,94.5,94.5,93.0,93.5,52.99012,985601
2003-04-16,94.0,95.0,92.370003,93.5,52.99012,1052842
2003-04-17,93.400002,95.559998,93.0,94.0,53.273487,167840
2003-04-18,94.0,94.0,94.0,94.0,53.273487,0
2003-04-21,94.0,94.0,94.0,94.0,53.273487,0
2003-04-22,94.0,94.089996,93.900002,94.0,53.273487,414265
2003-04-23,92.0,94.519997,92.0,93.5,52.99012,78171
2003-04-24,92.0,94.519997,92.0,93.5,52.99012,2898085
