Date,Open,High,Low,Close,Adj Close,Volume
2000-01-31,2.7592,2.7592,2.7592,2.7592,2.756968,0
2000-02-29,2.9088,2.9088,2.9088,2.9088,2.906446,0
2000-03-31,2.8768,2.8768,2.8768,2.8768,2.874473,0
2000-04-28,2.7488,2.7488,2.7488,2.7488,2.7465759999999997,0
2000-05-31,2.624,2.624,2.624,2.624,2.621877,0
2000-06-30,2.7394,2.7394,2.7394,2.7394,2.737184,0
2000-07-31,2.3483,2.3483,2.3483,2.3483,2.3464,0
2000-08-31,2.593,2.593,2.593,2.593,2.5909020000000003,0
2000-09-29,2.4137,2.4137,2.4137,2.4137,2.411747,0
2000-10-31,2.2414,2.2414,2.2414,2.2414,2.2395869999999998,0
2000-11-30,2.144,2.144,2.144,2.144,2.142265,0
2000-12-29,1.8555,1.8555,1.8555,1.8555,1.8539990000000002,0
2001-01-01,1.74,1.74,1.74,1.74,1.738592,0
2001-01-02,1.73,1.73,1.71,1.71,1.708616,13544
2001-01-03,1.66,1.665,1.66,1.665,1.6636529999999998,11450
2001-01-04,1.68,1.68,1.66,1.67,1.6686490000000003,262414
2001-01-05,1.67,1.69,1.67,1.675,1.673645,343775
2001-01-08,1.67,1.69,1.67,1.68,1.678641,17871
2001-01-09,1.675,1.675,1.65,1.655,1.653661,84554
2001-01-10,1.62,1.62,1.59,1.59,1.588714,41565
2001-01-11,1.53,1.565,1.53,1.565,1.563734,62500
2001-01-12,1.59,1.59,1.56,1.58,1.578722,28004
2001-01-15,1.585,1.615,1.585,1.615,1.613693,11650
2001-01-16,1.64,1.64,1.63,1.635,1.633677,251637
2001-01-17,1.64,1.67,1.64,1.665,1.6636529999999998,20000
2001-01-18,1.705,1.71,1.695,1.695,1.693629,10400
2001-01-19,1.7175,1.73,1.7,1.72,1.7186080000000001,165739
2001-01-22,1.73,1.73,1.715,1.72,1.7186080000000001,30506
2001-01-23,1.7,1.705,1.7,1.7,1.698625,55970
2001-01-24,1.68,1.705,1.68,1.685,1.6836369999999998,23469
2001-01-25,1.695,1.71,1.695,1.71,1.708616,35600
2001-01-26,1.68,1.7,1.68,1.69,1.6886330000000003,17402
2001-01-29,1.71,1.71,1.69,1.7,1.698625,23378
2001-01-30,1.705,1.71,1.69,1.7,1.698625,30250
2001-01-31,1.8504,1.8504,1.8504,1.8504,1.848903,0
2001-02-01,1.69,1.71,1.69,1.7,1.698625,37250
2001-02-02,1.68,1.72,1.68,1.7,1.698625,124236
2001-02-05,1.69,1.72,1.69,1.7,1.698625,495975
2001-02-06,1.68,1.705,1.68,1.6925,1.6911310000000002,47015
2001-02-07,1.7,1.7,1.67,1.68,1.678641,275503
2001-02-08,1.64,1.67,1.64,1.655,1.653661,94260
2001-02-09,1.66,1.665,1.64,1.64,1.638673,129406
2001-02-12,1.65,1.65,1.62,1.63,1.628681,10784
2001-02-13,1.62,1.62,1.6,1.61,1.608697,11200
2001-02-14,1.58,1.6,1.58,1.58,1.578722,210575
2001-02-15,1.575,1.59,1.53,1.57,1.56873,1125530
2001-02-16,1.55,1.57,1.54,1.54,1.5387540000000002,130120
2001-02-19,1.53,1.53,1.51,1.525,1.523766,67525
