Date,Open,High,Low,Close,Adj Close,Volume
2000-01-31,3.3053,3.3053,3.3053,3.3053,3.22931,0
2000-02-29,3.3788,3.3788,3.3788,3.3788,3.3011199999999996,0
2000-03-31,3.5289,3.5289,3.5289,3.5289,3.447769,0
2000-04-28,3.462,3.462,3.462,3.462,3.382407,0
2000-05-31,3.5472,3.5472,3.5472,3.5472,3.4656480000000003,0
2000-06-30,3.66,3.66,3.66,3.66,3.5758550000000002,0
2000-07-31,3.6257,3.6257,3.6257,3.6257,3.5423440000000004,0
2000-08-31,3.809,3.809,3.809,3.809,3.7214300000000002,0
2000-09-29,3.574,3.574,3.574,3.574,3.491832,0
2000-10-31,3.601,3.601,3.601,3.601,3.518212,0
2000-11-30,3.5724,3.5724,3.5724,3.5724,3.490269,0
2000-12-29,3.5806,3.5806,3.5806,3.5806,3.498281,0
2001-01-01,3.205,3.205,3.205,3.205,3.131316,0
2001-01-02,3.1825,3.22,3.1825,3.195,3.121546,11989
2001-01-03,3.14,3.165,3.11,3.11,3.0385,46273
2001-01-04,3.19,3.2,3.18,3.1925,3.119103,63014
2001-01-05,3.2075,3.23,3.185,3.185,3.111776,103666
2001-01-08,3.17,3.185,3.135,3.1475,3.075138,80836
2001-01-09,3.17,3.2,3.15,3.1975,3.123988,24851410
2001-01-10,3.2,3.2,3.17,3.195,3.121546,487236
2001-01-11,3.195,3.21,3.19,3.2,3.126431,349884
2001-01-12,3.205,3.215,3.195,3.2025,3.128874,472434
2001-01-15,3.19,3.2225,3.19,3.2175,3.143528,313211
2001-01-16,3.21,3.22,3.21,3.215,3.141086,76410
2001-01-17,3.225,3.25,3.22,3.25,3.175281,32245
2001-01-18,3.26,3.26,3.24,3.25,3.175281,490679
2001-01-19,3.27,3.29,3.25,3.255,3.180166,130324
2001-01-22,3.245,3.26,3.24,3.25,3.175281,49042
2001-01-23,3.26,3.26,3.24,3.25,3.175281,36699
2001-01-24,3.255,3.295,3.255,3.29,3.2143610000000002,128327
2001-01-25,3.28,3.3,3.275,3.285,3.209477,245762
2001-01-26,3.275,3.28,3.25,3.26,3.1850509999999996,44576
2001-01-29,3.27,3.275,3.26,3.265,3.189936,54482
2001-01-30,3.275,3.285,3.275,3.28,3.204592,39307
2001-01-31,3.709,3.709,3.709,3.709,3.623729,0
2001-02-01,3.31,3.31,3.275,3.28,3.204592,60229
2001-02-02,3.3,3.3116,3.285,3.2975,3.221689,259720
2001-02-05,3.3,3.305,3.2875,3.2975,3.221689,1021379
2001-02-06,3.305,3.305,3.285,3.3,3.224132,291814
2001-02-07,3.295,3.295,3.28,3.2875,3.211919,36619
2001-02-08,3.295,3.3,3.28,3.2925,3.216804,520109
2001-02-09,3.3,3.305,3.28,3.2975,3.221689,144783
2001-02-12,3.305,3.305,3.29,3.2975,3.221689,25890
2001-02-13,3.305,3.31,3.28,3.3,3.224132,154364
2001-02-14,3.305,3.305,3.27,3.28,3.204592,22992
2001-02-15,3.265,3.29,3.26,3.28,3.204592,49316
2001-02-16,3.27,3.275,3.23,3.245,3.1703959999999998,30605
2001-02-19,3.26,3.26,3.23,3.245,3.1703959999999998,27972
2001-02-20,3.2425,3.26,3.23,3.23,3.155741,90523
2001-02-21,3.21,3.21,3.18,3.19,3.116661,148570
2001-02-22,3.1625,3.18,3.155,3.1625,3.0897930000000002,266701
2001-02-23,3.175,3.175,3.11,3.12,3.04827,52083
2001-02-26,3.14,3.14,3.11,3.1175,3.0458279999999998,95197
2001-02-27,3.105,3.1475,3.105,3.13,3.05804,42350
2001-02-28,3.5413,3.5413,3.5413,3.5413,3.4598839999999997,0
2001-03-01,3.15,3.15,3.12,3.13,3.05804,57858
2001-03-02,3.1225,3.14,3.11,3.12,3.04827,41729
2001-03-05,3.12,3.12,3.095,3.105,3.033615,38800
2001-03-06,3.14,3.1825,3.14,3.18,3.106891,109536
2001-03-07,3.175,3.18,3.15,3.1625,3.0897930000000002,79574
2001-03-08,3.17,3.185,3.16,3.17,3.097121,84448
2001-03-09,3.175,3.18,3.12,3.135,3.062925,69533
2001-03-12,3.105,3.105,3.04,3.055,2.9847639999999998,42820
2001-03-13,3.005,3.035,2.9975,3.03,2.960339,100978
2001-03-14,3.035,3.045,2.9025,2.975,2.906603,55008
2001-03-15,3.0,3.02,2.97,3.02,2.9505689999999998,104642
2001-03-16,3.01,3.03,2.96,2.97,2.901719,258842
2001-03-19,2.98,3.0,2.95,2.965,2.896834,58136
2001-03-20,2.99,3.01,2.97,2.995,2.926144,52092
2001-03-21,2.975,2.98,2.9,2.93,2.862638,101011
2001-03-22,2.9,2.9,2.795,2.805,2.740512,147437
2001-03-23,2.84,2.84,2.795,2.8075,2.742954,67954
2001-03-26,2.83,2.94,2.83,2.915,2.847983,288063
2001-03-27,2.9,2.97,2.9,2.965,2.896834,135345
2001-03-28,2.97,2.97,2.91,2.91,2.843098,115510
2001-03-29,2.86,2.88,2.85,2.875,2.808903,71011
2001-03-30,3.352,3.352,3.352,3.352,3.274936,0
2001-04-02,2.92,2.93,2.91,2.92,2.852868,79580
2001-04-03,2.905,2.915,2.88,2.89,2.8235580000000002,143452
2001-04-04,2.875,2.905,2.83,2.905,2.838213,102054
2001-04-05,2.94,2.98,2.92,2.965,2.896834,121374
2001-04-06,3.02,3.02,2.94,2.95,2.8821790000000003,53212
2001-04-09,2.93,2.99,2.93,2.99,2.921259,52654
2001-04-10,2.99,3.04,2.98,3.04,2.970109,106921
2001-04-11,3.045,3.06,3.025,3.05,2.979879,106680
2001-04-12,3.06,3.07,3.04,3.06,2.989649,49828
2001-04-13,3.06,3.06,3.06,3.06,2.989649,0
2001-04-16,3.06,3.06,3.06,3.06,2.989649,0
2001-04-17,3.035,3.07,3.02,3.06,2.989649,170955
2001-04-18,3.05,3.12,3.05,3.11,3.0385,106332
2001-04-19,3.12,3.125,3.1,3.11,3.0385,79367
2001-04-20,3.125,3.14,3.11,3.125,3.053155,128110
2001-04-23,3.13,3.14,3.115,3.1275,3.055598,50143
2001-04-24,3.14,3.17,3.14,3.155,3.082465,151579
2001-04-25,3.145,3.155,3.12,3.1475,3.075138,178425
2001-04-26,3.14,3.175,3.13,3.16,3.087351,53288
2001-04-27,3.17,3.195,3.15,3.1825,3.1093330000000003,26500
2001-04-30,3.572,3.572,3.572,3.572,3.489878,0
2001-05-01,3.205,3.21,3.18,3.1975,3.123988,79734
2001-05-02,3.2,3.245,3.2,3.215,3.141086,115858
2001-05-03,3.225,3.225,3.16,3.1725,3.0995630000000003,106047
2001-05-04,3.16,3.2,3.155,3.175,3.102005,70902
2001-05-07,3.175,3.175,3.175,3.175,3.102005,0
2001-05-08,3.2,3.2,3.17,3.19,3.116661,40399
2001-05-09,3.18,3.2,3.18,3.19,3.116661,90852
2001-05-10,3.215,3.27,3.2,3.26,3.1850509999999996,122483
2001-05-11,3.265,3.28,3.24,3.265,3.189936,169310
2001-05-14,3.25,3.27,3.235,3.24,3.165511,151312
2001-05-15,3.25,3.265,3.235,3.25,3.175281,192341
2001-05-16,3.255,3.255,3.225,3.25,3.175281,83105
2001-05-17,3.285,3.3,3.25,3.285,3.209477,521686
2001-05-18,3.28,3.3,3.27,3.285,3.209477,94909
2001-05-21,3.3,3.3,3.27,3.28,3.204592,65508
2001-05-22,3.285,3.31,3.28,3.295,3.219247,68248
2001-05-23,3.305,3.31,3.285,3.29,3.2143610000000002,83689
2001-05-24,3.28,3.29,3.26,3.275,3.199706,24115
2001-05-25,3.275,3.29,3.26,3.27,3.194821,319883
2001-05-28,3.27,3.27,3.27,3.27,3.194821,0
2001-05-29,3.2675,3.2675,3.2675,3.2675,3.1923790000000003,37450
2001-05-30,3.26,3.26,3.19,3.205,3.131316,108098
2001-05-31,3.5493,3.5493,3.5493,3.5493,3.4677,0
2001-06-01,3.19,3.21,3.18,3.1925,3.119103,109095
2001-06-04,3.22,3.22,3.2025,3.2025,3.128874,14924
2001-06-05,3.21,3.22,3.19,3.2075,3.1337580000000003,104695
2001-06-06,3.235,3.25,3.22,3.235,3.1606259999999997,59220
2001-06-07,3.25,3.255,3.225,3.245,3.1703959999999998,66427
2001-06-08,3.26,3.285,3.26,3.2725,3.197264,66932
2001-06-11,3.27,3.275,3.25,3.25,3.175281,74252
2001-06-12,3.26,3.265,3.21,3.22,3.145971,59331
2001-06-13,3.235,3.255,3.225,3.245,3.1703959999999998,43707
2001-06-14,3.25,3.25,3.2,3.2,3.126431,253257
2001-06-15,3.19,3.205,3.165,3.2,3.126431,88632
2001-06-18,3.21,3.21,3.185,3.1975,3.123988,32168
2001-06-19,3.21,3.24,3.19,3.2275,3.153298,57625
2001-06-20,3.215,3.22,3.19,3.215,3.141086,66285
2001-06-21,3.23,3.23,3.21,3.22,3.145971,54674
2001-06-22,3.225,3.235,3.205,3.2175,3.143528,254195
2001-06-25,3.23,3.25,3.22,3.23,3.155741,178612
2001-06-26,3.225,3.23,3.165,3.18,3.106891,123855
2001-06-27,3.19,3.195,3.17,3.19,3.116661,189890
2001-06-28,3.19,3.2,3.13,3.185,3.111776,71132
2001-06-29,3.4955,3.4955,3.4955,3.4955,3.415137,0
