Date,Open,High,Low,Close,Adj Close,Volume
2000-01-31,3.0686,3.0686,3.0686,3.0686,3.01012,0
2000-02-29,3.3556,3.3556,3.3556,3.3556,3.2916510000000003,0
2000-03-31,3.2209,3.2209,3.2209,3.2209,3.159518,0
2000-04-28,2.9572,2.9572,2.9572,2.9572,2.900843,0
2000-05-31,2.8613,2.8613,2.8613,2.8613,2.806771,0
2000-06-30,3.1667,3.1667,3.1667,3.1667,3.10635,0
2000-07-31,3.2946,3.2946,3.2946,3.2946,3.2318130000000003,0
2000-08-31,3.635,3.635,3.635,3.635,3.565726,0
2000-09-29,3.4482,3.4482,3.4482,3.4482,3.382486,0
2000-10-31,3.1993,3.1993,3.1993,3.1993,3.138329,0
2000-11-30,2.87,2.87,2.87,2.87,2.815305,0
2000-12-29,2.9221,2.9221,2.9221,2.9221,2.866412,0
2001-01-01,2.46,2.46,2.46,2.46,2.413119,0
2001-01-02,2.46,2.46,2.46,2.46,2.413119,0
2001-01-03,2.45,2.45,2.45,2.45,2.403309,0
2001-01-04,2.455,2.455,2.455,2.455,2.408214,0
2001-01-05,2.44,2.44,2.44,2.44,2.3935,0
2001-01-08,2.435,2.435,2.435,2.435,2.388595,0
2001-01-09,2.42,2.42,2.42,2.42,2.3738810000000004,0
2001-01-10,2.39,2.39,2.39,2.39,2.3444529999999997,0
2001-01-11,2.39,2.39,2.39,2.39,2.3444529999999997,0
2001-01-12,2.395,2.395,2.395,2.395,2.349357,0
2001-01-15,2.43,2.43,2.43,2.43,2.38369,0
2001-01-16,2.455,2.455,2.455,2.455,2.408214,0
2001-01-17,2.535,2.535,2.535,2.535,2.486689,0
2001-01-18,2.56,2.56,2.56,2.56,2.511213,0
2001-01-19,2.63,2.63,2.63,2.63,2.579879,0
2001-01-22,2.635,2.635,2.635,2.635,2.584784,0
2001-01-23,2.645,2.645,2.645,2.645,2.594593,0
2001-01-24,2.655,2.655,2.655,2.655,2.604402,0
2001-01-25,2.645,2.645,2.645,2.645,2.594593,0
2001-01-26,2.64,2.64,2.64,2.64,2.589688,0
2001-01-29,2.635,2.635,2.635,2.635,2.584784,0
2001-01-30,2.605,2.605,2.605,2.605,2.555355,0
2001-01-31,3.0707,3.0707,3.0707,3.0707,3.01218,0
2001-02-01,2.59,2.59,2.59,2.59,2.540641,0
2001-02-02,2.59,2.59,2.59,2.59,2.540641,0
2001-02-05,2.585,2.585,2.585,2.585,2.535736,0
2001-02-06,2.585,2.585,2.585,2.585,2.535736,0
2001-02-07,2.58,2.58,2.58,2.58,2.530832,0
2001-02-08,2.58,2.58,2.58,2.58,2.530832,0
2001-02-09,2.58,2.58,2.58,2.58,2.530832,0
2001-02-12,2.585,2.585,2.585,2.585,2.535736,0
2001-02-13,2.585,2.585,2.585,2.585,2.535736,0
2001-02-14,2.555,2.555,2.555,2.555,2.506308,0
2001-02-15,2.55,2.55,2.55,2.55,2.501403,0
2001-02-16,2.54,2.54,2.54,2.54,2.491594,0
2001-02-19,2.515,2.515,2.515,2.515,2.467071,0
2001-02-20,2.505,2.505,2.505,2.505,2.457261,0
2001-02-21,2.475,2.475,2.475,2.475,2.427833,0
2001-02-22,2.455,2.455,2.455,2.455,2.408214,0
2001-02-23,2.405,2.405,2.405,2.405,2.359167,0
2001-02-26,2.395,2.395,2.395,2.395,2.349357,0
2001-02-27,2.395,2.395,2.395,2.395,2.349357,0
2001-02-28,2.828,2.828,2.828,2.828,2.774105,0
2001-03-01,2.4,2.4,2.4,2.4,2.354262,0
2001-03-02,2.4,2.4,2.4,2.4,2.354262,0
2001-03-05,2.4,2.4,2.4,2.4,2.354262,0
