Date,Open,High,Low,Close,Adj Close,Volume
2005-12-09,230.0,236.75,229.19999700000002,235.0,141.89444,67478640
2005-12-12,234.0,240.0,230.38499500000003,240.0,144.913452,13947944
2005-12-13,237.0,241.75,237.0,240.0,144.913452,4282939
2005-12-14,241.0,247.0,239.5,245.0,147.93251,5301748
2005-12-15,244.0,245.0,240.5,242.0,146.121078,1535700
2005-12-16,242.0,242.82000699999998,240.0,240.0,144.913452,3245284
2005-12-19,242.0,243.899994,241.38000499999998,244.25,147.479645,5705632
2005-12-20,244.25,245.0,243.47000099999997,245.0,147.93251,8028049
2005-12-21,245.0,247.5,244.080002,247.0,149.140121,3891554
2005-12-22,247.0,248.0,245.0,245.25,148.083466,2519208
2005-12-23,246.0,247.899994,246.0,246.5,148.838211,347373
2005-12-26,246.5,246.5,246.5,246.5,148.838211,0
2005-12-27,246.5,246.5,246.5,246.5,148.838211,0
2005-12-28,247.0,247.0,245.630997,246.0,148.536316,1282728
2005-12-29,246.0,248.0,246.0,246.5,148.838211,412654
2005-12-30,246.5,246.979996,246.020004,246.5,148.838211,65499
2006-01-03,246.0,247.979996,242.0,247.0,149.140121,5319928
2006-01-04,246.0,246.0,243.979996,244.0,147.32865900000002,4643539
2006-01-05,244.0,246.0,239.13000499999998,242.0,146.121078,3031012
2006-01-06,239.0,244.0,238.0,242.0,146.121078,8250066
2006-01-09,243.0,247.42999300000002,240.0,240.0,144.913452,2860525
2006-01-10,241.0,241.5,233.0,239.0,144.309677,1860021
2006-01-11,239.0,242.0,237.899994,242.5,146.423004,4712015
2006-01-12,243.0,245.24499500000002,241.520004,242.75,146.57394399999998,3665396
2006-01-13,243.0,245.0,242.0,242.5,146.423004,1322950
2006-01-16,244.0,250.0,241.0,250.0,150.95150800000002,2101811
2006-01-17,250.0,256.75,249.5,255.5,154.272476,3282034
2006-01-18,250.5,254.0,250.0,253.5,153.06485,1116870
2006-01-19,253.0,257.25698900000003,253.0,256.0,154.574341,3475829
2006-01-20,255.5,258.5,255.02999900000003,256.0,154.574341,983435
2006-01-23,255.0,255.97000099999997,252.690002,253.25,152.913895,4419161
2006-01-24,257.0,261.0,254.0,255.75,154.423431,6187790
2006-01-25,256.0,259.880005,256.0,258.75,156.234848,2879594
2006-01-26,257.0,258.450012,256.0,256.0,154.574341,4329811
2006-01-27,259.0,260.0,257.0,257.0,155.178146,1158044
2006-01-30,259.0,259.799988,256.920013,258.25,155.932922,3592096
2006-01-31,259.0,268.0,259.0,264.75,159.857651,3119676
2006-02-01,264.5,264.5,261.239014,263.25,158.95193500000002,1393678
2006-02-02,263.5,267.0,263.5,264.75,159.857651,2274052
2006-02-03,266.0,267.0,265.52999900000003,267.5,161.518112,3405659
2006-02-06,267.0,268.0,266.0,266.75,161.065292,689515
2006-02-07,268.0,270.75,268.0,269.75,162.876709,4067899
2006-02-08,268.5,272.25,268.46200600000003,272.25,164.3862,2217499
2006-02-09,273.0,277.0,270.399994,277.0,167.254303,1265253
2006-02-10,273.0,276.079987,273.0,275.5,166.348557,1070445
2006-02-13,275.0,277.25,274.5,276.75,167.103363,1800756
2006-02-14,276.0,277.0,273.0,274.0,165.442902,8343222
2006-02-15,274.75,275.850006,272.0,272.75,164.688126,607667
2006-02-16,272.0,272.309998,268.0,270.25,163.178604,355580
