Date,Open,High,Low,Close,Adj Close,Volume
2000-05-08,127.5,127.5,127.5,127.5,86.588211,280817
2000-05-09,131.5,131.5,131.5,131.5,89.304703,31045
2000-05-10,135.5,135.5,135.5,135.5,92.02121,103181
2000-05-11,136.5,136.5,136.5,136.5,92.700325,440000
2000-05-12,140.0,140.0,140.0,140.0,95.07725500000001,200000
2000-05-15,140.0,140.0,140.0,140.0,95.07725500000001,165909
2000-05-16,140.0,140.0,140.0,140.0,95.07725500000001,251062
2000-05-17,136.5,136.5,136.5,136.5,92.700325,25000
2000-05-18,133.5,133.5,133.5,133.5,90.66295600000001,3148
2000-05-19,133.5,133.5,133.5,133.5,90.66295600000001,15774
2000-05-22,130.5,130.5,130.5,130.5,88.62559499999999,264449
2000-05-23,126.0,126.0,126.0,126.0,85.569511,22500
2000-05-24,122.024002,122.024002,122.024002,122.024002,82.869339,48650
2000-05-25,126.0,126.0,126.0,126.0,85.569511,33690
2000-05-26,124.0,125.0,124.0,124.0,84.211258,184437
2000-05-29,120.087997,120.087997,120.087997,120.087997,81.554558,0
2000-05-30,124.0,124.5,124.0,124.0,84.211258,81837
2000-05-31,124.0,124.0,124.0,124.0,84.211258,58693
2000-06-01,124.5,125.5,124.5,124.5,84.550842,125000
2000-06-02,123.476997,123.476997,123.476997,123.476997,83.856094,125000
2000-06-05,125.25,130.0,125.0,127.5,86.588211,41165
2000-06-06,128.0,128.0,127.5,127.5,86.588211,0
2000-06-07,126.0,127.5,125.0,127.5,86.588211,0
2000-06-08,123.476997,123.476997,123.476997,123.476997,83.856094,0
2000-06-09,129.0,129.0,127.5,127.5,86.588211,800
2000-06-12,129.5,129.5,126.0,127.5,86.588211,1586
2000-06-13,130.0,130.0,128.0,128.0,86.92776500000001,3900
2000-06-14,123.961998,123.961998,123.961998,123.961998,84.18547099999999,62000
2000-06-15,127.0,128.5,127.0,128.5,87.267349,0
2000-06-16,127.0,130.0,127.0,128.5,87.267349,485546
2000-06-19,132.0,132.0,129.5,129.5,87.946442,500
2000-06-20,131.0,135.0,130.0,130.0,88.286011,31604
2000-06-21,125.899002,125.899002,125.899002,125.899002,85.50095400000001,0
2000-06-22,128.0,135.0,128.0,130.0,88.286011,19300
2000-06-23,128.0,130.0,128.0,130.0,88.286011,0
2000-06-26,131.0,131.0,130.0,130.0,88.286011,178
2000-06-27,130.0,135.0,130.0,132.5,89.983841,32602
2000-06-28,131.0,135.0,131.0,133.5,90.66295600000001,9000
2000-06-29,135.0,135.0,133.5,133.5,90.66295600000001,740
2000-06-30,137.0,137.0,135.5,135.5,92.02121,14301
2000-07-03,134.0,135.5,134.0,135.5,92.02121,0
2000-07-04,131.225006,131.225006,131.225006,131.225006,89.11796600000001,0
2000-07-05,137.5,138.0,135.5,135.5,92.02121,3439
2000-07-06,131.225006,131.225006,131.225006,131.225006,89.11796600000001,2370
2000-07-07,135.0,137.5,135.0,135.5,92.02121,342863
2000-07-10,131.225006,131.225006,131.225006,131.225006,89.11796600000001,0
2000-07-11,135.0,135.0,135.0,135.0,91.681641,50000
2000-07-12,130.740005,130.740005,130.740005,130.740005,88.78858199999999,5
2000-07-13,130.740005,130.740005,130.740005,130.740005,88.78858199999999,5
2000-07-14,134.0,135.0,133.0,135.0,91.681641,0
2000-07-17,132.0,135.0,132.0,135.0,91.681641,0
2000-07-18,136.0,136.0,132.0,134.0,91.00251,2630
2000-07-19,129.772003,129.772003,129.772003,129.772003,88.13117199999999,0
2000-07-20,129.772003,129.772003,129.772003,129.772003,88.13117199999999,0
2000-07-21,132.0,134.0,132.0,134.0,91.00251,0
2000-07-24,129.772003,129.772003,129.772003,129.772003,88.13117199999999,1
2000-07-25,129.772003,129.772003,129.772003,129.772003,88.13117199999999,0
2000-07-26,129.772003,129.772003,129.772003,129.772003,88.13117199999999,500
2000-07-27,129.287994,129.287994,129.287994,129.287994,87.802483,183
2000-07-28,132.5,132.5,132.5,132.5,89.983841,0
2000-07-31,135.0,135.0,132.5,132.5,89.983841,0
2000-08-01,135.0,135.0,132.5,132.5,89.983841,0
2000-08-02,135.0,135.0,132.5,132.5,89.983841,0
2000-08-03,134.5,134.5,132.5,132.5,89.983841,800
2000-08-04,134.5,134.5,131.5,131.5,89.304703,0
2000-08-07,130.0,131.5,130.0,131.5,89.304703,0
2000-08-08,133.0,133.0,131.5,131.5,89.304703,601
2000-08-09,133.0,133.0,130.5,130.5,88.62559499999999,0
2000-08-10,130.5,130.5,129.5,130.0,88.286011,9600
2000-08-11,132.0,132.0,130.0,130.0,88.286011,300
2000-08-14,132.0,132.0,130.0,130.0,88.286011,300
