Date,Open,High,Low,Close,Adj Close,Volume
2014-05-15,220.0,225.0,199.0,201.0,177.071274,28301347
2014-05-16,202.75,202.75,195.5,200.0,176.19030800000002,3105025
2014-05-19,200.0,205.75,196.0,201.0,177.071274,1693925
2014-05-20,198.25,203.25,198.0,201.0,177.071274,651115
2014-05-21,197.0,203.0,197.0,199.5,175.749847,242755
2014-05-22,199.75,200.0,196.25,197.5,173.98793,345739
2014-05-23,197.25,203.75,196.25,200.0,176.19030800000002,247608
2014-05-27,204.75,204.75,198.25,200.0,176.19030800000002,1138674
2014-05-28,201.75,203.0,200.75,202.25,178.172455,100523
2014-05-29,200.0,203.75,198.699997,200.0,176.19030800000002,2595685
2014-05-30,202.25,202.5,199.25,200.0,176.19030800000002,246470
2014-06-02,205.0,207.5,201.675003,207.0,182.35696399999998,335514
2014-06-03,206.25,206.46400500000001,202.25,203.25,179.053375,10861
2014-06-04,202.5,207.0,200.5,204.5,180.154602,730454
2014-06-05,204.0,215.0,202.0,204.0,179.714111,362704
2014-06-06,204.75,214.75,204.75,211.0,185.880783,230618
2014-06-09,208.5,211.0,206.75,211.0,185.880783,47136
2014-06-10,211.0,218.0,210.0,218.0,192.04744,280581
2014-06-11,215.25,219.233994,213.0,213.0,187.642685,2524918
2014-06-12,214.5,214.5,210.75,213.75,188.303406,77371
2014-06-13,210.5,215.0,210.5,211.0,185.880783,1551742
2014-06-16,210.25,210.638,207.75,209.75,184.779572,97715
2014-06-17,210.25,211.0,207.5,209.0,184.118866,529832
2014-06-18,209.25,209.25,206.5,208.0,183.237915,330506
2014-06-19,215.0,215.0,208.5,210.0,184.999832,96178
2014-06-20,210.0,210.0,206.0,207.75,183.0177,693961
2014-06-23,207.75,207.75,206.5,207.0,182.35696399999998,292431
2014-06-24,206.5,207.0,204.5,204.5,180.154602,1031344
2014-06-25,209.75,211.0,200.0,206.0,181.476044,187595
2014-06-26,208.0,208.0,200.0,205.0,180.595078,227737
2014-06-27,208.0,208.0,205.0,205.0,180.595078,69716
2014-06-30,205.5,206.0,204.5,206.0,181.476044,176429
2014-07-01,205.25,207.475006,203.25,205.0,180.595078,395042
2014-07-02,204.25,206.313004,204.0,204.0,179.714111,51501
2014-07-03,203.5,205.0,197.75,205.0,180.595078,312086
2014-07-04,205.0,206.25,203.25,203.25,179.053375,31983
2014-07-07,203.25,206.063004,203.0,205.0,180.595078,107254
2014-07-08,205.0,207.0,202.0,205.25,180.81530800000002,179406
2014-07-09,202.0,205.75,201.75,205.25,180.81530800000002,158462
2014-07-10,203.0,207.0,197.0,200.0,176.19030800000002,307138
2014-07-11,200.25,202.0,197.25,197.5,173.98793,1665920
2014-07-14,198.25,201.0,197.75,200.0,176.19030800000002,30298
2014-07-15,200.25,205.75,198.25,205.0,180.595078,207118
2014-07-16,207.0,207.0,202.919998,206.0,181.476044,34393
2014-07-17,205.75,206.0,205.0,206.0,181.476044,9230
2014-07-18,203.75,209.75,203.75,208.25,183.458145,100003
2014-07-21,210.0,210.0,208.0,208.75,183.898636,34574
2014-07-22,208.75,211.5,208.0,210.5,185.44030800000002,137281
2014-07-23,210.5,210.75,208.5,210.75,185.660553,7367
2014-07-24,210.75,212.25,208.5,212.0,186.76173400000002,37942
2014-07-25,212.0,212.25,210.0,212.25,186.981979,420873
2014-07-28,212.0,212.25,207.0,207.0,182.35696399999998,80647
2014-07-29,210.0,214.75,210.0,214.0,188.523636,54251
2014-07-30,215.0,215.0,205.0,210.0,184.999832,153840
2014-07-31,205.25,209.587997,205.25,206.75,182.13673400000002,9718
2014-08-01,206.75,206.75,200.0,201.0,177.071274,518257
2014-08-04,202.25,208.440002,201.0,201.0,177.071274,14054
2014-08-05,206.0,208.0,202.0,208.0,183.237915,50683
2014-08-06,210.0,210.0,202.0,205.0,180.595078,12715
2014-08-07,209.5,212.0,208.5,210.0,184.999832,1060292
2014-08-08,210.0,213.311996,206.0,207.0,182.35696399999998,50313
2014-08-11,207.75,213.58999599999999,200.0,204.0,179.714111,57463
