Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,1095.0,1095.0,1095.0,1095.0,488.775696,0
2000-01-04,1083.0,1092.0,1025.0,1032.5,460.877625,31503
2000-01-05,1014.0,1033.0,990.0,1025.0,457.52987699999994,303089
2000-01-06,1014.0,1020.0,970.0,980.0,437.443054,183748
2000-01-07,987.0,987.0,972.0,973.5,434.541779,28240
2000-01-10,968.0,1025.0,968.0,1020.0,455.297943,590036
2000-01-11,1030.0,1030.0,1010.0,1020.0,455.297943,130293
2000-01-12,1025.0,1030.0,1012.0,1020.0,455.297943,21025
2000-01-13,1027.0,1057.0,1013.0,1039.0,463.77914400000003,369610
2000-01-14,1050.0,1110.0,1032.0,1097.5,489.891693,143710
2000-01-17,1077.699951,1120.0,1077.699951,1112.5,496.58734100000004,100831
2000-01-18,1107.0,1218.0,1107.0,1191.5,531.850586,166505
2000-01-19,1185.0,1200.0,1160.0,1160.0,517.789795,169025
2000-01-20,1135.0,1152.0,1093.0,1107.5,494.355347,1999745
2000-01-21,1098.0,1112.0,1085.0,1092.5,487.659912,201840
2000-01-24,1088.0,1100.0,1087.0,1092.5,487.659912,40833
2000-01-25,1085.0,1095.0,1070.0,1077.5,480.964325,59877
2000-01-26,1081.0,1085.0,1050.0,1061.5,473.822479,490735
2000-01-27,1068.0,1073.0,1053.0,1064.0,474.938416,39665
2000-01-28,1078.0,1190.0,1077.0,1181.0,527.163513,329072
2000-01-31,1290.0,1310.0,1130.0,1157.5,516.67395,407013
2000-02-01,1160.0,1213.0,1137.0,1200.0,535.644592,167504
2000-02-02,1175.0,1200.0,1165.0,1182.5,527.833191,75619
2000-02-03,1196.0,1200.0,1165.0,1182.5,527.833191,124839
2000-02-04,1196.0,1196.0,1087.0,1097.5,489.891693,357772
2000-02-07,1120.0,1145.0,1100.0,1107.5,494.355347,113983
2000-02-08,1107.5,1107.5,1060.0,1077.5,480.964325,76253
2000-02-09,1090.0,1120.0,1060.0,1087.5,485.427917,537939
2000-02-10,1060.0,1071.800049,1010.0,1025.0,457.52987699999994,31177
2000-02-11,1047.0,1090.0,1025.0,1082.5,483.196167,271108
2000-02-14,1100.0,1105.0,1065.0,1072.5,478.73245199999997,255223
2000-02-15,1030.0,1065.0,1025.0,1047.5,467.57309000000004,54061
2000-02-16,1041.5,1070.5,1023.0,1022.5,456.41391,38583
2000-02-17,1019.5,1037.0,990.0,1025.0,457.52987699999994,99945
2000-02-18,1025.0,1097.0,1025.0,1082.5,483.196167,233984
2000-02-21,1057.5,1110.0,1057.5,1087.5,485.427917,278930
2000-02-22,1070.0,1105.0,1035.0,1048.5,468.019623,244002
2000-02-23,1047.5,1106.0,1030.0,1077.5,480.964325,383753
2000-02-24,1063.0,1105.0,1048.0,1071.0,478.06280499999997,315040
2000-02-25,1074.0,1090.0,1055.0,1070.0,477.616486,35989
2000-02-28,1081.0,1082.0,1050.0,1065.0,475.384583,43991
2000-02-29,1062.5,1112.5,1060.0,1112.5,496.58734100000004,463743
2000-03-01,1132.0,1150.0,1114.400024,1132.5,505.514679,457909
2000-03-02,1141.0,1175.0,1113.0,1147.5,512.210205,715130
2000-03-03,1162.0,1190.0,1133.0,1160.0,517.789795,586235
2000-03-06,1137.0,1200.0,1015.0,1185.0,528.949036,441273
2000-03-07,1200.0,1257.0,1173.0,1252.5,559.079163,738356
2000-03-08,1240.0,1328.0,1240.0,1309.0,584.29895,513616
2000-03-09,1310.0,1347.0,1215.0,1237.5,552.383545,364848
2000-03-10,1220.0,1270.0,1200.0,1217.5,543.45636,268218
2000-03-13,1202.0,1235.0,1190.0,1207.5,542.557434,21717
2000-03-14,1178.0,1210.0,1130.0,1147.5,515.598022,62867
2000-03-15,1100.0,1140.0,1080.0,1122.5,504.365021,94612
2000-03-16,1108.0,1140.0,1105.0,1122.5,504.365021,246578
2000-03-17,1140.0,1200.0,1118.0,1147.5,515.598022,221946
2000-03-20,1163.0,1170.0,1130.0,1155.0,518.9680179999999,262827
2000-03-21,1130.0,1160.0,1120.0,1137.5,511.10501100000005,109163
2000-03-22,1155.0,1155.0,1095.0,1095.0,492.008606,115104
2000-03-23,1120.0,1125.0,1095.0,1110.0,498.74856600000004,87780
2000-03-24,1121.0,1125.0,1075.0,1087.5,488.638641,260896
2000-03-27,1097.0,1100.0,1050.0,1065.0,478.5289,686656
2000-03-28,1050.0,1106.0,1050.0,1095.0,492.008606,333178
2000-03-29,1103.0,1103.0,1065.0,1065.0,478.5289,287158
2000-03-30,1095.0,1095.0,1054.0,1070.0,480.77563499999997,101155
2000-03-31,1055.0,1090.0,1050.0,1065.0,478.5289,398248
2000-04-03,1050.0,1080.0,1020.0,1036.5,465.72323600000004,155888
2000-04-04,1004.0,1035.0,985.0,985.0,442.583099,95885
2000-04-05,960.0,965.0,900.0,917.5,412.253784,142275
2000-04-06,904.0,990.0,900.0,972.5,436.966675,206023
2000-04-07,986.0,1015.0,960.0,997.5,448.19976799999995,890314
2000-04-10,1000.0,1040.0,992.0,1035.0,465.04925499999996,720801
2000-04-11,1025.0,1050.0,1015.0,1032.5,463.926025,118545
2000-04-12,1047.0,1047.0,985.0,1002.5,450.44635,766486
2000-04-13,984.0,1006.0,965.0,980.0,440.336609,345828
2000-04-14,981.0,1000.0,965.0,982.5,441.459839,1008678
2000-04-17,920.0,935.0,889.599976,917.5,412.253784,96854
2000-04-18,940.0,991.0,929.0,982.5,441.459839,443749
2000-04-19,1005.0,1010.0,979.5,995.0,447.076416,292208
2000-04-20,1000.0,1010.0,984.0,995.0,447.076416,263835
2000-04-21,995.0,995.0,995.0,995.0,447.076416,0
2000-04-24,995.0,995.0,995.0,995.0,447.076416,0
2000-04-25,1006.0,1010.0,975.0,992.5,445.953094,116200
2000-04-26,975.0,1010.0,975.0,992.5,445.953094,46543
2000-04-27,1006.0,1010.0,975.0,995.0,447.076416,128033
2000-04-28,1010.0,1010.0,980.0,995.0,447.076416,288168
2000-05-01,995.0,995.0,995.0,995.0,447.076416,0
2000-05-02,983.0,1015.0,970.0,990.0,444.829742,369083
2000-05-03,969.0,995.0,964.0,980.0,440.336609,173629
2000-05-04,982.5,995.0,970.0,982.5,441.459839,242337
2000-05-05,1010.0,1016.0,979.0,1002.5,450.44635,126158
2000-05-08,989.0,1021.0,986.5,1007.5,452.69302400000004,1230794
2000-05-09,1026.0,1066.0,1010.0,1057.5,475.159058,565489
2000-05-10,1050.0,1065.0,1015.0,1032.5,463.926025,295010
2000-05-11,1010.0,1035.0,975.0,990.0,444.829742,528561
2000-05-12,1000.0,1005.0,972.0,987.5,443.70657300000005,29142
