Date,Open,High,Low,Close,Adj Close,Volume
2017-09-29,238.0,245.0,230.0,240.0,238.151825,12645189
2017-10-02,239.0,242.0,230.0,237.0,235.174927,2565088
2017-10-03,236.0,238.75,235.0,238.0,236.16722099999998,1312834
2017-10-04,238.0,238.059998,232.5,233.0,231.20573399999998,412311
2017-10-05,233.25,235.625,232.5,234.0,232.198029,157973
2017-10-06,234.5,234.5,230.75,232.5,230.709579,306184
2017-10-09,232.25,233.5,231.75,233.5,231.70187400000003,486939
2017-10-10,233.75,238.0,230.0,238.0,236.16722099999998,179299
2017-10-11,238.0,244.0,237.0,244.0,242.121017,290834
2017-10-12,238.0,239.0,235.5,237.5,235.67108199999998,340446
2017-10-13,237.75,248.25,237.5,246.0,244.10562099999999,1672661
2017-10-16,246.25,246.5,242.25,244.5,242.617172,653899
2017-10-17,244.75,244.75,235.5,237.25,235.423004,459713
2017-10-18,237.0,240.0,233.0,240.0,238.151825,677003
2017-10-19,235.25,240.25,235.0,235.0,233.190323,161213
2017-10-20,235.0,236.75,235.0,236.5,234.678772,44500
2017-10-23,235.75,237.75,235.0,236.0,234.18263199999998,50906
2017-10-24,235.0,236.75,231.25,236.0,234.18263199999998,422921
2017-10-25,235.0,236.0,231.25,234.0,232.198029,89669
2017-10-26,235.0,235.0,227.5,228.75,226.98844900000003,544640
2017-10-27,229.0,230.75,227.5,229.0,227.23652599999997,154339
2017-10-30,230.0,232.0,229.0,230.0,228.228836,78903
2017-10-31,229.25,231.25,229.25,230.25,228.476898,66165
2017-11-01,230.75,232.5,228.100006,232.25,230.461502,154618
2017-11-02,230.0,235.0,230.0,234.0,232.198029,485961
2017-11-03,235.0,235.0,231.5,232.0,230.213425,393825
2017-11-06,234.0,235.33999599999999,230.25,233.25,231.45379599999998,790572
2017-11-07,233.0,235.0,232.0,233.0,231.20573399999998,159670
2017-11-08,237.0,240.0,235.0,238.0,236.16722099999998,303840
2017-11-09,235.0,240.5,234.0,239.0,237.159515,233851
2017-11-10,238.0,240.0,237.25,238.75,236.91145299999997,144420
2017-11-13,240.0,243.0,235.0,238.5,236.66337599999997,186407
2017-11-14,236.0,238.75,236.0,236.0,234.18263199999998,126694
2017-11-15,243.0,243.0,235.25,235.25,233.4384,172357
2017-11-16,237.0,238.0,234.75,234.75,232.942245,51777
2017-11-17,235.0,238.0,234.75,235.5,233.68647799999997,216840
2017-11-20,234.0,236.25,234.0,235.5,233.68647799999997,37452
2017-11-21,230.0,237.5,230.0,235.5,233.68647799999997,72400
2017-11-22,235.0,237.0,230.5,235.0,233.190323,373247
2017-11-23,232.25,236.5,231.0,235.0,233.190323,166735
2017-11-24,235.0,239.5,230.0,235.0,233.190323,215311
2017-11-27,232.75,242.0,232.75,237.5,235.67108199999998,513744
2017-11-28,235.0,240.5,235.0,237.0,235.174927,532509
2017-11-29,236.0,240.0,236.0,238.0,236.16722099999998,434938
2017-11-30,242.0,244.0,239.0,242.0,240.136414,506005
2017-12-01,241.25,252.75,241.0,249.0,247.08252000000002,509897
2017-12-04,251.0,257.25,249.25,257.0,255.02090499999997,701155
2017-12-05,255.0,263.75,253.0,262.0,259.982391,434792
2017-12-06,256.75,265.0,253.0,260.75,258.742035,498571
2017-12-07,261.0,263.0,255.0,257.0,255.02090499999997,602858
2017-12-08,261.5,261.75,257.0,259.5,257.501648,363992
2017-12-11,259.5,259.5,253.0,256.75,254.772827,211525
2017-12-12,259.5,259.5,252.75,254.75,252.788239,432815
2017-12-13,259.0,259.0,252.25,258.0,256.013214,779208
2017-12-14,258.0,261.25,256.0,256.75,254.772827,470858
2017-12-15,255.0,255.0,247.0,251.0,249.06710800000002,3791138
2017-12-18,255.0,255.0,246.0,252.0,250.05941800000002,202469
2017-12-19,252.25,261.0,249.0,258.0,256.013214,605665
2017-12-20,263.0,263.0,259.25,261.25,259.23819,56371
2017-12-21,270.0,271.5,261.25,268.0,265.936188,269288
2017-12-22,270.0,279.0,269.0,276.5,274.370758,215678
2017-12-27,279.75,281.25,271.25,277.5,275.363037,134482
2017-12-28,283.25,292.25,280.0,288.25,286.030273,322885
2017-12-29,286.5,287.25,282.0,282.25,280.076477,71009
2018-01-02,281.0,289.5,275.0,277.5,275.363037,270673
2018-01-03,280.0,300.0,279.5,293.5,291.23983799999996,547574
2018-01-04,292.5,297.5,288.0,289.0,286.774475,234894
2018-01-05,285.5,289.0,283.0,285.0,282.805298,242459
2018-01-08,284.0,285.0,283.0,285.0,282.805298,305665
2018-01-09,285.0,285.0,280.0,282.0,279.8284,211361
2018-01-10,280.0,283.5,278.5,282.0,279.8284,351023
2018-01-11,280.0,285.0,280.0,282.0,279.8284,351646
2018-01-12,282.0,285.0,282.0,285.0,282.805298,364702
2018-01-15,285.0,288.5,282.5,287.5,285.286041,2008324
2018-01-16,285.5,290.0,285.5,289.0,286.774475,2076014
2018-01-17,289.5,295.0,288.5,292.0,289.751373,737506
2018-01-18,293.5,301.0,291.5,300.0,297.689789,522166
2018-01-19,300.0,311.5,299.5,308.5,306.124329,734144
2018-01-22,305.0,320.5,305.0,318.0,315.551178,1558086
2018-01-23,320.0,320.0,306.5,308.0,305.628174,156224
