Date,Open,High,Low,Close,Adj Close,Volume
2001-01-01,8.89,8.89,8.89,8.89,8.738385000000001,0
2001-01-02,8.855,8.93,8.855,8.89,8.738385000000001,8086
2001-01-03,8.875,8.9,8.82,8.85,8.699067999999999,5427
2001-01-04,8.95,8.95,8.83,8.875,8.723641,13180
2001-01-05,8.83,8.875,8.83,8.875,8.723641,368388
2001-01-08,8.92,8.95,8.77,8.825,8.674494000000001,6835
2001-01-09,8.77,8.83442,8.75,8.8,8.649921,9987
2001-01-10,8.78,8.78,8.75,8.75,8.600773,1821
2001-01-11,8.68,8.775,8.67,8.725,8.5762,9600
2001-01-12,8.7468,8.8,8.68,8.75,8.600773,30833
2001-01-15,8.725,8.8,8.7,8.75,8.600773,27995
2001-01-16,8.775,8.8,8.7,8.775,8.625346,118002
2001-01-17,8.75,8.98,8.75,8.95,8.797362,43854
2001-01-18,9.0,9.05,8.93,8.99,8.83668,23983
2001-01-19,9.025,9.03,8.93,8.99,8.83668,1106
2001-01-22,9.025,9.15,9.0,9.1,8.944804,19755
2001-01-23,9.18,9.3,9.18,9.3,9.141394,10000
2001-01-24,9.26,9.4,9.26,9.325,9.165966000000001,20615
2001-01-25,9.325,9.38,9.3,9.35,9.190541,18418
2001-01-26,9.32,9.39,9.31,9.35,9.190541,16959
2001-01-29,9.325,9.375,9.315339999999999,9.35,9.190541,6950
2001-01-30,9.32,9.4,9.32,9.35,9.190541,27143
2001-01-31,9.37,9.37,9.1625,9.175,9.018525,30142
2001-02-01,9.175,9.175,8.82,8.85,8.699067999999999,2332
2001-02-02,8.875,8.88,8.75,8.775,8.625346,395098
2001-02-05,8.77,8.795,8.76,8.775,8.625346,29382
2001-02-06,8.77,8.77,8.65,8.7,8.551625,368474
2001-02-07,8.7,8.7,8.6,8.65,8.502479,565103
2001-02-08,8.6825,8.775,8.645,8.775,8.625346,241849
2001-02-09,8.7875,8.8,8.7625,8.775,8.625346,13925
2001-02-12,8.75,8.85,8.75,8.815,8.664664,71471
2001-02-13,8.88,9.05,8.82,8.985,8.831764,45522
2001-02-14,9.0,9.025,8.92,8.985,8.831764,61050
2001-02-15,8.92,9.0,8.87,8.9,8.748215,10584
2001-02-16,8.925,8.93,8.85,8.9,8.748215,5910
2001-02-19,8.82,8.9,8.82,8.85,8.699067999999999,10746
2001-02-20,8.88,8.88,8.8,8.85,8.699067999999999,11600
2001-02-21,8.77,8.77,8.625,8.65,8.502479,116721
2001-02-22,8.625,8.65,8.5,8.55,8.404183,45115
2001-02-23,8.52,8.56,8.505,8.525,8.379610000000001,42058
2001-02-26,8.425,8.5,8.425,8.475,8.330464,21165
2001-02-27,8.6,8.63,8.53,8.575,8.428758,67881
2001-02-28,8.55,8.6,8.55,8.565,8.418927,43327
2001-03-01,8.55,8.55,8.445,8.45,8.305889,7497
2001-03-02,8.405,8.4375,8.225,8.225,8.084727,34812
2001-03-05,8.225,8.225,8.1,8.125,7.986432000000001,20373
2001-03-06,8.1375,8.32,8.1375,8.275,8.133874,28409
2001-03-07,8.2,8.275,8.2,8.275,8.133874,5103
2001-03-08,8.23,8.35,8.23,8.3,8.158447,20726
2001-03-09,8.33,8.33,8.27,8.3,8.158447,3714
2001-03-12,8.35,8.35,8.25,8.25,8.109301,222049
2001-03-13,8.0,8.25,8.0,8.175,8.03558,130259
2001-03-14,8.22,8.22,7.95,8.0,7.863564,68227
2001-03-15,7.95,8.03,7.95,8.0,7.863564,6094
2001-03-16,8.0,8.05,7.95,7.985,7.84882,42671
2001-03-19,7.985,8.0,7.9,7.95,7.814417,12336
2001-03-20,7.93,8.04,7.93,8.0,7.863564,211201
2001-03-21,7.9,7.95,7.9,7.925,7.789842999999999,15686
2001-03-22,7.8,7.8,7.75,7.75,7.617828,4550
2001-03-23,7.82,7.845,7.7,7.775,7.6424009999999996,44641
2001-03-26,7.75,7.82,7.71,7.775,7.6424009999999996,30615
2001-03-27,7.73,7.825,7.73,7.8,7.666975,4902
2001-03-28,7.8,8.0,7.8,7.85,7.716122,33985
2001-03-29,7.875,8.02,7.87,7.975,7.838989999999999,13402
2001-03-30,7.975,7.975,7.975,7.975,7.838989999999999,20500
2001-04-02,8.02,8.03,7.975,7.975,7.838989999999999,5733
2001-04-03,7.93,7.95,7.85,7.9,7.765269,50577
2001-04-04,7.8625,7.875,7.8,7.875,7.740696000000001,217049
2001-04-05,7.86,7.8875,7.85,7.875,7.740696000000001,4082
2001-04-06,7.9375,8.0,7.9,8.0,7.863564,31450
2001-04-09,7.965,8.0,7.961,8.0,7.863564,13622
2001-04-10,8.05,8.13,8.03,8.075,7.937285,8740
2001-04-11,8.05,8.2,8.05,8.125,7.986432000000001,8273
2001-04-12,8.07,8.18,8.07,8.125,7.986432000000001,4039
2001-04-17,8.065,8.15,8.05,8.125,7.986432000000001,17501
2001-04-18,8.125,8.3,8.125,8.25,8.109301,41355
2001-04-19,8.325,8.34,8.3,8.325,8.183022,4423
2001-04-20,8.37,8.4,8.3,8.4,8.256742,166994
2001-04-23,8.425,8.425,8.37,8.4,8.256742,4100
2001-04-24,8.375,8.45,8.35,8.4,8.256742,38211
2001-04-25,8.4,8.425,8.375,8.4,8.256742,7687
2001-04-26,8.47,8.6,8.47,8.56,8.414014,19733
2001-04-27,8.54,8.58,8.525,8.55,8.404183,6760
2001-04-30,8.525,8.65,8.5,8.6,8.453332000000001,53300
2001-05-01,8.57,8.7,8.55,8.625,8.477903999999999,62845
2001-05-02,8.6375,8.675,8.6375,8.675,8.527052000000001,35096
2001-05-03,8.64,8.72,8.64,8.67,8.522138,45761
2001-05-04,8.6,8.67,8.6,8.67,8.522138,4265
2001-05-08,8.62,8.7,8.62,8.685,8.536882,60830
