Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,542.5,542.5,542.5,542.5,403.935272,0
2000-01-04,542.5,542.5,542.5,542.5,403.935272,0
2000-01-05,540.0,540.0,540.0,540.0,402.073761,464722
2000-01-06,540.0,540.0,540.0,540.0,402.073761,62866
2000-01-07,537.5,537.5,537.5,537.5,400.212311,24933
2000-01-10,537.5,537.5,537.5,537.5,400.212311,137580
2000-01-11,537.5,537.5,537.5,537.5,400.212311,960
2000-01-12,534.0,534.0,534.0,534.0,397.60641499999997,187697
2000-01-13,531.5,531.5,531.5,531.5,395.744843,10900
2000-01-14,531.5,531.5,531.5,531.5,395.744843,500
2000-01-17,531.5,531.5,531.5,531.5,395.744843,275150
2000-01-18,531.5,531.5,531.5,531.5,395.744843,106623
2000-01-19,531.5,531.5,531.5,531.5,395.744843,337289
2000-01-20,530.5,530.5,530.5,530.5,395.000275,12725
2000-01-21,526.0,526.0,526.0,526.0,391.649628,46000
2000-01-24,526.0,526.0,526.0,526.0,391.649628,0
2000-01-25,522.5,522.5,522.5,522.5,389.043671,136273
2000-01-26,519.0,519.0,519.0,519.0,386.437592,5531
2000-01-27,519.0,519.0,519.0,519.0,386.437592,145500
2000-01-28,519.0,519.0,519.0,519.0,386.437592,40000
2000-01-31,517.5,517.5,517.5,517.5,385.32074,25100
2000-02-01,514.0,514.0,514.0,514.0,382.714722,33125
2000-02-02,512.5,512.5,512.5,512.5,381.59787,2364
2000-02-03,512.5,512.5,512.5,512.5,381.59787,5000
2000-02-04,511.5,511.5,511.5,511.5,380.85321,970
2000-02-07,511.5,511.5,511.5,511.5,380.85321,1000
2000-02-08,511.5,511.5,511.5,511.5,380.85321,6050
2000-02-09,508.5,508.5,508.5,508.5,378.61953700000004,105923
2000-02-10,506.5,506.5,506.5,506.5,377.13037099999997,0
2000-02-11,505.0,505.0,505.0,505.0,376.013519,39000
2000-02-14,503.5,503.5,503.5,503.5,374.896606,37784
2000-02-15,501.0,501.0,501.0,501.0,373.035187,0
2000-02-16,501.0,501.0,501.0,501.0,373.035187,0
2000-02-17,501.0,501.0,501.0,501.0,373.035187,32830
