Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,92.5,92.5,92.5,92.5,21.135138,0
2000-01-04,94.0,94.0,90.0,92.0,21.020899,47000
2000-01-05,87.5,90.0,87.5,89.5,20.449679999999997,35600
2000-01-06,88.0,90.0,88.0,89.5,20.449679999999997,7730
2000-01-07,89.5,92.0,89.5,90.5,20.678167000000002,28088
2000-01-10,88.5,92.0,88.5,90.5,20.678167000000002,25500
2000-01-11,92.5,92.5,90.5,90.5,20.678167000000002,5000
2000-01-12,92.0,92.5,91.0,91.0,20.792406,103000
2000-01-13,92.0,92.0,91.0,91.0,20.792406,10000
2000-01-14,92.5,107.5,92.5,104.0,23.762753,419304
2000-01-17,104.5,107.5,104.0,106.0,24.219727,207700
2000-01-18,104.5,107.0,104.5,106.0,24.219727,106036
2000-01-19,102.5,104.5,102.5,104.0,23.762753,82556
2000-01-20,105.0,105.0,100.0,101.5,23.191532000000002,316000
2000-01-21,101.5,101.5,97.5,99.0,22.620316,30308
2000-01-24,101.5,101.5,97.0,99.0,22.620316,7000
2000-01-25,97.0,100.0,96.5,99.5,22.734560000000002,43000
2000-01-26,100.5,104.0,98.5,102.0,23.305775,178390
2000-01-27,100.5,102.0,100.5,102.0,23.305775,11068
2000-01-28,100.0,104.0,100.0,102.0,23.305775,103862
2000-01-31,102.0,102.5,101.5,101.5,23.191532000000002,13160
2000-02-01,99.0,101.0,99.0,101.0,23.077284,240000
2000-02-02,101.5,101.5,97.5,99.5,22.734560000000002,66724
2000-02-03,99.0,101.5,99.0,100.5,22.963047,82200
2000-02-04,101.5,101.5,99.5,100.5,22.963047,61480
2000-02-07,99.0,101.5,99.0,100.5,22.963047,59220
2000-02-08,99.0,101.5,99.0,99.5,22.734560000000002,16400
2000-02-09,98.0,99.5,97.5,99.5,22.734560000000002,2250
2000-02-10,97.5,98.5,97.5,98.5,22.506071,30000
2000-02-11,98.5,98.5,98.5,98.5,22.506071,30000
2000-02-14,97.0,98.5,96.5,98.5,22.506071,56022
2000-02-15,98.5,98.5,98.5,98.5,22.506071,0
2000-02-16,96.0,98.0,95.0,98.0,22.391821,242600
2000-02-17,96.5,98.0,96.5,97.5,22.277576,5968
2000-02-18,96.5,97.0,95.0,97.0,22.163339999999998,205792
2000-02-21,93.5,95.0,93.5,95.0,21.706357999999998,36000
2000-02-22,95.0,95.0,95.0,95.0,21.706357999999998,28000
2000-02-23,96.0,96.0,95.0,95.0,21.706357999999998,10000
2000-02-24,92.5,94.5,92.5,94.5,21.592115,38000
2000-02-25,94.5,94.5,94.5,94.5,21.592115,38000
2000-02-28,95.5,96.5,92.5,94.5,21.592115,422000
2000-02-29,94.5,95.0,94.5,94.5,21.592115,20136
2000-03-01,94.5,94.5,94.5,94.5,21.592115,0
2000-03-02,94.5,96.0,94.5,94.5,21.592115,36090
2000-03-03,96.5,98.5,93.5,97.0,22.163339999999998,138000
2000-03-06,95.5,98.0,95.5,97.0,22.163339999999998,3032
2000-03-07,98.5,98.5,96.0,97.0,22.163339999999998,37000
2000-03-08,95.0,97.5,95.0,97.5,22.277576,449834
2000-03-09,97.0,97.5,97.0,97.5,22.277576,7746
2000-03-10,97.5,97.5,97.5,97.5,22.277576,7746
2000-03-13,95.5,98.0,95.5,97.0,22.163339999999998,10600
2000-03-14,95.0,98.5,95.0,97.0,22.163339999999998,8400
2000-03-15,97.0,97.0,97.0,97.0,22.163339999999998,0
2000-03-16,98.5,98.5,95.0,96.0,21.934853,165536
2000-03-17,96.0,96.0,96.0,96.0,21.934853,9952
2000-03-20,98.0,98.0,93.5,96.0,21.934853,34952
2000-03-21,98.0,98.0,96.0,96.0,21.934853,6
2000-03-22,94.0,95.5,93.5,95.5,21.820598999999998,139166
2000-03-23,95.5,97.5,93.5,95.5,21.820598999999998,284220
2000-03-24,95.5,95.5,95.5,95.5,21.820598999999998,284220
2000-03-27,94.0,95.0,93.5,95.0,21.706357999999998,12944
2000-03-28,93.5,95.0,92.0,92.5,21.135138,1034016
2000-03-29,92.0,92.0,90.0,92.0,21.020899,20414
2000-03-30,92.0,92.0,89.0,91.0,20.792406,13620
2000-03-31,88.5,91.5,87.5,91.5,20.906651,2642452
2000-04-03,90.0,92.0,90.0,91.5,20.906651,251400
2000-04-04,88.5,88.5,88.5,88.5,20.221188,4000
2000-04-05,84.0,89.0,84.0,89.0,20.335434,28308
2000-04-06,88.5,89.5,87.5,89.0,20.335434,902536
2000-04-07,90.0,90.0,88.0,88.0,20.106942999999998,7200
2000-04-10,86.0,88.0,86.0,88.0,20.106942999999998,11000
2000-04-11,87.0,87.0,87.0,87.0,19.878452,174060
2000-04-12,88.0,88.0,87.0,87.0,19.878452,13500
2000-04-13,88.0,88.5,87.5,88.5,20.221188,124000
2000-04-14,87.5,89.0,87.5,88.5,20.221188,52584
2000-04-17,82.5,96.0,82.5,96.0,21.934853,25954
2000-04-18,52.25,52.5,51.25,52.0,11.881376,136900
2000-04-19,51.25,51.25,50.25,51.25,11.710011999999999,49200
2000-04-20,50.0,51.25,50.0,51.25,11.710011999999999,20
2000-04-21,51.25,51.25,51.25,51.25,11.710011999999999,0
2000-04-24,51.25,51.25,51.25,51.25,11.710011999999999,0
2000-04-25,50.0,51.25,50.0,51.25,11.710011999999999,42780
2000-04-26,50.0,51.25,50.0,51.0,11.652887,59352
2000-04-27,50.25,51.0,50.0,51.0,11.652887,55948
2000-04-28,49.25,49.75,49.25,49.75,11.367280000000001,22700
2000-05-01,49.75,49.75,49.75,49.75,11.367280000000001,0
2000-05-02,48.75,50.5,48.75,49.75,11.367280000000001,56116
2000-05-03,48.75,50.25,48.75,49.75,11.367280000000001,6168
2000-05-04,49.75,49.75,49.75,49.75,11.367280000000001,130464
2000-05-05,49.75,49.75,49.75,49.75,11.367280000000001,130464
2000-05-08,50.25,50.5,49.0,49.0,11.195910000000001,7632
2000-05-09,48.5,48.5,47.5,48.5,11.081669999999999,26000
2000-05-10,48.5,48.5,48.5,48.5,11.081669999999999,0
2000-05-11,48.5,48.5,48.5,48.5,11.081669999999999,0
2000-05-12,48.5,48.5,48.5,48.5,11.081669999999999,0
2000-05-15,49.0,49.25,48.5,48.5,11.081669999999999,3116
2000-05-16,49.0,49.0,47.5,48.5,11.081669999999999,148400
2000-05-17,49.25,49.25,47.25,48.0,10.967426,24000
2000-05-18,47.0,47.75,46.75,47.75,10.910299,51480
2000-05-19,48.0,48.0,47.75,47.75,10.910299,200872
2000-05-22,46.75,47.5,45.75,46.5,10.624695,1236704
2000-05-23,46.75,46.75,45.0,46.0,10.510449000000001,6268
2000-05-24,45.0,45.75,45.0,45.75,10.453325,3000
2000-05-25,45.75,45.75,45.0,45.75,10.453325,9044
2000-05-26,45.25,45.75,45.0,45.75,10.453325,89008
2000-05-29,45.75,45.75,45.75,45.75,10.453325,0
2000-05-30,44.25,45.0,43.75,44.5,10.755446000000001,199172
2000-05-31,43.75,44.5,43.75,44.5,10.755446000000001,5907508
2000-06-01,44.5,45.0,44.25,44.5,10.755446000000001,189000
2000-06-02,42.5,43.75,42.5,43.75,10.574173,196000
2000-06-05,45.0,45.0,44.75,44.75,10.815871000000001,3115268
2000-06-06,46.0,50.25,45.25,48.75,11.782649000000001,381896
2000-06-07,50.5,50.5,49.5,50.0,12.084769999999999,245900
2000-06-08,50.5,50.5,49.5,50.0,12.084769999999999,2832800
2000-06-09,51.25,52.25,51.25,52.25,12.628586,393044
2000-06-12,52.25,52.75,52.25,52.25,12.628586,360000
2000-06-13,51.25,52.25,51.25,52.25,12.628586,1484
2000-06-14,51.25,52.25,51.25,52.25,12.628586,4
2000-06-15,52.25,52.25,51.25,52.0,12.568162,179824
2000-06-16,52.25,52.25,52.25,52.25,12.628586,219824
2000-06-19,52.0,52.25,52.0,52.25,12.628586,4000
2000-06-20,52.25,53.0,51.75,52.5,12.689009,4705208
2000-06-21,52.0,52.5,52.0,52.5,12.689009,8000
2000-06-22,52.75,53.0,51.75,52.5,12.689009,70200
2000-06-23,52.25,52.25,52.25,52.25,12.628586,6400
2000-06-26,52.75,52.75,52.25,52.25,12.628586,2944
2000-06-27,53.0,53.0,52.25,52.25,12.628586,201132
2000-06-28,53.5,53.5,52.0,52.5,12.689009,133552
2000-06-29,52.75,52.75,52.5,52.5,12.689009,2200
2000-06-30,52.5,52.75,52.5,52.5,12.689009,243732
2000-07-03,52.25,52.75,52.25,52.5,12.689009,10944
2000-07-04,53.5,53.5,52.5,53.25,12.870282000000001,804000
2000-07-05,52.75,53.5,52.5,53.0,12.809855,17744
2000-07-06,52.5,53.5,52.5,53.0,12.809855,9740
2000-07-07,53.0,53.0,52.5,53.0,12.809855,42980
2000-07-10,53.0,53.25,53.0,53.0,12.809855,1184012
2000-07-11,52.0,52.0,52.0,52.0,12.568162,23200
2000-07-12,51.25,51.5,51.0,51.5,12.447311000000001,22660
2000-07-13,50.75,51.0,50.0,50.75,12.266043,70000
2000-07-14,50.25,50.75,50.0,50.75,12.266043,85200
2000-07-17,50.75,50.75,50.0,50.0,12.084769999999999,10160
2000-07-18,51.25,51.25,50.75,50.75,12.266043,20000
2000-07-19,51.25,51.25,50.0,50.75,12.266043,94916
2000-07-20,50.25,50.25,49.75,49.75,12.024347,2676
2000-07-21,50.25,50.25,48.75,49.75,12.024347,143600
2000-07-24,48.75,49.75,48.75,49.75,12.024347,35800
2000-07-25,50.5,50.5,50.5,50.5,12.205615,11716
2000-07-26,49.0,49.0,49.0,49.0,11.843074,8000
2000-07-27,49.75,49.75,49.75,49.75,12.024347,15200
2000-07-28,49.25,49.25,48.0,49.25,11.9035,284000
2000-07-31,49.25,49.25,48.0,49.25,11.9035,284000
2000-08-01,49.25,49.25,48.5,49.25,11.9035,42000
2000-08-02,50.5,50.5,49.25,49.25,11.9035,44600
2000-08-03,48.25,49.25,48.25,49.25,11.9035,4000
2000-08-04,48.0,49.25,48.0,49.25,11.9035,15000
2000-08-07,48.0,49.25,48.0,49.25,11.9035,2000
2000-08-08,50.5,50.5,49.25,49.25,11.9035,3540
2000-08-09,48.0,50.5,48.0,49.25,11.9035,30728
2000-08-10,49.5,49.5,48.5,49.0,11.843074,110000
2000-08-11,50.0,50.0,49.0,49.0,11.843074,8792
2000-08-14,49.0,49.0,48.0,49.0,11.843074,40400
