Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,685.5,685.5,685.5,685.5,256.641479,0
2000-01-04,716.0,716.0,655.0,680.0,254.58230600000002,210031
2000-01-05,655.0,694.0,655.0,670.0,250.83845499999998,304958
2000-01-06,677.0,685.0,670.0,677.0,253.459137,643956
2000-01-07,686.0,690.0,668.5,686.5,257.01577799999995,269730
2000-01-10,706.0,706.0,670.5,685.0,256.454224,509080
2000-01-11,670.0,703.0,670.5,698.5,261.508423,768484
2000-01-12,690.0,701.0,670.0,670.0,250.83845499999998,1071248
2000-01-13,669.0,681.0,665.0,672.0,251.58715800000002,286938
2000-01-14,680.0,700.0,674.0,700.0,262.070038,470995
2000-01-17,698.0,708.0,670.0,702.0,262.818787,486600
2000-01-18,695.0,712.5,695.0,703.0,263.193207,127969
2000-01-19,704.5,729.5,702.5,729.5,273.114441,628137
2000-01-20,720.799988,731.0,715.0,715.0,267.685791,1343157
2000-01-21,715.0,718.5,707.0,712.0,266.562683,1313991
2000-01-24,711.0,714.0,699.5,710.0,265.813904,306558
2000-01-25,700.0,700.0,696.0,696.0,260.572449,343118
2000-01-26,693.0,710.0,693.0,699.5,261.88284300000004,860896
2000-01-27,700.0,720.0,696.0,720.0,269.557709,960281
2000-01-28,720.0,776.0,720.0,759.5,284.346008,936051
2000-01-31,735.0,770.0,733.0,743.0,278.16861,406717
2000-02-01,737.700012,750.0,700.0,710.0,265.813904,333324
2000-02-02,704.5,730.0,695.0,706.0,264.316315,1163676
2000-02-03,701.0,708.0,689.0,690.0,258.32617200000004,651824
2000-02-04,690.0,720.0,690.0,701.0,262.44439700000004,868058
2000-02-07,713.0,723.799988,704.0,720.0,269.557709,1021277
2000-02-08,720.0,727.5,695.0,700.0,262.070038,521820
2000-02-09,697.5,708.0,685.0,685.0,256.454224,768442
2000-02-10,718.0,718.0,620.0,642.0,240.355606,573074
2000-02-11,669.0,669.0,615.0,645.0,241.478775,351443
