Date,Open,High,Low,Close,Adj Close,Volume
2000-01-28,5.9404699999999995,5.9404699999999995,5.9404699999999995,5.9404699999999995,4.88202,0
2000-01-31,5.8475,5.8475,5.8475,5.8475,4.805615,0
2000-02-28,5.8187,5.8187,5.8187,5.8187,4.781947,0
2000-02-29,5.9404,5.9404,5.9404,5.9404,4.881963,0
2000-03-30,6.14795,6.14795,6.14795,6.14795,5.052533,0
2000-03-31,6.1829,6.1829,6.1829,6.1829,5.081254,0
2000-04-28,6.1087,6.1087,6.1087,6.1087,5.020277,0
2000-05-30,6.037,6.037,6.037,6.037,4.9613510000000005,0
2000-05-31,6.0616,6.0616,6.0616,6.0616,4.981569,0
2000-06-29,6.0552,6.0552,6.0552,6.0552,4.976308,0
2000-06-30,6.1128,6.1128,6.1128,6.1128,5.023646,0
2000-07-28,6.2007,6.2007,6.2007,6.2007,5.095883000000001,0
2000-07-31,6.2514,6.2514,6.2514,6.2514,5.13755,0
2000-08-31,6.6404,6.6404,6.6404,6.6404,5.4572389999999995,0
2000-09-29,6.2819,6.2819,6.2819,6.2819,5.162616000000001,0
2000-10-31,6.3567,6.3567,6.3567,6.3567,5.224087,0
2000-11-30,6.0277,6.0277,6.0277,6.0277,4.953708,0
2000-12-29,6.0996,6.0996,6.0996,6.0996,5.012797,0
2001-01-01,5.37,5.37,5.37,5.37,4.413196,0
2001-01-02,5.3225,5.36,5.32,5.345,4.392649,20463
2001-01-03,5.3,5.32,5.265,5.265,4.326903,170921
2001-01-04,5.31,5.32,5.3,5.31,4.363885,444516
2001-01-05,5.33,5.34,5.295,5.305,4.359776,96502
2001-01-08,5.31,5.32,5.275,5.28,4.339231,168996
2001-01-09,5.295,5.3,5.24,5.26,4.322794,67194
2001-01-10,5.27,5.27,5.21,5.23,4.29814,171733
2001-01-11,5.2125,5.23,5.2,5.215,4.285811,667644
2001-01-12,5.21,5.3,5.21,5.25,4.314576000000001,204771
2001-01-15,5.23,5.29,5.23,5.28,4.339231,308242
2001-01-16,5.285,5.29,5.255,5.265,4.326903,137391
2001-01-17,5.26,5.33,5.25,5.32,4.372104,133591
2001-01-18,5.325,5.33,5.29,5.305,4.359776,437214
2001-01-19,5.31,5.37,5.3,5.345,4.392649,734962
2001-01-22,5.36,5.36,5.3,5.33,4.380321,207960
2001-01-23,5.31,5.33,5.29,5.31,4.363885,241544
