Date,Open,High,Low,Close,Adj Close,Volume
2018-03-16,454.0,454.0,430.0,437.0,437.0,503508
2018-03-19,430.0,435.0,420.0,420.0,420.0,87778
2018-03-20,420.0,426.0,419.5,419.5,419.5,23929
2018-03-21,420.0,420.0,419.5,420.0,420.0,147741
2018-03-22,415.0,420.0,415.0,420.0,420.0,277183
2018-03-23,420.0,430.0,418.0,418.0,418.0,310685
2018-03-26,420.0,437.5,415.0,428.0,428.0,289014
2018-03-27,436.0,436.5,420.0,429.5,429.5,125387
2018-03-28,428.0,428.0,426.0,428.0,428.0,2738
2018-03-29,428.0,430.0,428.0,428.0,428.0,72944
2018-04-03,430.0,430.0,430.0,430.0,430.0,11157
2018-04-04,430.0,430.0,420.0,424.0,424.0,21297
2018-04-05,420.0,450.0,417.0,434.0,434.0,125353
2018-04-06,432.0,448.5,418.0,435.0,435.0,222569
2018-04-09,438.0,439.0,410.0,435.0,435.0,72791
2018-04-10,435.0,435.0,420.0,432.0,432.0,678578
2018-04-11,430.0,440.0,411.0,440.0,440.0,556294
2018-04-12,440.0,447.0,417.0,435.0,435.0,731785
2018-04-13,440.0,441.0,435.0,441.0,441.0,21408
2018-04-16,442.0,450.0,434.0,450.0,450.0,61991
2018-04-17,448.0,458.0,448.0,458.0,458.0,186628
2018-04-18,460.0,460.0,458.0,460.0,460.0,96954
2018-04-19,470.5,470.5,455.0,455.0,455.0,226075
2018-04-20,475.0,475.0,470.0,470.0,470.0,38770
2018-04-23,465.0,472.0,462.0,469.0,469.0,61058
2018-04-24,470.0,470.0,434.0,468.0,468.0,76372
2018-04-25,468.5,469.0,433.5,465.0,465.0,1406780
2018-04-26,488.5,489.5,480.0,480.0,480.0,66730
2018-04-27,480.0,490.0,480.0,483.0,483.0,110785
2018-04-30,484.5,485.0,464.0,485.0,485.0,53869
2018-05-01,483.0,483.0,483.0,483.0,483.0,3447
2018-05-02,484.5,485.0,475.0,485.0,485.0,22627
2018-05-03,475.75,475.75,475.75,475.75,475.75,0
2018-05-04,477.5,480.0,465.5,480.0,480.0,13669
2018-05-08,480.0,480.0,465.5,480.0,480.0,824
2018-05-09,475.0,489.5,475.0,485.0,485.0,73025
2018-05-10,485.0,485.0,485.0,485.0,485.0,1397
2018-05-11,484.0,485.0,475.5,485.0,485.0,43965
2018-05-14,485.0,485.0,485.0,485.0,485.0,9619
2018-05-15,484.0,485.0,484.0,485.0,485.0,12558
2018-05-16,485.0,500.0,485.0,500.0,500.0,28927
2018-05-17,500.0,520.0,500.0,520.0,520.0,48694
2018-05-18,520.0,520.0,513.0,520.0,520.0,74028
2018-05-21,519.0,519.0,515.0,515.0,515.0,31069
2018-05-22,520.0,520.0,500.0,510.0,510.0,518869
2018-05-23,509.0,510.0,500.0,510.0,510.0,54186
2018-05-24,505.0,505.0,495.0,500.0,500.0,135744
2018-05-25,500.0,526.0,498.0,525.0,525.0,269095
2018-05-29,521.0,521.0,515.0,520.0,520.0,48696
2018-05-30,530.0,559.0,506.0,550.0,550.0,325602
2018-05-31,553.0,553.0,545.0,550.0,550.0,33681
2018-06-01,565.0,565.0,551.0,555.0,555.0,8734
2018-06-04,565.0,565.0,529.0,564.0,564.0,87264
2018-06-05,565.0,600.0,550.0,569.0,569.0,139149
2018-06-06,570.0,576.0,520.0,570.0,570.0,202770
2018-06-07,546.0,570.0,545.0,565.0,565.0,101057
2018-06-08,565.0,565.0,550.0,565.0,565.0,26451
2018-06-11,570.0,570.0,555.0,565.0,565.0,147572
2018-06-12,565.0,570.0,556.0,558.0,558.0,105580
2018-06-13,550.0,555.0,520.0,549.0,549.0,372613
2018-06-14,545.0,550.0,521.0,539.0,539.0,174389
2018-06-15,560.0,560.0,518.0,528.0,528.0,4647186
2018-06-18,531.0,531.0,512.0,524.0,524.0,29467
2018-06-19,500.0,527.0,500.0,508.0,508.0,77618
2018-06-20,515.0,515.0,500.0,500.0,500.0,29489
2018-06-21,503.0,506.0,469.5,493.5,493.5,162779
2018-06-22,471.0,510.0,471.0,494.5,494.5,230662
2018-06-25,482.5,506.0,480.0,500.0,500.0,238025
2018-06-26,501.0,510.0,500.0,510.0,510.0,69804
2018-06-27,502.0,526.0,502.0,520.0,520.0,166870
2018-06-28,572.0,572.0,500.0,515.0,515.0,42184
2018-06-29,505.0,542.0,505.0,532.0,532.0,36529
2018-07-02,542.0,547.0,520.0,536.0,536.0,30274
2018-07-03,525.0,539.0,525.0,525.0,525.0,34958
2018-07-04,539.0,539.0,503.0,518.0,518.0,16707
2018-07-05,520.0,520.0,515.0,515.0,515.0,36894
2018-07-06,529.0,531.0,515.0,523.0,523.0,18988
2018-07-09,575.0,575.0,540.0,550.0,550.0,34943
2018-07-10,538.0,550.0,538.0,548.0,548.0,14529
2018-07-11,545.0,545.0,530.0,533.0,533.0,8515
2018-07-12,533.0,539.0,530.0,530.0,530.0,18477
2018-07-13,530.0,532.0,515.0,517.0,517.0,18025
2018-07-16,527.0,552.0,507.0,526.0,526.0,29199
2018-07-17,525.0,541.0,521.0,535.0,535.0,25418
2018-07-18,543.0,550.0,529.0,550.0,550.0,26823
2018-07-19,550.0,550.0,530.0,539.0,539.0,12683
2018-07-20,520.0,551.0,520.0,551.0,551.0,42336
2018-07-23,532.0,545.0,532.0,537.0,537.0,5564
2018-07-24,525.0,544.0,525.0,531.0,531.0,6892
2018-07-25,520.0,542.0,515.0,516.0,516.0,27323
2018-07-26,535.0,535.0,520.0,530.0,530.0,7880832
2018-07-27,505.0,530.0,505.0,530.0,530.0,2528601
2018-07-30,530.0,530.0,505.0,507.0,507.0,3658537
2018-07-31,510.0,525.0,507.0,524.0,524.0,12128
2018-08-01,502.0,524.0,502.0,523.0,523.0,28449
2018-08-02,522.0,522.0,506.0,516.0,516.0,9035
2018-08-03,506.0,522.0,506.0,515.0,515.0,7526
2018-08-06,505.0,521.0,504.0,512.0,512.0,18026
2018-08-07,504.0,518.0,504.0,517.0,517.0,42377
2018-08-08,505.0,520.0,504.0,520.0,520.0,13398
2018-08-09,525.0,525.0,504.0,516.0,516.0,16792
2018-08-10,505.0,520.0,505.0,516.0,516.0,7112
2018-08-13,527.0,527.0,515.0,515.0,515.0,31303
2018-08-14,525.0,540.0,504.0,540.0,540.0,134716
2018-08-15,529.0,533.0,505.0,511.0,511.0,33990
2018-08-16,515.0,535.0,510.0,514.0,514.0,102582
2018-08-17,520.0,520.0,511.0,513.0,513.0,16018
2018-08-20,516.0,520.0,504.0,510.0,510.0,10240
2018-08-21,505.0,520.0,505.0,520.0,520.0,43492
2018-08-22,520.0,532.0,508.0,517.0,517.0,38126
2018-08-23,511.0,533.0,511.0,515.0,515.0,45006
2018-08-24,516.0,531.0,515.0,523.0,523.0,34138
2018-08-28,523.0,530.0,520.0,525.0,525.0,29422
2018-08-29,520.0,523.0,515.0,520.0,520.0,30912
2018-08-30,511.0,534.0,511.0,521.0,521.0,9991
2018-08-31,520.0,543.0,511.0,539.0,539.0,48308
2018-09-03,546.0,559.0,532.0,558.0,558.0,12463
2018-09-04,557.0,559.0,529.0,555.0,555.0,53669
2018-09-05,550.0,552.0,528.0,530.0,530.0,25014
2018-09-06,545.0,556.0,520.0,556.0,556.0,43205
2018-09-07,533.0,555.0,529.0,555.0,555.0,26575
2018-09-10,563.0,563.0,541.0,545.0,545.0,130951
2018-09-11,540.0,550.0,525.0,545.0,545.0,79440
2018-09-12,526.0,585.0,526.0,585.0,585.0,18629
2018-09-13,585.0,585.0,531.0,552.0,552.0,52652
2018-09-14,570.0,570.0,561.0,568.0,568.0,16670
2018-09-17,575.0,586.0,552.0,562.0,562.0,14756
2018-09-18,575.0,575.0,560.0,568.0,568.0,14012
2018-09-19,570.0,570.0,548.0,548.0,548.0,31457
2018-09-20,571.0,571.0,558.0,560.0,560.0,525130
2018-09-21,575.0,585.0,540.0,550.0,550.0,46792
2018-09-24,561.0,562.0,531.0,559.0,559.0,35196
2018-09-25,552.0,595.0,551.0,581.0,581.0,1092486
2018-09-26,590.0,600.0,582.0,590.0,590.0,1482018
2018-09-27,607.0,610.0,589.0,594.0,594.0,114461
2018-09-28,594.0,605.0,577.0,577.0,577.0,40307
2018-10-01,609.0,610.0,580.0,586.0,586.0,52668
2018-10-02,613.0,613.0,586.0,594.0,594.0,18236
2018-10-03,601.0,602.0,594.0,594.0,594.0,8805
2018-10-04,583.0,600.0,583.0,587.0,587.0,10603
2018-10-05,566.0,590.0,566.0,585.0,585.0,21206
2018-10-08,598.0,598.0,550.0,580.0,580.0,33843
2018-10-09,603.0,607.0,581.0,598.0,598.0,9885
2018-10-10,599.0,602.0,574.0,574.0,574.0,34701
2018-10-11,599.0,599.0,535.0,570.0,570.0,149414
2018-10-12,590.0,590.0,565.0,574.0,574.0,16227
2018-10-15,558.0,587.0,550.0,571.0,571.0,170173
2018-10-16,580.0,600.0,570.0,590.0,590.0,148158
2018-10-17,590.0,591.0,571.0,583.0,583.0,32036
2018-10-18,599.0,613.0,581.0,600.0,600.0,549117
2018-10-19,605.0,621.0,605.0,614.0,614.0,13963
2018-10-22,601.0,619.0,594.0,611.0,611.0,59275
2018-10-23,585.0,612.0,569.0,573.0,573.0,544449
2018-10-24,570.0,615.0,570.0,609.0,609.0,334433
2018-10-25,586.0,613.0,586.0,591.0,591.0,45460
2018-10-26,585.0,605.0,582.0,590.0,590.0,27599
2018-10-29,610.0,636.0,601.0,620.0,620.0,212035
2018-10-30,619.0,627.0,610.0,613.0,613.0,23967
2018-10-31,629.0,629.0,602.0,628.0,628.0,44941
2018-11-01,636.0,642.0,616.0,634.0,634.0,80389
2018-11-02,634.0,683.0,633.0,640.0,640.0,98081
2018-11-05,634.0,670.0,634.0,659.0,659.0,16368
2018-11-06,666.0,676.0,638.0,665.0,665.0,339643
2018-11-07,670.0,675.0,653.0,669.0,669.0,37750
2018-11-08,661.0,670.0,661.0,669.0,669.0,28804
2018-11-09,652.0,670.0,652.0,661.0,661.0,13564
2018-11-12,670.0,670.0,640.0,640.0,640.0,27822
2018-11-13,645.0,656.0,624.0,624.0,624.0,24518
2018-11-14,645.0,645.0,604.0,614.0,614.0,30895
2018-11-15,623.0,632.0,599.0,632.0,632.0,44501
2018-11-16,635.0,635.0,601.0,627.0,627.0,42618
2018-11-19,634.0,637.0,609.0,610.0,610.0,20793
2018-11-20,599.0,623.0,576.0,585.0,585.0,20554
2018-11-21,580.0,620.0,580.0,599.0,599.0,51354
2018-11-22,599.0,614.0,582.0,604.0,604.0,118120
2018-11-23,619.0,619.0,597.0,599.0,599.0,29816
2018-11-26,590.0,607.0,565.0,585.0,585.0,55195
2018-11-27,595.0,598.0,568.0,575.0,575.0,14280
2018-11-28,565.0,590.0,565.0,580.0,580.0,12690
2018-11-29,599.0,599.0,571.0,574.0,574.0,12083
2018-11-30,565.0,575.0,551.0,570.0,570.0,28665
2018-12-03,584.0,597.0,565.0,575.0,575.0,10356
2018-12-04,563.0,592.0,563.0,580.0,580.0,225452
2018-12-05,561.0,585.0,561.0,579.0,579.0,19187
2018-12-06,580.0,586.0,542.0,586.0,586.0,50311
2018-12-07,571.0,587.0,567.0,577.0,577.0,87866
2018-12-10,570.0,570.0,560.0,568.0,568.0,97225
2018-12-11,570.0,582.0,560.0,568.0,568.0,44763
2018-12-12,553.0,577.0,547.0,575.0,575.0,32485
2018-12-13,556.0,575.0,553.0,573.0,573.0,31023
2018-12-14,554.0,573.0,549.0,569.0,569.0,41905
2018-12-17,540.0,587.0,540.0,580.0,580.0,34420
2018-12-18,586.0,599.0,572.0,599.0,599.0,32523
2018-12-19,575.0,599.0,575.0,594.0,594.0,34114
2018-12-20,599.0,618.0,573.0,610.0,610.0,519076
2018-12-21,599.0,645.0,599.0,641.0,641.0,252295
2018-12-24,631.0,640.0,631.0,636.0,636.0,6153
2018-12-27,645.099976,665.200012,593.0,602.099976,602.099976,40448
2018-12-28,621.900024,622.0,604.0,622.0,622.0,25857
2018-12-31,622.0,628.299988,615.0,628.299988,628.299988,19592
2019-01-02,645.200012,665.900024,632.400024,655.0,655.0,146857
2019-01-03,657.0,681.0,646.099976,654.5,654.5,89806
2019-01-04,641.099976,655.0,626.200012,651.200012,651.200012,123591
2019-01-07,633.299988,669.900024,633.299988,650.0,650.0,24438
2019-01-08,649.0,659.0,635.099976,638.599976,638.599976,124348
2019-01-09,625.400024,641.0,625.400024,632.200012,632.200012,44176
2019-01-10,625.799988,635.0,622.0,622.0,622.0,41184
2019-01-11,618.0,638.5,618.0,634.799988,634.799988,28968
