Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,562.5,562.5,562.5,562.5,280.524658,0
2000-01-04,562.5,562.5,562.5,562.5,280.524658,0
2000-01-05,562.5,562.5,562.5,562.5,280.524658,5008
2000-01-06,562.5,562.5,562.5,562.5,280.524658,5008
2000-01-07,562.5,562.5,562.5,562.5,280.524658,5008
2000-01-10,562.5,562.5,562.5,562.5,280.524658,5008
2000-01-11,581.25,581.25,581.25,581.25,289.87548799999996,5008
2000-01-12,581.25,581.25,581.25,581.25,289.87548799999996,0
2000-01-13,615.625,615.625,615.625,615.625,307.018707,5008
2000-01-14,640.625,640.625,640.625,640.625,319.486481,0
2000-01-17,643.75,643.75,643.75,643.75,321.04492200000004,0
2000-01-18,643.75,643.75,643.75,643.75,321.04492200000004,0
2000-01-19,643.75,643.75,643.75,643.75,321.04492200000004,5008
2000-01-20,643.75,643.75,643.75,643.75,321.04492200000004,5008
2000-01-21,655.625,655.625,655.625,655.625,326.96722400000004,5008
2000-01-24,656.25,656.25,656.25,656.25,327.27880899999997,5008
2000-01-25,653.75,653.75,653.75,653.75,326.032013,5008
2000-01-26,653.75,653.75,653.75,653.75,326.032013,5008
2000-01-27,656.25,656.25,656.25,656.25,327.27880899999997,5008
2000-01-28,656.25,656.25,656.25,656.25,327.27880899999997,5008
2000-01-31,665.625,665.625,665.625,665.625,331.954254,5008
2000-02-01,693.75,693.75,693.75,693.75,345.980438,5008
2000-02-02,693.75,693.75,693.75,693.75,345.980438,6400
2000-02-03,700.0,700.0,700.0,700.0,349.097382,6400
2000-02-04,703.125,703.125,703.125,703.125,350.655914,6400
2000-02-07,731.25,731.25,731.25,731.25,364.68212900000003,160000
2000-02-08,731.25,731.25,731.25,731.25,364.68212900000003,160000
2000-02-09,734.375,734.375,734.375,734.375,366.24054,160000
2000-02-10,743.75,743.75,743.75,743.75,370.916016,160000
2000-02-11,745.0,745.0,745.0,745.0,371.539337,160000
2000-02-14,756.25,756.25,756.25,756.25,377.149872,160000
2000-02-15,806.25,806.25,806.25,806.25,402.08551,160000
