Date,Open,High,Low,Close,Adj Close,Volume
2005-06-06,230.0,253.0,229.0,232.0,152.73761000000002,15596115
2005-06-07,238.0,241.25,234.755997,240.75,158.498169,9666727
2005-06-08,242.0,242.0,237.5,239.5,157.675278,1375150
2005-06-09,241.0,244.75,239.5,243.0,159.979462,2836408
2005-06-10,239.0,245.0,234.0,240.0,158.004425,4500049
2005-06-13,237.0,239.30000299999998,234.0,235.25,154.877243,3722767
2005-06-14,234.25,235.0,227.0,228.5,150.43336499999998,3833174
2005-06-15,228.0,228.80000299999998,224.75,224.75,147.96456899999998,12345516
2005-06-16,228.25,228.25,224.0,225.5,148.458328,1128108
2005-06-17,226.5,227.5,222.5,222.5,146.483261,1479961
2005-06-20,225.5,225.75,222.0,224.5,147.79998799999998,3940014
2005-06-21,226.0,229.0,226.0,228.5,150.43336499999998,9011596
2005-06-22,228.75,233.0,228.75,230.0,151.42091399999998,6852096
2005-06-23,229.0,240.0,229.0,239.0,157.346054,4669479
2005-06-24,235.0,239.5,235.0,239.5,157.675278,3900970
2005-06-27,238.0,242.0,238.0,240.5,158.333588,4035875
2005-06-28,238.25,242.0,238.0,240.0,158.004425,3328533
2005-06-29,239.0,242.0,238.25,241.0,158.662766,3932737
2005-06-30,240.0,245.0,240.0,243.0,159.979462,4318054
2005-07-01,241.25,250.0,241.25,247.75,163.106644,5584642
2005-07-04,247.25,249.0,247.0,248.25,163.435806,3354023
2005-07-05,249.0,254.0,247.100006,253.0,166.562988,1293582
2005-07-06,252.0,255.0,250.5,251.25,165.410843,2473442
2005-07-07,251.0,252.75,236.25,246.0,161.95455900000002,438498
2005-07-08,247.75,250.0,244.25,244.25,160.802414,1200052
2005-07-11,246.5,246.5,238.0,240.0,158.004425,850925
2005-07-12,240.0,242.0,239.75,241.0,158.662766,1297427
2005-07-13,237.5,241.0,234.0,235.0,154.712646,1896715
2005-07-14,237.0,237.0,227.75,227.75,149.939606,2850409
2005-07-15,231.0,233.0,228.5,230.0,151.42091399999998,2645017
2005-07-18,231.25,231.25,227.100006,229.75,151.256302,1612318
2005-07-19,228.5,232.0,223.0,230.0,151.42091399999998,8912336
2005-07-20,229.0,240.0,226.0,240.0,158.004425,2416890
2005-07-21,241.0,241.0,236.0,240.0,158.004425,1507061
2005-07-22,238.0,244.75,238.0,242.5,159.650299,477045
2005-07-25,244.0,245.5,238.5,238.5,157.016937,575793
2005-07-26,240.0,240.0,230.0,232.75,153.231354,523021
2005-07-27,233.5,235.69999700000002,233.5,235.0,154.712646,1827355
2005-07-28,234.5,237.5,233.350006,236.75,155.864777,686332
2005-07-29,238.0,238.0,228.0,230.25,151.58551,1573201
2005-08-01,231.0,237.75,230.25,237.0,156.02934299999998,1534015
2005-08-02,237.0,241.75,235.0,241.75,159.156555,5903083
2005-08-03,241.0,244.0,238.0,244.0,160.63781699999998,2203042
2005-08-04,242.0,246.899994,242.0,246.25,162.119125,2939534
2005-08-05,246.0,250.0,243.0,250.0,164.587952,796440
2005-08-08,250.0,251.5,248.75,249.75,164.42335500000002,1700059
2005-08-09,247.5,251.899994,244.0,249.25,164.094147,1678303
