Date,Open,High,Low,Close,Adj Close,Volume
2000-01-31,3.3335,3.3335,3.3335,3.3335,3.164324,0
2000-02-29,3.6359,3.6359,3.6359,3.6359,3.4513769999999995,0
2000-03-31,3.4781,3.4781,3.4781,3.4781,3.3015849999999998,0
2000-04-28,3.2421,3.2421,3.2421,3.2421,3.077563,0
2000-05-31,3.1536,3.1536,3.1536,3.1536,2.993554,0
2000-06-30,3.3023,3.3023,3.3023,3.3023,3.1347080000000003,0
2000-07-31,3.2567,3.2567,3.2567,3.2567,3.091422,0
2000-08-31,3.4869,3.4869,3.4869,3.4869,3.309939,0
2000-09-29,3.3067,3.3067,3.3067,3.3067,3.1388849999999997,0
2000-10-31,3.117,3.117,3.117,3.117,2.958812,0
2000-11-30,2.9756,2.9756,2.9756,2.9756,2.8245880000000003,0
2000-12-29,3.0173,3.0173,3.0173,3.0173,2.864172,0
2001-01-01,2.51,2.51,2.51,2.51,2.3826169999999998,0
2001-01-02,2.51,2.52,2.51,2.5125,2.38499,10423
2001-01-03,2.52,2.52,2.495,2.505,2.377871,3032
2001-01-04,2.52753,2.54,2.525,2.53,2.401602,62475
2001-01-05,2.52,2.545,2.52,2.5325,2.403975,27917
2001-01-08,2.5275,2.545,2.525,2.535,2.406348,26096
2001-01-09,2.5325,2.55,2.53,2.5375,2.408721,51641
2001-01-10,2.545,2.55,2.53,2.53,2.401602,7174
2001-01-11,2.525,2.55,2.525,2.535,2.406348,117389
2001-01-12,2.545,2.55,2.525,2.5375,2.408721,22173
2001-01-15,2.55,2.58,2.55,2.565,2.4348259999999997,25657
2001-01-16,2.55,2.58,2.55,2.565,2.4348259999999997,38500
2001-01-17,2.58,2.59,2.56,2.5875,2.456184,97738
2001-01-18,2.58,2.6,2.58,2.59,2.458557,26809
2001-01-19,2.595,2.625,2.595,2.61,2.4775419999999997,41964
2001-01-22,2.6025,2.62,2.6,2.61,2.4775419999999997,11534
2001-01-23,2.605,2.635,2.605,2.62,2.487034,7003
2001-01-24,2.63,2.64,2.615,2.6325,2.4989,127361
2001-01-25,2.645,2.66,2.64,2.65,2.5155119999999997,22624
2001-01-26,2.66,2.66,2.645,2.6475,2.513139,7688
