Date,Open,High,Low,Close,Adj Close,Volume
2014-06-20,315.0,320.0,311.0,320.0,283.033569,2803872
2014-06-23,320.0,320.0,316.0,320.0,283.033569,22307
2014-06-24,320.0,320.0,315.0,317.0,280.380096,22319
2014-06-25,314.0,318.0,314.0,317.0,280.380096,40085
2014-06-26,315.0,317.0,315.0,316.0,279.495636,54602
2014-06-27,318.0,318.0,315.0,318.0,281.264587,50618
2014-06-30,318.0,318.0,318.0,318.0,281.264587,38068
2014-07-01,315.0,319.5,315.0,318.0,281.264587,1896
2014-07-02,320.0,328.0,315.0,328.0,290.109375,51228
2014-07-03,328.0,333.0,325.5,333.0,294.53179900000003,159405
2014-07-04,333.0,343.0,330.0,341.0,301.607666,225455
2014-07-07,341.0,348.0,340.5,348.0,307.799011,290360
2014-07-08,341.0,345.48098799999997,340.0,344.0,304.26110800000004,191657
2014-07-09,345.0,345.5,340.0,345.0,305.145538,990970
2014-07-10,340.0,345.5,332.03299,338.0,298.95419300000003,23762
2014-07-11,330.0,337.0,330.0,337.0,298.069733,120314
2014-07-14,330.0,337.0,327.0,337.0,298.069733,26725
2014-07-15,336.0,339.0,335.0,339.0,299.838684,70489
2014-07-16,340.0,340.0,329.0,337.0,298.069733,126660
2014-07-17,337.0,337.0,329.0,329.0,290.993896,499803
2014-07-18,337.0,337.0,333.0,337.0,298.069733,102274
2014-07-21,337.0,337.0,336.0,337.0,298.069733,8299
2014-07-22,337.0,337.0,333.0,335.0,296.300751,9056
2014-07-23,337.0,337.0,333.0,337.0,298.069733,109561
2014-07-24,337.0,337.0,329.0,329.0,290.993896,10595
2014-07-25,329.5,336.0,329.0,329.0,290.993896,668
2014-07-28,329.25,332.0,329.0,332.0,293.647339,90517
2014-07-29,330.5,334.0,330.25,332.0,293.647339,13183
2014-07-30,335.466003,335.466003,333.0,332.25,293.868439,469770
2014-07-31,329.0,335.0,329.0,333.5,294.97402999999997,1402
2014-08-01,333.0,335.0,331.0,331.5,293.20507799999996,548665
2014-08-04,334.0,334.0,333.0,332.5,294.089539,168107
2014-08-05,337.0,341.0,330.0,341.0,301.607666,17370
2014-08-06,341.0,348.0,337.5,346.5,306.47229,88109
2014-08-07,348.0,348.0,343.5,346.0,306.030029,136510
2014-08-08,344.75,347.5,342.5,347.5,307.356781,84782
2014-08-11,345.0,345.0,345.0,345.0,305.145538,1215
2014-08-12,344.75,347.5,344.5,345.0,305.145538,73035
2014-08-13,345.0,347.5,343.0,345.0,305.145538,87100
2014-08-14,344.5,345.0,342.5,345.0,305.145538,280737
2014-08-15,347.5,351.5,344.471985,346.75,306.693451,30448
2014-08-18,350.0,363.5,350.0,360.0,318.41275,101344
2014-08-19,360.0,361.25,359.5,360.0,318.41275,32190
2014-08-20,360.0,365.0,358.920013,365.0,322.835175,99448
2014-08-21,365.0,365.0,364.5,365.0,322.835175,9628
2014-08-22,360.0,365.649994,360.0,360.0,318.41275,36878
2014-08-26,366.0,366.0,362.0,366.0,323.719635,34247
2014-08-27,365.0,365.0,362.0,363.125,321.176727,17200
2014-08-28,365.0,365.0,360.950012,362.75,320.845062,16344
2014-08-29,365.0,365.0,364.45300299999997,365.0,322.835175,6140
2014-09-01,366.0,366.0,360.0,360.0,318.41275,270908
2014-09-02,361.0,366.0,358.25,361.5,319.739502,100448
2014-09-03,363.0,363.0,359.0,362.5,320.623962,28186
2014-09-04,358.25,362.75,353.25,360.0,318.41275,48235
2014-09-05,363.0,363.0,355.5,355.5,314.432617,117148
2014-09-08,357.0,365.0,355.5,365.0,322.835175,184596
2014-09-09,362.75,367.0,362.0,367.0,324.60409500000003,170723
2014-09-10,365.0,372.0,363.130005,370.0,327.257538,288063
2014-09-11,367.25,369.0,358.0,358.0,316.643768,78417
2014-09-12,363.0,365.75,361.625,365.0,322.835175,269653
2014-09-15,365.0,370.0,364.950012,370.0,327.257538,250665
2014-09-16,363.5,371.429993,363.0,363.0,321.066193,168928
2014-09-17,366.0,366.0,360.0,363.25,321.287323,682318
2014-09-18,366.0,366.0,355.75,359.75,318.19165,249541
2014-09-19,362.0,362.0,354.5,356.0,314.874817,1542530
2014-09-22,358.0,358.0,356.5,358.0,316.643768,9713
2014-09-23,356.0,358.0,353.0,358.0,316.643768,43092
2014-09-24,357.75,359.0,355.0,357.0,315.75930800000003,627616
2014-09-25,359.0,360.0,356.25,359.0,317.52828999999997,13530
2014-09-26,359.75,359.75,355.25,359.0,317.52828999999997,4976
2014-09-29,357.5,358.75,357.0,358.0,316.643768,3317
2014-09-30,357.0,358.5,355.25,356.5,315.317078,489670
2014-10-01,354.25,359.0,353.75,356.5,315.317078,27488
2014-10-02,356.0,359.25,354.25,354.25,313.327026,24296
2014-10-03,357.75,357.75,354.5,354.5,313.54812599999997,231166
2014-10-06,358.0,358.0,354.75,357.5,316.201569,19170
2014-10-07,354.75,356.0,353.25,355.5,314.432617,5488
2014-10-08,353.25,359.0,353.25,356.0,314.874817,5608
2014-10-09,359.0,359.0,346.25,350.5,310.010193,44173
2014-10-10,347.0,347.089996,319.420013,329.0,290.993896,130698
2014-10-13,325.25,333.25,325.0,333.25,294.75293,32722
2014-10-14,326.75,331.81298799999996,319.5,330.0,291.878357,49669
2014-10-15,325.0,329.5,315.0,321.75,284.581421,127129
2014-10-16,324.25,325.0,318.75,322.0,284.802551,226479
2014-10-17,324.25,325.0,315.75,325.0,287.455963,551558
2014-10-20,327.0,327.428986,321.0,327.25,289.446014,11985
2014-10-21,322.25,328.0,322.25,328.0,290.109375,33898
2014-10-22,324.0,326.625,323.25,324.5,287.013733,28050
2014-10-23,324.25,325.880005,322.0,322.75,285.465881,14973
2014-10-24,320.0,324.75,320.0,323.5,286.129272,25548
2014-10-27,329.0,329.0,320.0,324.0,286.571472,307277
2014-10-28,328.0,328.5,325.0,326.5,288.78268399999996,717872
2014-10-29,330.0,337.5,328.25,337.5,298.511963,196304
2014-10-30,337.5,339.0,332.75,334.5,295.858521,31562
2014-10-31,337.5,343.0,337.5,337.75,298.733093,19455
2014-11-03,337.0,343.0,337.0,338.25,299.175293,14342
2014-11-04,337.0,345.0,337.0,344.0,304.26110800000004,29236
2014-11-05,344.5,345.0,338.75,342.75,303.15545699999996,36421
2014-11-06,338.0,344.769989,337.0,337.25,298.290802,61344
2014-11-07,338.75,340.75,337.0,340.75,301.386505,283113
2014-11-10,342.0,342.0,338.5,338.5,299.396454,2589
2014-11-11,341.75,341.75,337.25,340.0,300.72314500000005,45802
2014-11-12,337.0,348.75,337.0,348.75,308.462402,14931
2014-11-13,340.0,342.5,339.0,341.25,301.828735,101860
2014-11-14,340.0,344.06100499999997,340.0,340.0,300.72314500000005,4825
2014-11-17,339.5,343.56201200000004,339.25,340.0,300.72314500000005,92021
2014-11-18,344.5,344.5,340.25,341.375,301.939301,1281
2014-11-19,345.0,345.0,340.0,340.0,300.72314500000005,12242
2014-11-20,340.0,343.25,340.0,340.0,300.72314500000005,360246
2014-11-21,340.25,341.0,340.0,340.0,300.72314500000005,18953
2014-11-24,339.0,342.75,339.0,342.5,302.934357,129
2014-11-25,340.75,349.5,340.75,349.5,309.125702,31153
2014-11-26,343.0,350.0,343.0,350.0,309.56796299999996,464602
2014-11-27,350.0,350.75,346.0,350.75,310.231354,23419
2014-11-28,352.0,352.0,352.0,352.0,311.33691400000004,147
2014-12-01,345.0,347.25,345.0,345.0,305.145538,882950
2014-12-02,345.5,352.25,345.5,352.0,311.33691400000004,16807
2014-12-03,343.5,346.0,340.0,340.0,300.72314500000005,125577
2014-12-04,346.75,346.75,342.0,346.5,306.47229,11099
2014-12-05,346.0,365.0,343.75,360.0,318.41275,45596
2014-12-08,358.75,359.0,356.18798799999996,359.0,317.52828999999997,6767
