Date,Open,High,Low,Close,Adj Close,Volume
2000-01-31,0.47947,0.47947,0.47947,0.47947,0.435154,0
2000-02-29,0.55514,0.55514,0.55514,0.55514,0.50383,0
2000-03-31,0.5342100000000001,0.5342100000000001,0.5342100000000001,0.5342100000000001,0.484835,0
2000-04-28,5.1269,5.1269,5.1269,5.1269,4.65304,0
2000-05-31,0.53992,0.53992,0.53992,0.53992,0.490017,0
2000-06-30,0.55497,0.55497,0.55497,0.55497,0.503676,0
2000-07-31,0.55337,0.55337,0.55337,0.55337,0.502224,0
2000-08-31,0.57567,0.57567,0.57567,0.57567,0.522463,0
2000-09-29,5.5196,5.5196,5.5196,5.5196,5.009444,0
2000-10-31,0.53323,0.53323,0.53323,0.53323,0.483946,0
2000-11-30,0.55345,0.55345,0.55345,0.55345,0.502297,0
2000-12-29,5.791,5.791,5.791,5.791,5.255758999999999,0
2001-01-01,5.485,5.485,5.485,5.485,4.978041999999999,0
2001-01-02,5.4875,5.61,5.48,5.595,5.077875,41331
2001-01-03,5.595,5.6,5.565,5.58,5.064261,22184
2001-01-04,5.79,5.92,5.73,5.905,5.359223,193751
2001-01-05,5.8975,5.92,5.89,5.905,5.359223,55563
2001-01-08,5.87,5.9,5.86,5.875,5.331995,15749
2001-01-09,5.855,5.87,5.82,5.83,5.291155000000001,22774
2001-01-10,5.84,5.84,5.76,5.775,5.241239,54827
2001-01-11,5.755,5.79,5.74,5.765,5.232163,12779
2001-01-12,5.8,5.89,5.79,5.87,5.327457,25497
2001-01-15,5.94,5.98,5.92,5.965,5.413678,55297
2001-01-16,5.99,5.99,5.9,5.92,5.3728370000000005,248575
2001-01-17,5.93,5.98,5.91,5.96,5.40914,256000
2001-01-18,5.98,5.98,5.94,5.96,5.40914,29993
2001-01-19,5.98,6.01,5.97,5.975,5.422753,62632
2001-01-22,5.97,6.0,5.93,5.96,5.40914,41682
2001-01-23,5.96,5.97,5.88,5.9,5.354685,77753
2001-01-24,5.925,5.94,5.89,5.925,5.377374,48131
2001-01-25,5.91,5.94,5.91,5.93,5.381912000000001,58056
2001-01-26,5.92,5.92,5.90941,5.905,5.359223,46601
2001-01-29,5.895,5.94,5.88941,5.915,5.3682989999999995,326434
2001-01-30,5.92,5.96,5.91,5.94,5.390988,354801
2001-01-31,0.58528,0.58528,0.58528,0.58528,0.531185,0
2001-02-01,5.96,5.97,5.91941,5.94,5.390988,34077
2001-02-02,5.95,5.98,5.92,5.955,5.404602,91576
2001-02-05,5.94,5.95,5.91,5.93,5.381912000000001,27997
2001-02-06,5.945,5.98,5.9240699999999995,5.965,5.413678,87316
2001-02-07,5.97,5.97,5.94,5.95,5.4000639999999995,73890
2001-02-08,5.93,5.98,5.93,5.96,5.40914,55409
2001-02-09,5.9675,5.98,5.93,5.945,5.395526,83165
2001-02-12,5.95,5.99,5.93,5.975,5.422753,67024
2001-02-13,5.9875,6.0,5.95,5.985,5.4318290000000005,33117
2001-02-14,5.975,5.975,5.915,5.93,5.381912000000001,46494
2001-02-15,5.94,5.96,5.91,5.935,5.38645,43670
2001-02-16,5.96,5.96,5.87,5.895,5.350148,24422
2001-02-19,5.905,5.905,5.86,5.88,5.3365339999999994,34819
2001-02-20,5.91,5.96,5.86,5.935,5.38645,81563
2001-02-21,5.9,5.94,5.9,5.92,5.3728370000000005,127180
2001-02-22,5.91,5.995,5.91,5.96,5.40914,203962
2001-02-23,5.97,5.99,5.84,5.875,5.331995,71662
2001-02-26,5.9,5.93,5.87,5.905,5.359223,99538
2001-02-27,5.9575,6.02,5.93,5.98,5.427291,116221
2001-02-28,0.5808300000000001,0.5808300000000001,0.5808300000000001,0.5808300000000001,0.527146,0
2001-03-01,5.9,5.93,5.86,5.89,5.34561,48909
2001-03-02,5.905,5.91,5.85,5.875,5.331995,28926
2001-03-05,5.8875,5.9,5.85,5.88,5.3365339999999994,63432
2001-03-06,5.93,5.995,5.92,5.995,5.440904,63912
2001-03-07,5.9775,6.0,5.97,5.99,5.436367,54501
2001-03-08,6.0225,6.04,6.0,6.02,5.463593,48025
2001-03-09,6.04,6.04,5.91,5.995,5.440904,271299
2001-03-12,5.98,5.98,5.88,5.915,5.3682989999999995,135081
2001-03-13,5.7925,5.84,5.79,5.815,5.2775419999999995,115225
2001-03-14,5.79,5.81,5.67,5.725,5.19586,276867
2001-03-15,5.7,5.75,5.66,5.675,5.150481,85274
2001-03-16,5.67,5.67,5.465,5.465,4.959891000000001,55428
2001-03-19,5.48,5.48,5.38,5.4,4.900898000000001,50750
2001-03-20,5.42,5.42,5.38,5.41,4.909974,75923
2001-03-21,5.36,5.36,5.17,5.19,4.710307,80034
2001-03-22,5.1075,5.1075,4.93,4.955,4.497027,102212
2001-03-23,4.95,5.05,4.95,5.035,4.569634,93549
2001-03-26,5.07,5.14,5.06,5.12,4.646778,496678
2001-03-27,5.12,5.21,5.1,5.19,4.710307,89558
2001-03-28,5.205,5.21,5.13,5.16,4.68308,107566
2001-03-29,5.09,5.17,5.08,5.145,4.669466000000001,100690
2001-03-30,5.3935,5.3935,5.3935,5.3935,4.894998999999999,0
2001-04-02,5.135,5.16,5.12,5.13,4.655853,93771
2001-04-03,5.14,5.15,5.11,5.115,4.64224,102518
2001-04-04,5.08,5.12,5.05,5.105,4.633164,98249
2001-04-05,5.15,5.2,5.12,5.19,4.710307,131812
2001-04-06,5.24,5.29,5.24,5.245,4.760224,38852
2001-04-09,5.24,5.25,5.21,5.225,4.742073,101473
2001-04-10,5.28,5.3,5.24,5.285,4.796526999999999,24306
2001-04-11,5.31,5.34,5.27,5.32,4.828292,44965
2001-04-12,5.34,5.34,5.3,5.32,4.828292,37362
2001-04-13,5.32,5.32,5.32,5.32,4.828292,0
2001-04-16,5.32,5.32,5.32,5.32,4.828292,0
2001-04-17,5.34,5.34,5.29,5.315,4.823755,28561
2001-04-18,5.36,5.485,5.34,5.485,4.978041999999999,119573
2001-04-19,5.51,5.57,5.48,5.55,5.0370349999999995,87086
2001-04-20,5.56,5.62,5.55,5.595,5.077875,87143
2001-04-23,5.62,5.62,5.55,5.595,5.077875,170865
2001-04-24,5.58,5.625,5.57,5.605,5.08695,151840
2001-04-25,5.55,5.59,5.55,5.57,5.055186,47052
2001-04-26,5.59,5.59,5.54,5.565,5.050648000000001,207538
2001-04-27,5.57,5.59,5.54,5.565,5.050648000000001,127331
2001-04-30,0.55728,0.55728,0.55728,0.55728,0.5057729999999999,0
2001-05-01,5.7,5.775,5.65,5.775,5.241239,72126
2001-05-02,5.86,5.91,5.84,5.875,5.331995,184736
2001-05-03,5.89,5.9,5.825,5.825,5.286617,133177
2001-05-04,5.81,5.83,5.79,5.805,5.268465,100325
2001-05-07,5.805,5.805,5.805,5.805,5.268465,0
2001-05-08,5.82,5.83,5.77,5.8,5.263928,126819
2001-05-09,5.765,5.8,5.73,5.745,5.214011,102102
2001-05-10,5.72,5.79,5.72,5.785,5.250314,29076
2001-05-11,5.79,5.79,5.78,5.785,5.250314,36432
2001-05-14,5.79,5.79,5.4,5.76,5.227625,883301
2001-05-15,5.78,5.78,5.74,5.76,5.227625,15947
2001-05-16,5.76,5.78,5.74,5.76,5.227625,80972
2001-05-17,5.8,5.8,5.77,5.78,5.245776,83556
2001-05-18,5.77,5.79,5.75,5.77,5.236701,99535
2001-05-21,5.79,5.79,5.75,5.77,5.236701,64414
2001-05-22,5.8,5.8,5.76,5.78,5.245776,139063
2001-05-23,5.785,5.79,5.73,5.74,5.209473,92598
2001-05-24,5.7,5.74,5.68,5.715,5.186783999999999,90533
2001-05-25,5.69,5.73,5.67,5.685,5.159557,59427
2001-05-28,5.685,5.685,5.685,5.685,5.159557,0
2001-05-29,5.69,5.73,5.67,5.7,5.17317,81155
2001-05-30,5.635,5.64,5.57,5.57,5.055186,62006
2001-05-31,0.54982,0.54982,0.54982,0.54982,0.49900200000000006,0
2001-06-01,5.6,5.6,5.51,5.54,5.027958,101631
2001-06-04,5.57,5.57,5.5,5.525,5.014345,43908
2001-06-05,5.5,5.56,5.5,5.545,5.032496,21964
2001-06-06,5.64,5.71,5.63,5.685,5.159557,52738
2001-06-07,5.7,5.74,5.69,5.72,5.191321,45890
2001-06-08,5.78,5.9,5.78,5.865,5.32292,41909
2001-06-11,5.89,5.89,5.83,5.86,5.318382,62006
2001-06-12,5.87,5.87,5.78,5.795,5.25939,28977
2001-06-13,5.79,5.81,5.78,5.795,5.25939,47921
2001-06-14,5.77,5.77,5.74,5.745,5.214011,99875
2001-06-15,5.74,5.77,5.7,5.72,5.191321,105659
2001-06-18,5.76,5.76,5.7,5.725,5.19586,43745
2001-06-19,5.7,5.75,5.7,5.74,5.209473,27020
2001-06-20,5.73,5.73,5.66,5.685,5.159557,362761
2001-06-21,5.69,5.69,5.68,5.685,5.159557,27961
2001-06-22,5.69,5.7,5.66,5.66,5.136868,65506
2001-06-25,5.65,5.68,5.65,5.66,5.136868,17230
2001-06-26,5.65,5.67,5.57,5.585,5.0688,125121
2001-06-27,5.57,5.59,5.57,5.58,5.064261,134905
2001-06-28,5.57,5.57,5.54,5.56,5.04611,74394
2001-06-29,5.5235,5.5235,5.5235,5.5235,5.012983,0
2001-07-02,5.605,5.66,5.6,5.64,5.118715,74648
2001-07-03,5.64,5.66,5.64,5.65,5.1277919999999995,78506
2001-07-04,5.66,5.66,5.64,5.65,5.1277919999999995,39312
2001-07-05,5.61,5.64,5.61,5.625,5.105102,27337
2001-07-06,5.6,5.6,5.555,5.555,5.041572,46401
2001-07-09,5.5,5.5,5.48,5.49,4.9825800000000005,31345
2001-07-10,5.5,5.53,5.5,5.52,5.009807,95291
2001-07-11,5.49,5.5,5.48,5.49,4.9825800000000005,32675
2001-07-12,5.51,5.53,5.51,5.525,5.014345,70082
2001-07-13,5.54,5.54054,5.49,5.495,4.987118,97369
2001-07-16,5.5,5.5,5.49,5.495,4.987118,27354
2001-07-17,5.46,5.47,5.41,5.43,4.928125,38758
2001-07-18,5.42,5.45,5.41,5.42,4.91905,28131
