Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,195.283005,195.283005,195.283005,195.283005,93.91803,0
2000-01-04,195.673996,201.380997,191.597,195.673996,95.42543,200627
2000-01-05,196.897003,197.304993,185.889999,191.597,93.437172,298507
2000-01-06,193.227997,203.826996,191.597,203.826996,99.401443,606215
2000-01-07,197.712006,213.61099199999998,197.712006,210.350006,102.582542,2896636
2000-01-10,207.087997,211.979996,188.335999,194.451004,94.82899499999999,1209747
2000-01-11,194.858994,196.897003,180.998001,183.444,89.461136,906759
2000-01-12,184.259995,198.934998,184.259995,188.335999,91.846855,377665
2000-01-13,180.998001,195.673996,180.998001,188.335999,91.846855,703931
2000-01-14,187.520996,191.597,187.520996,191.597,93.437172,406827
2000-01-17,189.151993,201.380997,189.151993,190.210999,92.761238,542877
2000-01-18,190.781998,194.042999,181.813995,185.889999,90.653992,1357728
2000-01-19,185.889999,189.151993,180.998001,182.057999,88.78524,1601230
2000-01-20,183.444,191.190002,183.444,188.744003,92.045837,6151232
2000-01-21,187.520996,189.966995,180.182999,180.182999,87.870811,1773707
2000-01-24,182.220993,186.705994,175.291,178.55299399999998,87.075912,748419
2000-01-25,175.291,175.291,171.21499599999999,172.845001,84.292282,495532
2000-01-26,194.858994,194.858994,172.845001,176.921997,86.28053299999999,959440
2000-01-27,175.291,182.628998,163.061996,163.306,79.640335,506135
2000-01-28,165.100006,166.73100300000002,154.908997,157.354004,76.737679,1148398
2000-01-31,200.565994,200.565994,153.278,154.908997,75.545334,354988
2000-02-01,180.182999,180.182999,142.679001,147.162994,71.76778399999999,757484
2000-02-02,156.539001,156.539001,139.417999,145.125,70.773911,2512048
2000-02-03,145.940002,146.755005,138.602005,142.679001,69.581047,1955283
2000-02-04,143.494003,143.901993,130.449005,130.449005,63.616791000000006,1523397
2000-02-07,132.895004,141.048004,130.449005,135.341003,66.002495,533235
2000-02-08,135.341003,148.386002,123.518997,128.003006,62.423931,4134496
2000-02-09,132.080002,139.417999,123.927002,130.449005,63.616791000000006,1766906
2000-02-10,134.526001,134.526001,124.741997,134.526001,65.605049,6145078
2000-02-11,140.233002,154.908997,132.324997,132.895004,64.809639,1499034
2000-02-14,151.647003,151.647003,136.972,138.602005,67.592812,3409378
2000-02-15,151.647003,152.707001,128.003006,129.225998,63.020359,2975769
2000-02-16,131.102005,131.671997,124.741997,125.802002,61.35055500000001,1328901
2000-02-17,125.556999,130.449005,123.927002,125.393997,61.15158100000001,5801130
2000-02-18,130.449005,148.223007,123.927002,142.270996,69.382072,5530286
2000-02-21,153.929993,153.929993,136.972,138.602005,67.592812,2110679
2000-02-22,137.787003,145.940002,128.003006,141.701004,69.10410300000001,1256618
2000-02-23,141.701004,145.125,136.15600600000002,137.787003,67.195358,3085602
2000-02-24,141.048004,141.048004,135.341003,139.417999,67.99073800000001,2971945
2000-02-25,138.113007,141.048004,133.546997,139.824997,68.18924,1854787
2000-02-28,132.488007,141.863998,130.449005,130.449005,63.616791000000006,2162650
2000-02-29,138.602005,141.455994,132.080002,138.602005,67.592812,1239989
2000-03-01,138.602005,144.309998,136.972,140.641006,68.587151,1735119
2000-03-02,150.832001,150.832001,140.641006,140.641006,68.587151,1286513
2000-03-03,152.707001,152.707001,140.233002,141.863998,69.183594,315443
2000-03-06,139.824997,142.679001,136.972,139.417999,67.99073800000001,732224
2000-03-07,134.526001,145.125,127.188004,132.895004,64.809639,755004
2000-03-08,134.526001,142.679001,128.003006,135.341003,66.002495,2470115
2000-03-09,131.264999,154.908997,128.003006,148.794006,72.563179,2112624
2000-03-10,152.462997,154.908997,140.233002,143.494003,69.978531,255107
2000-03-13,148.386002,148.386002,130.449005,134.526001,65.605049,589711
2000-03-14,136.15600600000002,141.863998,132.895004,134.526001,65.605049,918464
2000-03-15,136.15600600000002,161.675995,136.15600600000002,154.908997,75.545334,901406
2000-03-16,153.278,159.636993,148.223007,154.908997,75.545334,687562
2000-03-17,161.431,163.061996,135.341003,135.341003,66.002495,551199
2000-03-20,160.453003,160.860001,134.526001,140.233002,68.388199,743402
2000-03-21,138.602005,160.207993,138.602005,154.908997,75.545334,2325308
2000-03-22,142.679001,158.169998,142.679001,144.309998,70.37645699999999,862881
2000-03-23,148.386002,150.016998,144.309998,144.309998,70.37645699999999,902672
2000-03-24,144.309998,153.278,142.679001,145.940002,71.171341,1710660
2000-03-27,145.940002,147.570999,144.309998,144.309998,70.37645699999999,397688
2000-03-28,150.669006,150.832001,134.526001,138.602005,67.592812,2303271
2000-03-29,145.776993,146.755005,137.787003,137.787003,67.195358,791643
2000-03-30,134.526001,140.233002,123.112,131.671997,64.213211,1836207
2000-03-31,126.373001,146.755005,126.373001,142.108002,69.302589,1030050
2000-04-03,142.108002,142.108002,131.264999,134.526001,65.605049,1747004
2000-04-04,139.824997,139.824997,119.035004,122.133003,59.561271999999995,1440011
2000-04-05,139.824997,139.824997,105.989998,114.14299799999999,55.664738,407297
2000-04-06,123.927002,129.634003,114.14299799999999,123.764,60.356667,3742429
2000-04-07,124.334999,131.671997,123.927002,131.264999,64.014725,6535133
2000-04-10,131.509003,149.608994,130.449005,131.264999,64.014725,491902
2000-04-11,124.334999,132.895004,124.334999,130.042007,63.418296999999995,550908
2000-04-12,132.895004,132.895004,126.373001,128.003006,62.423931,4707151
2000-04-13,130.449005,130.449005,122.295998,123.518997,60.237213,370045
2000-04-14,122.295998,127.596001,119.035004,122.295998,59.640774,794047
2000-04-17,119.035004,127.839996,114.14299799999999,117.403999,57.255062,1976856
2000-04-18,132.488007,132.488007,116.58899699999999,122.295998,59.640774,343745
2000-04-19,117.240997,125.964996,114.958,117.240997,57.175549,1659103
2000-04-20,118.626999,122.295998,114.958,118.220001,57.65300799999999,1469040
2000-04-21,117.984001,117.984001,117.984001,117.984001,57.537907,0
2000-04-24,117.984001,117.984001,117.984001,117.984001,57.537907,0
2000-04-25,125.556999,125.556999,116.58899699999999,120.666,58.845863,3770813
2000-04-26,120.666,125.150002,119.849998,122.295998,59.640774,1445136
2000-04-27,147.570999,147.570999,122.295998,122.295998,59.640774,980424
2000-04-28,123.518997,133.710999,122.295998,122.704002,59.839732999999995,811844
2000-05-01,122.459,122.459,122.459,122.459,59.720253,0
2000-05-02,125.964996,128.819,123.927002,128.819,62.82186899999999,1409098
2000-05-03,125.556999,130.449005,124.334999,124.579002,60.754143000000006,1755688
2000-05-04,125.475998,126.373001,124.741997,124.741997,60.833614000000004,797100
2000-05-05,124.987,126.373001,124.334999,125.964996,61.430035,265370
2000-05-08,127.188004,127.188004,119.849998,119.849998,58.447899,591200
2000-05-09,124.741997,126.373001,119.849998,125.556999,61.231079,3034405
2000-05-10,124.82399699999999,131.917007,124.82399699999999,127.188004,62.026481999999994,1560221
2000-05-11,130.449005,130.85699499999998,127.188004,127.188004,62.026481999999994,107267
2000-05-12,129.796997,140.233002,129.634003,139.255005,67.911263,2086104
2000-05-15,143.494003,143.494003,132.283997,142.270996,69.382072,3842424
2000-05-16,167.546005,170.195999,143.494003,167.546005,81.708076,9149654
2000-05-17,165.710999,182.628998,158.985001,162.654007,79.322372,6446837
2000-05-18,160.615997,172.029999,160.615997,168.76899699999998,82.304489,2332600
2000-05-19,169.584,183.037003,163.876999,176.51400800000002,86.08157299999999,2656757
2000-05-22,176.10699499999998,180.182999,167.953003,173.66099499999999,84.690224,4283990
2000-05-23,170.399002,173.66099499999999,167.138,167.953003,81.906563,3332259
2000-05-24,165.507996,168.60600300000002,165.507996,167.546005,81.708076,886064
2000-05-25,167.138,173.253006,167.138,173.253006,84.491219,914823
2000-05-26,172.029999,174.475998,172.029999,172.845001,84.292282,2042430
2000-05-29,172.5,172.5,172.5,172.5,84.124016,0
2000-05-30,177.737,179.367996,172.845001,179.367996,87.473381,0
2000-05-31,179.367996,191.597,179.367996,191.597,93.437172,1196373
2000-06-01,204.641998,204.641998,167.138,185.320007,90.37602199999999,343972
2000-06-02,185.889999,191.597,184.503998,188.335999,91.846855,2851937
2000-06-05,189.966995,191.597,183.444,190.781998,93.039711,1658688
2000-06-06,191.597,192.820007,181.40600600000002,192.412994,93.83510600000001,1931079
2000-06-07,188.335999,192.412994,187.520996,191.597,93.437172,3420649
2000-06-08,190.210999,194.042999,189.966995,191.597,93.437172,843850
2000-06-09,193.227997,194.695999,191.597,193.227997,94.232552,3456457
2000-06-12,194.042999,195.673996,192.005005,193.227997,94.232552,2125395
2000-06-13,195.673996,195.673996,192.412994,193.227997,94.232552,1083647
2000-06-14,192.412994,193.880005,191.841995,193.227997,94.232552,603372
2000-06-15,193.227997,194.451004,189.966995,192.820007,94.033585,1445845
2000-06-16,189.966995,193.227997,163.876999,191.190002,93.238701,2700992
2000-06-19,193.227997,194.858994,168.76899699999998,189.151993,92.24479699999999,2884832
2000-06-20,194.858994,195.673996,189.151993,194.042999,94.63003499999999,5320917
2000-06-21,196.326004,199.343002,192.412994,197.304993,96.220795,760606
2000-06-22,198.119995,199.75100700000002,194.858994,196.082001,95.624382,4295290
2000-06-23,189.151993,197.712006,187.520996,195.673996,95.42543,2706545
2000-06-26,195.673996,203.826996,195.673996,200.158005,97.612144,8107989
2000-06-27,197.304993,205.865005,195.673996,199.75100700000002,97.41368100000001,3575610
2000-06-28,197.304993,202.195999,197.304993,199.179993,97.135193,1438966
2000-06-29,198.119995,198.934998,195.673996,196.082001,95.624382,0
2000-06-30,195.266006,199.587006,192.412994,192.412994,93.83510600000001,232697
2000-07-03,194.858994,198.934998,193.227997,195.266006,95.226448,110124
2000-07-04,194.042999,198.73100300000002,189.151993,191.597,93.437172,551128
2000-07-05,188.335999,195.673996,188.335999,195.102997,95.14695,342805
2000-07-06,194.042999,197.304993,189.804001,195.673996,95.42543,4572316
2000-07-07,189.966995,198.119995,189.966995,190.781998,93.039711,931417
2000-07-10,190.37399299999998,207.904007,189.966995,196.488998,95.822861,1322253
2000-07-11,195.673996,201.380997,194.042999,195.919006,95.544891,358426
2000-07-12,191.597,215.24099700000002,191.597,211.164993,102.979988,3039984
2000-07-13,210.738998,236.438995,206.272995,230.731995,112.52233100000001,0
2000-07-14,220.94900499999997,230.32499700000002,220.132996,224.04699700000003,109.262245,2514444
2000-07-17,221.76400800000002,224.617004,212.794998,212.794998,103.77493299999999,1173008
2000-07-18,216.871994,220.132996,204.886993,207.904007,101.38969399999999,1092220
2000-07-19,218.503006,218.503006,197.957001,197.916,96.51880600000001,2761844
2000-07-20,195.673996,209.533997,195.266006,197.957001,96.538795,2486602
2000-07-21,197.712006,209.533997,197.712006,199.75100700000002,97.41368100000001,664465
2000-07-24,206.272995,209.371002,205.865005,206.272995,103.602501,1112352
2000-07-25,207.332993,207.332993,201.380997,203.216003,102.067093,955858
2000-07-26,203.255997,206.272995,202.848999,204.235001,102.578911,229382
2000-07-27,201.789001,201.789001,201.789001,204.235001,102.578911,273124
2000-07-28,201.789001,206.272995,201.789001,205.253998,103.09072900000001,125321
2000-07-31,210.757004,211.164993,203.011993,203.826996,102.374001,255633
2000-08-01,204.641998,207.087997,203.826996,203.826996,102.374001,623557
2000-08-02,204.641998,204.641998,193.636002,195.919006,98.40211500000001,398574
2000-08-03,194.042999,194.858994,181.40600600000002,181.40600600000002,91.11281600000001,171002
2000-08-04,180.182999,194.858994,180.182999,184.259995,92.546288,347119
2000-08-07,182.628998,194.858994,181.242996,189.395996,95.12586999999999,534983
2000-08-08,195.102997,207.496002,195.061996,204.641998,102.783333,576702
2000-08-09,206.272995,207.740997,202.195999,205.457993,103.19315300000001,1431809
2000-08-10,203.419006,211.979996,203.011993,207.087997,104.01185600000001,902729
2000-08-11,209.126999,209.533997,204.641998,209.371002,105.158501,536604
2000-08-14,206.272995,211.979996,206.272995,211.979996,106.468903,526847
2000-08-15,204.641998,211.979996,204.641998,210.350006,105.650223,307512
2000-08-16,207.904007,211.164993,207.087997,207.904007,104.4217,433588
2000-08-17,207.904007,213.61099199999998,207.904007,211.979996,106.468903,585185
2000-08-18,212.794998,212.794998,200.565994,201.380997,101.14546999999999,686813
2000-08-21,202.195999,214.42599500000003,200.565994,209.94200099999998,105.44528999999999,101834
2000-08-22,211.979996,211.979996,203.826996,205.457993,103.19315300000001,608884
2000-08-23,204.235001,204.641998,190.37399299999998,199.75100700000002,100.326782,1882873
2000-08-24,209.533997,220.132996,204.641998,220.132996,110.563828,428990
2000-08-25,211.979996,211.979996,207.087997,207.904007,104.4217,1198848
2000-08-28,207.488007,207.488007,207.488007,207.488007,104.212738,0
2000-08-29,209.533997,211.979996,206.272995,206.681,103.807411,1163329
2000-08-30,205.701996,206.272995,204.235001,205.294998,103.111298,533942
2000-08-31,201.380997,211.001999,201.380997,205.701996,103.315712,1727452
2000-09-01,207.087997,210.350006,203.826996,206.272995,103.602501,379753
2000-09-04,204.641998,208.311005,203.826996,206.110001,103.52063000000001,81942
2000-09-05,202.195999,206.110001,202.195999,203.826996,102.374001,581527
2000-09-06,199.75100700000002,210.350006,199.75100700000002,201.789001,101.35038,1029367
2000-09-07,209.371002,209.371002,200.809998,202.195999,101.554794,1097423
2000-09-08,200.565994,201.62600700000002,198.119995,198.119995,99.507599,679243
2000-09-11,194.858994,198.934998,191.841995,192.25,96.559326,143118
2000-09-12,191.597,193.065002,180.998001,185.074997,92.955635,2058550
2000-09-13,186.705994,194.451004,185.889999,191.434006,96.149521,928969
2000-09-14,194.858994,194.858994,188.173004,188.173004,94.51164200000001,212647
2000-09-15,188.744003,195.673996,188.335999,189.151993,95.003326,92863
2000-09-18,191.597,191.597,183.037003,184.912003,92.873749,748173
2000-09-19,187.520996,188.988007,179.367996,179.774994,90.29364,521110
2000-09-20,179.367996,186.298004,179.367996,183.28100600000002,92.054565,1164561
2000-09-21,183.444,183.444,174.475998,174.475998,87.63217900000001,609665
2000-09-22,176.10699499999998,183.444,168.76899699999998,179.367996,90.089226,480687
2000-09-25,174.475998,187.520996,174.475998,185.074997,92.955635,879671
2000-09-26,184.912003,184.912003,173.08999599999999,176.10699499999998,88.451332,462479
2000-09-27,176.10699499999998,179.612,175.291,175.53599499999999,88.16456600000001,941531
2000-09-28,177.330002,178.96000700000002,175.291,176.350998,88.573883,216503
2000-09-29,179.367996,180.42799399999998,176.10699499999998,177.737,89.270042,975149
2000-10-02,176.51400800000002,176.51400800000002,167.382996,171.459,86.11685200000001,163982
2000-10-03,172.029999,179.367996,171.459,174.475998,87.63217900000001,1295753
2000-10-04,172.845001,177.574005,165.507996,171.21499599999999,85.99430100000001,179570
2000-10-05,174.475998,174.475998,167.382996,171.867004,86.32178499999999,1392584
2000-10-06,173.253006,178.55299399999998,168.36099199999998,176.350998,88.573883,874301
2000-10-09,179.367996,179.367996,169.584,171.621994,86.198746,782906
2000-10-10,176.921997,188.173004,176.921997,181.813995,91.31774899999999,2567766
2000-10-11,180.83500700000002,180.83500700000002,175.903,176.51400800000002,88.655792,1084448
2000-10-12,176.51400800000002,179.367996,175.699005,178.38900800000002,89.597534,1652706
2000-10-13,178.38900800000002,179.164001,171.21499599999999,176.10699499999998,88.451332,2115775
2000-10-16,172.845001,179.367996,172.845001,175.291,88.041542,518394
2000-10-17,175.291,177.737,170.399002,172.641998,86.711014,2072949
2000-10-18,171.21499599999999,172.845001,168.76899699999998,172.274994,86.526703,2153387
2000-10-19,171.05200200000002,176.10699499999998,171.05200200000002,173.253006,87.017899,1323595
2000-10-20,173.08999599999999,178.796997,172.845001,175.291,88.041542,2057477
2000-10-23,175.291,191.597,172.845001,180.182999,90.498558,79456
2000-10-24,173.66099499999999,189.966995,172.845001,182.628998,91.727104,1300157
2000-10-25,181.40600600000002,183.444,175.291,180.998001,90.907921,1550970
2000-10-26,181.813995,189.804001,180.998001,188.335999,94.593498,764472
2000-10-27,175.291,191.190002,175.291,188.988007,94.92094399999999,2674565
2000-10-30,194.042999,194.042999,186.542999,187.929001,94.389084,1311508
2000-10-31,187.929001,190.619003,187.520996,190.210999,95.535217,565630
2000-11-01,194.042999,195.673996,189.966995,191.597,96.231369,1978590
2000-11-02,195.673996,197.712006,192.412994,196.733994,98.811447,2973641
2000-11-03,197.304993,197.957001,191.597,197.957001,99.425735,415915
2000-11-06,197.304993,207.904007,197.304993,205.294998,103.111298,886541
2000-11-07,207.904007,207.904007,196.488998,198.934998,99.916939,3792730
2000-11-08,201.789001,203.826996,190.210999,201.62600700000002,101.268517,3509280
2000-11-09,209.533997,210.350006,199.994995,209.533997,105.24036399999999,2379953
2000-11-10,209.533997,213.20300299999997,205.457993,208.71899399999998,104.831017,465549
2000-11-13,203.826996,207.904007,198.119995,200.565994,100.736115,4078247
2000-11-14,200.565994,205.294998,200.565994,203.826996,102.374001,1790464
2000-11-15,203.255997,205.457993,200.565994,203.664001,102.292107,416282
2000-11-16,203.419006,206.272995,199.75100700000002,203.826996,102.374001,3204081
2000-11-17,203.011993,205.701996,203.011993,204.641998,102.783333,1133986
2000-11-20,201.380997,204.641998,201.380997,203.826996,102.374001,2538586
2000-11-21,203.826996,205.457993,200.403,200.973007,100.940552,433293
2000-11-22,202.195999,203.826996,196.488998,199.994995,100.449303,788788
2000-11-23,196.897003,201.380997,196.897003,201.218002,101.063583,397013
2000-11-24,193.473007,197.304993,193.227997,197.304993,99.098221,724996
2000-11-27,202.195999,204.03100600000002,195.673996,201.380997,101.14546999999999,430057
2000-11-28,201.380997,201.380997,184.056,185.727005,93.283112,737353
2000-11-29,185.074997,191.597,184.259995,188.335999,94.593498,1430347
2000-11-30,186.705994,192.412994,182.466003,191.597,96.231369,908076
2000-12-01,190.863998,199.75100700000002,190.863998,196.488998,98.688393,2263345
2000-12-04,197.712006,201.380997,196.488998,201.380997,101.14546999999999,1947098
2000-12-05,199.587006,202.195999,195.673996,200.565994,100.736115,2925470
2000-12-06,198.934998,200.565994,196.488998,200.565994,100.736115,532846
2000-12-07,196.897003,199.587006,191.597,198.119995,99.507599,3616468
2000-12-08,194.858994,194.858994,186.705994,190.781998,95.82202099999999,8956088
2000-12-11,185.889999,191.597,185.074997,190.619003,95.74015,4079793
2000-12-12,187.520996,193.227997,187.520996,193.227997,97.050529,1475893
2000-12-13,193.065002,195.673996,186.134995,191.597,96.231369,1639171
2000-12-14,191.841995,193.473007,189.966995,189.966995,95.412674,243212
2000-12-15,193.227997,193.227997,190.619003,191.190002,96.02694699999999,3317613
2000-12-18,192.412994,195.673996,190.781998,191.597,96.231369,1170901
2000-12-19,190.781998,195.673996,189.966995,191.597,96.231369,1362720
2000-12-20,194.042999,204.886993,193.227997,196.488998,98.688393,4926846
2000-12-21,202.195999,202.848999,198.119995,202.195999,101.554794,601929
2000-12-22,200.565994,202.033005,200.565994,200.809998,100.85865799999999,120342
2000-12-25,200.369003,200.369003,200.369003,200.369003,100.637146,0
2000-12-26,200.369003,200.369003,200.369003,200.369003,100.637146,0
2000-12-27,201.218002,202.195999,200.158005,200.158005,100.531174,413399
2000-12-28,202.195999,203.011993,200.973007,203.011993,101.96463,505363
2000-12-29,202.440994,203.826996,202.195999,202.195999,101.554794,174399
2001-01-01,201.792999,201.792999,201.792999,201.792999,101.352409,0
2001-01-02,198.119995,202.195999,197.548996,202.195999,101.554794,1716985
2001-01-03,200.565994,207.904007,200.565994,206.272995,103.602501,5944275
2001-01-04,206.272995,214.67100499999998,206.272995,210.350006,105.650223,2292596
2001-01-05,205.457993,236.438995,205.457993,228.285995,114.65873,1302904
2001-01-08,220.621994,235.419998,220.621994,231.548004,116.29711200000001,4005127
2001-01-09,226.248001,236.684006,226.248001,233.58599900000002,117.320747,2331886
2001-01-10,234.727005,234.809006,228.285995,228.285995,114.65873,6812772
2001-01-11,231.548004,231.548004,228.285995,228.285995,114.65873,944248
2001-01-12,227.71600299999997,230.731995,214.42599500000003,217.117004,109.04898100000001,2664909
2001-01-15,218.91000400000001,228.285995,215.07800299999997,226.65600600000002,115.43508100000001,1045697
2001-01-16,225.83999599999999,228.285995,224.45399500000002,228.285995,116.26521299999999,108101
2001-01-17,226.65600600000002,236.438995,225.024994,236.438995,120.417511,3027040
2001-01-18,233.58599900000002,235.623993,195.919006,227.30799900000002,115.767151,387414
2001-01-19,226.65600600000002,230.731995,214.834,222.57899500000002,113.35865,453801
2001-01-22,221.76400800000002,234.809006,220.541,232.36300699999998,118.341652,730303
2001-01-23,233.992996,239.701004,228.285995,228.53100600000002,116.389999,1282005
2001-01-24,229.91700699999998,232.36300699999998,224.617004,225.67700200000002,114.93647,166661
2001-01-25,225.67700200000002,230.731995,224.210007,226.86000099999998,115.538979,226270
2001-01-26,231.548004,231.548004,222.57899500000002,224.210007,114.18935400000001,141793
2001-01-29,226.65600600000002,240.516006,225.024994,238.07000699999998,121.24819199999999,911800
2001-01-30,237.25500499999998,237.25500499999998,229.91700699999998,233.992996,119.171799,1532879
2001-01-31,232.36300699999998,233.830002,220.94900499999997,222.82400499999997,113.48344399999999,503114
2001-02-01,222.57899500000002,223.393997,218.503006,218.503006,111.28279099999999,1903305
2001-02-02,222.57899500000002,228.285995,219.15499900000003,225.43299900000002,114.812225,290421
2001-02-05,222.987,225.43299900000002,222.57899500000002,225.024994,114.60441599999999,819760
2001-02-06,224.45399500000002,232.444,223.80200200000002,229.34599300000002,116.80509199999999,1132231
2001-02-07,232.36300699999998,238.07000699999998,232.36300699999998,238.07000699999998,121.24819199999999,1761015
2001-02-08,233.992996,235.869003,222.17100499999998,228.53100600000002,116.389999,873741
2001-02-09,229.102005,232.606995,228.285995,230.731995,117.510948,828306
2001-02-12,231.548004,234.40100099999998,229.91700699999998,233.17799399999998,118.756699,375549
2001-02-13,232.36300699999998,237.09199500000003,232.36300699999998,234.23800699999998,119.29656200000001,987658
2001-02-14,233.01499900000002,238.07000699999998,232.606995,236.438995,120.417511,522445
2001-02-15,235.869003,238.47799700000002,235.05299399999998,238.07000699999998,121.24819199999999,353810
2001-02-16,236.438995,243.776993,236.438995,241.330994,122.908974,1890327
2001-02-19,240.108002,243.776993,240.108002,242.962006,123.73966999999999,838740
2001-02-20,241.738998,242.962006,236.438995,238.07000699999998,121.24819199999999,764375
2001-02-21,233.992996,249.729004,233.423004,248.505997,126.563202,9289570
2001-02-22,246.223007,248.098007,242.962006,244.59199500000003,124.56981699999999,3392354
2001-02-23,245.40800499999997,245.40800499999997,242.798996,244.02200299999998,124.279518,500608
2001-02-26,242.962006,245.24499500000002,234.23800699999998,239.701004,122.07883500000001,1890110
2001-02-27,238.88499500000003,248.261002,236.847,247.854004,126.23111000000002,6138496
2001-02-28,245.651993,248.669006,244.59199500000003,248.669006,126.646225,1368567
2001-03-01,243.776993,246.630997,243.776993,244.59199500000003,124.56981699999999,934875
