Date,Open,High,Low,Close,Adj Close,Volume
2000-01-31,2.7617,2.7617,2.7617,2.7617,2.4963450000000003,0
2000-02-29,2.8659,2.8659,2.8659,2.8659,2.590533,0
2000-03-31,2.9666,2.9666,2.9666,2.9666,2.6815580000000003,0
2000-04-28,3.0099,3.0099,3.0099,3.0099,2.720697,0
2000-05-31,3.0654,3.0654,3.0654,3.0654,2.770864,0
2000-06-30,3.1411,3.1411,3.1411,3.1411,2.839291,0
2000-07-31,3.0931,3.0931,3.0931,3.0931,2.795903,0
2000-08-31,3.2787,3.2787,3.2787,3.2787,2.96367,0
2000-09-29,3.0698,3.0698,3.0698,3.0698,2.774842,0
2000-10-31,3.0649,3.0649,3.0649,3.0649,2.770412,0
2000-11-30,2.999,2.999,2.999,2.999,2.710844,0
2000-12-29,2.95515,2.95515,2.95515,2.95515,2.671208,0
2001-01-01,2.675,2.675,2.675,2.675,2.417976,0
2001-01-02,2.6425,2.6425,2.6425,2.6425,2.388599,0
2001-01-03,2.595,2.595,2.595,2.595,2.345663,0
2001-01-04,2.635,2.635,2.635,2.635,2.3818189999999997,0
2001-01-05,2.6125,2.6125,2.6125,2.6125,2.361481,0
2001-01-08,2.6075,2.6075,2.6075,2.6075,2.356961,0
2001-01-09,2.6225,2.6225,2.6225,2.6225,2.37052,0
2001-01-10,2.6175,2.6175,2.6175,2.6175,2.366,0
2001-01-11,2.63,2.63,2.63,2.63,2.3772990000000003,0
2001-01-12,2.64,2.64,2.64,2.64,2.386339,0
2001-01-15,2.6525,2.6525,2.6525,2.6525,2.397638,0
2001-01-16,2.655,2.655,2.655,2.655,2.399897,0
2001-01-17,2.695,2.695,2.695,2.695,2.436054,0
2001-01-18,2.695,2.695,2.695,2.695,2.436054,0
2001-01-19,2.705,2.705,2.705,2.705,2.445093,0
2001-01-22,2.705,2.705,2.705,2.705,2.445093,0
2001-01-23,2.7025,2.7025,2.7025,2.7025,2.4428330000000003,0
2001-01-24,2.7025,2.7025,2.7025,2.7025,2.4428330000000003,0
2001-01-25,2.7013,2.7013,2.7013,2.7013,2.441749,0
2001-01-26,2.7,2.7,2.7,2.7,2.440573,0
2001-01-29,2.705,2.705,2.705,2.705,2.445093,0
2001-01-30,2.7175,2.7175,2.7175,2.7175,2.4563919999999997,0
2001-01-31,3.0713,3.0713,3.0713,3.0713,2.776198,0
2001-02-01,2.71,2.71,2.71,2.71,2.4496130000000003,0
2001-02-02,2.72,2.72,2.72,2.72,2.4586509999999997,0
2001-02-05,2.72,2.72,2.72,2.72,2.4586509999999997,0
2001-02-06,2.725,2.725,2.725,2.725,2.463171,0
2001-02-07,2.715,2.715,2.715,2.715,2.454132,0
2001-02-08,2.7125,2.7125,2.7125,2.7125,2.451873,0
2001-02-09,2.7075,2.7075,2.7075,2.7075,2.4473529999999997,0
2001-02-12,2.71,2.71,2.71,2.71,2.4496130000000003,0
2001-02-13,2.7075,2.7075,2.7075,2.7075,2.4473529999999997,0
2001-02-14,2.6825,2.6825,2.6825,2.6825,2.4247549999999998,0
2001-02-15,2.6925,2.6925,2.6925,2.6925,2.433794,0
2001-02-16,2.6575,2.6575,2.6575,2.6575,2.402157,0
2001-02-19,2.6525,2.6525,2.6525,2.6525,2.397638,0
2001-02-20,2.64,2.64,2.64,2.64,2.386339,0
2001-02-21,2.6075,2.6075,2.6075,2.6075,2.356961,0
2001-02-22,2.5775,2.5775,2.5775,2.5775,2.329844,0
2001-02-23,2.5575,2.5575,2.5575,2.5575,2.3117650000000003,0
2001-02-26,2.555,2.555,2.555,2.555,2.309505,0
2001-02-27,2.5675,2.5675,2.5675,2.5675,2.320805,0
2001-02-28,2.8674,2.8674,2.8674,2.8674,2.591889,0
2001-03-01,2.525,2.525,2.525,2.525,2.282389,0
2001-03-02,2.51,2.51,2.51,2.51,2.26883,0
2001-03-05,2.5,2.5,2.5,2.5,2.259791,0
2001-03-06,2.55,2.55,2.55,2.55,2.304986,0
2001-03-07,2.56,2.56,2.56,2.56,2.3140259999999997,0
2001-03-08,2.5675,2.5675,2.5675,2.5675,2.320805,0
2001-03-09,2.545,2.545,2.545,2.545,2.300467,0
2001-03-12,2.51,2.51,2.51,2.51,2.26883,0
2001-03-13,2.52,2.52,2.52,2.52,2.2778680000000002,0
2001-03-14,2.46,2.46,2.46,2.46,2.223634,0
2001-03-15,2.45,2.45,2.45,2.45,2.214595,0
2001-03-16,2.4,2.4,2.4,2.4,2.169398,0
2001-03-19,2.405,2.405,2.405,2.405,2.173918,0
2001-03-20,2.465,2.465,2.465,2.465,2.228153,0
2001-03-21,2.4075,2.4075,2.4075,2.4075,2.1761779999999997,0
2001-03-22,2.285,2.285,2.285,2.285,2.065449,0
2001-03-23,2.3225,2.3225,2.3225,2.3225,2.099345,0
2001-03-26,2.405,2.405,2.405,2.405,2.173918,0
2001-03-27,2.44,2.44,2.44,2.44,2.205556,0
2001-03-28,2.3975,2.3975,2.3975,2.3975,2.167139,0
2001-03-29,2.385,2.385,2.385,2.385,2.15584,0
2001-03-30,2.7151,2.7151,2.7151,2.7151,2.454222,0
2001-04-02,2.4175,2.4175,2.4175,2.4175,2.1852169999999997,0
2001-04-03,2.415,2.415,2.415,2.415,2.182957,0
2001-04-04,2.415,2.415,2.415,2.415,2.182957,0
2001-04-05,2.435,2.435,2.435,2.435,2.201036,0
2001-04-06,2.41,2.41,2.41,2.41,2.1784380000000003,0
2001-04-09,2.4225,2.4225,2.4225,2.4225,2.189737,0
2001-04-10,2.48,2.48,2.48,2.48,2.2417119999999997,0
2001-04-11,2.5,2.5,2.5,2.5,2.259791,0
2001-04-12,2.5,2.5,2.5,2.5,2.259791,0
2001-04-13,2.5,2.5,2.5,2.5,2.259791,0
2001-04-16,2.5,2.5,2.5,2.5,2.259791,0
2001-04-17,2.4975,2.4975,2.4975,2.4975,2.257531,0
2001-04-18,2.5375,2.5375,2.5375,2.5375,2.293687,0
2001-04-19,2.5275,2.5275,2.5275,2.5275,2.284648,0
2001-04-20,2.535,2.535,2.535,2.535,2.291427,0
2001-04-23,2.5325,2.5325,2.5325,2.5325,2.289168,0
2001-04-24,2.5475,2.5475,2.5475,2.5475,2.302726,0
2001-04-25,2.5375,2.5375,2.5375,2.5375,2.293687,0
2001-04-26,2.5425,2.5425,2.5425,2.5425,2.298207,0
2001-04-27,2.5425,2.5425,2.5425,2.5425,2.298207,0
2001-04-30,2.8934,2.8934,2.8934,2.8934,2.615391,0
2001-05-01,2.595,2.595,2.595,2.595,2.345663,0
2001-05-02,2.605,2.605,2.605,2.605,2.354701,0
2001-05-03,2.585,2.585,2.585,2.585,2.336623,0
2001-05-04,2.5975,2.5975,2.5975,2.5975,2.347922,0
2001-05-07,2.5975,2.5975,2.5975,2.5975,2.347922,0
2001-05-08,2.605,2.605,2.605,2.605,2.354701,0
2001-05-09,2.5925,2.5925,2.5925,2.5925,2.343402,0
2001-05-10,2.6125,2.6125,2.6125,2.6125,2.361481,0
2001-05-11,2.5925,2.5925,2.5925,2.5925,2.343402,0
2001-05-14,2.57,2.57,2.57,2.57,2.323065,0
2001-05-15,2.61,2.61,2.61,2.61,2.359221,0
2001-05-16,2.61,2.61,2.61,2.61,2.359221,0
2001-05-17,2.6175,2.6175,2.6175,2.6175,2.366,0
2001-05-18,2.6275,2.6275,2.6275,2.6275,2.3750400000000003,0
2001-05-21,2.625,2.625,2.625,2.625,2.37278,0
2001-05-22,2.6525,2.6525,2.6525,2.6525,2.397638,0
2001-05-23,2.6475,2.6475,2.6475,2.6475,2.393118,0
2001-05-24,2.645,2.645,2.645,2.645,2.390858,0
2001-05-25,2.645,2.645,2.645,2.645,2.390858,0
2001-05-28,2.645,2.645,2.645,2.645,2.390858,0
2001-05-29,2.64,2.64,2.64,2.64,2.386339,0
2001-05-30,2.6075,2.6075,2.6075,2.6075,2.356961,0
2001-05-31,2.8653,2.8653,2.8653,2.8653,2.589991,0
