Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,74.0,74.0,74.0,74.0,44.158127,0
2000-01-04,73.0,74.5,73.0,74.0,44.158127,14971
2000-01-05,73.0,74.800003,73.0,74.0,44.158127,76800
2000-01-06,74.5,75.0,72.0,74.0,44.158127,1025430
2000-01-07,73.0,77.0,73.0,76.0,45.351593,37495
2000-01-10,73.0,77.5,73.0,77.5,46.246674,1600
2000-01-11,73.5,79.5,73.5,76.5,45.649944,1126
2000-01-12,73.0,79.5,73.0,75.0,44.754868,29507
2000-01-13,74.0,74.0,74.0,74.0,44.158127,0
2000-01-14,73.0,74.0,72.5,72.5,43.263034999999995,54700
2000-01-17,70.0,72.5,70.0,72.5,43.263034999999995,26091
2000-01-18,70.5,72.5,70.0,72.5,43.263034999999995,3444
2000-01-19,70.0,72.5,70.0,72.5,43.263034999999995,24426
2000-01-20,70.0,74.5,70.0,72.5,43.263034999999995,5400
2000-01-21,74.5,74.5,70.0,72.5,43.263034999999995,20100
2000-01-24,74.5,74.5,67.0,72.5,43.263034999999995,22621
2000-01-25,70.5,72.5,70.0,72.5,43.263034999999995,6250
2000-01-26,70.5,71.5,65.0,71.5,42.666294,33237
2000-01-27,68.5,74.5,68.5,71.5,42.666294,39121
2000-01-28,68.0,71.5,68.0,71.5,42.666294,12452
2000-01-31,74.5,74.5,68.0,70.0,41.771194,15150
2000-02-01,66.5,67.0,65.0,65.0,38.787537,16293
2000-02-02,67.0,70.0,65.0,67.5,40.279369,51050
2000-02-03,65.5,67.5,65.5,67.5,40.279369,725
2000-02-04,70.0,70.0,65.5,67.5,40.279369,11900
2000-02-07,65.0,70.0,65.0,67.5,40.279369,25078
2000-02-08,65.5,70.0,63.0,67.5,40.279369,19329
2000-02-09,69.5,69.5,67.5,67.5,40.279369,7433
2000-02-10,65.5,68.0,65.0,67.5,40.279369,11130
2000-02-11,65.0,67.5,65.0,67.5,40.279369,22700
2000-02-14,65.0,70.0,65.0,67.5,40.279369,21786
2000-02-15,67.0,70.0,65.0,67.5,40.279369,42197
2000-02-16,70.0,70.0,67.5,67.5,40.279369,3000
2000-02-17,75.0,75.0,70.0,71.5,42.666294,346512
2000-02-18,72.800003,73.0,70.0,71.5,42.666294,90412
2000-02-21,72.5,73.0,66.0,69.5,41.472832000000004,172040
2000-02-22,66.5,73.0,66.5,69.5,41.472832000000004,15561
2000-02-23,72.5,73.0,66.0,69.5,41.472832000000004,39993
2000-02-24,66.5,73.0,66.0,69.5,41.472832000000004,15155
2000-02-25,72.5,73.0,64.0,69.5,41.472832000000004,38784
2000-02-28,72.5,73.0,66.0,69.5,41.472832000000004,35822
2000-02-29,69.5,69.5,69.5,69.5,41.472832000000004,19476
2000-03-01,73.0,73.0,66.5,69.5,41.472832000000004,3021
2000-03-02,65.0,70.0,65.0,68.0,40.577740000000006,44042
2000-03-03,70.0,70.0,66.0,68.0,40.577740000000006,20854
2000-03-06,70.0,70.0,63.0,66.5,39.682648,55499
2000-03-07,69.5,69.5,61.0,65.0,38.787537,49952
2000-03-08,66.5,67.0,62.0,65.0,38.787537,28885
2000-03-09,63.0,67.0,63.0,65.0,38.787537,104546
2000-03-10,67.0,69.5,65.0,67.5,40.279369,473785
2000-03-13,69.5,70.0,67.5,67.5,40.279369,6457
2000-03-14,63.0,68.0,63.0,67.5,40.279369,21750
2000-03-15,70.0,70.0,65.5,66.5,39.682648,45382
2000-03-16,69.0,70.0,65.0,67.5,40.279369,27156
2000-03-17,70.0,73.0,66.0,66.5,39.682648,111728
2000-03-20,68.0,70.0,63.0,66.5,39.682648,1266160
2000-03-21,63.5,66.5,63.0,66.5,39.682648,428432
2000-03-22,69.5,70.0,65.5,67.5,40.279369,75101
2000-03-23,69.5,73.0,65.0,70.5,42.069557,559961
2000-03-24,72.5,75.0,68.0,72.5,43.263034999999995,1403869
2000-03-27,70.5,77.0,70.5,76.0,45.351593,668219
2000-03-28,77.0,77.0,75.0,76.0,45.351593,837611
2000-03-29,75.0,78.0,73.0,75.5,45.053211,69599
2000-03-30,74.5,76.5,71.0,74.0,44.158127,132411
2000-03-31,71.0,76.5,71.0,74.0,44.158127,19000
2000-04-03,71.0,77.0,71.0,74.0,44.158127,14079
2000-04-04,76.5,77.0,70.0,73.5,43.859753000000005,45097
2000-04-05,76.5,76.5,73.5,73.5,43.859753000000005,5883
2000-04-06,72.5,75.0,72.5,72.5,43.263034999999995,33736
2000-04-07,74.5,75.0,68.0,71.5,42.666294,17329
2000-04-10,68.5,73.5,68.0,70.5,42.069557,104629
2000-04-11,68.0,72.5,68.0,70.5,42.069557,10664
2000-04-12,72.5,73.0,68.5,70.5,42.069557,22620
2000-04-13,72.0,72.5,70.5,70.5,42.069557,6643
2000-04-14,68.5,70.5,68.5,70.5,42.069557,14201
2000-04-17,68.0,70.0,65.0,67.5,41.951488,30185
2000-04-18,69.5,70.0,67.5,68.5,42.572990000000004,77300
2000-04-19,69.0,73.5,67.0,71.5,44.437484999999995,91504
2000-04-20,68.5,75.0,68.0,71.5,44.437484999999995,14610
2000-04-21,71.5,71.5,71.5,71.5,44.437484999999995,0
2000-04-24,71.5,71.5,71.5,71.5,44.437484999999995,0
2000-04-25,74.5,76.5,73.0,73.5,45.6805,46655
2000-04-26,72.0,77.0,70.0,74.5,46.301998,104800
2000-04-27,77.0,77.0,72.0,75.0,46.612766,78550
2000-04-28,78.0,82.0,77.0,79.5,49.409512,282559
2000-05-01,79.5,79.5,79.5,79.5,49.409512,0
2000-05-02,82.0,82.0,77.0,79.5,49.409512,40483
2000-05-03,75.5,81.5,75.5,79.5,49.409512,24500
2000-05-04,81.0,81.0,79.5,79.5,49.409512,10000
2000-05-05,82.0,82.0,77.0,79.5,49.409512,21500
2000-05-08,81.5,82.0,75.5,78.5,48.788025,48217
2000-05-09,75.5,79.5,75.0,76.5,47.544994,49060
2000-05-10,75.0,77.5,72.0,74.5,46.301998,37666
2000-05-11,71.0,77.5,71.0,74.5,46.301998,25467
2000-05-12,77.0,78.0,71.0,75.5,46.923496,81867
2000-05-15,76.0,76.0,73.0,75.0,46.612766,280000
2000-05-16,78.0,78.0,72.0,75.0,46.612766,126000
2000-05-17,76.5,76.5,71.0,74.0,45.991257,149939
2000-05-18,77.0,77.0,71.0,74.0,45.991257,62661
2000-05-19,71.5,76.5,71.5,74.0,45.991257,8050
2000-05-22,77.0,77.5,73.0,75.5,46.923496,6089
2000-05-23,78.0,78.0,73.5,75.5,46.923496,20490
2000-05-24,71.5,77.0,71.0,74.0,45.991257,23275
2000-05-25,71.5,76.5,71.5,74.0,45.991257,15674
2000-05-26,77.0,78.0,73.5,75.5,46.923496,12770
2000-05-29,75.5,75.5,75.5,75.5,46.923496,0
2000-05-30,73.5,78.0,73.5,75.5,46.923496,12000
2000-05-31,78.0,78.0,73.0,75.5,46.923496,78864
2000-06-01,78.0,78.0,73.5,75.5,46.923496,36522
2000-06-02,78.0,78.0,73.0,75.5,46.923496,17944
2000-06-05,73.0,77.5,73.0,75.5,46.923496,3000
2000-06-06,74.0,78.0,73.5,75.5,46.923496,19091
2000-06-07,77.0,77.0,74.0,75.5,46.923496,30000
2000-06-08,73.0,75.5,73.0,75.5,46.923496,5506
2000-06-09,75.0,78.0,73.0,75.5,46.923496,29802
2000-06-12,71.5,74.0,71.0,74.0,45.991257,11664
2000-06-13,73.0,73.0,73.0,73.0,45.369743,0
2000-06-14,71.5,73.0,71.5,73.0,45.369743,250
2000-06-15,74.0,74.0,72.5,72.5,45.059006,3750
2000-06-16,70.0,75.0,70.0,72.5,45.059006,11937
2000-06-19,70.0,72.5,70.0,72.5,45.059006,79000
2000-06-20,70.5,73.0,70.0,72.5,45.059006,129172
2000-06-21,74.5,74.5,70.5,72.5,45.059006,11612
2000-06-22,71.0,72.5,70.5,72.5,45.059006,4883
2000-06-23,71.0,71.0,65.0,68.5,42.572990000000004,53350
2000-06-26,65.800003,71.300003,65.800003,68.5,42.572990000000004,40978
2000-06-27,65.800003,68.5,57.0,68.5,42.572990000000004,39500
2000-06-28,72.0,73.0,68.0,70.5,43.815983,78149
2000-06-29,72.5,72.5,68.0,70.5,43.815983,16500
2000-06-30,72.5,72.5,71.5,71.5,44.437484999999995,411
2000-07-03,74.5,74.5,72.5,72.5,45.059006,17600
2000-07-04,75.0,75.0,70.0,72.5,45.059006,7879
2000-07-05,70.0,78.5,70.0,76.0,47.234264,123077
2000-07-06,79.0,79.5,78.5,78.5,48.788025,5732
2000-07-07,75.800003,78.5,75.0,78.5,48.788025,35195
2000-07-10,75.0,82.0,75.0,79.5,49.409512,39970
2000-07-11,77.0,81.5,75.5,77.5,48.166503999999996,62754
2000-07-12,79.5,79.5,73.800003,76.5,47.544994,6749
2000-07-13,76.0,76.0,65.0,75.5,46.923496,383634
2000-07-14,73.5,77.5,73.5,75.5,46.923496,28679
2000-07-17,79.300003,82.0,78.5,80.0,49.720287,42189
2000-07-18,82.0,82.0,78.0,80.0,49.720287,202367
2000-07-19,78.0,81.5,78.0,80.0,49.720287,45073
2000-07-20,81.0,82.0,78.5,80.0,49.720287,27963
2000-07-21,79.0,79.0,73.0,73.5,45.6805,376734
2000-07-24,75.0,75.0,70.5,73.5,45.6805,551154
2000-07-25,70.0,73.5,70.0,73.5,45.6805,248039
2000-07-26,70.5,74.5,69.0,69.0,42.883728000000005,50700
2000-07-27,73.0,73.0,71.0,73.0,45.369743,18302
2000-07-28,73.0,73.0,71.5,71.5,44.437484999999995,116353
2000-07-31,73.0,73.0,70.0,71.5,44.437484999999995,36712
2000-08-01,73.0,73.0,70.0,71.5,44.437484999999995,2454813
2000-08-02,77.0,77.0,73.5,73.5,45.6805,49008
2000-08-03,77.0,79.0,74.0,76.0,47.234264,84422
2000-08-04,79.0,80.0,73.800003,77.5,48.166503999999996,1056378
2000-08-07,81.5,86.0,80.0,82.5,51.274029,147354
2000-08-08,84.5,87.0,80.0,83.5,51.895534999999995,74481
2000-08-09,86.5,90.0,85.0,87.5,54.381561,168175
2000-08-10,90.0,97.0,85.0,91.0,56.556793000000006,211347
2000-08-11,88.0,95.0,86.0,88.0,54.69231,75824
2000-08-14,85.0,92.0,85.0,88.5,55.003040000000006,79177
2000-08-15,92.0,92.0,85.0,87.5,54.381561,64059
2000-08-16,86.0,95.0,86.0,92.5,57.489086,132923
2000-08-17,95.0,103.0,95.0,97.5,60.596592,128993
2000-08-18,99.0,105.0,98.0,101.5,63.082611,212868
2000-08-21,105.0,105.0,100.0,102.5,63.704102,80718
2000-08-22,105.0,105.0,98.0,100.5,62.461102000000004,197492
2000-08-23,98.0,100.0,93.0,95.0,59.04281999999999,51538
2000-08-24,90.0,97.0,88.5,91.5,56.867583999999994,42052
2000-08-25,92.5,92.5,88.0,90.5,56.246044,113591
2000-08-28,90.5,90.5,90.5,90.5,56.246044,0
2000-08-29,88.0,94.300003,88.0,92.5,57.489086,88328
2000-08-30,94.5,97.0,90.800003,93.5,58.110592000000004,69504
2000-08-31,97.0,102.0,96.300003,98.5,61.218102,74418
2000-09-01,102.0,102.0,95.0,98.5,61.218102,33587
2000-09-04,101.300003,102.0,95.800003,98.5,61.218102,21357
2000-09-05,96.0,100.0,95.0,96.5,59.975097999999996,52888
2000-09-06,93.800003,99.300003,88.0,96.5,59.975097999999996,58891
2000-09-07,99.300003,100.0,93.0,96.5,59.975097999999996,15850
2000-09-08,99.300003,100.0,93.0,96.5,59.975097999999996,21967
2000-09-11,100.0,100.0,93.0,95.0,59.04281999999999,32852
2000-09-12,95.0,97.0,93.0,95.0,59.04281999999999,33668
2000-09-13,96.5,97.0,93.0,95.0,59.04281999999999,30097
2000-09-14,96.5,96.5,90.5,92.5,57.489086,66617
2000-09-15,90.0,95.0,90.0,92.5,57.489086,88854
2000-09-18,92.0,95.0,90.5,92.5,57.489086,29881
2000-09-19,95.0,95.0,90.5,92.5,57.489086,109551
2000-09-20,90.5,94.5,90.5,92.5,57.489086,5485
2000-09-21,90.0,91.5,87.0,87.5,54.381561,69240
2000-09-22,90.0,92.0,87.0,88.5,55.003040000000006,272730
2000-09-25,87.0,94.300003,87.0,91.5,56.867583999999994,50579
2000-09-26,95.0,95.0,90.0,92.5,57.489086,33134
2000-09-27,94.5,95.0,92.5,92.5,57.489086,13384
2000-09-28,90.5,100.0,90.5,97.5,60.596592,99540
2000-09-29,99.5,100.0,95.0,97.5,60.596592,50101
2000-10-02,99.300003,100.0,93.0,96.5,59.975097999999996,105907
2000-10-03,99.300003,100.0,96.5,96.5,59.975097999999996,24452
2000-10-04,99.300003,100.0,96.5,96.5,59.975097999999996,29014
2000-10-05,99.300003,99.5,95.0,97.5,60.596592,67993
2000-10-06,97.0,97.0,93.5,95.0,59.04281999999999,43116
2000-10-09,94.5,94.5,90.5,92.5,58.536564,13016
2000-10-10,90.5,94.5,90.0,92.5,58.536564,4959
2000-10-11,87.0,89.5,85.0,87.5,55.372432999999994,40798
2000-10-12,90.0,90.0,85.0,87.5,55.372432999999994,27925
2000-10-13,80.5,85.0,80.5,82.5,52.208275,8554
2000-10-16,84.0,87.0,80.0,83.5,52.84111,42383
2000-10-17,80.800003,88.300003,80.0,86.5,54.739596999999996,42704
2000-10-18,90.0,90.0,87.5,87.5,55.372432999999994,5611
2000-10-19,89.5,89.5,85.5,87.5,55.372432999999994,2401
