Date,Open,High,Low,Close,Adj Close,Volume
2007-06-15,143.0,150.0,140.0,150.5,115.58532,31081788
2007-06-18,153.0,159.25,153.0,157.5,120.96138,6808143
2007-06-19,160.0,174.0,159.0,171.5,131.713516,4931435
2007-06-20,174.0,205.0,174.0,185.0,142.081665,13616191
2007-06-21,187.0,202.0,183.0,195.0,149.761688,5087942
2007-06-22,200.0,215.0,200.0,213.5,163.969879,6760602
2007-06-25,215.0,218.0,208.0,208.0,159.74581899999998,5800188
2007-06-26,207.0,210.600006,185.0,193.0,148.225708,1599790
2007-06-27,188.0,188.0,167.0,172.0,132.09750400000001,2045736
2007-06-28,170.0,185.0,168.0,180.0,138.24156200000002,1432010
2007-06-29,181.0,192.75,179.75,185.0,142.081665,3198239
2007-07-02,178.0,185.0,178.0,183.0,140.545639,135153
2007-07-03,185.0,189.0,183.0,185.25,142.273621,265942
2007-07-04,185.0,190.0,185.0,188.0,144.385651,289569
2007-07-05,186.0,193.0,183.0,185.0,142.081665,1640449
2007-07-06,189.0,190.0,183.0,190.0,145.921661,26804
2007-07-09,185.0,199.0,185.0,191.0,146.689667,97679
2007-07-10,195.0,196.5,187.0,189.5,145.53765900000002,474637
2007-07-11,189.5,190.0,174.0,187.75,144.193649,52960
2007-07-12,187.0,188.0,184.0,185.5,142.46563700000002,259883
2007-07-13,186.0,187.0,180.0,185.0,142.081665,167558
2007-07-16,185.0,185.0,183.0,184.5,141.697632,65962
2007-07-17,184.0,186.800003,182.0,184.0,141.313614,41676
2007-07-18,184.0,187.0,183.399994,185.5,142.46563700000002,240671
2007-07-19,184.0,187.0,184.0,185.25,142.273621,704183
2007-07-20,187.0,195.0,185.800003,189.75,145.729691,663696
2007-07-23,190.0,193.0,187.0,188.5,144.769653,3123523
2007-07-24,190.0,195.0,188.0,189.0,145.153671,5432055
2007-07-25,192.0,192.0,187.0,188.5,144.769653,78909
2007-07-26,190.0,192.0,182.100006,188.5,144.769653,141095
2007-07-27,186.0,188.0,182.100006,186.0,142.849655,332865
2007-07-30,189.0,192.0,189.0,191.75,147.26568600000002,61800
