Date,Open,High,Low,Close,Adj Close,Volume
2010-07-22,1.02,1.0275,1.0,1.0,1.0,4282800
2010-07-23,1.02,1.0299,1.026,1.02,1.02,94930
2010-07-26,1.02,1.0275,1.0275,1.02,1.02,70500
2010-07-27,1.02,1.026,1.015,1.02,1.02,2122360
2010-07-28,1.02,1.0299,1.02,1.02,1.02,23820
2010-07-29,1.02,1.024,1.015,1.02,1.02,184700
2010-07-30,0.975716,0.975716,0.975716,0.975716,0.975716,0
2010-08-02,1.025,1.03125,1.029,1.0275,1.0275,154650
2010-08-03,1.0275,1.034,1.03,1.035,1.035,174697
2010-08-04,1.035,1.0435,1.038,1.0375,1.0375,17000
2010-08-05,1.0375,1.0449,1.04,1.0375,1.0375,220341
2010-08-06,1.0375,1.045,1.041,1.0375,1.0375,98000
2010-08-09,1.0375,1.05,1.044,1.0425,1.0425,227400
2010-08-10,1.0425,1.049,1.0475,1.0425,1.0425,203032
2010-08-11,1.0425,1.05,1.05,1.045,1.045,24500
2010-08-12,1.045,1.05,1.05,1.0475,1.0475,131000
2010-08-13,1.05,1.05,1.05,1.0475,1.0475,24375
2010-08-16,1.0475,1.05,1.046,1.0475,1.0475,96865
2010-08-17,1.0475,1.05,1.0474,1.0475,1.0475,62295
2010-08-18,1.0425,1.047,1.045,1.0425,1.0425,16000
2010-08-19,1.0425,1.05325,1.045,1.0475,1.0475,98200
2010-08-20,1.0475,1.055,1.04,1.0525,1.0525,102016
2010-08-23,1.0525,1.06,1.0425,1.05,1.05,48835
2010-08-24,1.05,1.0575,1.055,1.05,1.05,32800
2010-08-25,1.05,1.06,1.04251,1.055,1.055,216101
2010-08-26,1.055,1.06063,1.059,1.055,1.055,51996
2010-08-27,1.055,1.06733,1.061,1.06,1.06,52350
2010-08-31,0.9844,0.9844,0.9844,0.9844,0.9844,0
2010-09-01,1.0625,1.0725,1.07,1.0675,1.0675,80400
2010-09-02,1.0675,1.0725,1.07,1.0675,1.0675,90450
2010-09-03,1.0675,1.074,1.06005,1.0675,1.0675,43500
2010-09-06,1.0675,1.074,1.074,1.07,1.07,57800
2010-09-07,1.07,1.074,1.072,1.07,1.07,77450
2010-09-08,1.07,1.075,1.072,1.07,1.07,34364
2010-09-09,1.0725,1.075,1.0725,1.075,1.075,103200
2010-09-10,1.075,1.075,1.0725,1.075,1.075,44518
2010-09-13,1.075,1.075,1.073,1.0725,1.0725,43800
2010-09-14,1.0675,1.075,1.068,1.0675,1.0675,149750
2010-09-15,1.0675,1.0725,1.07,1.0675,1.0675,55782
2010-09-16,1.0675,1.0725,1.0575,1.0675,1.0675,0
2010-09-17,1.0675,1.075,1.072,1.0675,1.0675,31200
2010-09-20,1.0675,1.074,1.0725,1.0675,1.0675,42000
2010-09-21,1.0675,1.085,1.0575,1.0675,1.0675,109452
2010-09-22,1.0675,1.074,1.072,1.0675,1.0675,139000
2010-09-23,1.0675,1.074,1.0725,1.0675,1.0675,106912
2010-09-24,1.0675,1.074,1.06,1.0675,1.0675,48200
2010-09-27,1.0675,1.075,1.06161,1.0675,1.0675,74703
2010-09-28,1.0675,1.074,1.072,1.065,1.065,44870
2010-09-29,1.0625,1.064,1.05661,1.0575,1.0575,27200
2010-09-30,0.9892,0.9892,0.9892,0.9892,0.9892,0
2010-10-01,1.0425,1.05,1.0425,1.035,1.035,92750
2010-10-04,1.045,1.06,1.0575,1.0525,1.0525,32386
2010-10-05,1.0525,1.06,1.06,1.055,1.055,247705
2010-10-06,1.055,1.06,1.06,1.055,1.055,22422
2010-10-07,1.055,1.06,1.06,1.055,1.055,159585
2010-10-08,1.055,1.06,1.06,1.06,1.06,92097
2010-10-11,1.06,1.065,1.06,1.0625,1.0625,46468
2010-10-12,1.0675,1.07,1.0655,1.0675,1.0675,98835
2010-10-13,1.07,1.08,1.07,1.0775,1.0775,102500
2010-10-14,1.0775,1.085,1.0776,1.08,1.08,119341
2010-10-15,1.08,1.09,1.0776,1.0825,1.0825,80550
2010-10-18,1.0825,1.09,1.0875,1.0825,1.0825,21305
2010-10-19,1.0825,1.09,1.0875,1.085,1.085,27300
2010-10-20,1.085,1.095,1.09,1.095,1.095,79354
2010-10-21,1.095,1.11,1.1,1.1025,1.1025,82400
2010-10-22,1.105,1.11,1.1,1.105,1.105,113350
2010-10-25,1.105,1.11,1.1026,1.105,1.105,31000
2010-10-26,1.105,1.11,1.1,1.105,1.105,38100
2010-10-27,1.105,1.115,1.1,1.1075,1.1075,70665
2010-10-28,1.1075,1.115,1.115,1.11,1.11,5290
2010-10-29,0.977743,0.977743,0.977743,0.977743,0.977743,0
2010-11-01,1.11,1.1175,1.1126,1.115,1.115,23962
2010-11-02,1.115,1.13,1.1225,1.1175,1.1175,88262
2010-11-03,1.1175,1.125,1.125,1.1175,1.1175,15000
2010-11-04,1.12,1.125,1.115,1.12,1.12,256600
2010-11-05,1.12,1.12,1.115,1.12,1.12,62641
2010-11-08,1.12,1.119,1.119,1.1175,1.1175,9028
2010-11-09,1.1175,1.119,1.119,1.1175,1.1175,8825
2010-11-10,1.1175,1.116,1.116,1.115,1.115,5000
2010-11-11,1.115,1.1187,1.1187,1.115,1.115,8700
2010-11-12,1.115,1.1175,1.115,1.115,1.115,8463
2010-11-15,1.115,1.1174,1.1125,1.115,1.115,26500
2010-11-16,1.115,1.11501,1.11501,1.115,1.115,18000
2010-11-17,1.115,1.115,1.11,1.1125,1.1125,30200
2010-11-18,1.1125,1.114,1.11,1.1125,1.1125,136859
2010-11-19,1.1125,1.113,1.11,1.1125,1.1125,7040
2010-11-22,1.1125,1.115,1.1105,1.1125,1.1125,55685
2010-11-23,1.11,1.11,1.105,1.1075,1.1075,25003
2010-11-24,1.1075,1.1069,1.1069,1.1075,1.1075,7000
2010-11-25,1.1075,1.1075,1.1075,1.1075,1.1075,0
2010-11-26,1.1075,1.106,1.103,1.1075,1.1075,69227
2010-11-29,1.105,1.105,1.105,1.1025,1.1025,0
2010-11-30,0.973949,0.973949,0.973949,0.973949,0.973949,0
2010-12-01,1.095,1.099,1.0875,1.095,1.095,23000
2010-12-02,1.095,1.095,1.095,1.095,1.095,0
