Date,Open,High,Low,Close,Adj Close,Volume
2017-11-09,255.0,258.0,250.0,250.0,245.00575299999997,28496161
2017-11-10,250.0,257.947998,249.0,252.0,246.96582,12750006
2017-11-13,250.75,259.25,249.94999700000002,251.0,245.985794,2940717
2017-11-14,250.75,254.25,250.0,252.0,246.96582,518764
2017-11-15,250.5,258.5,250.0,250.5,245.495789,2535905
2017-11-16,251.0,251.0,250.0,250.0,245.00575299999997,2731353
2017-11-17,250.0,253.0,249.020996,250.0,245.00575299999997,1212111
2017-11-20,250.0,250.5,248.0,248.0,243.045715,2431068
2017-11-21,250.0,250.5,250.0,250.0,245.00575299999997,1485772
2017-11-22,250.0,250.5,249.0,250.0,245.00575299999997,1573245
2017-11-23,250.75,251.75,250.0,251.75,246.720795,55566
2017-11-24,251.0,252.5,251.0,252.0,246.96582,25891
2017-11-27,250.0,253.25,250.0,252.5,247.45582599999997,149736
2017-11-28,252.75,252.75,250.0,250.5,245.495789,24216
2017-11-29,250.25,252.0,250.0,250.0,245.00575299999997,432197
2017-11-30,250.0,252.0,250.0,250.0,245.00575299999997,658969
2017-12-01,250.25,251.5,250.25,251.5,246.4758,25410
2017-12-04,250.0,251.75,250.0,251.0,245.985794,23149
2017-12-05,251.25,252.0,250.0,251.0,245.985794,286339
2017-12-06,251.0,251.25,250.75,250.75,245.740784,38902
2017-12-07,251.0,263.5,250.0,251.25,246.23078900000002,180299
2017-12-08,251.0,258.0,250.75,251.0,245.985794,161001
2017-12-11,238.5,251.0,238.5,247.5,242.55571,74527
2017-12-12,250.25,250.25,247.5,250.0,245.00575299999997,17185
2017-12-13,238.5,257.0,238.5,250.0,245.00575299999997,327782
2017-12-14,238.5,250.25,226.5,246.0,241.08567799999997,679621
2017-12-15,257.0,257.0,248.0,249.75,244.76075699999998,59034
2017-12-18,250.0,250.25,239.75,249.75,244.76075699999998,142549
2017-12-19,250.0,251.0,240.5,251.0,245.985794,91930
2017-12-20,253.0,255.75,244.0,251.0,245.985794,63992
2017-12-21,249.75,249.75,240.25,245.5,240.595673,37650
2017-12-22,250.0,250.0,244.75,250.0,245.00575299999997,51480
2017-12-27,256.75,257.0,249.75,257.0,251.86593599999998,65388
2017-12-28,257.0,260.0,252.0,260.0,254.805984,45847
2017-12-29,260.0,260.0,256.0,260.0,254.805984,206362
2018-01-02,261.0,263.399994,260.0,261.0,255.78602599999996,130539
2018-01-03,261.399994,261.799988,260.200012,261.399994,256.17804,12619
2018-01-04,262.0,269.399994,261.200012,269.399994,264.018188,90796
2018-01-05,269.600006,276.0,269.600006,276.0,270.486359,542209
2018-01-08,251.0,275.0,251.0,272.0,266.566284,452863
2018-01-09,260.399994,271.399994,260.399994,270.0,264.606201,48489
2018-01-10,270.600006,271.0,264.799988,271.0,265.586273,50516
2018-01-11,269.0,287.399994,269.0,287.399994,281.65862999999996,211256
2018-01-12,287.0,288.0,275.600006,280.0,274.406433,196461
2018-01-15,283.0,283.0,275.0,283.0,277.346527,37228
2018-01-16,283.399994,284.399994,279.0,281.600006,275.974518,110020
2018-01-17,283.0,293.0,277.600006,282.0,276.366486,313896
2018-01-18,305.600006,305.600006,279.0,281.600006,275.974518,102722
2018-01-19,302.799988,302.799988,283.399994,287.0,281.26663199999996,139658
2018-01-22,275.0,300.0,275.0,300.0,294.006927,93706
2018-01-23,298.0,298.0,287.0,290.0,284.206665,255616
2018-01-24,288.799988,290.0,286.799988,286.799988,281.070618,453612
2018-01-25,287.0,287.200012,282.0,283.0,277.346527,240699
2018-01-26,284.399994,284.399994,280.399994,284.399994,278.718536,33184
2018-01-29,283.0,283.0,275.0,275.0,269.506348,156347
2018-01-30,274.600006,274.600006,270.200012,271.0,265.586273,57500
2018-01-31,268.799988,268.799988,252.399994,252.399994,247.357803,102755
2018-02-01,253.0,275.0,253.0,267.0,261.666138,580469
2018-02-02,267.200012,267.200012,256.0,262.0,256.766052,45275
2018-02-05,262.200012,269.799988,252.0,269.799988,264.410217,165374
2018-02-06,268.600006,270.200012,256.0,268.0,262.646179,40121
2018-02-07,267.0,275.0,260.799988,268.0,262.646179,166543
2018-02-08,270.0,270.0,252.0,266.0,260.686127,81552
2018-02-09,260.0,274.0,260.0,274.0,268.526337,121386
2018-02-12,274.0,280.0,274.0,276.0,270.486359,382539
2018-02-13,276.0,278.0,264.0,274.0,268.526337,142128
2018-02-14,276.0,276.0,264.0,270.0,264.606201,179266
2018-02-15,270.0,270.0,268.0,270.0,264.606201,96545
2018-02-16,272.0,272.0,266.0,270.0,264.606201,113419
2018-02-19,272.0,272.0,260.0,264.0,258.72607400000004,313354
2018-02-20,266.0,272.0,258.0,266.0,260.686127,495497
2018-02-21,268.0,272.0,260.0,264.0,258.72607400000004,313182
2018-02-22,262.0,276.0,252.0,276.0,270.486359,181468
2018-02-23,278.0,278.0,272.0,276.0,270.486359,254363
2018-02-26,278.0,286.0,274.0,280.0,274.406433,129323
2018-02-27,282.0,286.0,278.0,280.0,274.406433,177474
2018-02-28,278.0,282.0,274.0,280.0,274.406433,261557
2018-03-01,284.0,284.0,278.0,280.0,274.406433,574858
2018-03-02,274.0,282.0,274.0,276.0,270.486359,111771
2018-03-05,274.0,280.0,274.0,276.0,270.486359,96533
2018-03-06,278.0,282.0,278.0,282.0,276.366486,175631
2018-03-07,282.0,282.0,276.0,278.0,272.446411,44828
2018-03-08,270.0,280.0,270.0,280.0,274.406433,209250
2018-03-09,282.0,282.0,276.0,278.0,272.446411,180991
2018-03-12,280.0,280.0,274.0,276.0,270.486359,158992
2018-03-13,270.0,282.0,270.0,276.0,270.486359,308054
2018-03-14,272.0,276.0,264.0,266.0,260.686127,206157
2018-03-15,266.0,270.0,248.0,258.0,252.84594700000002,393993
2018-03-16,258.0,266.0,234.0,258.0,252.84594700000002,11586310
2018-03-19,250.0,258.0,244.0,256.0,250.885895,201461
2018-03-20,256.0,256.0,244.0,252.0,246.96582,343737
2018-03-21,232.0,250.0,232.0,250.0,245.00575299999997,187462
2018-03-22,242.0,248.0,242.0,244.0,239.12562599999998,61292
2018-03-23,242.0,242.0,230.0,234.0,229.325394,365274
2018-03-26,234.0,244.0,228.0,228.0,223.445267,49065
2018-03-27,232.0,234.0,226.0,232.0,227.365341,184884
2018-03-28,226.0,240.0,226.0,234.0,229.325394,357280
2018-03-29,242.0,242.0,228.0,240.0,235.205536,325920
2018-04-03,240.0,244.0,232.0,232.0,227.365341,112466
2018-04-04,240.0,240.0,228.0,232.0,227.365341,460023
2018-04-05,236.0,252.0,236.0,246.0,241.08567799999997,531111
2018-04-06,240.0,250.0,240.0,244.0,239.12562599999998,131686
2018-04-09,248.0,250.0,238.0,242.0,237.165573,42279
2018-04-10,242.0,248.0,242.0,246.0,241.08567799999997,90105
2018-04-11,248.0,250.0,244.0,248.0,243.045715,100399
2018-04-12,242.0,246.0,238.0,240.0,235.205536,64585
2018-04-13,246.0,258.0,240.0,250.0,245.00575299999997,609986
2018-04-16,250.0,250.0,244.0,246.0,241.08567799999997,67535
2018-04-17,246.0,252.0,244.0,252.0,246.96582,326126
2018-04-18,252.0,262.0,246.0,254.0,248.925858,331738
2018-04-19,252.0,260.0,252.0,260.0,254.805984,95331
2018-04-20,254.0,264.0,254.0,258.0,252.84594700000002,42669
2018-04-23,254.0,258.0,252.0,258.0,252.84594700000002,95954
2018-04-24,258.0,262.0,256.0,262.0,256.766052,61305
2018-04-25,260.0,262.0,248.0,262.0,256.766052,91377
2018-04-26,262.0,264.0,254.0,258.0,252.84594700000002,29196
2018-04-27,254.0,264.0,254.0,264.0,258.72607400000004,44606
2018-04-30,254.0,262.0,252.0,254.0,248.925858,52677
2018-05-01,258.0,258.0,242.0,244.0,239.12562599999998,48806
2018-05-02,250.0,260.0,244.0,256.0,250.885895,418410
2018-05-03,248.0,254.0,248.0,248.0,244.884171,48756
2018-05-04,250.0,254.0,248.0,248.0,244.884171,53302
2018-05-08,248.0,256.0,248.0,256.0,252.783661,70695
2018-05-09,256.0,260.0,248.0,256.0,252.783661,140391
2018-05-10,250.0,254.0,242.0,242.0,238.959549,86061
2018-05-11,242.0,250.0,236.0,244.0,240.934433,54729
2018-05-14,244.0,248.0,242.0,244.0,240.934433,48861
2018-05-15,252.0,252.0,246.0,246.0,242.909302,121167
2018-05-16,248.0,252.0,246.0,252.0,248.833923,62378
2018-05-17,246.0,252.0,246.0,252.0,248.833923,33399
2018-05-18,252.0,252.0,234.0,244.0,240.934433,85993
2018-05-21,244.0,248.0,240.0,242.0,238.959549,518962
2018-05-22,248.0,248.0,242.0,242.0,238.959549,19696
2018-05-23,240.0,246.0,238.0,238.0,235.00981099999998,62818
2018-05-24,236.0,236.0,230.0,234.0,231.060059,150153
2018-05-25,232.0,240.0,228.0,240.0,236.98467999999997,103580
2018-05-29,234.0,236.0,226.0,236.0,233.03494300000003,69033
2018-05-30,238.0,238.0,232.0,232.0,229.08518999999998,13071
2018-05-31,238.0,238.0,226.0,226.0,223.160568,236451
2018-06-01,230.0,230.0,208.0,222.0,219.210831,97767
2018-06-04,220.0,222.0,214.0,216.0,213.28620899999999,1102496
2018-06-05,212.0,226.0,212.0,214.0,211.31134,352884
2018-06-06,214.0,226.0,214.0,226.0,223.160568,373465
2018-06-07,226.0,226.0,220.0,222.0,219.210831,48905
2018-06-08,228.0,228.0,220.0,226.0,223.160568,46469
2018-06-11,220.0,228.0,220.0,222.0,219.210831,57375
2018-06-12,228.0,230.0,224.0,230.0,227.110321,76690
2018-06-13,222.0,238.0,222.0,234.0,231.060059,86806
2018-06-14,232.0,232.0,228.0,230.0,227.110321,128712
2018-06-15,230.0,230.0,206.0,206.0,203.41185,269937
2018-06-18,212.0,218.0,210.0,216.0,213.28620899999999,108487
2018-06-19,212.0,216.0,210.0,216.0,213.28620899999999,158805
2018-06-20,220.0,234.0,216.0,224.0,221.18569900000003,193808
2018-06-21,222.0,226.0,222.0,226.0,223.160568,1883719
2018-06-22,218.0,228.0,218.0,228.0,225.13545200000002,895417
2018-06-25,224.0,228.0,222.0,222.0,219.210831,68763
2018-06-26,222.0,232.0,222.0,232.0,229.08518999999998,173856
2018-06-27,226.0,236.0,226.0,236.0,233.03494300000003,41814
2018-06-28,228.0,234.0,228.0,232.0,229.08518999999998,53183
2018-06-29,228.0,236.0,228.0,236.0,233.03494300000003,58819
2018-07-02,228.0,236.0,228.0,234.0,231.060059,72670
2018-07-03,226.0,238.0,226.0,230.0,227.110321,837315
2018-07-04,224.0,252.0,224.0,250.0,246.85903900000002,207045
2018-07-05,240.0,250.0,236.0,250.0,246.85903900000002,64621
2018-07-06,248.0,250.0,244.0,248.0,244.884171,222748
2018-07-09,250.0,250.0,242.0,242.0,238.959549,26579
2018-07-10,248.0,248.0,244.0,244.0,240.934433,17342
2018-07-11,248.0,250.0,242.0,244.0,240.934433,33483
2018-07-12,244.0,250.0,240.0,244.0,240.934433,72039
2018-07-13,246.0,252.0,244.0,246.0,242.909302,10513
2018-07-16,252.0,254.0,242.0,247.641006,244.529694,51194
2018-07-17,252.0,252.0,244.0,250.0,246.85903900000002,24384
2018-07-18,260.0,262.0,240.0,244.0,240.934433,89927
2018-07-19,238.0,244.0,232.0,240.0,236.98467999999997,101525
2018-07-20,234.0,242.0,226.0,240.0,236.98467999999997,117107
2018-07-23,242.0,246.0,240.0,244.0,240.934433,8988
2018-07-24,248.0,250.0,240.0,248.0,244.884171,63108
2018-07-25,240.0,248.0,240.0,240.0,236.98467999999997,33765
2018-07-26,244.0,244.0,234.0,244.0,240.934433,41510
2018-07-27,246.0,248.0,238.0,240.0,236.98467999999997,34393
2018-07-30,250.0,250.0,240.0,240.0,236.98467999999997,50656
2018-07-31,242.0,242.0,228.0,228.0,225.13545200000002,69771
2018-08-01,230.0,230.0,218.0,220.0,217.235962,146296
2018-08-02,218.0,228.0,218.0,228.0,225.13545200000002,373178
2018-08-03,222.0,230.0,220.0,228.0,225.13545200000002,206121
2018-08-06,230.0,232.0,226.0,228.0,225.13545200000002,15290
2018-08-07,234.0,242.0,230.0,240.0,236.98467999999997,16482
2018-08-08,230.0,250.0,230.0,244.0,240.934433,36573
2018-08-09,266.0,266.0,236.0,236.0,233.03494300000003,30030
2018-08-10,242.0,248.0,238.0,242.0,238.959549,13348
2018-08-13,252.0,252.0,240.19999700000002,246.0,242.909302,5302
2018-08-14,258.0,258.0,238.80000299999998,245.600006,242.51432799999998,14643
2018-08-15,250.0,250.0,240.0,246.0,242.909302,29671
2018-08-16,239.0,247.80000299999998,238.399994,238.399994,238.399994,16485
2018-08-17,246.0,246.0,235.19999700000002,235.19999700000002,235.19999700000002,6088
2018-08-20,247.0,247.0,222.600006,226.399994,226.399994,58700
2018-08-21,233.0,238.600006,223.399994,228.399994,228.399994,34462
2018-08-22,229.600006,233.80000299999998,222.0,224.600006,224.600006,15969
2018-08-23,225.19999700000002,236.19999700000002,225.0,231.399994,231.399994,37935
2018-08-24,220.0,233.600006,220.0,226.80000299999998,226.80000299999998,17616
2018-08-28,216.0,229.80000299999998,208.600006,220.600006,220.600006,139641
2018-08-29,214.0,220.19999700000002,214.0,220.19999700000002,220.19999700000002,31175
2018-08-30,231.19999700000002,231.19999700000002,217.0,218.0,218.0,43579
2018-08-31,224.80000299999998,225.19999700000002,210.0,220.0,220.0,102074
2018-09-03,225.0,225.0,215.0,222.0,222.0,37387
2018-09-04,225.0,225.0,215.19999700000002,221.0,221.0,15150
2018-09-05,221.80000299999998,221.80000299999998,215.19999700000002,218.0,218.0,59275
2018-09-06,216.0,218.0,210.0,217.80000299999998,217.80000299999998,64253
2018-09-07,212.0,217.80000299999998,203.600006,209.399994,209.399994,59689
2018-09-10,209.80000299999998,210.0,204.399994,206.399994,206.399994,29999
2018-09-11,206.399994,210.0,204.800003,206.199997,206.199997,35178
2018-09-12,213.80000299999998,219.80000299999998,201.600006,210.0,210.0,88331
