Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,191.25,191.25,191.25,191.25,9.382992999999999,0
2000-01-04,191.25,191.25,191.25,191.25,9.382992999999999,0
2000-01-05,191.25,191.25,191.25,191.25,9.382992999999999,500000
2000-01-06,190.0,192.25,190.0,192.25,9.432053999999999,500000
2000-01-07,193.75,193.75,193.75,193.75,9.505647,500000
2000-01-10,201.25,201.25,201.25,201.25,9.873606,500000
2000-01-11,203.75,203.75,203.75,203.75,9.996258000000001,500000
2000-01-12,203.75,203.75,203.75,203.75,9.996258000000001,500000
2000-01-13,203.75,203.75,203.75,203.75,9.996258000000001,500000
2000-01-14,203.75,203.75,203.75,203.75,9.996258000000001,500000
2000-01-17,203.75,203.75,203.75,203.75,9.996258000000001,500000
2000-01-18,203.75,203.75,203.75,203.75,9.996258000000001,500000
2000-01-19,202.0,202.0,202.0,202.0,9.910401,500000
2000-01-20,202.0,202.0,202.0,202.0,9.910401,500000
2000-01-21,202.0,202.0,202.0,202.0,9.910401,500000
2000-01-24,202.0,202.0,202.0,202.0,9.910401,500000
2000-01-25,200.0,200.0,200.0,200.0,9.812274,0
2000-01-26,200.0,200.0,200.0,200.0,9.812274,500000
2000-01-27,200.0,200.0,200.0,200.0,9.812274,500000
2000-01-28,200.0,200.0,200.0,200.0,9.812274,500000
2000-01-31,198.75,198.75,198.75,198.75,9.750952999999999,0
2000-02-01,195.0,195.0,195.0,195.0,9.566972999999999,500000
2000-02-02,195.0,195.0,195.0,195.0,9.566972999999999,500000
2000-02-03,191.25,191.25,191.25,191.25,9.382992999999999,500000
2000-02-04,191.25,191.25,191.25,191.25,9.382992999999999,500000
2000-02-07,186.25,186.25,186.25,186.25,9.137685000000001,500000
2000-02-08,182.5,182.5,182.5,182.5,8.953705000000001,500000
2000-02-09,181.25,181.25,181.25,181.25,8.892377,500000
2000-02-10,177.75,177.75,177.75,177.75,8.720661999999999,500000
2000-02-11,177.0,177.0,177.0,177.0,8.683867,500000
2000-02-14,175.0,175.0,175.0,175.0,8.585744,500000
2000-02-15,172.5,172.5,172.5,172.5,8.463091,500000
2000-02-16,170.0,170.0,170.0,170.0,8.340439,500000
2000-02-17,168.75,168.75,168.75,168.75,8.279110000000001,500000
2000-02-18,168.75,168.75,168.75,168.75,8.279110000000001,500000
2000-02-21,166.0,166.0,166.0,166.0,8.144193,500000
2000-02-22,164.75,164.75,164.75,164.75,8.082863,500000
2000-02-23,162.5,162.5,162.5,162.5,7.9724759999999995,500000
2000-02-24,160.0,160.0,160.0,160.0,7.849823,500000
2000-02-25,155.0,155.0,155.0,155.0,7.604514999999999,500000
2000-02-28,152.5,152.5,152.5,152.5,7.481863000000001,500000
2000-02-29,148.75,152.75,148.75,150.75,7.396004,0
2000-03-01,153.25,153.25,153.25,153.25,7.518657000000001,0
2000-03-02,152.75,152.75,152.75,152.75,7.494127000000001,500000
2000-03-03,161.25,161.25,161.25,161.25,7.911150999999999,500000
2000-03-06,165.0,165.0,165.0,165.0,8.095130000000001,500000
2000-03-07,168.75,168.75,168.75,168.75,8.279110000000001,500000
2000-03-08,168.75,168.75,168.75,168.75,8.279110000000001,500000
2000-03-09,172.0,172.0,172.0,172.0,8.438559,500000
2000-03-10,176.25,176.25,176.25,176.25,8.647071,500000
2000-03-13,179.75,179.75,179.75,179.75,8.818787,500000
2000-03-14,185.25,185.25,185.25,185.25,9.088624000000001,0
2000-03-15,192.5,192.5,192.5,192.5,9.444316,500000
2000-03-16,193.75,193.75,193.75,193.75,9.505647,150000
2000-03-17,203.75,203.75,203.75,203.75,9.996258000000001,150000
2000-03-20,203.75,203.75,203.75,203.75,9.996258000000001,208000
2000-03-21,203.75,203.75,203.75,203.75,9.996258000000001,142000
2000-03-22,204.25,204.25,204.25,204.25,10.020789,142000
2000-03-23,205.75,205.75,205.75,205.75,10.094380000000001,142000
2000-03-24,205.25,205.25,205.25,205.25,10.06985,142000
2000-03-27,205.25,205.25,205.25,205.25,10.06985,142000
2000-03-28,205.25,205.25,205.25,205.25,10.06985,142000
2000-03-29,203.25,203.25,203.25,203.25,9.971727,142000
2000-03-30,199.5,199.5,199.5,199.5,9.787751,142000
2000-03-31,196.5,199.5,196.5,196.5,9.640563,142000
2000-04-03,195.5,195.5,195.5,195.5,9.591502,142000
2000-04-04,192.5,192.5,192.5,192.5,9.444316,142000
2000-04-05,190.0,191.25,190.0,191.25,9.382992999999999,142000
2000-04-06,188.75,188.75,187.5,188.75,9.260337,142000
2000-04-07,190.0,190.0,190.0,190.0,9.321667999999999,142000
2000-04-10,189.75,189.75,189.75,189.75,11.159533999999999,142000
2000-04-11,189.75,189.75,189.75,189.75,11.159533999999999,115160
2000-04-12,192.5,192.5,192.5,192.5,11.321263,115160
2000-04-13,192.5,192.5,192.5,192.5,11.321263,115160
2000-04-14,192.5,192.5,192.5,192.5,11.321263,115160
2000-04-17,187.25,187.25,187.25,187.25,11.012503,115160
2000-04-18,192.5,192.5,192.5,192.5,11.321263,115160
2000-04-19,201.25,201.25,201.25,201.25,11.83587,115160
2000-04-20,201.25,201.25,201.25,201.25,11.83587,115160
2000-04-21,201.25,201.25,201.25,201.25,11.83587,0
2000-04-24,201.25,201.25,201.25,201.25,11.83587,0
2000-04-25,201.25,201.25,197.5,201.25,11.83587,1780
2000-04-26,205.0,205.0,198.5,201.75,11.865273,7980
2000-04-27,200.0,207.5,200.0,206.25,12.129928,30180
2000-04-28,210.0,210.0,202.5,206.25,12.129928,5260
2000-05-01,206.25,206.25,206.25,206.25,12.129928,0
2000-05-02,202.5,206.25,202.5,206.25,12.129928,6950
