Date,Open,High,Low,Close,Adj Close,Volume
2001-01-01,1.11,1.11,1.11,1.11,1.11,0
2001-01-02,1.11,1.12,1.1,1.12,1.12,19020
2001-01-03,1.12,1.12,1.12,1.12,1.12,24670
2001-01-04,1.16,1.17,1.15,1.17,1.17,231000
2001-01-05,1.17,1.17,1.17,1.17,1.17,0
2001-01-08,1.18,1.21,1.17,1.18,1.18,16020
2001-01-09,1.18,1.18,1.18,1.18,1.18,0
2001-01-10,1.18,1.18,1.17,1.18,1.18,24030
2001-01-11,1.17,1.19,1.17,1.19,1.19,171070
2001-01-12,1.2,1.21,1.19,1.21,1.21,26750
2001-01-15,1.21,1.21,1.21,1.21,1.21,0
2001-01-16,1.2,1.23,1.2,1.23,1.23,31640
2001-01-17,1.26,1.26,1.24,1.24,1.24,30000
2001-01-18,1.2,1.26,1.2,1.25,1.25,272500
2001-01-19,1.24,1.26,1.24,1.26,1.26,1500
2001-01-22,1.24,1.27,1.24,1.27,1.27,51260
2001-01-23,1.29,1.29,1.25,1.28,1.28,17270
2001-01-24,1.3,1.3,1.27,1.29,1.29,171860
2001-01-25,1.33,1.37,1.27,1.34,1.34,1155000
2001-01-26,1.35,1.35,1.34,1.35,1.35,1250000
2001-01-29,1.33,1.34,1.33,1.34,1.34,950000
2001-01-30,1.33,1.34,1.32,1.34,1.34,1169000
2001-01-31,1.34,1.37,1.33,1.35,1.35,1724000
2001-02-01,1.35,1.35,1.35,1.35,1.35,0
2001-02-02,1.34,1.35,1.34,1.35,1.35,100000
2001-02-05,1.35,1.35,1.35,1.35,1.35,0
2001-02-06,1.33,1.35,1.33,1.35,1.35,2170
2001-02-07,1.32,1.33,1.32,1.33,1.33,54120
2001-02-08,1.32,1.32,1.27,1.3,1.3,34990
2001-02-09,1.27,1.28,1.27,1.28,1.28,121000
2001-02-12,1.26,1.28,1.26,1.28,1.28,4520
2001-02-13,1.26,1.26,1.24,1.26,1.26,49490
2001-02-14,1.23,1.25,1.23,1.25,1.25,3510
2001-02-15,1.25,1.25,1.25,1.25,1.25,0
2001-02-16,1.22,1.24,1.22,1.24,1.24,33260
2001-02-19,1.24,1.24,1.24,1.24,1.24,0
2001-02-20,1.21,1.24,1.21,1.24,1.24,5520
2001-02-21,1.24,1.24,1.2,1.21,1.21,319260
2001-02-22,1.2,1.2,1.16,1.19,1.19,28850
2001-02-23,1.19,1.19,1.19,1.19,1.19,0
2001-02-26,1.19,1.19,1.19,1.19,1.19,0
2001-02-27,1.16,1.18,1.16,1.18,1.18,135660
2001-02-28,1.17,1.18,1.16,1.18,1.18,180000
2001-03-01,1.16,1.19,1.15,1.18,1.18,106370
2001-03-02,1.16,1.18,1.16,1.18,1.18,40500
2001-03-05,1.15,1.18,1.15,1.18,1.18,1130
2001-03-06,1.19,1.2,1.19,1.2,1.2,20000
2001-03-07,1.2,1.22,1.19,1.22,1.22,3042960
2001-03-08,1.21,1.24,1.18,1.24,1.24,8006880
2001-03-09,1.22,1.24,1.22,1.24,1.24,7500
2001-03-12,1.22,1.23,1.22,1.23,1.23,8000
2001-03-13,1.21,1.22,1.21,1.22,1.22,17600
2001-03-14,1.21,1.22,1.2,1.21,1.21,721250
2001-03-15,1.21,1.21,1.21,1.21,1.21,0
2001-03-16,1.21,1.21,1.21,1.21,1.21,0
2001-03-19,1.21,1.21,1.21,1.21,1.21,0
2001-03-20,1.19,1.22,1.19,1.22,1.22,45510
2001-03-21,1.22,1.22,1.22,1.22,1.22,0
2001-03-22,1.18,1.24,1.18,1.19,1.19,269500
2001-03-23,1.18,1.24,1.18,1.18,1.18,269500
2001-03-26,1.18,1.18,1.18,1.18,1.18,0
2001-03-27,1.18,1.19,1.18,1.19,1.19,120520
2001-03-28,1.17,1.18,1.17,1.18,1.18,6470
2001-03-29,1.19,1.19,1.18,1.18,1.18,250000
2001-03-30,1.17,1.19,1.17,1.18,1.18,136660
2001-04-02,1.17,1.19,1.17,1.18,1.18,1203100
2001-04-03,1.16,1.18,1.16,1.18,1.18,1260
