Date,Open,High,Low,Close,Adj Close,Volume
2007-11-07,102.0,102.0,102.0,102.0,59.976128,0
2007-11-08,102.0,102.0,102.0,102.0,59.976128,0
2007-11-09,102.0,102.0,102.0,102.0,59.976128,0
2007-11-12,102.0,102.0,102.0,102.0,59.976128,0
2007-11-13,101.0,101.0,101.0,101.0,59.388142,0
2007-11-14,100.75,100.75,100.75,100.75,59.241127,0
2007-11-15,100.75,100.75,100.75,100.75,59.241127,0
2007-11-16,100.75,100.75,100.75,100.75,59.241127,0
2007-11-19,100.25,100.25,100.25,100.25,58.947102,0
2007-11-20,100.25,100.25,100.25,100.25,58.947102,0
2007-11-21,100.25,100.25,100.25,100.25,58.947102,0
2007-11-22,100.25,100.25,100.25,100.25,58.947102,0
2007-11-23,100.25,100.25,100.25,100.25,58.947102,0
2007-11-26,100.25,100.25,100.25,100.25,58.947102,0
2007-11-27,100.25,100.25,100.25,100.25,58.947102,0
2007-11-28,100.25,100.25,100.25,100.25,58.947102,0
2007-11-29,100.25,100.25,100.25,100.25,58.947102,0
2007-11-30,100.25,100.25,100.25,100.25,58.947102,0
2007-12-03,100.5,100.5,100.5,100.5,59.094124,0
2007-12-04,100.5,100.5,100.5,100.5,59.094124,0
2007-12-05,100.5,100.5,100.5,100.5,59.094124,0
2007-12-06,100.75,100.75,100.75,100.75,59.241127,0
2007-12-07,102.0,102.0,102.0,102.0,59.976128,0
2007-12-10,102.0,102.0,102.0,102.0,59.976128,0
2007-12-11,102.0,102.0,102.0,102.0,59.976128,0
2007-12-12,102.0,102.0,102.0,102.0,59.976128,0
2007-12-13,102.0,102.0,102.0,102.0,59.976128,0
2007-12-14,102.0,102.0,102.0,102.0,59.976128,0
2007-12-17,101.0,101.0,101.0,101.0,59.388142,0
2007-12-18,101.0,101.0,101.0,101.0,59.388142,0
2007-12-19,101.0,101.0,101.0,101.0,59.388142,0
2007-12-20,101.0,101.0,101.0,101.0,59.388142,0
2007-12-21,101.0,101.0,101.0,101.0,59.388142,0
2007-12-24,101.0,101.0,101.0,101.0,59.388142,0
2007-12-27,101.0,101.0,101.0,101.0,59.388142,0
2007-12-28,101.0,101.0,101.0,101.0,59.388142,0
2007-12-31,101.0,101.0,101.0,101.0,59.388142,0
2008-01-02,101.5,101.5,101.5,101.5,59.682140000000004,0
2008-01-03,101.5,101.5,101.5,101.5,59.682140000000004,0
2008-01-04,101.5,101.5,101.5,101.5,59.682140000000004,0
2008-01-07,101.5,101.5,101.5,101.5,59.682140000000004,0
2008-01-08,101.5,101.5,101.5,101.5,59.682140000000004,0
2008-01-09,102.0,102.0,102.0,102.0,59.976128,0
2008-01-10,102.0,102.0,102.0,102.0,59.976128,0
2008-01-11,102.0,102.0,102.0,102.0,59.976128,0
2008-01-14,102.0,102.0,102.0,102.0,59.976128,0
2008-01-15,102.0,102.0,102.0,102.0,59.976128,0
2008-01-16,102.0,102.0,102.0,102.0,59.976128,0
2008-01-17,102.25,102.25,102.25,102.25,60.123118999999996,0
2008-01-18,102.25,102.25,102.25,102.25,60.123118999999996,0
2008-01-21,102.25,102.25,102.25,102.25,60.123118999999996,0
2008-01-22,102.5,102.5,102.5,102.5,60.27013,0
2008-01-23,102.5,102.5,102.5,102.5,60.27013,0
2008-01-24,102.5,102.5,102.5,102.5,60.27013,0
2008-01-25,103.25,103.25,103.25,103.25,60.711128,0
2008-01-28,104.5,104.5,104.5,104.5,61.446114,0
2008-01-29,104.5,104.5,104.5,104.5,61.446114,0
2008-01-30,104.5,104.5,104.5,104.5,61.446114,0
2008-01-31,104.5,104.5,104.5,104.5,61.446114,0
2008-02-01,105.0,105.0,105.0,105.0,61.740111999999996,0
2008-02-04,106.0,106.0,106.0,106.0,62.328136,0
2008-02-05,109.75,109.75,109.75,109.75,64.533119,0
2008-02-06,109.5,109.5,109.5,109.5,64.386124,0
2008-02-07,112.0,112.0,112.0,112.0,65.856125,0
2008-02-08,112.0,112.0,112.0,112.0,65.856125,0
2008-02-11,112.0,112.0,112.0,112.0,65.856125,0
2008-02-12,113.0,113.0,113.0,113.0,66.444138,0
2008-02-13,112.0,112.0,112.0,112.0,65.856125,0
2008-02-14,111.75,111.75,111.75,111.75,65.709122,0
2008-02-15,111.5,111.5,111.5,111.5,65.56210300000001,0
2008-02-18,111.5,111.5,111.5,111.5,65.56210300000001,0
2008-02-19,111.5,111.5,111.5,111.5,65.56210300000001,0
2008-02-20,109.0,109.0,109.0,109.0,64.09214,0
2008-02-21,108.0,108.0,108.0,108.0,63.504139,0
2008-02-22,107.0,107.0,107.0,107.0,62.91613,0
2008-02-25,107.0,107.0,107.0,107.0,62.91613,0
2008-02-26,107.0,107.0,107.0,107.0,62.91613,0
2008-02-27,107.0,107.0,107.0,107.0,62.91613,0
2008-02-28,107.0,107.0,107.0,107.0,62.91613,0
2008-02-29,106.25,106.25,106.25,106.25,62.475151000000004,0
2008-03-03,105.25,105.25,105.25,105.25,61.887135,0
2008-03-04,104.0,104.0,104.0,104.0,61.152122,0
2008-03-05,104.0,104.0,104.0,104.0,61.152122,0
2008-03-06,103.5,103.5,103.5,103.5,60.858128,0
2008-03-07,103.75,103.75,103.75,103.75,61.005131000000006,0
2008-03-10,104.25,104.25,104.25,104.25,61.299126,0
2008-03-11,104.25,104.25,104.25,104.25,61.299126,0
2008-03-12,104.5,104.5,104.5,104.5,61.446114,0
2008-03-13,104.5,104.5,104.5,104.5,61.446114,0
2008-03-14,105.25,105.25,105.25,105.25,61.887135,0
2008-03-17,102.25,102.25,102.25,102.25,60.123118999999996,0
2008-03-18,102.25,102.25,102.25,102.25,60.123118999999996,0
2008-03-19,102.25,102.25,102.25,102.25,60.123118999999996,0
2008-03-20,102.25,102.25,102.25,102.25,60.123118999999996,0
2008-03-25,102.25,102.25,102.25,102.25,60.123118999999996,0
2008-03-26,102.25,102.25,102.25,102.25,60.123118999999996,0
2008-03-27,102.0,102.0,102.0,102.0,59.976128,0
2008-03-28,102.25,102.25,102.25,102.25,60.123118999999996,0
2008-03-31,102.25,102.25,102.25,102.25,60.123118999999996,0
2008-04-01,102.25,102.25,102.25,102.25,60.123118999999996,0
2008-04-02,102.25,102.25,102.25,102.25,60.123118999999996,0
2008-04-03,102.25,102.25,102.25,102.25,60.123118999999996,0
2008-04-04,102.25,102.25,102.25,102.25,60.123118999999996,0
2008-04-07,102.25,102.25,102.25,102.25,60.123118999999996,0
2008-04-08,102.75,102.75,102.75,102.75,60.417126,0
2008-04-09,102.75,102.75,102.75,102.75,60.417126,0
2008-04-10,102.75,102.75,102.75,102.75,60.417126,0
2008-04-11,102.75,102.75,102.75,102.75,60.417126,0
2008-04-14,102.75,102.75,102.75,102.75,60.417126,0
2008-04-15,102.75,102.75,102.75,102.75,60.417126,0
2008-04-16,102.75,102.75,102.75,102.75,60.417126,0
2008-04-17,102.75,102.75,102.75,102.75,60.417126,0
2008-04-18,102.75,102.75,102.75,102.75,60.417126,0
2008-04-21,102.75,102.75,102.75,102.75,60.417126,0
2008-04-22,102.75,102.75,102.75,102.75,60.417126,0
2008-04-23,102.75,102.75,102.75,102.75,60.417126,0
2008-04-24,103.5,103.5,103.5,103.5,60.858128,0
2008-04-25,103.5,103.5,103.5,103.5,60.858128,0
2008-04-28,103.5,103.5,103.5,103.5,60.858128,0
2008-04-29,103.5,103.5,103.5,103.5,60.858128,0
2008-04-30,103.5,103.5,103.5,103.5,60.858128,0
2008-05-01,103.5,103.5,103.5,103.5,60.858128,0
2008-05-02,103.5,103.5,103.5,103.5,60.858128,0
2008-05-06,105.0,105.0,105.0,105.0,61.740111999999996,0
2008-05-07,106.25,106.25,106.25,106.25,62.475151000000004,0
2008-05-08,106.5,106.5,106.5,106.5,62.622128000000004,0
2008-05-09,106.5,106.5,106.5,106.5,62.622128000000004,0
2008-05-12,106.5,106.5,106.5,106.5,62.622128000000004,0
2008-05-13,106.5,106.5,106.5,106.5,62.622128000000004,0
2008-05-14,106.5,106.5,106.5,106.5,62.622128000000004,0
2008-05-15,106.5,106.5,106.5,106.5,62.622128000000004,0
2008-05-16,106.5,106.5,106.5,106.5,62.622128000000004,0
2008-05-19,106.5,106.5,106.5,106.5,62.622128000000004,0
2008-05-20,107.5,107.5,107.5,107.5,63.210120999999994,0
2008-05-21,107.5,107.5,107.5,107.5,63.210120999999994,0
2008-05-22,107.5,107.5,107.5,107.5,63.210120999999994,0
2008-05-23,107.5,107.5,107.5,107.5,63.210120999999994,0
2008-05-27,107.5,107.5,107.5,107.5,63.210120999999994,0
2008-05-28,107.5,107.5,107.5,107.5,63.210120999999994,0
2008-05-29,107.5,107.5,107.5,107.5,63.210120999999994,0
2008-05-30,107.5,107.5,107.5,107.5,63.210120999999994,0
2008-06-02,107.5,107.5,107.5,107.5,63.210120999999994,0
2008-06-03,107.5,107.5,107.5,107.5,63.210120999999994,0
2008-06-04,107.25,107.25,107.25,107.25,63.063114,0
2008-06-05,107.25,107.25,107.25,107.25,63.063114,0
2008-06-06,107.25,107.25,107.25,107.25,63.063114,0
2008-06-09,107.25,107.25,107.25,107.25,63.063114,0
2008-06-10,106.0,106.0,106.0,106.0,62.328136,0
2008-06-11,106.5,106.5,106.5,106.5,62.622128000000004,0
2008-06-12,106.0,106.0,106.0,106.0,62.328136,0
2008-06-13,106.0,106.0,106.0,106.0,62.328136,0
2008-06-16,106.0,106.0,106.0,106.0,62.328136,0
2008-06-17,106.0,106.0,106.0,106.0,62.328136,0
2008-06-18,106.0,106.0,106.0,106.0,62.328136,0
2008-06-19,105.75,105.75,105.75,105.75,62.181132999999996,0
2008-06-20,105.75,105.75,105.75,105.75,62.181132999999996,0
2008-06-23,105.75,105.75,105.75,105.75,62.181132999999996,0
2008-06-24,105.75,105.75,105.75,105.75,62.181132999999996,0
2008-06-25,105.75,105.75,105.75,105.75,62.181132999999996,0
2008-06-26,105.75,105.75,105.75,105.75,62.181132999999996,0
2008-06-27,105.75,105.75,105.75,105.75,62.181132999999996,0
2008-06-30,105.75,105.75,105.75,105.75,62.181132999999996,0
2008-07-01,105.75,105.75,105.75,105.75,62.181132999999996,0
2008-07-02,104.0,104.0,104.0,104.0,62.09156,0
2008-07-03,103.0,103.0,103.0,103.0,61.494533999999994,0
