Date,Open,High,Low,Close,Adj Close,Volume
2000-01-28,2.316,2.316,2.316,2.316,2.239036,0
2000-01-31,2.2999,2.2999,2.2999,2.2999,2.2234700000000003,0
2000-02-28,2.422,2.422,2.422,2.422,2.341514,0
2000-02-29,2.4539,2.4539,2.4539,2.4539,2.372354,0
2000-03-30,2.488,2.488,2.488,2.488,2.40532,0
2000-03-31,2.501,2.501,2.501,2.501,2.417887,0
2000-04-28,2.4174,2.4174,2.4174,2.4174,2.337066,0
2000-05-30,2.404,2.404,2.404,2.404,2.3241110000000003,0
2000-05-31,2.4141,2.4141,2.4141,2.4141,2.333876,0
2000-06-30,2.4581,2.4581,2.4581,2.4581,2.376414,0
2000-07-28,2.406,2.406,2.406,2.406,2.326045,0
2000-07-31,2.4284,2.4284,2.4284,2.4284,2.3477,0
2000-08-30,2.604,2.604,2.604,2.604,2.517465,0
2000-08-31,2.6214,2.6214,2.6214,2.6214,2.534287,0
2000-09-29,2.492,2.492,2.492,2.492,2.4091869999999997,0
2000-10-30,2.486,2.486,2.486,2.486,2.403387,0
2000-10-31,2.505,2.505,2.505,2.505,2.421755,0
2000-11-29,2.466,2.466,2.466,2.466,2.384051,0
2000-11-30,2.4455,2.4455,2.4455,2.4455,2.364232,0
2000-12-29,2.43,2.43,2.43,2.43,2.349247,0
2001-01-01,2.145,2.145,2.145,2.145,2.073718,0
2001-01-02,2.148,2.148,2.124,2.133,2.0621169999999998,106265
2001-01-03,2.129,2.134,2.105,2.115,2.044715,32290
2001-01-04,2.18,2.18,2.156,2.168,2.095954,11259260
2001-01-05,2.18,2.186,2.152,2.161,2.089187,2260510
2001-01-08,2.16,2.16,2.132,2.143,2.0717849999999998,48335
2001-01-09,2.139,2.156,2.128,2.132,2.06115,62965
2001-01-10,2.13,2.136,2.126,2.127,2.056317,87020
2001-01-11,2.125,2.13,2.125,2.128,2.057283,50175
2001-01-12,2.13,2.134,2.126,2.13,2.059217,495650
2001-01-15,2.132,2.15,2.124,2.144,2.072752,208040
2001-01-16,2.141,2.144,2.13,2.134,2.063084,111340
2001-01-17,2.144,2.18,2.141,2.175,2.102721,209735
2001-01-18,2.178,2.178,2.172,2.174,2.101755,47795
2001-01-19,2.186,2.204,2.18,2.19,2.117223,87390
2001-01-22,2.188,2.196,2.178,2.19,2.117223,67625
2001-01-23,2.187,2.196,2.184,2.19,2.117223,86155
2001-01-24,2.187,2.206,2.187,2.203,2.129791,170300
2001-01-25,2.202,2.21,2.202,2.204,2.130758,52500
2001-01-26,2.206,2.206,2.19,2.198,2.1249569999999998,300230
2001-01-29,2.204,2.21,2.204,2.207,2.133658,174585
2001-01-30,2.21,2.21,2.204,2.207,2.133658,73105
2001-01-31,2.5073,2.5073,2.5073,2.5073,2.423979,0
2001-02-01,2.19,2.19,2.166,2.17,2.097887,54525
2001-02-02,2.16,2.19,2.16,2.175,2.102721,2686165
2001-02-05,2.176,2.18,2.164,2.17,2.097887,63150
2001-02-06,2.164,2.174,2.162,2.172,2.099821,370685
2001-02-07,2.174,2.174,2.165,2.168,2.095954,182630
2001-02-08,2.165,2.171,2.164,2.168,2.095954,39370
2001-02-09,2.171,2.174,2.162,2.171,2.098854,129195
2001-02-12,2.169,2.18,2.169,2.176,2.103688,128705
2001-02-13,2.178,2.18,2.172,2.174,2.101755,33230
2001-02-14,2.178,2.178,2.16,2.168,2.095954,332630
2001-02-15,2.172,2.172,2.164,2.168,2.095954,191880
2001-02-16,2.15,2.172,2.146,2.158,2.086287,346085
2001-02-19,2.17,2.17,2.14,2.153,2.081452,161610
2001-02-20,2.17,2.176,2.158,2.158,2.086287,26890
2001-02-21,2.124,2.15,2.119,2.128,2.057283,113910
2001-02-22,2.122,2.14,2.12,2.128,2.057283,71380
2001-02-23,2.16,2.16,2.099,2.107,2.036981,167395
2001-02-26,2.099,2.13,2.099,2.11,2.0398810000000003,89140
2001-02-27,2.1,2.14,2.1,2.12,2.0495490000000003,112360
2001-02-28,2.417,2.417,2.417,2.417,2.336679,0
2001-03-01,2.12,2.124,2.104,2.113,2.042782,128285
2001-03-02,2.124,2.128,2.086,2.101,2.031181,1318630
2001-03-05,2.09,2.114,2.086,2.105,2.0350479999999997,52165
2001-03-06,2.114,2.136,2.11,2.125,2.054383,86850
2001-03-07,2.14,2.14,2.114,2.133,2.0621169999999998,94325
2001-03-08,2.14,2.15,2.125,2.14,2.068884,153155
2001-03-09,2.122,2.148,2.09,2.095,2.0253799999999997,178665
2001-03-12,2.076,2.076,2.046,2.056,1.9876759999999998,66365
2001-03-13,2.016,2.05,2.016,2.033,1.965441,308810
2001-03-14,2.036,2.04,1.965,2.023,1.955773,1125745
2001-03-15,2.038,2.06,2.026,2.048,1.9799419999999999,120485
2001-03-16,2.06,2.07,2.037,2.037,1.9693080000000003,767505
2001-03-19,2.028,2.048,2.01,2.02,1.9528720000000002,123605
2001-03-20,2.024,2.072,2.024,2.059,1.990576,89140
2001-03-21,2.038,2.04,2.002,2.02,1.9528720000000002,388180
2001-03-22,1.972,1.984,1.938,1.945,1.880365,317635
2001-03-23,1.99,2.0,1.966,1.98,1.914202,183915
2001-03-26,2.02,2.07,2.02,2.06,1.991543,93985
2001-03-27,2.064,2.1,2.03,2.097,2.027313,140790
2001-03-28,2.102,2.102,2.03,2.04,1.9722080000000002,181020
2001-03-29,2.02,2.026,1.998,2.018,1.950939,139130
2001-03-30,2.322,2.322,2.322,2.322,2.244837,0
2001-04-02,2.02,2.04,2.01,2.025,1.9577060000000002,140540
2001-04-03,2.016,2.02,1.98,2.002,1.93547,5029615
2001-04-04,1.96,2.004,1.96,1.995,1.9287029999999998,310570
2001-04-05,2.02,2.044,1.99,2.03,1.9625400000000002,274725
2001-04-06,2.054,2.06,1.974,1.985,1.919036,317110
2001-04-09,1.99,2.016,1.98,2.009,1.9422380000000001,589430
2001-04-10,2.014,2.046,2.004,2.042,1.974141,484280
2001-04-11,2.04,2.05,2.03,2.038,1.970274,78560
2001-04-12,2.046,2.046,2.02,2.035,1.9673740000000002,191740
2001-04-13,2.035,2.035,2.035,2.035,1.9673740000000002,0
2001-04-16,2.035,2.035,2.035,2.035,1.9673740000000002,0
2001-04-17,2.024,2.044,2.01,2.032,1.964474,420175
2001-04-18,2.06,2.066,2.03,2.062,1.993477,462520
2001-04-19,2.074,2.1,2.074,2.085,2.0157119999999997,96305
2001-04-20,2.08,2.112,2.08,2.107,2.036981,604395
2001-04-23,2.114,2.116,2.1,2.105,2.0350479999999997,197290
2001-04-24,2.11,2.118,2.104,2.112,2.041815,507935
2001-04-25,2.104,2.128,2.104,2.125,2.054383,93960
2001-04-26,2.136,2.164,2.134,2.151,2.079519,55585
2001-04-27,2.464,2.464,2.464,2.464,2.382118,0
2001-04-30,2.477,2.477,2.477,2.477,2.394685,0
2001-05-01,2.184,2.2,2.184,2.192,2.1191560000000003,61810
2001-05-02,2.188,2.228,2.188,2.215,2.1413919999999997,156475
2001-05-03,2.2,2.22,2.188,2.188,2.1152889999999998,34095
2001-05-04,2.196,2.214,2.17,2.207,2.133658,289285
2001-05-07,2.207,2.207,2.207,2.207,2.133658,0
2001-05-08,2.21,2.244,2.21,2.229,2.1549270000000003,295060
2001-05-09,2.238,2.238,2.196,2.211,2.137525,1079355
2001-05-10,2.2067900000000003,2.216,2.198,2.216,2.142359,187160
2001-05-11,2.212,2.22,2.194,2.207,2.133658,548515
2001-05-14,2.21,2.21,2.18,2.19,2.117223,225200
2001-05-15,2.2,2.2,2.18,2.19,2.117223,313620
2001-05-16,2.2,2.2,2.176,2.183,2.110456,621605
2001-05-17,2.198,2.216,2.182,2.205,2.131724,469130
2001-05-18,2.192,2.234,2.192,2.22,2.146226,478405
