Date,Open,High,Low,Close,Adj Close,Volume
2000-01-28,5.491,5.491,5.491,5.491,4.282598,0
2000-01-31,5.4416,5.4416,5.4416,5.4416,4.2440690000000005,0
2000-02-28,5.584,5.584,5.584,5.584,4.355132,0
2000-02-29,5.6707,5.6707,5.6707,5.6707,4.422751,0
2000-03-30,5.858,5.858,5.858,5.858,4.568832,0
2000-03-31,5.803,5.803,5.803,5.803,4.525937,0
2000-04-28,6.149,6.149,6.149,6.149,4.795793,0
2000-05-31,6.0847,6.0847,6.0847,6.0847,4.745643,0
2000-06-30,6.212,6.212,6.212,6.212,4.844926,0
2000-07-31,6.1778,6.1778,6.1778,6.1778,4.818255000000001,0
2000-08-31,6.6039,6.6039,6.6039,6.6039,5.150582,0
2000-09-29,6.1293,6.1293,6.1293,6.1293,4.780428,0
2000-10-31,6.0456,6.0456,6.0456,6.0456,4.715147,0
2000-11-30,5.8053,5.8053,5.8053,5.8053,4.52773,0
2000-12-29,5.737,5.737,5.737,5.737,4.47446,0
2001-01-01,5.0,5.0,5.0,5.0,3.899653,0
2001-01-02,4.985,4.99,4.935,4.935,3.848956,51346
2001-01-03,4.87,4.9,4.83,4.84,3.774863,90574
2001-01-04,4.91,4.9275,4.905,4.9175,3.835307,263435
2001-01-05,4.925,4.95,4.92,4.935,3.848956,128387
2001-01-08,4.92,4.94,4.9,4.92,3.8372580000000003,130038
2001-01-09,4.95,4.96,4.92,4.955,3.864554,89182
2001-01-10,4.945,5.127,4.94,5.11,3.985445,8790260
2001-01-11,5.105,5.13,5.1,5.115,3.9893440000000004,1447395
2001-01-12,5.13,5.19,5.12,5.18,4.04004,1110290
2001-01-15,5.17,5.17,5.16,5.165,4.028341,771090
2001-01-16,5.17,5.17,5.15,5.155,4.020543,52355
2001-01-17,5.155,5.22,5.1525,5.22,4.071237,38450
2001-01-18,5.2125,5.23,5.21,5.22,4.071237,81726
2001-01-19,5.215,5.24,5.21,5.215,4.067337,39176
2001-01-22,5.21,5.21,5.2,5.205,4.059537000000001,145031
2001-01-23,5.21,5.21,5.2,5.215,4.067337,65441
2001-01-24,5.22,5.2575,5.22,5.25,4.094633,79790
2001-01-25,5.25,5.26,5.25,5.26,4.102435,69162
2001-01-26,5.26,5.29,5.26,5.285,4.121932,402244
2001-01-29,5.28,5.29,5.28,5.285,4.121932,44124
