Date,Open,High,Low,Close,Adj Close,Volume
2011-04-19,1.0,1.0,1.0,1.0,1.0,0
2011-04-20,1.0225,1.0285,1.0,1.02375,1.02375,476000
2011-04-21,1.0275,1.0275,1.023,1.025,1.025,62500
2011-04-26,1.0225,1.0254,1.02,1.0225,1.0225,226150
2011-04-27,1.02,1.0225,1.02,1.02125,1.02125,374550
2011-04-28,0.984658,0.984658,0.984658,0.984658,0.984658,0
2011-04-29,0.971759,0.971759,0.971759,0.971759,0.971759,0
2011-05-03,1.025,1.0274,1.0225,1.025,1.025,160908
2011-05-04,1.0143,1.025,1.0143,1.0225,1.0225,247900
2011-05-05,1.0225,1.0227,1.02,1.02125,1.02125,175500
2011-05-06,1.02,1.0274,1.0188,1.02375,1.02375,88000
2011-05-09,1.02,1.02,1.02,1.015,1.015,19200
2011-05-10,1.02,1.02,1.015,1.0125,1.0125,957500
2011-05-11,1.0225,1.027,1.0225,1.025,1.025,141750
2011-05-12,1.0275,1.03,1.0225,1.0275,1.0275,422682
2011-05-13,1.0299,1.0299,1.0299,1.0275,1.0275,5250
2011-05-16,1.0275,1.0299,1.0275,1.02875,1.02875,528650
2011-05-17,1.03,1.03,1.02,1.02875,1.02875,86500
2011-05-18,1.0325,1.0325,1.0275,1.03,1.03,431700
2011-05-19,1.0304,1.0325,1.0304,1.03,1.03,371000
2011-05-20,1.03195,1.03195,1.03195,1.03,1.03,9644
2011-05-23,1.025,1.025,1.024,1.0225,1.0225,30800
2011-05-24,1.025,1.0325,1.0249,1.025,1.025,256094
2011-05-25,1.025,1.0314,1.025,1.02875,1.02875,93601
2011-05-26,1.03,1.0314,1.0246,1.02875,1.02875,62750
2011-05-27,1.0325,1.0325,1.03049,1.02875,1.02875,145100
2011-05-31,0.9803,0.9803,0.9803,0.9803,0.9803,0
2011-06-01,1.0325,1.033,1.03,1.03,1.03,508750
2011-06-02,1.03,1.0325,1.0275,1.0275,1.0275,380378
2011-06-03,1.0275,1.03,1.0275,1.02875,1.02875,676656
2011-06-06,1.03,1.03,1.0255100000000001,1.0275,1.0275,141800
2011-06-07,1.03,1.03,1.03,1.0275,1.0275,35500
2011-06-08,1.03,1.03,1.0275,1.03,1.03,471502
2011-06-09,1.03,1.03,1.02,1.03,1.03,3662227
2011-06-10,1.03,1.03,1.02,1.02875,1.02875,558016
2011-06-13,1.0275,1.03,1.0255100000000001,1.0275,1.0275,973565
2011-06-14,1.03,1.03,1.02,1.0275,1.0275,1030681
2011-06-15,1.0275,1.03,1.0275,1.03,1.03,1493368
2011-06-16,1.03,1.03,1.02,1.03,1.03,5402622
2011-06-17,1.025,1.0275,1.02,1.02,1.02,2490993
2011-06-20,1.03,1.03,1.02,1.02,1.02,21381
2011-06-21,1.0275,1.03,1.0275,1.02875,1.02875,214093
2011-06-22,1.03,1.03,1.03,1.03,1.03,41687
2011-06-23,1.03,1.03,1.02651,1.0275,1.0275,110187
2011-06-24,1.03,1.03,1.03,1.0275,1.0275,2055
2011-06-27,1.03,1.03,1.02651,1.02875,1.02875,88182
2011-06-28,1.025,1.03,1.025,1.03,1.03,13248
2011-06-29,1.03,1.03,1.0236,1.02625,1.02625,310573
2011-06-30,0.9728,0.9728,0.9728,0.9728,0.9728,0
2011-07-01,1.0285,1.0289,1.0225,1.0275,1.0275,22446
2011-07-04,1.03,1.03,1.0275,1.03,1.03,193841
2011-07-05,1.0299,1.03,1.0299,1.03,1.03,66864
2011-07-06,1.0275,1.0299,1.02,1.0275,1.0275,345340
2011-07-07,1.0275,1.03,1.025,1.025,1.025,1179555
2011-07-08,1.0275,1.0275,1.0274,1.02625,1.02625,381980
2011-07-11,1.01625,1.0275,1.01625,1.0275,1.0275,65099
2011-07-12,1.025,1.025,1.025,1.0225,1.0225,10500
2011-07-13,1.0274,1.0274,1.0176,1.0225,1.0225,485750
2011-07-14,1.0275,1.0275,1.025,1.0225,1.0225,56709
2011-07-15,1.0249,1.025,1.0249,1.02375,1.02375,36550
2011-07-18,1.0225,1.0225,1.0225,1.0225,1.0225,21
2011-07-19,1.02,1.025,1.02,1.025,1.025,16496
2011-07-20,1.025,1.025,1.02125,1.0225,1.0225,41187
2011-07-21,1.025,1.025,1.0225,1.0225,1.0225,187134
2011-07-22,1.02,1.0275,1.02,1.0275,1.0275,103019
2011-07-25,1.0275,1.0275,1.0221,1.02375,1.02375,57000
2011-07-26,1.0275,1.0275,1.0196,1.0225,1.0225,337600
2011-07-27,1.0275,1.0275,1.0221,1.025,1.025,32937
2011-07-28,1.025,1.025,1.02,1.0225,1.0225,108300
2011-07-29,0.9762,0.9762,0.9762,0.9762,0.9762,0
2011-08-01,1.0275,1.0275,1.0236100000000001,1.025,1.025,168468
2011-08-02,1.0275,1.0275,1.0275,1.0275,1.0275,55643
2011-08-03,1.0175,1.0275,1.0125,1.02,1.02,163711
2011-08-04,1.0275,1.0275,1.01611,1.02125,1.02125,21822
2011-08-05,1.0125,1.0225,1.0125,1.01875,1.01875,341000
2011-08-08,1.0125,1.02389,1.0125,1.01875,1.01875,223800
2011-08-09,1.01,1.015,1.0025,1.01125,1.01125,168594
2011-08-10,1.0175,1.0175,1.01,1.01125,1.01125,49728
2011-08-11,1.015,1.02,1.015,1.02,1.02,39103
2011-08-12,1.01949,1.01949,1.01051,1.015,1.015,32979
2011-08-15,1.01,1.01,1.0025,1.00625,1.00625,131469
2011-08-16,1.00875,1.0125,1.0034,1.0125,1.0125,19685
2011-08-17,1.0025,1.0025,0.99,0.99375,0.99375,286298
2011-08-18,0.9875,0.99475,0.975,0.9775,0.9775,106744
2011-08-19,0.97,0.9915,0.96,0.97,0.97,625535
2011-08-22,0.9725,0.9725,0.966,0.9675,0.9675,41813
2011-08-23,0.9675,0.97,0.965,0.97,0.97,273200
2011-08-24,0.97,0.97,0.9661,0.97125,0.97125,22500
2011-08-25,0.975,0.975,0.975,0.975,0.975,131096
2011-08-26,0.97125,0.97125,0.9696,0.97125,0.97125,19060
2011-08-30,0.9675,0.98,0.9675,0.97375,0.97375,167993
2011-08-31,0.9309,0.9309,0.9309,0.9309,0.9309,0
2011-09-01,0.9825,0.9825,0.9825,0.9825,0.9825,0
2011-09-02,0.9875,0.9875,0.9746,0.98125,0.98125,65100
2011-09-05,0.98,0.9874,0.9746,0.98,0.98,68100
2011-09-06,0.9825,0.9825,0.9725,0.9725,0.9725,297626
2011-09-07,0.984,0.98639,0.98,0.9775,0.9775,189667
2011-09-08,0.984,0.98639,0.98,0.9775,0.9775,189667
2011-09-09,0.97,0.97,0.97,0.97125,0.97125,40726
2011-09-12,0.975,0.975,0.975,0.9675,0.9675,3000
2011-09-13,0.9725,0.9775,0.9775,0.9775,0.9775,6868
2011-09-14,0.9725,0.9775,0.9605100000000001,0.9675,0.9675,5850
2011-09-15,0.975,0.975,0.961,0.975,0.975,56168
2011-09-16,0.96,0.96,0.96,0.9575,0.9575,7438
2011-09-19,0.9575,0.9575,0.9575,0.9575,0.9575,0
2011-09-20,0.965,0.97,0.9586,0.96375,0.96375,74423
2011-09-21,0.965,0.97,0.965,0.965,0.965,50180
2011-09-22,0.96,0.96,0.9535,0.96,0.96,42910
2011-09-23,0.95,0.965,0.945,0.9625,0.9625,207327
2011-09-26,0.9575,0.96,0.9575,0.955,0.955,289311
2011-09-27,0.97,0.9728,0.95521,0.97,0.97,23908
2011-09-28,0.97,0.975,0.97,0.97,0.97,67372
2011-09-29,0.96,0.96,0.96,0.965,0.965,67964
2011-09-30,0.9278,0.9278,0.9278,0.9278,0.9278,0
2011-10-03,0.9525,0.97,0.945,0.94625,0.94625,345042
2011-10-04,0.94625,0.94625,0.94625,0.94625,0.94625,0
2011-10-05,0.95,0.95,0.9425,0.9475,0.9475,86199
2011-10-06,0.9436,0.95363,0.9436,0.95,0.95,174626
2011-10-07,0.945,0.945,0.945,0.945,0.945,393
2011-10-10,0.9575,0.9575,0.9575,0.9525,0.9525,57500
2011-10-11,0.9525,0.9525,0.945,0.9525,0.9525,91000
2011-10-12,0.96,0.97,0.9525,0.9625,0.9625,219600
2011-10-13,0.965,0.965,0.95,0.95,0.95,16234
2011-10-14,0.9546,0.97,0.9546,0.96125,0.96125,16400
2011-10-17,0.97,0.97,0.965,0.965,0.965,47765
2011-10-18,0.9575,0.9575,0.9575,0.96625,0.96625,10000
2011-10-19,0.96,0.97,0.955,0.9625,0.9625,204250
2011-10-20,0.97,0.97,0.96,0.96,0.96,19069
2011-10-21,0.9625100000000001,0.9625100000000001,0.9625100000000001,0.965,0.965,18000
2011-10-24,0.97,0.97,0.97,0.965,0.965,51900
2011-10-25,0.97,0.98,0.965,0.965,0.965,45152
2011-10-26,0.98,0.98,0.98,0.97125,0.97125,168000
2011-10-27,0.9675,0.98,0.9675,0.9775,0.9775,40600
2011-10-28,0.98,0.98,0.97,0.98,0.98,224854
2011-10-31,0.945883,0.945883,0.945883,0.945883,0.945883,0
2011-11-01,0.975,0.9775,0.97,0.9775,0.9775,56132
2011-11-02,0.97,0.97,0.93,0.965,0.965,193894
2011-11-03,0.98,0.98,0.97849,0.98,0.98,49731
2011-11-04,0.9725,0.98,0.9725,0.965,0.965,134000
2011-11-07,0.975,0.975,0.9625,0.97125,0.97125,79530
2011-11-08,0.98,0.98,0.97849,0.9775,0.9775,439559
2011-11-09,0.97,0.9725,0.965,0.96875,0.96875,56000
2011-11-10,0.97249,0.97249,0.97249,0.96875,0.96875,6200
2011-11-11,0.9625,0.972,0.9625,0.97,0.97,106782
2011-11-14,0.965,0.965,0.965,0.9675,0.9675,59460
2011-11-15,0.965,0.97,0.9625,0.96,0.96,205421
2011-11-16,0.9625,0.9625,0.955,0.96,0.96,159399
2011-11-17,0.955,0.955,0.95,0.9525,0.9525,28450
2011-11-18,0.95749,0.95749,0.945,0.9525,0.9525,19970
2011-11-21,0.945,0.955,0.945,0.9475,0.9475,70000
2011-11-22,0.95249,0.95249,0.95249,0.94875,0.94875,26350
2011-11-23,0.935,0.935,0.935,0.935,0.935,349
2011-11-24,0.9474899999999999,0.9475,0.935,0.945,0.945,57294
2011-11-25,0.9473,0.9473,0.9469,0.945,0.945,41450
2011-11-28,0.94,0.94,0.94,0.945,0.945,6000
2011-11-29,0.94,0.955,0.94,0.9475,0.9475,41430
2011-11-30,0.9327190000000001,0.9327190000000001,0.9327190000000001,0.9327190000000001,0.9327190000000001,0
2011-12-01,0.94,0.95249,0.94,0.94,0.94,44420
2011-12-02,0.9525,0.9525,0.9525,0.94625,0.94625,47712
2011-12-05,0.95,0.95,0.94,0.94,0.94,76965
2011-12-06,0.9525,0.9525,0.9525,0.94625,0.94625,9000
2011-12-07,0.95,0.95,0.9489,0.9425,0.9425,91750
2011-12-08,0.9474899999999999,0.9474899999999999,0.935,0.935,0.935,23260
2011-12-09,0.9475,0.9475,0.93,0.93,0.93,37481
2011-12-12,0.94499,0.94499,0.93,0.93875,0.93875,13451
2011-12-13,0.9434,0.9434,0.9325,0.935,0.935,20486
2011-12-14,0.935,0.945,0.93,0.945,0.945,73703
2011-12-15,0.9399,0.945,0.9399,0.9375,0.9375,65519
2011-12-16,0.94,0.94,0.93,0.93,0.93,192659
2011-12-19,0.93,0.9439,0.925,0.925,0.925,137058
2011-12-20,0.9374899999999999,0.9374899999999999,0.92551,0.9325,0.9325,49330
2011-12-21,0.9375,0.9375,0.92551,0.9325,0.9325,32225
2011-12-22,0.935,0.9375,0.935,0.935,0.935,59500
2011-12-23,0.93999,0.93999,0.93999,0.93625,0.93625,10000
2011-12-28,0.9425,0.9425,0.9425,0.93625,0.93625,12500
2011-12-29,0.93999,0.9425,0.9355100000000001,0.93875,0.93875,94600
2011-12-30,0.93999,0.93999,0.93999,0.93875,0.93875,10600
2012-01-03,0.94,0.94,0.94,0.93625,0.93625,16000
2012-01-04,0.93,0.94199,0.93,0.93625,0.93625,51651
2012-01-05,0.945,0.945,0.9449,0.94,0.94,145468
2012-01-06,0.9499,0.955,0.9499,0.94875,0.94875,28900
2012-01-09,0.955,0.9629,0.955,0.95875,0.95875,125590
2012-01-10,0.96,0.965,0.96,0.9625,0.9625,62000
2012-01-11,0.945,0.9625,0.945,0.9625,0.9625,28143
2012-01-12,0.9625,0.9625,0.955,0.95875,0.95875,158337
2012-01-13,0.9525,0.9625,0.95,0.95625,0.95625,153970
2012-01-16,0.9625,0.9625,0.96,0.95625,0.95625,62140
2012-01-17,0.965,0.965,0.9525,0.9575,0.9575,93299
2012-01-18,0.965,0.9725,0.965,0.9725,0.9725,723061
2012-01-19,0.9725,0.975,0.9686,0.97125,0.97125,100903
2012-01-20,0.975,0.975,0.9675,0.97375,0.97375,147199
2012-01-23,0.9775,0.98,0.9686,0.9775,0.9775,397724
2012-01-24,0.98,0.9825,0.9675,0.9675,0.9675,3952844
2012-01-25,0.9675,0.9725,0.965,0.97,0.97,276248
2012-01-26,0.975,0.9775,0.9725,0.975,0.975,374205
2012-01-27,0.98,0.98,0.97051,0.9775,0.9775,37568
2012-01-30,0.98,0.98,0.97,0.97875,0.97875,134357
2012-01-31,0.9636,0.9636,0.9636,0.9636,0.9636,0
2012-02-01,0.98,0.98,0.9775,0.97875,0.97875,549441
2012-02-02,0.9825,0.99,0.9725,0.99,0.99,257398
2012-02-03,0.985,0.99,0.98,0.98625,0.98625,181784
2012-02-06,0.99,0.99,0.98,0.98375,0.98375,57738
2012-02-07,0.9875,0.9875,0.98125,0.9875,0.9875,117409
2012-02-08,0.99,0.995,0.982,0.9875,0.9875,79795
2012-02-09,0.99,0.995,0.99,0.995,0.995,58655
2012-02-10,0.9875,1.0,0.985,0.98875,0.98875,153547
2012-02-13,0.995,0.9974,0.985,0.99125,0.99125,242274
2012-02-14,0.985,0.995,0.985,0.9925,0.9925,88396
2012-02-15,1.0,1.0025,0.99625,1.0,1.0,160996
2012-02-16,1.0025,1.0025,0.9925,0.995,0.995,623321
2012-02-17,1.0,1.0,0.985,0.995,0.995,95185
2012-02-20,1.0,1.0,0.9921,0.995,0.995,31694
2012-02-21,0.995,0.995,0.99,0.99,0.99,192263
2012-02-22,0.99,0.99975,0.99,0.9975,0.9975,54000
2012-02-23,1.0,1.0046,0.995,1.0025,1.0025,219651
2012-02-24,0.9975,1.005,0.9975,1.00125,1.00125,184943
2012-02-27,1.0,1.0049,0.9961,1.0,1.0,47557
2012-02-28,1.005,1.005,0.995,1.005,1.005,81615
2012-02-29,0.9728,0.9728,0.9728,0.9728,0.9728,0
2012-03-01,1.0075,1.01,0.995,1.0075,1.0075,134692
2012-03-02,0.9975,1.0099,0.9975,1.00375,1.00375,88001
2012-03-05,1.01,1.01,1.0,1.00375,1.00375,100652
2012-03-06,1.0,1.00281,0.995,0.9975,0.9975,137136
2012-03-07,0.9975,0.9975,0.986,0.9975,0.9975,86911
2012-03-08,0.9975,0.9975,0.9895,0.99,0.99,282467
2012-03-09,0.995,0.997,0.99,0.995,0.995,208432
2012-03-12,0.9975,0.9975,0.9936,0.9975,0.9975,58041
2012-03-13,0.9975,0.9975,0.9936,0.9975,0.9975,80226
2012-03-14,0.9975,0.9975,0.995,0.9975,0.9975,153213
2012-03-15,0.9975,0.9975,0.99,0.9975,0.9975,77586
2012-03-16,0.9975,0.9975,0.99,0.9975,0.9975,3428285
2012-03-19,0.9975,0.9975,0.9911,0.9975,0.9975,488769
2012-03-20,0.9975,0.9975,0.99,0.99,0.99,278304
2012-03-21,0.9975,0.9975,0.9915,0.995,0.995,235165
2012-03-22,0.9945,0.9975,0.991,0.9975,0.9975,220151
2012-03-23,0.9975,0.9975,0.993,0.9975,0.9975,570243
2012-03-26,0.9975,0.9975,0.9915,0.9925,0.9925,78024
2012-03-27,0.9975,0.9975,0.9920100000000001,0.9975,0.9975,117301
2012-03-28,0.997,0.9975,0.9915,0.992,0.992,117831
2012-03-29,0.9975,0.9975,0.99,0.991,0.991,173308
2012-03-30,0.9809,0.9809,0.9809,0.9809,0.9809,0
2012-04-02,0.983,0.997,0.983,0.997,0.997,291319
2012-04-03,0.997,0.997,0.988,0.9925,0.9925,94202
2012-04-04,0.9925,0.997,0.9855,0.997,0.997,242698
2012-04-05,0.989,0.997,0.989,0.997,0.997,126496
2012-04-10,0.995,0.9965,0.9875,0.9905,0.9905,134283
2012-04-11,0.9875,0.997,0.9875,0.997,0.997,112294
2012-04-12,0.9965,0.9967,0.992,0.9965,0.9965,1632741
2012-04-13,0.996,0.9975,0.9925,0.9925,0.9925,148143
2012-04-16,0.99,0.999,0.99,0.996,0.996,259053
2012-04-17,0.9925,1.005,0.9925,1.005,1.005,219749
2012-04-18,0.9975,1.0,0.9925,1.0,1.0,257681
2012-04-19,0.992,1.0,0.992,1.0,1.0,309504
2012-04-20,0.993,1.005,0.993,1.005,1.005,227917
2012-04-23,1.002,1.007,0.997,0.998,0.998,109988
2012-04-24,1.005,1.005,0.996,0.9975,0.9975,267844
2012-04-25,0.9975,1.002,0.9975,0.999,0.999,289657
2012-04-26,0.9995,1.002,0.996,1.001,1.001,682381
2012-04-27,0.995,1.003,0.995,1.002,1.002,159381
2012-04-30,0.9675239999999999,0.9675239999999999,0.9675239999999999,0.9675239999999999,0.9675239999999999,0
2012-05-01,0.992,1.001,0.992,1.001,1.001,33643
2012-05-02,1.001,1.005,0.99344,1.005,1.005,271587
2012-05-03,1.0,1.001,0.994,1.001,1.001,152096
2012-05-04,0.994,1.0,0.994,0.997,0.997,123980
2012-05-08,0.9915,0.9965,0.985,0.9925,0.9925,149460
2012-05-09,0.9945,1.0,0.985,1.0,1.0,303857
2012-05-10,0.9885,0.998,0.9885,0.998,0.998,109324
2012-05-11,0.9885,0.999,0.9885,0.999,0.999,134666
2012-05-14,0.9905,1.0,0.9905,1.0,1.0,236568
2012-05-15,1.0,1.0,0.993,0.998,0.998,187970
2012-05-16,0.9855,0.995,0.9855,0.994,0.994,211313
2012-05-17,0.9955,0.9965,0.985,0.985,0.985,151997
2012-05-18,0.994,0.997,0.985,0.994,0.994,345191
2012-05-21,0.983,0.9945,0.9825,0.983,0.983,230290
2012-05-22,0.986,0.9935,0.962,0.962,0.962,611203
2012-05-23,0.966,0.97,0.962,0.968,0.968,264630
2012-05-24,0.968,0.9725,0.967,0.97,0.97,120661
2012-05-25,0.972,0.9795,0.9705,0.975,0.975,196691
2012-05-29,0.975,0.9825,0.974,0.981,0.981,233346
2012-05-30,0.978,0.9845,0.9755,0.976,0.976,152417
2012-05-31,0.9536309999999999,0.9536309999999999,0.9536309999999999,0.9536309999999999,0.9536309999999999,0
2012-06-01,0.975,0.985,0.975,0.9825,0.9825,159892
2012-06-06,0.985,0.9925,0.98229,0.992,0.992,78492
2012-06-07,0.981,0.994,0.981,0.994,0.994,156129
2012-06-08,0.994,0.995,0.9845,0.995,0.995,259013
2012-06-11,0.992,0.998,0.985,0.99,0.99,241362
2012-06-12,0.995,0.995,0.9805,0.9805,0.9805,243647
2012-06-13,0.99,0.99,0.976,0.976,0.976,212210
2012-06-14,0.98,0.985,0.975,0.984,0.984,152088
2012-06-15,0.9765,0.984,0.9597600000000001,0.96,0.96,849435
2012-06-18,0.97,0.97,0.965,0.965,0.965,188358
2012-06-19,0.9655,0.9745,0.965,0.965,0.965,178677
2012-06-20,0.97,0.97,0.965,0.965,0.965,172680
2012-06-21,0.97,0.97,0.965,0.97,0.97,203800
2012-06-22,0.9745,0.979,0.96601,0.979,0.979,176702
2012-06-25,0.98,0.985,0.972,0.972,0.972,296527
2012-06-26,0.98,0.98,0.97301,0.978,0.978,139868
2012-06-27,0.9795,0.984,0.97362,0.984,0.984,223351
2012-06-28,0.982,0.9844,0.976,0.976,0.976,289439
2012-06-29,0.983,0.985,0.976,0.985,0.985,154497
2012-07-02,0.9825,0.985,0.97921,0.985,0.985,127560
2012-07-03,0.9845,0.985,0.977,0.985,0.985,178909
2012-07-04,0.985,0.985,0.98182,0.983,0.983,118388
2012-07-05,0.985,0.985,0.983,0.983,0.983,138141
2012-07-06,0.985,0.985,0.9815,0.985,0.985,120206
2012-07-09,0.98,0.985,0.98,0.984,0.984,410489
2012-07-10,0.9845,0.9845,0.98,0.982,0.982,213156
2012-07-11,0.972,0.9745,0.9675,0.97,0.97,1133305
2012-07-12,0.97,0.975,0.9675,0.97,0.97,481078
2012-07-13,0.975,0.975,0.96925,0.973,0.973,396053
2012-07-16,0.975,0.9775,0.972,0.973,0.973,318758
2012-07-17,0.9775,0.98,0.97,0.97,0.97,283450
2012-07-18,0.9775,0.981,0.972,0.977,0.977,158118
2012-07-19,0.975,0.984,0.975,0.984,0.984,270157
2012-07-20,0.984,0.984,0.975,0.9835,0.9835,2617668
2012-07-23,0.975,0.984,0.975,0.982,0.982,238729
2012-07-24,0.978,0.99979,0.978,0.989,0.989,657457
2012-07-25,0.989,0.989,0.98,0.98,0.98,256082
2012-07-26,0.98,0.98431,0.978,0.984,0.984,274043
2012-07-27,0.985,0.985,0.981,0.982,0.982,155946
2012-07-30,0.9825,0.9875,0.9805200000000001,0.9865,0.9865,116091
2012-07-31,0.998353,0.998353,0.998353,0.998353,0.998353,0
2012-08-01,0.988,0.99,0.982,0.9875,0.9875,269748
2012-08-02,0.991,0.991,0.984,0.989,0.989,191686
2012-08-03,0.988,0.9925,0.987,0.9905,0.9905,148243
2012-08-06,0.9945,0.995,0.98851,0.995,0.995,157438
2012-08-07,0.99,0.994,0.98695,0.9925,0.9925,149910
2012-08-08,0.9875,0.992,0.9875,0.99,0.99,416194
2012-08-09,0.9865,0.992,0.9865,0.988,0.988,231023
2012-08-10,0.9905,0.991,0.98521,0.991,0.991,75122
2012-08-13,0.985,0.992,0.9827100000000001,0.992,0.992,104982
2012-08-14,0.991,0.991,0.983,0.983,0.983,195527
2012-08-15,0.985,0.989,0.9828,0.985,0.985,47091
2012-08-16,0.992,0.992,0.983,0.989,0.989,123397
2012-08-17,0.99,0.992,0.9875,0.99,0.99,258532
2012-08-20,0.995,0.995,0.989,0.995,0.995,105973
2012-08-21,0.9925,0.999,0.986,0.9975,0.9975,425336
2012-08-22,0.994,0.998,0.9921200000000001,0.998,0.998,189298
2012-08-23,0.997,1.0015,0.9916,1.001,1.001,328125
2012-08-24,1.0,1.005,0.998,1.005,1.005,205812
2012-08-28,1.003,1.005,0.995,0.999,0.999,203177
2012-08-29,0.998,0.999,0.99,0.99,0.99,303905
2012-08-30,0.99,0.994,0.99,0.993,0.993,164763
2012-08-31,1.00705,1.00705,1.00705,1.00705,1.00705,0
2012-09-03,0.999,0.999,0.995,0.9985,0.9985,112729
2012-09-04,0.995,0.9965,0.9915,0.995,0.995,165934
2012-09-05,0.999,0.999,0.992,0.995,0.995,121512
2012-09-06,0.999,0.999,0.9915,0.996,0.996,514868
2012-09-07,0.995,0.9975,0.995,0.9975,0.9975,93495
2012-09-10,0.995,0.9985,0.993,0.9935,0.9935,292162
2012-09-11,0.997,0.997,0.9944799999999999,0.996,0.996,99243
