Date,Open,High,Low,Close,Adj Close,Volume
2009-09-01,2.4231,2.4231,2.4231,2.4231,1.518683,0
2009-09-02,262.5,280.0,262.5,275.0,172.35681200000002,13875
2009-09-03,275.0,275.0,272.0,275.0,172.35681200000002,1700
2009-09-04,275.0,280.0,275.0,275.0,172.35681200000002,4875
2009-09-07,275.0,280.0,275.0,275.0,172.35681200000002,2525
2009-09-08,275.0,275.0,275.0,275.0,172.35681200000002,0
2009-09-09,275.0,275.0,275.0,275.0,172.35681200000002,0
2009-09-10,275.0,280.0,275.0,275.0,172.35681200000002,6000
2009-09-11,275.0,275.0,275.0,275.0,172.35681200000002,0
2009-09-14,275.0,275.0,275.0,275.0,172.35681200000002,0
2009-09-15,275.0,275.0,275.0,275.0,172.35681200000002,0
2009-09-16,275.0,275.0,275.0,275.0,172.35681200000002,0
2009-09-17,275.0,275.0,270.0,275.0,172.35681200000002,360
2009-09-18,275.0,275.0,270.0,275.0,172.35681200000002,800
2009-09-21,275.0,275.0,270.0,275.0,172.35681200000002,250
2009-09-22,275.0,275.0,275.0,275.0,172.35681200000002,0
2009-09-23,275.0,275.0,275.0,275.0,172.35681200000002,0
2009-09-24,275.0,275.0,275.0,275.0,172.35681200000002,0
2009-09-25,275.0,275.0,275.0,275.0,172.35681200000002,0
2009-09-28,275.0,275.0,275.0,275.0,172.35681200000002,0
2009-09-29,275.0,279.0,275.0,275.0,172.35681200000002,7168
2009-09-30,275.0,275.0,275.0,275.0,172.35681200000002,0
2009-10-01,2.4034,2.4034,2.4034,2.4034,1.506335,0
2009-10-02,2.4034,2.4034,2.4034,2.4034,1.506335,0
2009-10-05,2.4034,2.4034,2.4034,2.4034,1.506335,0
2009-10-06,275.0,275.0,275.0,275.0,172.35681200000002,0
2009-10-07,275.0,275.0,275.0,275.0,172.35681200000002,0
2009-10-08,275.0,275.0,275.0,275.0,172.35681200000002,0
2009-10-09,275.0,275.0,275.0,275.0,172.35681200000002,0
2009-10-12,2.4034,2.4034,2.4034,2.4034,1.506335,0
2009-10-13,275.0,275.0,275.0,275.0,172.35681200000002,0
2009-10-14,275.0,275.0,275.0,275.0,172.35681200000002,0
2009-10-15,275.0,275.0,270.0,275.0,172.35681200000002,2000
2009-10-16,275.0,275.0,275.0,275.0,172.35681200000002,0
2009-10-19,275.0,275.0,275.0,275.0,172.35681200000002,0
2009-10-20,2.4034,2.4034,2.4034,2.4034,1.506335,0
2009-10-21,275.0,275.0,275.0,275.0,172.35681200000002,0
2009-10-22,2.4034,2.4034,2.4034,2.4034,1.506335,0
2009-10-23,2.4034,2.4034,2.4034,2.4034,1.506335,0
2009-10-26,2.4034,2.4034,2.4034,2.4034,1.506335,0
2009-10-27,2.4034,2.4034,2.4034,2.4034,1.506335,0
2009-10-28,2.4034,2.4034,2.4034,2.4034,1.506335,0
2009-10-29,275.0,275.0,275.0,275.0,172.35681200000002,0
2009-10-30,275.0,275.0,275.0,275.0,172.35681200000002,0
2009-11-02,275.0,279.5,275.0,275.0,172.35681200000002,1903
2009-11-03,275.0,275.0,270.0,275.0,172.35681200000002,1000
2009-11-04,275.0,275.0,275.0,275.0,172.35681200000002,0
2009-11-05,275.0,275.0,270.100006,275.0,172.35681200000002,134
2009-11-06,275.0,275.0,275.0,275.0,172.35681200000002,0
2009-11-09,275.0,279.5,275.0,275.0,172.35681200000002,192
2009-11-10,275.0,275.0,275.0,275.0,172.35681200000002,0
2009-11-11,275.0,275.0,275.0,275.0,172.35681200000002,0
2009-11-12,275.0,275.0,275.0,275.0,172.35681200000002,0
2009-11-13,275.0,275.0,275.0,275.0,172.35681200000002,0
2009-11-16,275.0,275.0,275.0,275.0,172.35681200000002,0
2009-11-17,2.4034,2.4034,2.4034,2.4034,1.506335,0
2009-11-18,2.4034,2.4034,2.4034,2.4034,1.506335,0
2009-11-19,275.0,275.0,275.0,275.0,172.35681200000002,0
2009-11-20,275.0,275.0,275.0,275.0,172.35681200000002,0
2009-11-23,275.0,275.0,275.0,275.0,172.35681200000002,0
2009-11-24,2.4034,2.4034,2.4034,2.4034,1.506335,0
2009-11-25,275.0,275.0,275.0,275.0,172.35681200000002,0
2009-11-26,275.0,275.0,275.0,275.0,172.35681200000002,0
