Date,Open,High,Low,Close,Adj Close,Volume
2015-09-23,199.5,210.0,199.0,205.0,200.538803,646383
2015-09-24,209.75,211.94999700000002,208.96000700000002,211.5,206.897339,368092
2015-09-25,213.0,221.55000299999998,212.69999700000002,221.0,216.19061299999998,368212
2015-09-28,222.0,223.94999700000002,218.0,217.625,212.889053,229070
2015-09-29,217.25,218.19999700000002,215.0,216.0,211.299423,82093
2015-09-30,216.0,218.399994,216.0,218.0,213.25589,635913
2015-10-01,216.0,216.0,216.0,216.5,211.788544,1000
2015-10-02,214.0,215.479996,210.0,215.0,210.321182,67255
2015-10-05,215.0,216.960007,208.0,208.0,203.473511,129041
2015-10-06,215.0,215.0,215.0,215.0,210.321182,0
2015-10-07,216.5,216.5,212.263,212.125,207.50874299999998,88836
2015-10-08,215.0,215.0,211.585007,215.0,210.321182,750
2015-10-09,214.0,214.0,214.0,214.0,209.342941,2280
2015-10-12,212.75,212.75,212.75,212.75,208.120163,0
2015-10-13,212.25,212.25,210.0,211.0,206.40823400000002,172643
2015-10-14,210.0,220.0,208.919998,220.0,215.212387,38551
2015-10-15,205.25,208.929993,205.0,209.5,204.940857,549424
2015-10-16,201.0,210.0,201.0,208.0,203.473511,14053
2015-10-19,209.600006,209.75,206.850006,205.5,201.027924,3338
2015-10-20,201.0,213.5,201.0,213.5,208.85382099999998,255439
2015-10-21,211.25,211.25,209.483994,210.5,205.91911299999998,52137
2015-10-22,208.0,213.5,208.0,213.5,208.85382099999998,247000
2015-10-23,211.5,211.5,211.5,211.5,206.897339,0
2015-10-26,208.199997,208.199997,208.199997,211.0,206.40823400000002,8000
2015-10-27,212.0,215.0,207.479996,212.0,207.386475,328546
2015-10-28,209.0,209.0,209.0,209.0,204.451767,0
2015-10-29,213.0,213.0,210.0,213.0,208.364716,187623
2015-10-30,210.55000299999998,210.55000299999998,207.682999,209.5,204.940857,152409
2015-11-02,210.0,210.0,208.199997,208.5,203.96263100000002,3150
2015-11-03,208.25,208.25,208.25,207.5,202.984406,1000
2015-11-04,210.0,210.0,205.800003,210.0,205.429977,10342
2015-11-05,207.75,207.75,207.75,207.75,203.228958,0
2015-11-06,209.25,209.25,205.75,208.5,203.96263100000002,6935
2015-11-09,205.75,208.25,205.75,207.5,202.984406,4260
2015-11-10,205.0,205.0,198.0,201.5,197.11496,951219
2015-11-11,200.720001,200.720001,200.337997,199.625,195.280777,991
2015-11-12,197.0,202.0,196.050003,202.0,197.60408,3625
2015-11-13,200.649994,200.649994,200.649994,199.75,195.403046,7975
2015-11-16,192.0,196.679993,192.0,192.0,187.82171599999998,3531
2015-11-17,199.5,199.5,199.5,196.25,191.97920200000002,1737
2015-11-18,197.0,197.75,191.240005,197.75,193.446548,12544
2015-11-19,197.75,197.75,195.0,197.75,193.446548,100821
2015-11-20,197.0,197.0,191.600006,197.0,192.71289099999998,7951
2015-11-23,190.0,194.96000700000002,190.0,190.0,185.86523400000002,12463
2015-11-24,186.0,192.75,185.0,190.75,186.598907,93856
2015-11-25,185.0,185.0,178.66000400000001,180.0,176.082855,43790
2015-11-26,180.0,185.0,178.919998,184.75,180.729492,43294
2015-11-27,185.16000400000001,186.440002,185.16000400000001,183.375,179.384399,3970
2015-11-30,186.75,187.0,186.75,181.25,177.30566399999998,4767
2015-12-01,183.53500400000001,183.53500400000001,180.0,183.0,179.017563,19479
2015-12-02,178.0,178.25,172.0,175.0,171.19165,135797
2015-12-03,172.0,174.96000700000002,165.5,170.0,166.300461,266720
2015-12-04,174.0,174.0,168.0,170.0,166.300461,17960
2015-12-07,170.0,170.0,165.5,165.5,161.89840700000002,117750
2015-12-08,168.830002,168.830002,168.830002,167.75,164.09944199999998,2368
2015-12-09,180.0,197.0,180.0,192.0,187.82171599999998,2256902
2015-12-10,188.0,194.800003,188.0,188.0,183.90876799999998,23692
2015-12-11,194.75,197.0,186.373001,197.0,192.71289099999998,292359
2015-12-14,198.0,204.91000400000001,192.0,202.5,198.093201,136785
2015-12-15,203.25,206.929993,203.25,203.5,199.071442,35577
2015-12-16,207.0,209.86000099999998,205.0,205.0,200.538803,15686
2015-12-17,215.0,222.0,207.0,215.0,210.321182,228714
2015-12-18,220.25,230.0,220.0,230.0,224.99475099999998,124710
2015-12-21,230.0,234.899994,222.600006,225.0,220.103577,362859
2015-12-22,224.25,234.460007,224.0,224.0,219.12532000000002,18088
2015-12-23,224.0,243.0,224.0,232.0,226.951218,96833
2015-12-24,240.0,240.0,230.0,230.0,224.99475099999998,35982
2015-12-29,240.0,244.350006,235.399994,240.0,234.77714500000002,10970
2015-12-30,240.0,250.0,239.5,250.0,244.559509,64789
2015-12-31,240.0,249.399994,238.0,240.0,234.77714500000002,84761
2016-01-04,240.0,250.0,240.0,240.0,234.77714500000002,66704
2016-01-05,250.0,254.82000699999998,242.5,257.25,251.65174900000002,176215
2016-01-06,255.0,259.700012,249.960007,255.0,249.45069900000001,63271
2016-01-07,252.0,255.0,245.399994,251.75,246.27143900000002,98901
2016-01-08,250.0,252.0,241.25,250.0,244.559509,27833
2016-01-11,260.0,279.341003,260.0,266.0,260.211365,315378
2016-01-12,265.0,269.200012,263.0,267.0,261.189575,108255
2016-01-13,268.0,294.75,267.519989,278.5,272.439301,273551
2016-01-14,275.0,290.0,251.690002,287.75,281.487976,126078
2016-01-15,280.0,289.799988,254.24499500000002,262.0,256.29834,185101
2016-01-18,270.0,270.0,250.0,255.0,249.45069900000001,242023
2016-01-19,255.0,278.399994,255.0,275.0,269.01547200000005,57672
2016-01-20,270.0,270.0,254.0,254.0,248.472473,72435
2016-01-21,258.5,268.0,258.5,267.625,261.800964,27130
2016-01-22,270.5,280.0,270.5,275.0,269.01547200000005,477533
2016-01-25,285.0,288.890015,280.0,280.0,273.906677,53571
2016-01-26,280.0,283.200012,274.079987,280.0,273.906677,223497
2016-01-27,280.0,280.0,273.0,280.0,273.906677,8157
2016-01-28,280.0,285.0,279.399994,285.0,278.797852,257694
2016-01-29,290.0,305.0,282.0,304.75,298.118042,55702
2016-02-01,288.0,310.0,288.0,304.25,297.62890600000003,640057
2016-02-02,307.5,311.015015,300.0,310.0,303.253815,165908
2016-02-03,300.0,306.700012,280.25,295.0,288.580261,191516
2016-02-04,298.75,305.0,281.0,305.0,298.36264,100930
2016-02-05,309.75,309.75,284.0,295.0,288.580261,252559
2016-02-08,299.0,299.0,259.25,271.0,265.102509,62083
2016-02-09,272.0,272.0,255.0,255.0,249.45069900000001,45146
2016-02-10,272.0,272.0,255.25,255.25,249.695267,38357
