Date,Open,High,Low,Close,Adj Close,Volume
2001-03-28,176.0,176.0,176.0,176.0,119.38481100000001,19387120
2001-03-29,176.5,176.5,176.5,176.5,119.723984,6764712
2001-03-30,180.0,180.0,180.0,180.0,122.098106,1439107
2001-04-02,188.0,188.0,188.0,188.0,127.524666,7861602
2001-04-03,191.0,191.0,191.0,191.0,129.559677,1906101
2001-04-04,191.5,191.5,191.5,191.5,129.898865,2514185
2001-04-05,189.0,189.0,189.0,189.0,128.203003,2514185
2001-04-06,184.0,184.0,184.0,184.0,124.81143200000001,704209
2001-04-09,176.5,176.5,176.5,176.5,119.723984,2972699
2001-04-10,185.5,185.5,185.5,185.5,125.828926,6665371
2001-04-11,182.5,182.5,182.5,182.5,123.793907,6665371
2001-04-12,181.0,181.0,181.0,181.0,122.776436,6665371
2001-04-13,181.0,181.0,181.0,181.0,122.776436,0
2001-04-16,181.0,181.0,181.0,181.0,122.776436,0
2001-04-17,181.5,181.5,181.5,181.5,123.115623,8162472
2001-04-18,181.5,181.5,181.5,181.5,123.115623,9387636
2001-04-19,192.5,192.5,192.5,192.5,130.57716399999998,9387636
2001-04-20,198.5,198.5,198.5,198.5,134.64711,6866741
2001-04-23,201.5,201.5,201.5,201.5,136.682022,5303909
2001-04-24,206.5,206.5,206.5,206.5,140.073639,5303909
2001-04-25,206.0,206.0,206.0,206.0,139.734482,9762328
2001-04-26,201.5,201.5,201.5,201.5,136.682022,8284584
2001-04-27,210.0,210.0,210.0,210.0,142.447815,707239
2001-04-30,213.5,213.5,213.5,213.5,144.82193,707239
2001-05-01,217.5,217.5,217.5,217.5,147.535248,150074
2001-05-02,219.75,219.75,219.75,219.75,149.061462,2562836
2001-05-03,220.5,220.5,220.5,220.5,149.570206,2562836
2001-05-04,223.0,223.0,223.0,223.0,151.265961,2562836
2001-05-07,223.0,223.0,223.0,223.0,151.265961,0
2001-05-08,227.5,227.5,227.5,227.5,154.318466,946260
2001-05-09,228.0,228.0,228.0,228.0,154.657562,131670
2001-05-10,228.5,228.5,228.5,228.5,154.99678,131670
2001-05-11,228.5,228.5,228.5,228.5,154.99678,831590
2001-05-14,229.0,229.0,229.0,229.0,155.335938,538604
2001-05-15,229.5,229.5,229.5,229.5,155.675095,3902437
2001-05-16,229.5,229.5,229.5,229.5,155.675095,2919863
2001-05-17,219.5,219.5,219.5,219.5,148.891876,2919863
2001-05-18,221.5,221.5,221.5,221.5,150.248505,3877848
2001-05-21,222.75,222.75,222.75,222.75,151.096405,2217196
2001-05-22,233.5,233.5,233.5,233.5,158.388351,2217196
2001-05-23,221.5,221.5,221.5,221.5,150.248505,1485616
2001-05-24,220.0,220.0,220.0,220.0,149.231018,1485616
2001-05-25,220.0,220.0,220.0,220.0,149.231018,622351
2001-05-28,220.0,220.0,220.0,220.0,149.231018,0
2001-05-29,218.0,218.0,218.0,218.0,147.874374,6786471
2001-05-30,217.5,217.5,217.5,217.5,147.535248,2003998
2001-05-31,221.5,221.5,221.5,221.5,150.248505,2003998
2001-06-01,219.5,219.5,219.5,219.5,148.891876,3316977
2001-06-04,220.5,220.5,220.5,220.5,149.570206,308850
2001-06-05,229.0,229.0,229.0,229.0,155.335938,920599
2001-06-06,223.0,223.0,223.0,223.0,151.265961,920599
2001-06-07,217.0,217.0,217.0,217.0,147.196091,7032076
2001-06-08,214.5,214.5,214.5,214.5,145.500275,5819765
2001-06-11,210.0,210.0,210.0,210.0,142.447815,353270
2001-06-12,207.0,207.0,207.0,207.0,140.412811,1500266
2001-06-13,207.0,207.0,207.0,207.0,140.412811,1500266
2001-06-14,207.0,207.0,207.0,207.0,140.412811,10041949
2001-06-15,214.0,214.0,214.0,214.0,145.161102,1036474
2001-06-18,212.0,212.0,212.0,212.0,143.804428,1036474
2001-06-19,210.0,210.0,210.0,210.0,142.447815,311945
2001-06-20,205.0,205.0,205.0,205.0,139.056152,1711977
2001-06-21,202.5,202.5,202.5,202.5,137.360443,1711977
2001-06-22,197.0,197.0,197.0,197.0,133.629593,1237697
2001-06-25,196.5,196.5,196.5,196.5,133.290451,561560
2001-06-26,186.5,186.5,186.5,186.5,126.507225,4603506
2001-06-27,189.0,189.0,189.0,189.0,128.203003,12605298
2001-06-28,151.5,151.5,151.5,151.5,102.765938,12605298
2001-06-29,140.0,140.0,140.0,140.0,94.965179,4519723
2001-07-02,145.0,145.0,145.0,145.0,98.35681899999999,3716807
2001-07-03,151.0,151.0,151.0,151.0,102.426765,7910198
2001-07-04,149.0,149.0,149.0,149.0,101.07012900000001,10430326
2001-07-05,146.0,146.0,146.0,146.0,99.035172,10430326
2001-07-06,146.5,146.5,146.5,146.5,99.37428299999999,1648433
2001-07-09,143.5,143.5,143.5,143.5,97.33934,2617740
2001-07-10,144.5,144.5,144.5,144.5,98.01765400000001,139965
2001-07-11,146.5,146.5,146.5,146.5,99.37428299999999,1461200
2001-07-12,151.5,151.5,151.5,151.5,102.765938,1461200
2001-07-13,152.5,152.5,152.5,152.5,103.444252,132239
2001-07-16,151.0,151.0,151.0,151.0,102.426765,2101835
2001-07-17,148.5,148.5,148.5,148.5,100.730942,132239
2001-07-18,148.5,148.5,148.5,148.5,100.730942,6168900
2001-07-19,149.5,149.5,149.5,149.5,101.409286,6168900
2001-07-20,149.5,149.5,149.5,149.5,101.409286,500600
2001-07-23,150.0,150.0,150.0,150.0,101.748421,90
2001-07-24,150.0,150.0,150.0,150.0,101.748421,1597079
2001-07-25,147.0,147.0,147.0,147.0,99.71347,10155530
2001-07-26,151.5,151.5,151.5,151.5,102.765938,10155530
2001-07-27,151.5,151.5,151.5,151.5,102.765938,583884
2001-07-30,152.0,152.0,152.0,152.0,103.105087,2107000
2001-07-31,151.5,151.5,151.5,151.5,102.765938,986311
2001-08-01,150.5,150.5,150.5,150.5,102.087585,7680162
2001-08-02,149.5,149.5,149.5,149.5,101.409286,7680162
2001-08-03,148.5,148.5,148.5,148.5,100.730942,430193
2001-08-06,147.5,150.0,147.0,148.5,100.730942,0
2001-08-07,147.75,148.5,146.0,148.0,100.391777,0
2001-08-08,137.5,137.5,137.5,137.5,93.269386,1728857
2001-08-09,136.0,136.0,136.0,136.0,92.25190699999999,1728857
2001-08-10,133.0,133.0,130.600006,133.0,90.216949,0
2001-08-13,127.5,127.5,126.936996,127.5,86.486168,0
2001-08-14,127.150002,140.0,127.150002,137.0,92.930237,0
2001-08-15,137.0,142.0,135.863998,140.0,94.965179,0
2001-08-16,142.0,142.0,142.0,142.0,96.321831,2975123
2001-08-17,143.0,143.070007,141.0,142.5,96.661018,0
2001-08-20,143.0,143.0,143.0,143.0,97.000153,27500
2001-08-21,145.0,145.0,145.0,145.0,98.35681899999999,1179408
2001-08-22,144.0,144.0,144.0,144.0,97.678505,14513685
2001-08-23,143.0,143.0,143.0,143.0,97.000153,2304812
2001-08-24,136.5,136.5,135.0,136.5,92.591042,0
2001-08-27,136.5,136.5,136.5,136.5,92.591042,0
2001-08-28,138.0,138.0,138.0,138.0,93.608559,5
2001-08-29,138.0,138.5,138.0,138.5,93.947731,0
2001-08-30,137.0,142.0,137.0,141.0,95.643509,0
2001-08-31,140.0,141.0,139.0,140.0,94.965179,0
2001-09-03,136.5,139.0,136.5,137.5,93.269386,0
2001-09-04,135.0,135.0,135.0,135.0,91.573608,2569080
2001-09-05,137.5,137.5,137.5,137.5,93.269386,6860038
2001-09-06,142.0,142.0,139.0,141.0,95.643509,0
2001-09-07,140.0,141.0,139.0,141.0,95.643509,0
2001-09-10,140.0,140.0,139.0,140.0,94.965179,0
2001-09-11,139.5,139.5,135.0,136.0,92.25190699999999,0
2001-09-12,134.0,134.0,134.0,134.0,90.895256,0
2001-09-13,134.0,137.0,134.0,135.0,91.573608,0
2001-09-14,134.0,134.0,134.0,134.0,90.895256,1787260
2001-09-17,134.0,134.0,130.0,131.5,89.199432,0
2001-09-18,124.0,124.0,124.0,124.0,84.11203,0
2001-09-19,115.5,115.5,115.5,115.5,78.523605,0
2001-09-20,107.0,107.0,107.0,107.0,72.74479699999999,0
2001-09-21,108.0,108.0,108.0,108.0,73.42465200000001,1952851
2001-09-24,109.0,110.0,106.0,107.5,73.08473199999999,0
2001-09-25,104.5,107.0,104.5,104.5,71.04516600000001,0
2001-09-26,102.5,105.0,102.5,102.5,69.68543199999999,0
2001-09-27,106.0,106.0,106.0,106.0,72.064964,131935
2001-09-28,108.5,108.5,108.5,108.5,73.764587,0
2001-10-01,107.5,107.5,107.5,107.5,73.08473199999999,5825730
2001-10-02,101.5,101.5,101.5,101.5,69.005569,0
2001-10-03,96.5,98.0,86.0,96.5,65.60629300000001,0
2001-10-04,100.0,100.0,98.0,99.5,67.645882,0
2001-10-05,100.5,105.0,100.0,102.5,69.68543199999999,0
2001-10-08,103.0,108.0,103.0,106.5,72.404892,0
2001-10-09,106.5,108.5,106.5,108.0,73.42465200000001,0
2001-10-10,112.5,112.5,112.5,112.5,76.484047,0
2001-10-11,121.0,121.0,121.0,121.0,82.26281,0
2001-10-12,122.0,123.0,120.0,121.5,82.602753,0
2001-10-15,120.779999,125.0,120.0,124.0,84.302399,0
2001-10-16,131.5,131.5,131.5,131.5,89.401314,0
2001-10-17,125.0,125.0,125.0,125.0,84.98224599999999,0
2001-10-18,120.0,120.0,120.0,120.0,81.58296999999999,3687728
2001-10-19,116.5,116.5,112.0,116.5,79.203476,0
2001-10-22,117.0,117.800003,117.0,117.0,79.54338100000001,0
2001-10-23,116.0,117.0,113.0,115.0,78.183685,0
2001-10-24,115.5,115.5,115.5,115.5,78.523605,0
2001-10-25,115.0,115.0,115.0,115.0,78.183685,7846506
2001-10-26,115.0,115.0,114.885002,115.0,78.183685,0
2001-10-29,115.0,116.0,114.0,115.5,78.523605,0
2001-10-30,113.0,113.0,113.0,113.0,76.823936,15000
2001-10-31,113.0,113.0,113.0,113.0,76.823936,866439
2001-11-01,113.0,113.0,113.0,113.0,76.823936,866439
2001-11-02,115.0,119.0,114.0,117.5,79.883324,0
2001-11-05,120.0,122.0,120.0,121.0,82.26281,0
2001-11-06,124.0,124.0,124.0,124.0,84.302399,3290417
2001-11-07,125.5,125.5,124.5,125.5,85.322174,0
2001-11-08,125.0,127.0,123.300003,124.5,84.642303,0
2001-11-09,125.5,125.5,125.5,125.5,85.322174,1210349
2001-11-12,119.0,119.0,119.0,119.0,80.903099,0
2001-11-13,120.0,123.0,120.0,122.0,82.942673,0
2001-11-14,134.0,134.0,134.0,134.0,91.100983,0
2001-11-15,143.5,143.5,143.5,143.5,97.559608,0
2001-11-16,144.5,144.5,144.5,144.5,98.239471,5150460
2001-11-19,152.5,152.5,152.5,152.5,103.67836,0
2001-11-20,158.5,160.0,157.188004,157.188004,106.865501,0
2001-11-21,162.0,163.0,157.5,162.0,110.137032,0
2001-11-22,165.5,167.0,162.5,165.5,112.51648700000001,0
2001-11-23,165.0,168.0,165.0,166.5,113.196381,0
2001-11-26,165.0,165.0,165.0,165.0,112.17655900000001,1764957
2001-11-27,164.350006,166.0,163.0,165.0,112.17655900000001,0
2001-11-28,167.0,173.0,164.0,170.5,115.91579399999999,0
2001-11-29,168.0,171.0,166.669998,167.5,113.876198,0
2001-11-30,168.5,168.5,168.5,168.5,114.556068,361828
2001-12-03,169.0,170.0,167.5,169.0,114.896027,0
2001-12-04,171.5,173.0,168.75,171.5,116.59568,0
2001-12-05,170.0,174.0,170.0,172.0,116.935593,0
2001-12-06,174.5,176.0,172.0,174.5,118.63523899999998,0
2001-12-07,175.0,177.0,173.0,175.0,118.97514299999999,0
2001-12-10,169.0,169.0,169.0,169.0,114.896027,0
2001-12-11,167.0,167.0,163.0,165.5,112.51648700000001,0
2001-12-12,166.0,166.5,160.0,162.5,110.47693600000001,0
2001-12-13,151.5,151.5,151.5,151.5,102.998497,0
2001-12-14,148.0,148.0,148.0,148.0,100.618973,1833500
2001-12-17,148.0,148.0,148.0,148.0,100.618973,309968
2001-12-18,153.0,153.0,153.0,153.0,104.018303,1466061
2001-12-19,156.0,156.0,156.0,156.0,106.057884,749598
2001-12-20,156.0,158.0,156.0,157.0,106.737701,0
2001-12-21,157.5,157.5,157.5,157.5,107.07759899999999,2196587
2001-12-24,157.0,157.0,157.0,157.0,106.737701,100000
2001-12-25,157.0,157.0,157.0,157.0,106.737701,0
2001-12-26,157.0,157.0,157.0,157.0,106.737701,0
2001-12-27,156.0,157.0,156.0,157.0,106.737701,0
2001-12-28,156.0,157.0,155.0,157.0,106.737701,0
2001-12-31,156.0,156.0,156.0,156.0,106.057884,31920
2002-01-01,156.0,156.0,156.0,156.0,106.057884,0
2002-01-02,156.5,156.5,156.5,156.5,106.397774,425949
2002-01-03,158.5,158.5,158.5,158.5,107.75751499999998,196400
2002-01-04,160.0,161.0,159.0,160.5,109.11721000000001,0
2002-01-07,163.0,168.0,163.0,166.5,113.196381,0
2002-01-08,165.779999,167.220001,165.779999,166.5,113.196381,0
2002-01-09,165.199997,167.0,165.0,166.5,113.196381,0
2002-01-10,168.0,170.0,168.0,169.0,114.896027,0
2002-01-11,171.0,175.0,169.75,173.5,117.955345,0
2002-01-14,174.0,175.0,174.0,174.5,118.63523899999998,0
2002-01-15,174.0,175.0,173.800003,175.0,118.97514299999999,0
2002-01-16,163.5,175.0,163.5,163.5,111.15682199999999,0
2002-01-17,153.0,153.0,153.0,153.0,104.018303,0
2002-01-18,149.0,152.0,148.449997,151.5,102.998497,0
2002-01-21,151.0,158.0,151.0,156.0,106.057884,0
2002-01-22,155.919998,160.0,155.0,156.0,106.057884,0
2002-01-23,154.5,154.5,154.5,154.5,105.038063,1622429
2002-01-24,150.0,154.5,150.0,153.0,104.018303,0
2002-01-25,151.5,154.100006,151.399994,153.0,104.018303,0
2002-01-28,155.0,155.0,153.0,153.0,104.018303,0
2002-01-29,153.0,154.0,152.0,153.5,104.358192,0
2002-01-30,147.0,153.046997,145.0,147.0,99.939148,0
2002-01-31,149.0,152.0,147.5,149.5,101.63877099999999,0
2002-02-01,151.0,155.0,150.0,152.5,103.67836,0
2002-02-04,152.5,155.0,152.5,152.5,103.67836,87361
2002-02-05,153.0,155.0,151.0,153.5,104.358192,0
2002-02-06,153.5,156.899994,153.5,154.5,105.038063,0
2002-02-07,155.5,155.5,155.5,155.5,105.717941,77217
2002-02-08,155.5,155.5,154.776993,155.5,105.717941,17161
2002-02-11,158.0,158.0,156.0,156.0,106.057884,0
2002-02-12,156.0,158.0,156.0,156.5,106.397774,0
2002-02-13,160.0,161.949005,158.0,159.0,108.09742,0
2002-02-14,160.0,160.0,158.0,159.0,108.09742,0
2002-02-15,155.0,159.320007,153.0,155.0,105.37802099999999,0
2002-02-18,154.0,157.0,152.0,153.5,104.358192,0
2002-02-19,152.779999,153.153,150.0,150.5,102.318619,0
2002-02-20,151.5,147.776993,141.5,141.5,96.199928,0
2002-02-21,141.0,142.386993,140.0,141.0,95.859978,411761
2002-02-22,139.0,139.0,137.5,139.0,94.500259,391878
2002-02-25,147.0,148.0,138.0,147.0,99.939148,0
2002-02-26,145.100006,152.0,145.0,150.0,101.97868299999999,0
2002-02-27,149.5,162.0,150.098007,160.0,108.777298,0
2002-02-28,162.75,167.330002,162.0,163.0,110.816879,0
2002-03-01,163.0,164.0,161.0,163.0,110.816879,0
2002-03-04,164.220001,168.0,162.0,166.0,112.856453,0
2002-03-05,167.919998,170.0,167.919998,169.0,114.896027,0
2002-03-06,167.779999,170.33999599999999,165.0,168.0,114.216118,0
2002-03-07,167.5,184.0,171.0,181.5,123.394249,0
2002-03-08,181.0,185.0,180.25,184.0,125.09388700000001,0
2002-03-11,186.0,191.0,186.0,190.5,129.512955,0
2002-03-12,189.0,195.0,187.811996,192.5,130.87266499999998,0
2002-03-13,190.0,192.600006,188.0,188.0,127.813286,0
2002-03-14,187.5,187.774002,184.0,186.0,126.45360600000001,0
2002-03-15,184.406998,190.0,184.406998,189.5,128.833084,0
2002-03-18,185.5,193.0,185.0,185.5,126.11367800000001,0
2002-03-19,184.0,187.0,183.0,185.0,125.77372,0
2002-03-20,183.199997,185.184998,183.0,184.0,125.09388700000001,0
2002-03-21,185.0,187.5,183.779999,186.0,126.45360600000001,0
2002-03-22,186.5,188.0,185.598007,186.5,126.793549,1965575
2002-03-25,187.0,190.0,186.0,188.0,127.813286,0
2002-03-26,189.0,189.0,186.0,187.5,127.47341899999999,0
2002-03-27,185.0,186.5,185.0,185.0,125.77372,371523
