Date,Open,High,Low,Close,Adj Close,Volume
2000-01-31,3.5687,3.5687,3.5687,3.5687,3.5687,0
2000-02-29,4.5686,4.5686,4.5686,4.5686,4.5686,0
2000-03-31,4.2489,4.2489,4.2489,4.2489,4.2489,0
2000-04-28,3.9523,3.9523,3.9523,3.9523,3.9523,0
2000-05-31,3.7385,3.7385,3.7385,3.7385,3.7385,0
2000-06-30,4.2298,4.2298,4.2298,4.2298,4.2298,0
2000-07-31,4.1079,4.1079,4.1079,4.1079,4.1079,0
2000-08-31,4.7386,4.7386,4.7386,4.7386,4.7386,0
2000-09-29,4.311,4.311,4.311,4.311,4.311,0
2000-10-31,3.8661,3.8661,3.8661,3.8661,3.8661,0
2000-11-30,2.9677,2.9677,2.9677,2.9677,2.9677,0
2000-12-29,2.8519,2.8519,2.8519,2.8519,2.8519,0
2001-01-01,3.46,3.46,3.46,3.46,3.46,0
2001-01-02,3.225,3.225,3.225,3.225,3.225,0
2001-01-03,3.075,3.075,3.075,3.075,3.075,0
2001-01-04,3.325,3.325,3.325,3.325,3.325,0
2001-01-05,3.195,3.195,3.195,3.195,3.195,0
2001-01-08,3.06,3.06,3.06,3.06,3.06,0
2001-01-09,3.1,3.1,3.1,3.1,3.1,0
2001-01-10,3.1,3.1,3.1,3.1,3.1,0
2001-01-11,3.11,3.11,3.11,3.11,3.11,0
2001-01-12,3.18,3.18,3.18,3.18,3.18,0
2001-01-15,3.21,3.21,3.21,3.21,3.21,0
2001-01-16,3.17,3.17,3.17,3.17,3.17,0
2001-01-17,3.375,3.375,3.375,3.375,3.375,0
2001-01-18,3.32,3.32,3.32,3.32,3.32,0
2001-01-19,3.465,3.465,3.465,3.465,3.465,0
2001-01-22,3.475,3.475,3.475,3.475,3.475,0
2001-01-23,3.44,3.44,3.44,3.44,3.44,0
2001-01-24,3.71,3.71,3.71,3.71,3.71,0
2001-01-25,3.62,3.62,3.62,3.62,3.62,0
2001-01-26,3.465,3.465,3.465,3.465,3.465,0
2001-01-29,3.515,3.515,3.515,3.515,3.515,0
2001-01-30,3.65,3.65,3.65,3.65,3.65,0
2001-01-31,3.1024,3.1024,3.1024,3.1024,3.1024,0
2001-02-01,3.49,3.49,3.49,3.49,3.49,0
2001-02-02,3.49,3.49,3.49,3.49,3.49,0
2001-02-05,3.385,3.385,3.385,3.385,3.385,0
2001-02-06,3.42,3.42,3.42,3.42,3.42,0
2001-02-07,3.255,3.255,3.255,3.255,3.255,0
2001-02-08,3.26,3.26,3.26,3.26,3.26,0
2001-02-09,3.135,3.135,3.135,3.135,3.135,0
2001-02-12,3.125,3.125,3.125,3.125,3.125,0
2001-02-13,3.17,3.17,3.17,3.17,3.17,0
2001-02-14,2.98,2.98,2.98,2.98,2.98,0
2001-02-15,3.13,3.13,3.13,3.13,3.13,0
2001-02-16,2.97,2.97,2.97,2.97,2.97,0
2001-02-19,2.94,2.94,2.94,2.94,2.94,0
2001-02-20,2.94,2.94,2.94,2.94,2.94,0
2001-02-21,2.86,2.86,2.86,2.86,2.86,0
2001-02-22,2.765,2.765,2.765,2.765,2.765,0
2001-02-23,2.655,2.655,2.655,2.655,2.655,0
2001-02-26,2.815,2.815,2.815,2.815,2.815,0
2001-02-27,2.755,2.755,2.755,2.755,2.755,0
2001-02-28,2.3993,2.3993,2.3993,2.3993,2.3993,0
2001-03-01,2.57,2.57,2.57,2.57,2.57,0
2001-03-02,2.54,2.54,2.54,2.54,2.54,0
2001-03-05,2.61,2.61,2.61,2.61,2.61,0
2001-03-06,2.92,2.92,2.92,2.92,2.92,0
