Date,Open,High,Low,Close,Adj Close,Volume
2000-01-31,4.544,4.544,4.544,4.544,4.544,0
2000-02-29,5.1296,5.1296,5.1296,5.1296,5.1296,0
2000-03-31,5.1892,5.1892,5.1892,5.1892,5.1892,0
2000-04-28,5.1892,5.1892,5.1892,5.1892,5.1892,0
2000-05-31,5.1892,5.1892,5.1892,5.1892,5.1892,0
2000-06-30,5.999,5.999,5.999,5.999,5.999,0
2000-07-31,5.999,5.999,5.999,5.999,5.999,0
2000-08-31,5.999,5.999,5.999,5.999,5.999,0
2000-09-29,5.999,5.999,5.999,5.999,5.999,0
2000-10-31,6.6908,6.6908,6.6908,6.6908,6.6908,0
2000-11-30,6.6908,6.6908,6.6908,6.6908,6.6908,0
2000-12-29,6.6908,6.6908,6.6908,6.6908,6.6908,0
2001-01-01,6.08,6.08,6.08,6.08,6.08,0
2001-01-02,6.12,6.12,6.05,6.08,6.08,4331
2001-01-03,6.07,6.12,6.07,6.08,6.08,2953
2001-01-04,6.12,6.12,6.04,6.06,6.06,46804
2001-01-05,6.09,6.12,6.09,6.09,6.09,500
2001-01-08,6.09,6.09,6.04,6.05,6.05,7992
2001-01-09,6.07,6.08,6.0,6.025,6.025,4804
2001-01-10,6.03,6.07,6.025,6.07,6.07,101085
2001-01-11,6.025,6.025,5.98,6.02,6.02,11507
2001-01-12,6.025,6.07,5.97,6.02,6.02,6229
2001-01-15,6.02,6.04,5.97,6.02,6.02,34464
2001-01-16,6.02,6.07,5.97,6.02,6.02,4293
2001-01-17,6.02,6.035,6.0,6.035,6.035,48252
2001-01-18,6.02,6.07,6.0,6.035,6.035,3880
2001-01-19,6.02,6.07,6.02,6.05,6.05,8135
2001-01-22,6.07,6.07,6.05,6.05,6.05,3075
2001-01-23,6.05,6.15,6.0,6.05,6.05,96123
2001-01-24,6.05,6.1,6.05,6.06,6.06,7250
2001-01-25,6.05,6.11,6.05,6.07,6.07,767
2001-01-26,6.07,6.12,6.02,6.07,6.07,1619
2001-01-29,6.07,6.17,6.02,6.125,6.125,28041
2001-01-30,6.13,6.22,6.13,6.17,6.17,1367
2001-01-31,6.534,6.534,6.534,6.534,6.534,0
2001-02-01,6.2,6.2,6.2,6.2,6.2,0
2001-02-02,6.2,6.25,6.2,6.2,6.2,660
2001-02-05,6.195,6.25,6.195,6.2,6.2,935
2001-02-06,6.2,6.2,6.2,6.2,6.2,0
2001-02-07,6.2,6.25,6.15,6.19,6.19,22423
2001-02-08,6.18,6.23,6.15,6.19,6.19,3518
2001-02-09,6.18,6.23,6.18,6.19,6.19,800
2001-02-12,6.18,6.23,6.16,6.19,6.19,3425
2001-02-13,6.19,6.22,6.19,6.19,6.19,1000
2001-02-14,6.19,6.23,6.12,6.17,6.17,2715
2001-02-15,6.17,6.17,6.12,6.17,6.17,66
2001-02-16,6.17,6.17,6.1,6.15,6.15,7022
2001-02-19,6.15,6.2,6.07,6.14,6.14,17530
2001-02-20,6.13,6.18,6.13,6.14,6.14,1280
2001-02-21,6.13,6.18,6.13,6.13,6.13,5900
2001-02-22,6.13,6.16,6.07,6.115,6.115,5303
2001-02-23,6.11,6.12,6.07,6.1,6.1,6428
2001-02-26,6.1,6.15,6.05,6.05,6.05,10159
2001-02-27,6.1,6.15,6.1,6.1,6.1,2221
2001-02-28,6.534,6.534,6.534,6.534,6.534,0
2001-03-01,6.1,6.12,6.0,6.085,6.085,21117
2001-03-02,6.02,6.07,5.97,6.02,6.02,3794
2001-03-05,6.02,6.07,5.97,6.02,6.02,725
2001-03-06,6.02,6.07,6.02,6.035,6.035,3524
2001-03-07,6.02,6.07,6.0,6.035,6.035,1133
2001-03-08,6.02,6.07,6.0,6.0,6.0,5542
2001-03-09,6.02,6.07,6.0,6.035,6.035,2832
2001-03-12,6.02,6.07,5.97,6.05,6.05,7214
2001-03-13,6.0,6.0,5.93,5.95,5.95,10020
2001-03-14,5.95,5.95,5.83,5.87,5.87,30584
2001-03-15,5.88,5.88,5.83,5.88,5.88,43
2001-03-16,5.88,5.93,5.83,5.88,5.88,376455
2001-03-19,5.88,5.93,5.83,5.85,5.85,288508
2001-03-20,5.88,5.93,5.83,5.88,5.88,3093
2001-03-21,5.88,5.88,5.8,5.84,5.84,101609
2001-03-22,5.87,5.87,5.82,5.82,5.82,6000
2001-03-23,5.81,5.86,5.78,5.82,5.82,4103
2001-03-26,5.83,5.83,5.78,5.78,5.78,1044
2001-03-27,5.83,5.86,5.78,5.82,5.82,4028
2001-03-28,5.83,5.86,5.79,5.79,5.79,1800
2001-03-29,5.8,5.84,5.75,5.75,5.75,3188
2001-03-30,6.534,6.534,6.534,6.534,6.534,0
2001-04-02,5.8,5.84,5.75,5.79,5.79,11542
2001-04-03,5.77,5.82,5.72,5.77,5.77,929
2001-04-04,5.77,5.82,5.7,5.74,5.74,2107
2001-04-05,5.75,5.78,5.7,5.74,5.74,33964
2001-04-06,5.75,5.77,5.725,5.725,5.725,8665
2001-04-09,5.75,5.78,5.7,5.74,5.74,372
2001-04-10,5.75,5.78,5.73,5.78,5.78,1200
2001-04-11,5.75,5.78,5.73,5.74,5.74,170
2001-04-12,5.75,5.75,5.74,5.74,5.74,0
2001-04-13,6.7696,6.7696,6.7696,6.7696,6.7696,0
2001-04-16,6.7696,6.7696,6.7696,6.7696,6.7696,0
2001-04-17,5.7,5.78,5.7,5.73,5.73,8461
2001-04-18,5.78,5.78,5.72,5.72,5.72,40795
2001-04-19,5.75,5.78,5.7,5.73,5.73,152294
2001-04-20,5.75,5.78,5.73,5.73,5.73,129
2001-04-23,5.775,5.78,5.7,5.7,5.7,5260
2001-04-24,5.75,5.75,5.7,5.7,5.7,0
2001-04-25,5.75,5.78,5.73,5.73,5.73,3072
2001-04-26,5.73,5.78,5.73,5.73,5.73,0
2001-04-27,5.73,5.78,5.7,5.75,5.75,11386
2001-04-30,6.7696,6.7696,6.7696,6.7696,6.7696,0
2001-05-01,5.75,5.78,5.7,5.73,5.73,7291
2001-05-02,5.75,5.75,5.72,5.73,5.73,62278
2001-05-03,5.75,5.78,5.7,5.73,5.73,50500
2001-05-04,5.75,5.78,5.73,5.73,5.73,46550
2001-05-07,6.7696,6.7696,6.7696,6.7696,6.7696,0
2001-05-08,5.77,5.78,5.73,5.73,5.73,4713
2001-05-09,5.78,5.87,5.755,5.785,5.785,46314
2001-05-10,5.8,5.82,5.75,5.82,5.82,6169
2001-05-11,5.8,5.82,5.785,5.82,5.82,4582
2001-05-14,5.8,5.82,5.75,5.8,5.8,4351
2001-05-15,5.8,5.81,5.785,5.785,5.785,0
2001-05-16,5.8,5.82,5.78109,5.8,5.8,846
2001-05-17,5.77,5.82,5.77,5.8,5.8,6954
2001-05-18,5.8,5.82,5.785,5.785,5.785,0
2001-05-21,5.77,5.85,5.77,5.8,5.8,8011
2001-05-22,5.8,5.85,5.8,5.85,5.85,5006
2001-05-23,5.82,5.85,5.77,5.825,5.825,3693
2001-05-24,5.82,5.87,5.77,5.82,5.82,1375
2001-05-25,5.82,5.87,5.82,5.82,5.82,3711
2001-05-28,6.7696,6.7696,6.7696,6.7696,6.7696,0
2001-05-29,5.82,5.87,5.82,5.82,5.82,1385
2001-05-30,5.82,5.87,5.82,5.825,5.825,1250
2001-05-31,6.7696,6.7696,6.7696,6.7696,6.7696,0
