Date,Open,High,Low,Close,Adj Close,Volume
2000-01-31,1.2377,1.2377,1.2377,1.2377,1.006794,0
2000-02-29,1.219,1.219,1.219,1.219,0.991583,0
2000-03-30,1.2822,1.2822,1.2822,1.2822,1.042992,0
2000-03-31,1.302,1.302,1.302,1.302,1.0590979999999999,0
2000-04-28,1.3057,1.3057,1.3057,1.3057,1.062108,0
2000-05-31,1.356,1.356,1.356,1.356,1.103024,0
2000-06-30,1.3927,1.3927,1.3927,1.3927,1.1328770000000001,0
2000-07-31,1.3777,1.3777,1.3777,1.3777,1.120676,0
2000-08-30,1.4473,1.4473,1.4473,1.4473,1.177291,0
2000-08-31,1.4266,1.4266,1.4266,1.4266,1.160452,0
2000-09-29,1.4003,1.4003,1.4003,1.4003,1.139059,0
2000-10-31,1.4501,1.4501,1.4501,1.4501,1.179568,0
2000-11-30,1.4919,1.4919,1.4919,1.4919,1.21357,0
2000-12-29,1.5166,1.5166,1.5166,1.5166,1.233662,0
2001-01-01,1.295,1.295,1.295,1.295,1.053404,0
2001-01-02,1.28,1.29,1.28,1.285,1.0452700000000001,76249
2001-01-03,1.28,1.28,1.26,1.27,1.033068,391753
2001-01-04,1.29,1.32,1.29,1.31,1.065605,367022
2001-01-05,1.3175,1.32,1.3,1.3075,1.063572,114322
2001-01-08,1.305,1.32,1.3,1.31,1.065605,26092
2001-01-09,1.3025,1.33,1.295,1.3175,1.071706,258506
2001-01-10,1.31,1.33,1.31,1.32,1.07374,128970
2001-01-11,1.3275,1.335,1.315,1.3275,1.079841,69904
2001-01-12,1.32,1.36,1.32,1.35,1.098143,99696
2001-01-15,1.365,1.4,1.365,1.3825,1.12458,522733
2001-01-16,1.375,1.385,1.35,1.36,1.106277,359984
2001-01-17,1.3675,1.3675,1.355,1.3625,1.108311,112238
2001-01-18,1.3525,1.37,1.35,1.36,1.106277,133589
2001-01-19,1.35,1.365,1.33,1.34,1.090009,379216
2001-01-22,1.33,1.35,1.33,1.3425,1.092042,409195
2001-01-23,1.3425,1.345,1.33,1.3375,1.087975,47320
2001-01-24,1.365,1.37,1.345,1.3575,1.104244,273646
2001-01-25,1.37,1.37,1.35,1.3575,1.104244,202341
2001-01-26,1.365,1.375,1.35,1.3675,1.112378,185953
2001-01-29,1.38,1.38,1.365,1.3725,1.1164450000000001,83868
2001-01-30,1.38,1.385,1.355,1.375,1.118479,295889
2001-01-31,1.5556,1.5556,1.5556,1.5556,1.2653860000000001,0
2001-02-01,1.39,1.39,1.37,1.3775,1.1205129999999999,49712
2001-02-02,1.365,1.39,1.365,1.3775,1.1205129999999999,79571
2001-02-05,1.385,1.395,1.365,1.3875,1.128647,123483
2001-02-06,1.39,1.415,1.385,1.41,1.146949,195003
2001-02-07,1.415,1.42,1.395,1.4025,1.140849,293352
2001-02-08,1.395,1.42,1.39,1.41,1.146949,157200
2001-02-09,1.4175,1.42,1.4,1.41,1.146949,77076
2001-02-12,1.42,1.42,1.4,1.41,1.146949,334763
2001-02-13,1.42,1.42,1.4,1.41,1.146949,86543
2001-02-14,1.405,1.43,1.39,1.4,1.138815,76785
2001-02-15,1.405,1.42,1.395,1.41,1.146949,609517
2001-02-16,1.39,1.41,1.37,1.3925,1.132714,260734
2001-02-19,1.3975,1.4,1.375,1.3825,1.12458,153229
2001-02-20,1.3975,1.4,1.38,1.3875,1.128647,141552
2001-02-21,1.39,1.39,1.35,1.37,1.1144120000000002,335159
2001-02-22,1.37,1.3775,1.34,1.37,1.1144120000000002,636760
2001-02-23,1.3625,1.38,1.3525,1.36,1.106277,126775
2001-02-26,1.3675,1.375,1.35,1.365,1.1103450000000001,150925
2001-02-27,1.37,1.37,1.36,1.365,1.1103450000000001,145378
2001-02-28,1.5728,1.5728,1.5728,1.5728,1.279377,0
2001-03-01,1.39,1.4,1.3825,1.3875,1.128647,148270
2001-03-02,1.395,1.395,1.375,1.3825,1.12458,255958
2001-03-05,1.39,1.4,1.375,1.3925,1.132714,351281
2001-03-06,1.4,1.4,1.385,1.395,1.1347479999999999,196025
2001-03-07,1.3975,1.4,1.37,1.395,1.1347479999999999,146965
2001-03-08,1.41,1.42,1.39,1.41,1.146949,257764
2001-03-09,1.415,1.425,1.4,1.41,1.146949,161444
2001-03-12,1.3875,1.39,1.37,1.3825,1.12458,188979
2001-03-13,1.365,1.38,1.36,1.37,1.1144120000000002,230068
2001-03-14,1.375,1.375,1.32,1.34,1.090009,431322
2001-03-15,1.345,1.35,1.325,1.34,1.090009,222189
2001-03-16,1.335,1.37,1.325,1.3375,1.087975,564409
2001-03-19,1.33,1.35,1.33,1.34,1.090009,492044
2001-03-20,1.35,1.37,1.34,1.36,1.106277,598021
2001-03-21,1.345,1.36,1.32,1.345,1.094076,133297
2001-03-22,1.325,1.325,1.27,1.2875,1.047303,241443
2001-03-23,1.3,1.3,1.28,1.29,1.0493370000000002,288894
2001-03-26,1.29,1.35,1.29,1.3375,1.087975,120671
2001-03-27,1.35,1.35,1.32,1.3275,1.079841,527097
2001-03-28,1.35,1.35,1.305,1.3175,1.071706,207496
2001-03-29,1.325,1.33,1.305,1.32,1.07374,84018
2001-03-30,1.4786,1.4786,1.4786,1.4786,1.2027510000000001,0
2001-04-02,1.35,1.35,1.33,1.345,1.094076,128317
2001-04-03,1.35,1.37,1.34,1.35,1.098143,195527
2001-04-04,1.32,1.36,1.32,1.35,1.098143,336940
2001-04-05,1.36,1.37,1.35,1.36,1.106277,259543
2001-04-06,1.375,1.375,1.31,1.32,1.07374,282580
2001-04-09,1.32,1.35,1.32,1.34,1.090009,236215
2001-04-10,1.35,1.36,1.335,1.35,1.098143,184608
2001-04-11,1.35,1.36,1.33,1.34,1.090009,330434
2001-04-12,1.35,1.36,1.33,1.3525,1.100177,166477
