Date,Open,High,Low,Close,Adj Close,Volume
2018-02-23,16.43,16.43,16.43,16.43,16.43,0
2018-04-19,16.120001000000002,16.120001000000002,16.120001000000002,16.120001000000002,16.120001000000002,0
2018-04-20,8.92,9.04,8.92,9.04,9.04,78289
2018-04-24,16.120001000000002,16.120001000000002,16.120001000000002,16.120001000000002,16.120001000000002,0
2018-04-25,9.25,9.25,9.03,9.03,9.03,24674
2018-04-26,9.06,9.3,9.03,9.3,9.3,56570
2018-04-27,9.35,9.49,9.32,9.41,9.41,146319
2018-04-30,16.440001000000002,16.440001000000002,16.440001000000002,16.440001000000002,16.440001000000002,0
2018-05-01,9.45,9.6,9.43,9.45,9.45,60271
2018-05-02,16.48,16.48,16.48,16.48,16.48,0
2018-05-03,9.56,9.61,9.54,9.56,9.56,50704
2018-05-04,9.62,9.65,9.58,9.58,9.58,16202
2018-05-08,9.65,9.67,9.51,9.65,9.65,207313
2018-05-09,16.85,16.85,16.85,16.85,16.85,0
2018-05-10,9.6,9.72,9.56,9.7,9.7,59382
2018-05-11,16.940001000000002,16.940001000000002,16.940001000000002,16.940001000000002,16.940001000000002,0
2018-05-14,16.940001000000002,16.940001000000002,16.940001000000002,16.940001000000002,16.940001000000002,0
2018-05-15,9.6,9.85,9.6,9.74,9.74,44945
2018-05-16,9.73,9.76,9.69,9.75,9.75,23263033
2018-05-17,9.71,9.9,9.7,9.87,9.87,40757
2018-05-18,9.9,9.93,9.85,9.88,9.88,97638
2018-05-21,9.92,10.0,9.91,9.94,9.94,115991
2018-05-22,10.02,10.04,9.94,9.96,9.96,150685
2018-05-23,10.04,10.1,9.92,9.92,9.92,249276
2018-05-24,10.08,10.14,10.04,10.08,10.08,366185
2018-05-25,10.2,10.28,10.16,10.22,10.22,160367
2018-05-29,10.2,10.54,10.2,10.46,10.46,207491
2018-05-30,10.46,10.48,10.42,10.46,10.46,55170
2018-05-31,17.76,17.76,17.76,17.76,17.76,0
2018-06-01,17.76,17.76,17.76,17.76,17.76,0
2018-06-04,10.5,10.76,10.5,10.72,10.72,103296
2018-06-05,10.7,10.78,10.7,10.72,10.72,30800
2018-06-06,10.76,11.04,10.68,11.04,11.04,165334
2018-06-07,10.94,11.06,10.88,10.88,10.88,301839
2018-06-08,10.98,10.98,10.7,10.76,10.76,82323
2018-06-11,18.709999,18.709999,18.709999,18.709999,18.709999,0
2018-06-12,10.9,10.96,10.72,10.94,10.94,287881
2018-06-13,10.9,11.18,10.9,11.14,11.14,124884
2018-06-14,19.389999,19.389999,19.389999,19.389999,19.389999,0
2018-06-15,19.389999,19.389999,19.389999,19.389999,19.389999,0
2018-06-18,11.3,11.32,11.24,11.3,11.3,90927
2018-06-19,11.04,11.34,11.04,11.34,11.34,84223
2018-06-20,19.389999,19.389999,19.389999,19.389999,19.389999,0
2018-06-21,11.38,11.38,11.1,11.1,11.1,78596
2018-06-25,11.28,11.32,11.2,11.24,11.24,21793
2018-07-03,11.1,11.38,11.1,11.3,11.3,50678
2018-07-04,11.2,11.26,11.1,11.26,11.26,38505
2018-07-05,11.08,11.18,11.08,11.12,11.12,108526
2018-07-09,18.58,18.58,18.58,18.58,18.58,0
2018-07-10,11.18,11.24,11.12,11.24,11.24,55353
2018-07-11,18.58,18.58,18.58,18.58,18.58,0
2018-07-12,11.2,11.38,11.18,11.38,11.38,227722
2018-07-13,11.44,11.48,11.38,11.4,11.4,44509
2018-07-16,19.23,19.23,19.23,19.23,19.23,0
2018-07-17,19.23,19.23,19.23,19.23,19.23,0
2018-07-18,11.6,11.62,11.5,11.5,11.5,54482
2018-07-20,11.6,11.7,11.48,11.7,11.7,67984
2018-07-23,19.559998999999998,19.559998999999998,19.559998999999998,19.559998999999998,19.559998999999998,0
2018-07-24,11.56,11.56,11.44,11.52,11.52,56257
2018-07-25,11.42,11.46,11.4,11.4,11.4,65428
2018-07-26,11.34,11.56,11.3,11.56,11.56,42127
2018-07-27,11.6,11.68,11.4,11.68,11.68,28663
2018-07-30,11.4,11.62,11.4,11.54,11.54,50650
2018-07-31,19.32,19.32,19.32,19.32,19.32,0
2018-08-01,11.32,11.44,11.26,11.44,11.44,161760
2018-08-02,19.32,19.32,19.32,19.32,19.32,0
2018-08-03,11.62,11.68,11.14,11.52,11.52,119775
2018-08-06,19.32,19.32,19.32,19.32,19.32,0
2018-08-07,11.74,11.82,11.68,11.74,11.74,175380
2018-08-09,11.76,11.88,11.74,11.84,11.84,354912
2018-08-10,11.72,12.08,11.72,12.08,12.08,305124
2018-08-15,11.9,11.9,11.74,11.84,11.84,211132
2018-08-16,19.780001000000002,19.780001000000002,19.780001000000002,19.780001000000002,19.780001000000002,0
2018-08-17,19.780001000000002,19.780001000000002,19.780001000000002,19.780001000000002,19.780001000000002,0
2018-08-20,11.8,11.86,11.78,11.82,11.82,54414
2018-08-21,11.74,11.8,11.74,11.8,11.8,34210
2018-08-22,11.82,11.88,11.72,11.88,11.88,34806
2018-08-23,20.15,20.15,20.15,20.15,20.15,0
2018-08-24,12.0,12.04,11.98,12.04,12.04,27437
2018-08-29,12.02,12.06,11.86,11.86,11.86,14550
2018-08-31,19.92,19.92,19.92,19.92,19.92,0
2018-09-04,12.06,12.06,11.82,11.9,11.9,23574
2018-09-06,11.82,11.82,11.66,11.72,11.72,11291
2018-09-07,19.92,19.92,19.92,19.92,19.92,0
2018-09-10,11.66,11.66,11.56,11.6,11.6,14126
2018-09-11,19.92,19.92,19.92,19.92,19.92,0
2018-09-12,19.92,19.92,19.92,19.92,19.92,0
2018-09-13,20.16,20.16,20.16,20.16,20.16,0
2018-09-14,20.16,20.16,20.16,20.16,20.16,0
