Date,Open,High,Low,Close,Adj Close,Volume
2000-01-31,4.842,4.842,4.842,4.842,4.758883,0
2000-02-29,5.1872,5.1872,5.1872,5.1872,5.098157,0
2000-03-31,5.089,5.089,5.089,5.089,5.001643,0
2000-04-28,4.8726,4.8726,4.8726,4.8726,4.788958,0
2000-05-31,4.9691,4.9691,4.9691,4.9691,4.883801,0
2000-06-30,5.1279,5.1279,5.1279,5.1279,5.0398760000000005,0
2000-07-31,5.0884,5.0884,5.0884,5.0884,5.001053,0
2000-08-31,5.3153,5.3153,5.3153,5.3153,5.224058,0
2000-09-29,5.219,5.219,5.219,5.219,5.129411,0
2000-10-31,5.1961,5.1961,5.1961,5.1961,5.106905,0
2000-11-30,5.0743,5.0743,5.0743,5.0743,4.987195,0
2000-12-29,5.0831,5.0831,5.0831,5.0831,4.995844,0
2001-01-01,4.62,4.62,4.62,4.62,4.540694,0
2001-01-02,4.575,4.615,4.575,4.585,4.5062940000000005,46864
2001-01-03,4.56,4.58,4.52,4.525,4.447324,44527
2001-01-04,4.605,4.6275,4.585,4.595,4.516122,158274
2001-01-05,4.59,4.6,4.56,4.56,4.481723000000001,258363
2001-01-08,4.565,4.6,4.5525,4.575,4.496466000000001,77656
2001-01-09,4.57,4.6,4.55,4.57,4.4915519999999995,49973
2001-01-10,4.58,4.59,4.56,4.57,4.4915519999999995,106006
2001-01-11,4.56,4.6,4.56,4.59,4.511209,398873
2001-01-12,4.58,4.63,4.58,4.61,4.5308660000000005,237078
2001-01-15,4.62,4.63,4.59,4.615,4.535779,127089
2001-01-16,4.61,4.63,4.58,4.595,4.516122,46450
2001-01-17,4.605,4.64,4.595,4.64,4.56035,59262
2001-01-18,4.65,4.65,4.63,4.64,4.56035,22050
2001-01-19,4.665,4.7,4.66,4.675,4.59475,51152
2001-01-22,4.68,4.68,4.65,4.665,4.584921,24069
2001-01-23,4.65,4.68,4.65,4.66,4.580007,237084
2001-01-24,4.675,4.69,4.675,4.685,4.604578,466065
2001-01-25,4.6975,4.7,4.68,4.685,4.604578,110339
2001-01-26,4.655,4.68,4.6425,4.65,4.570179,97835
2001-01-29,4.6575,4.66,4.6425,4.65,4.570179,23399
2001-01-30,4.655,4.66,4.64,4.65,4.570179,39122
2001-01-31,5.257,5.257,5.257,5.257,5.166759,0
2001-02-01,4.67,4.68,4.65,4.665,4.584921,151496
2001-02-02,4.67,4.68,4.66,4.665,4.584921,360454
2001-02-05,4.67,4.67,4.64,4.655,4.575093,26611
2001-02-06,4.645,4.67,4.64,4.66,4.580007,38340
2001-02-07,4.6525,4.67,4.65,4.66,4.580007,35888
