Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,31.25,31.25,31.25,31.25,0.20904699999999998,0
2000-01-04,31.0,31.0,31.0,31.0,0.20737399999999998,788180
2000-01-05,30.75,30.75,30.75,30.75,0.205702,128100
2000-01-06,30.75,30.75,30.75,30.75,0.205702,208150
2000-01-07,30.75,30.75,30.75,30.75,0.205702,17811040
2000-01-10,31.6,31.6,31.6,31.6,0.21138800000000002,5316220
2000-01-11,31.6,31.6,31.6,31.6,0.21138800000000002,6241240
2000-01-12,31.700001,31.700001,31.700001,31.700001,0.21205700000000002,2477680
2000-01-13,31.75,31.75,31.75,31.75,0.212391,228100
2000-01-14,31.5,31.5,31.5,31.5,0.21071900000000002,34142650
2000-01-17,31.6,31.6,31.6,31.6,0.21138800000000002,53650
2000-01-18,31.700001,31.700001,31.700001,31.700001,0.21205700000000002,52560
2000-01-19,32.0,32.0,32.0,32.0,0.21406399999999998,5443800
2000-01-20,31.9,31.9,31.9,31.9,0.21339499999999997,217260
2000-01-21,31.799999,31.799999,31.799999,31.799999,0.21272600000000003,192330
2000-01-24,31.5,31.5,31.5,31.5,0.21071900000000002,4499440
2000-01-25,31.1,31.1,31.1,31.1,0.20804299999999998,3943930
2000-01-26,29.799999,29.799999,29.799999,29.799999,0.199347,336300
2000-01-27,29.799999,29.799999,29.799999,29.799999,0.199347,3220200
2000-01-28,29.799999,29.799999,29.799999,29.799999,0.199347,2027120
2000-01-31,29.700001,29.700001,29.700001,29.700001,0.198678,6062500
2000-02-01,29.700001,29.700001,29.700001,29.700001,0.198678,647450
2000-02-02,29.5,29.5,29.5,29.5,0.19734000000000002,49480
2000-02-03,28.0,28.0,28.0,28.0,0.187306,397970
2000-02-04,27.5,27.5,27.5,27.5,0.18396099999999999,2198680
2000-02-07,27.200001,27.200001,27.200001,27.200001,0.181954,545920
2000-02-08,26.299999,26.299999,26.299999,26.299999,0.17593399999999998,4411480
2000-02-09,26.299999,26.299999,26.299999,26.299999,0.17593399999999998,673000
2000-02-10,26.049999,26.049999,26.049999,26.049999,0.174261,3732440
2000-02-11,24.6,24.6,24.6,24.6,0.16456099999999999,173290
2000-02-14,23.799999,23.799999,23.799999,23.799999,0.15921,3132890
2000-02-15,23.5,23.5,23.5,23.5,0.157203,11990000
2000-02-16,22.799999,22.799999,22.799999,22.799999,0.15252000000000002,16524960
2000-02-17,24.1,24.1,24.1,24.1,0.161217,1469130
2000-02-18,24.25,24.25,24.25,24.25,0.16222,174460
2000-02-21,24.5,24.5,24.5,24.5,0.163893,442050
2000-02-22,26.6,26.6,26.6,26.6,0.17794000000000001,4967170
2000-02-23,26.6,26.6,26.6,26.6,0.17794000000000001,734080
2000-02-24,28.0,28.0,28.0,28.0,0.187306,3865200
