Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,535.0,535.0,535.0,535.0,328.59359700000005,0
2000-01-04,532.0,532.0,532.0,532.0,326.751038,373
2000-01-05,531.0,531.0,531.0,531.0,326.136841,577
2000-01-06,532.0,532.0,530.0,532.0,326.751038,4009
2000-01-07,535.0,535.0,533.5,533.5,327.67236299999996,9585
2000-01-10,532.0,535.0,532.0,533.5,327.67236299999996,2575
2000-01-11,537.0,537.0,530.0,534.0,327.97943100000003,212026
2000-01-12,530.0,531.0,530.0,530.0,325.522644,5158
2000-01-13,535.0,537.0,530.0,532.5,327.058075,4486
2000-01-14,530.0,530.0,530.0,530.0,325.522644,1482
2000-01-17,530.0,535.0,530.0,532.5,327.058075,2875
2000-01-18,535.0,538.0,535.0,535.0,328.59359700000005,6074
2000-01-19,536.0,536.0,536.0,536.0,329.207733,500
2000-01-20,538.0,538.0,538.0,538.0,330.436127,29408
2000-01-21,538.0,538.0,532.0,534.0,327.97943100000003,55764
2000-01-24,534.0,534.0,530.0,534.0,327.97943100000003,1417
2000-01-25,534.0,534.0,530.0,534.0,327.97943100000003,2886
2000-01-26,536.0,538.0,536.0,536.0,329.207733,548
2000-01-27,536.0,536.0,530.0,534.0,327.97943100000003,51847
2000-01-28,530.0,532.0,530.0,532.0,326.751038,137325
2000-01-31,536.0,538.0,530.0,534.0,327.97943100000003,20516
2000-02-01,530.0,538.0,530.0,534.0,327.97943100000003,9137
2000-02-02,536.0,538.0,530.0,534.0,327.97943100000003,1443
2000-02-03,536.0,538.0,532.0,534.0,327.97943100000003,34467
2000-02-04,534.0,534.0,530.0,534.0,327.97943100000003,80967
2000-02-07,538.0,538.0,530.0,534.0,327.97943100000003,1840
2000-02-08,536.0,538.0,530.0,534.0,327.97943100000003,143332
2000-02-09,531.0,533.0,523.0,526.5,323.372894,2850
2000-02-10,498.0,528.0,498.0,525.0,322.45162999999997,134618
2000-02-11,525.0,525.0,520.0,525.0,322.45162999999997,1223825
2000-02-14,532.0,535.0,525.0,530.0,325.522644,274172
2000-02-15,535.0,535.0,527.0,530.0,325.522644,15459
2000-02-16,533.0,533.0,533.0,533.0,327.365143,100
2000-02-17,525.0,535.0,525.0,530.0,325.522644,15100
2000-02-18,527.0,535.0,525.0,530.0,325.522644,3421
2000-02-21,533.0,533.0,530.0,530.0,325.522644,2000
2000-02-22,525.0,534.0,525.0,530.0,325.522644,8674
2000-02-23,535.0,535.0,527.0,529.5,325.215515,8587
2000-02-24,533.0,545.0,531.0,541.0,332.278687,11485
2000-02-25,543.0,545.0,541.0,541.0,332.278687,1340
2000-02-28,538.0,541.5,538.0,541.5,332.585846,929
2000-02-29,542.0,543.0,541.5,541.5,332.585846,4861
2000-03-01,547.0,547.0,538.0,543.5,333.814209,5250
2000-03-02,547.0,563.0,542.0,560.0,343.948334,9587
2000-03-03,563.0,580.0,560.0,576.5,354.08264199999996,5897
2000-03-06,580.0,615.0,580.0,611.5,378.34231600000004,12731
2000-03-07,620.0,620.0,610.0,615.0,380.507813,2638
2000-03-08,620.0,625.0,610.0,620.0,383.601318,3229
2000-03-09,623.0,637.0,618.0,637.0,394.119415,8714
2000-03-10,641.0,655.0,640.0,651.0,402.781342,19386
2000-03-13,655.0,655.0,647.0,653.5,404.32806400000004,7779
2000-03-14,650.0,695.0,650.0,687.5,425.364319,21274
2000-03-15,689.0,715.0,686.0,711.5,440.21347000000003,84652
2000-03-16,708.0,715.0,708.0,711.5,440.21347000000003,15372
2000-03-17,715.0,715.0,708.0,710.5,439.594696,33360
2000-03-20,706.0,706.0,706.0,706.0,436.810425,1102
2000-03-21,706.0,716.0,706.0,712.0,440.52279699999997,99738
2000-03-22,710.0,716.0,710.0,712.0,440.52279699999997,642
2000-03-23,710.0,714.0,706.0,711.0,439.904236,55273
2000-03-24,706.0,716.0,706.0,711.0,439.904236,90391
2000-03-27,706.0,706.0,706.0,706.0,436.810425,3659
2000-03-28,706.0,706.0,690.0,692.5,428.457825,59157
2000-03-29,685.0,693.0,685.0,690.0,426.911041,10180
2000-03-30,685.0,693.0,685.0,690.0,426.911041,50660
2000-03-31,693.0,693.0,685.0,690.0,426.911041,17126
2000-04-03,685.0,693.0,675.0,680.0,420.724091,35017
2000-04-04,670.0,675.0,632.0,633.5,391.953979,95728
2000-04-05,615.0,618.0,615.0,615.0,380.507813,1993
2000-04-06,600.0,600.0,590.0,592.5,366.5867,8550
2000-04-07,585.0,595.0,585.0,590.0,365.040009,21775
2000-04-10,593.0,595.0,591.5,591.5,365.96810899999997,101409
2000-04-11,590.0,590.0,582.0,586.0,362.565125,2250
2000-04-12,590.0,590.0,580.0,583.5,361.018311,2592
2000-04-13,575.0,576.0,575.0,576.0,356.378052,4270
2000-04-14,577.5,582.0,574.5,574.5,355.450043,11063
2000-04-17,550.0,560.0,550.0,553.5,342.45694,5255
2000-04-18,557.0,557.0,553.5,553.5,342.45694,11344
2000-04-19,557.0,557.0,553.5,553.5,342.45694,197
2000-04-20,557.0,557.0,553.5,553.5,342.45694,2444
2000-04-21,553.5,553.5,553.5,553.5,342.45694,0
2000-04-24,553.5,553.5,553.5,553.5,342.45694,0
2000-04-25,550.0,550.0,540.0,545.0,337.197937,20876
2000-04-26,535.0,544.0,535.0,544.0,336.579254,3500
2000-04-27,542.0,544.0,540.0,542.5,335.651154,2398
2000-04-28,545.0,545.0,540.0,542.5,335.651154,409
2000-05-01,542.5,542.5,542.5,542.5,335.651154,0
2000-05-02,543.0,543.0,538.0,541.5,335.03250099999997,740
2000-05-03,545.0,546.0,545.0,545.0,337.197937,1792
2000-05-04,545.0,547.0,538.0,543.0,335.960571,8610
2000-05-05,543.0,548.0,543.0,544.0,336.579254,3683
2000-05-08,540.0,544.0,540.0,544.0,336.579254,4403
2000-05-09,544.0,544.0,543.0,543.0,335.960571,210304
2000-05-10,538.0,541.5,538.0,541.5,335.03250099999997,2855
2000-05-11,545.0,545.0,540.0,540.0,334.104401,16760
2000-05-12,540.0,543.0,535.0,537.5,332.557648,133037
2000-05-15,537.5,540.0,537.5,537.5,332.557648,2595
2000-05-16,540.0,543.0,535.0,540.0,334.104401,6759
2000-05-17,545.0,545.0,540.0,540.0,334.104401,14750
2000-05-18,539.0,543.0,539.0,539.0,333.485718,17322
2000-05-19,537.0,537.0,525.0,525.0,324.82372999999995,4468
2000-05-22,528.0,529.0,518.0,525.0,324.82372999999995,203600
2000-05-23,525.0,525.0,480.0,517.5,320.18338,233825
2000-05-24,495.0,495.0,490.0,490.0,303.168732,11750
2000-05-25,485.0,495.0,480.0,485.0,300.07516499999997,9436
2000-05-26,482.0,485.0,482.0,485.0,300.07516499999997,109
2000-05-29,485.0,485.0,485.0,485.0,300.07516499999997,0
2000-05-30,480.0,490.0,480.0,485.0,300.07516499999997,1938
2000-05-31,488.0,488.0,485.0,485.0,300.07516499999997,2980
2000-06-01,490.0,501.0,484.0,499.0,308.737244,208713
2000-06-02,501.0,512.0,501.0,508.5,314.61496,30568
2000-06-05,510.0,515.0,510.0,511.0,316.16177400000004,5254
2000-06-06,515.0,535.0,515.0,530.0,327.917328,23291
2000-06-07,532.0,535.0,525.0,530.0,327.917328,126602
2000-06-08,525.0,530.0,525.0,527.5,326.37048300000004,5870
2000-06-09,525.0,525.0,525.0,525.0,324.82372999999995,1000
2000-06-12,530.0,530.0,530.0,530.0,327.917328,575
2000-06-13,527.5,527.5,527.5,527.5,326.37048300000004,1065
2000-06-14,529.0,529.0,525.0,527.5,326.37048300000004,12403
2000-06-15,530.0,532.0,525.0,529.0,327.298492,15377
2000-06-16,533.0,533.0,530.0,530.0,327.917328,11265
2000-06-19,527.0,533.0,527.0,531.0,328.536041,567798
2000-06-20,533.0,533.0,531.0,531.0,328.536041,371
2000-06-21,531.0,531.0,531.0,531.0,328.536041,0
2000-06-22,535.0,540.0,535.0,535.0,331.010864,26701
2000-06-23,540.0,548.0,540.0,545.0,337.197937,225213
2000-06-26,549.0,550.0,546.0,546.0,337.81662,3503
2000-06-27,549.0,560.0,547.5,557.5,344.931885,104148
2000-06-28,564.0,585.0,564.0,585.0,361.94638100000003,40383
2000-06-29,590.0,605.0,590.0,600.0,371.227203,6657
2000-06-30,605.0,605.0,600.0,600.0,371.227203,965
2000-07-03,605.0,605.0,595.0,600.0,371.227203,5938
2000-07-04,605.0,605.0,597.0,600.0,371.227203,1408
2000-07-05,595.0,605.0,595.0,600.0,371.227203,875
2000-07-06,595.0,605.0,595.0,600.0,371.227203,4455
2000-07-07,603.0,605.0,595.0,600.0,371.227203,21192
2000-07-10,595.0,600.0,595.0,600.0,371.227203,4695
2000-07-11,603.0,603.0,595.0,600.0,371.227203,715
2000-07-12,605.0,605.0,595.0,600.0,371.227203,5232
2000-07-13,595.0,595.0,580.0,580.0,358.852875,32492
2000-07-14,595.0,595.0,575.0,580.0,358.852875,1275
2000-07-17,575.0,578.5,570.0,578.5,357.924805,13649
2000-07-18,573.0,573.0,553.0,559.0,345.859985,12670
2000-07-19,547.0,547.0,530.0,535.0,331.010864,724951
2000-07-20,547.0,547.0,530.0,535.0,331.010864,84490
2000-07-21,547.0,547.0,530.0,537.5,332.557648,17141
2000-07-24,547.0,547.0,530.0,546.5,338.12606800000003,8890
2000-07-25,548.0,548.0,548.0,548.0,339.05413799999997,205
2000-07-26,550.0,553.0,550.0,550.0,340.29150400000003,8066
2000-07-27,553.5,560.0,553.5,556.5,344.31314100000003,8856
2000-07-28,563.0,563.0,553.0,558.0,345.24118,6131
2000-07-31,568.0,612.5,568.0,612.5,378.960999,15600
2000-08-01,628.0,635.0,625.0,630.0,389.78857400000004,88895
2000-08-02,626.0,640.0,626.0,632.0,391.025818,23231
2000-08-03,637.0,637.0,627.0,633.5,391.953979,75830
2000-08-04,637.0,637.0,630.0,633.5,391.953979,28317
2000-08-07,632.0,637.0,630.0,632.5,391.335419,9297
2000-08-08,628.0,629.0,615.0,617.0,381.74505600000003,21009
2000-08-09,621.0,635.0,620.0,629.5,389.47909500000003,25950
2000-08-10,632.0,634.0,623.0,628.5,388.860352,224770
2000-08-11,632.0,633.0,628.0,630.0,389.78857400000004,15603
2000-08-14,631.5,640.0,631.0,635.0,392.882019,13449
2000-08-15,632.0,640.0,632.0,635.0,392.882019,11294
2000-08-16,638.0,685.0,638.0,665.0,411.443359,42644
2000-08-17,670.0,670.0,665.0,665.0,411.443359,2813
2000-08-18,668.0,670.0,661.0,665.0,411.443359,19599
2000-08-21,668.0,669.0,660.0,665.0,411.443359,96949
2000-08-22,670.0,670.0,664.0,666.0,412.062073,7110
