Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,123.75,123.75,123.75,123.75,51.566433,0
2000-01-04,124.75,125.0,122.5,123.75,51.566433,66134
2000-01-05,122.5,124.0,121.5,122.75,51.149723,53848
2000-01-06,121.5,123.5,121.5,121.75,50.733063,138916
2000-01-07,120.5,127.5,120.5,127.25,53.024887,156606
2000-01-10,132.0,138.5,130.125,133.75,55.73344,1470704
2000-01-11,132.5,137.5,131.0,135.25,56.358479,369462
2000-01-12,135.5,135.625,129.0,130.75,54.483337,438184
2000-01-13,129.5,129.5,121.5,122.75,51.149723,791192
2000-01-14,124.0,124.0,121.5,122.75,51.149723,57722
2000-01-17,121.75,124.0,121.5,122.75,51.149723,20280
2000-01-18,122.0,122.0,119.0,119.5,49.795479,39624
2000-01-19,118.375,120.625,117.5,118.75,49.482944,21694
2000-01-20,117.75,120.0,117.5,118.25,49.274605,47668
2000-01-21,116.875,119.5,116.5,117.75,49.06625,17910
2000-01-24,115.0,115.5,109.0,110.75,47.355877,115660
2000-01-25,109.5,109.5,106.5,107.0,45.752415,48526
2000-01-26,106.5,107.5,105.5,106.5,45.538609,34820
2000-01-27,105.5,107.5,105.5,106.5,45.538609,25342
2000-01-28,105.5,105.5,102.0,102.0,43.614449,24580
2000-01-31,100.0,102.5,100.0,101.25,43.293743,123392
2000-02-01,102.5,102.5,100.0,100.75,43.07996,163336
2000-02-02,99.5,100.0,96.875,98.25,42.010985999999995,73092
2000-02-03,97.0,98.5,96.5,97.75,41.797173,47872
2000-02-04,96.5,96.5,91.5,93.75,40.0868,343350
2000-02-07,93.0,94.0,91.5,92.75,39.659206,40136
2000-02-08,94.0,94.0,91.5,92.75,39.659206,32000
2000-02-09,93.5,94.0,91.0,92.75,39.659206,18128
2000-02-10,91.75,94.0,91.0,92.5,39.552299,30788
2000-02-11,91.5,93.5,91.5,92.5,39.552299,430710
2000-02-14,91.0,94.0,91.0,92.75,39.659206,30564
2000-02-15,91.5,93.5,90.5,92.25,39.445419,55630
2000-02-16,91.0,94.0,90.5,90.75,38.804031,69364
2000-02-17,92.0,99.75,90.0,99.75,42.652367,135504
2000-02-18,101.0,106.25,100.0,106.25,45.431721,592346
2000-02-21,106.0,112.5,105.75,105.75,45.217921999999994,604000
2000-02-22,107.5,107.5,105.5,106.25,45.431721,115408
2000-02-23,107.25,107.5,105.25,106.25,45.431721,14050
2000-02-24,104.5,105.75,104.5,105.75,45.217921999999994,20320
2000-02-25,104.0,105.75,104.0,105.75,45.217921999999994,2488
2000-02-28,104.375,106.5,104.375,105.75,45.217921999999994,112322
2000-02-29,105.75,105.75,104.25,104.5,44.683434000000005,39572
2000-03-01,104.900002,105.0,104.5,104.5,44.683434000000005,8680
2000-03-02,104.0,107.0,104.0,105.75,45.217921999999994,8938
2000-03-03,107.125,107.125,105.0,106.25,45.431721,22204
2000-03-06,105.0,106.0,105.0,105.5,45.111015,8920
2000-03-07,106.0,107.5,105.099998,106.5,45.538609,421876
2000-03-08,106.0,106.0,104.0,104.25,44.576515,5000
2000-03-09,105.5,105.5,103.0,103.75,44.362732,67412
2000-03-10,103.75,104.0,102.5,103.5,44.255821000000005,430348
2000-03-13,102.0,103.5,102.0,103.5,44.255821000000005,16292
2000-03-14,105.0,105.0,103.5,103.5,44.255821000000005,7020
2000-03-15,103.5,103.5,103.5,103.5,44.255821000000005,0
2000-03-16,101.0,101.75,101.0,101.75,43.507534,5000
2000-03-17,103.5,103.5,100.0,101.25,43.293743,48930
2000-03-20,102.5,102.5,101.25,101.25,43.293743,3406
2000-03-21,102.5,102.5,100.0,101.25,43.293743,10838
2000-03-22,100.0,101.25,100.0,101.25,43.293743,8940
2000-03-23,100.0,100.0,92.5,93.75,40.0868,35850
2000-03-24,94.5,95.0,91.0,93.25,39.873013,105264
2000-03-27,94.0,94.0,92.5,93.25,39.873013,35678
2000-03-28,94.0,94.5,93.0,93.75,40.0868,19700
2000-03-29,93.25,94.5,92.0,93.25,39.873013,60698
2000-03-30,94.5,94.5,91.5,92.5,39.552299,11686
2000-03-31,90.5,92.5,90.0,91.5,39.124718,130100
2000-04-03,93.5,93.5,91.5,92.75,39.659206,44600
2000-04-04,92.5,92.5,90.5,91.25,39.017826,122412
2000-04-05,89.0,90.25,89.0,90.25,38.590229,19600
2000-04-06,92.0,92.75,91.5,92.75,39.659206,61360
2000-04-07,93.5,93.5,92.0,92.5,39.552299,899694
2000-04-10,93.0,93.5,91.5,92.5,39.552299,28300
2000-04-11,91.0,93.5,91.0,92.75,39.659206,86146
2000-04-12,91.5,92.75,91.5,92.75,39.659206,51120
2000-04-13,91.0,91.25,88.5,89.75,38.376431,229220
2000-04-14,92.0,102.5,92.0,102.0,43.614449,152048
2000-04-17,93.5,96.5,89.0,95.25,40.728199,106552
2000-04-18,96.0,96.5,94.0,95.25,40.728199,39940
2000-04-19,96.0,96.0,95.25,95.25,40.728199,6900
2000-04-20,94.0,97.5,94.0,96.75,41.369578999999995,66924
2000-04-21,96.75,96.75,96.75,96.75,41.369578999999995,0
2000-04-24,96.75,96.75,96.75,96.75,41.369578999999995,0
2000-04-25,98.0,98.0,97.25,97.25,41.583385,16706
2000-04-26,99.5,101.5,99.0,100.75,43.07996,46730
2000-04-27,103.0,103.0,100.0,101.25,43.293743,1088000
2000-04-28,102.5,106.0,101.5,103.25,44.148945,103130
2000-05-01,103.25,103.25,103.25,103.25,44.148945,0
2000-05-02,104.5,106.0,103.0,105.0,44.897217,55942
2000-05-03,104.25,105.5,104.25,105.0,44.897217,11950
2000-05-04,104.0,104.5,104.0,104.5,44.683434000000005,30000
2000-05-05,104.0,105.0,103.25,103.25,44.148945,23046
2000-05-08,102.0,105.0,101.875,103.25,44.148945,43604
2000-05-09,103.5,103.5,100.0,100.5,42.973061,70000
2000-05-10,102.5,106.0,102.5,105.25,45.004115999999996,155006
2000-05-11,104.0,105.5,102.5,103.75,44.362732,100390
2000-05-12,102.5,103.75,102.5,103.75,44.362732,10400
2000-05-15,102.5,105.0,102.5,103.75,44.362732,206402
2000-05-16,104.5,104.5,103.0,103.75,44.362732,10900
2000-05-17,104.5,104.5,102.5,103.75,44.362732,23000
2000-05-18,102.5,102.5,101.5,102.0,43.614449,10712
2000-05-19,101.0,101.0,99.5,101.0,43.186848,21300
2000-05-22,100.0,101.0,100.0,101.0,43.186848,2730
2000-05-23,101.0,101.0,101.0,101.0,43.186848,0
2000-05-24,99.0,99.0,99.0,99.0,42.331657,21000
2000-05-25,99.5,99.5,97.5,98.75,42.224773,6600
2000-05-26,101.125,101.5,100.0,100.75,43.07996,173286
2000-05-29,100.75,100.75,100.75,100.75,43.07996,0
2000-05-30,101.5,101.5,100.0,101.25,43.293743,32566
2000-05-31,102.0,102.0,100.5,101.0,43.186848,72682
2000-06-01,100.0,101.75,100.0,101.0,43.186848,17156
2000-06-02,102.0,102.0,101.0,101.0,43.186848,11346
2000-06-05,102.0,103.0,101.0,102.0,43.614449,252720
2000-06-06,103.0,103.5,102.25,102.25,43.721352,170320
2000-06-07,103.5,103.5,102.25,102.25,43.721352,1108
2000-06-08,104.0,104.0,101.5,102.25,43.721352,30200
2000-06-09,101.5,102.25,101.0,102.25,43.721352,26460
2000-06-12,103.5,103.5,102.5,103.0,44.042034,30100
2000-06-13,103.5,103.5,102.75,102.75,43.935143,1418
2000-06-14,104.125,105.5,102.75,102.75,43.935143,253522
2000-06-15,101.5,101.5,100.0,100.75,43.07996,56800
2000-06-16,101.125,102.0,100.75,100.75,43.07996,3600
2000-06-19,102.125,102.125,99.0,100.75,43.07996,26756
2000-06-20,99.5,101.5,99.25,100.25,42.866153999999995,29410
2000-06-21,101.5,101.5,100.25,100.25,42.866153999999995,7650
2000-06-22,101.5,106.0,101.5,105.5,45.111015,198600
2000-06-23,106.0,106.0,105.0,105.5,45.111015,63206
2000-06-26,106.0,106.0,105.0,105.5,45.111015,53566
2000-06-27,106.0,106.0,105.0,105.5,45.111015,102326
2000-06-28,107.0,107.0,105.0,106.0,45.324802000000005,17700
2000-06-29,107.0,115.0,107.0,113.0,48.317947,257708
2000-06-30,115.5,118.5,114.0,115.25,49.280037,228124
2000-07-03,116.5,116.5,111.5,113.25,48.424862,151500
2000-07-04,106.5,108.5,102.5,107.25,45.85931,505094
2000-07-05,108.5,108.5,103.75,103.75,44.362732,412680
2000-07-06,102.5,103.5,101.5,102.25,43.721352,247402
2000-07-07,103.0,104.5,101.5,103.0,44.042034,133412
2000-07-10,104.5,104.5,101.5,102.5,43.828243,57076
2000-07-11,103.300003,103.5,101.5,102.5,43.828243,96102
2000-07-12,103.5,103.5,101.5,102.5,43.828243,47500
2000-07-13,101.699997,103.300003,101.699997,102.5,43.828243,2436
2000-07-14,103.300003,104.5,102.5,102.5,43.828243,15326
2000-07-17,106.0,106.0,104.25,104.25,44.576515,14200
2000-07-18,105.625,106.0,102.5,104.25,44.576515,13180
2000-07-19,106.0,106.0,104.75,104.75,44.790318,11372
2000-07-20,106.0,106.0,104.75,104.75,44.790318,18296
2000-07-21,106.0,106.0,103.5,104.75,44.790318,30286
2000-07-24,106.0,106.0,103.5,104.75,44.790318,10122
2000-07-25,106.0,106.0,102.5,103.0,44.042034,11776
2000-07-26,104.5,106.0,104.25,104.25,44.576515,21400
2000-07-27,105.5,105.5,102.5,105.5,45.111015,13742
2000-07-28,105.5,105.5,104.5,104.75,44.790318,42918
2000-07-31,101.699997,101.75,101.0,101.75,45.460503,124694
2000-08-01,100.0,103.5,100.0,101.75,45.460503,34920
2000-08-02,103.5,104.25,103.5,104.0,46.465771000000004,214826
2000-08-03,105.0,105.0,103.0,104.0,46.465771000000004,7526
2000-08-04,104.5,105.0,103.5,105.0,46.912571,402160
2000-08-07,106.5,106.5,103.5,105.0,46.912571,591094
2000-08-08,104.0,106.5,104.0,105.0,46.912571,7330
2000-08-09,106.199997,106.199997,103.5,105.0,46.912571,16400
2000-08-10,103.5,104.25,103.5,104.25,46.577461,42694
2000-08-11,104.0,104.25,103.5,104.25,46.577461,10800
2000-08-14,103.5,106.0,103.5,105.0,46.912571,68340
2000-08-15,106.5,106.5,105.0,105.0,46.912571,1944
2000-08-16,106.5,106.5,104.0,105.0,46.912571,6660
2000-08-17,106.5,106.5,105.0,105.0,46.912571,43486
2000-08-18,103.5,106.5,103.5,105.0,46.912571,22000
2000-08-21,106.5,106.5,103.5,105.0,46.912571,14794
2000-08-22,106.5,106.5,103.5,105.0,46.912571,7136
2000-08-23,104.5,104.75,103.5,104.75,46.800846,92260
2000-08-24,104.0,104.75,103.75,104.75,46.800846,50500
2000-08-25,103.75,112.5,103.5,105.25,47.02425,56326
2000-08-28,105.5,106.25,105.0,106.25,47.471039000000005,0
2000-08-29,105.5,106.25,105.0,106.25,47.471039000000005,4360
2000-08-30,107.0,107.0,105.25,106.25,47.471039000000005,71400
2000-08-31,107.0,107.0,106.25,106.25,47.471039000000005,14600
2000-09-01,105.5,107.5,105.0,106.25,47.471039000000005,21680
2000-09-04,105.5,107.5,105.0,107.25,47.917839,42586
2000-09-05,106.25,112.5,106.25,110.0,49.146484,86080
2000-09-06,109.5,110.5,109.5,110.0,49.146484,12046
2000-09-07,109.0,109.75,108.5,109.25,48.81139,62040
2000-09-08,108.5,111.0,108.5,111.0,49.593281,23986
2000-09-11,112.5,112.5,109.875,111.0,49.593281,14236
2000-09-12,110.25,112.125,109.5,111.0,49.593281,18530
2000-09-13,112.5,112.5,109.5,110.75,49.481571,2034
2000-09-14,110.0,112.0,108.5,110.0,49.146484,288020
2000-09-15,110.0,110.0,106.5,108.25,48.36462,22026
2000-09-18,107.5,107.5,105.0,106.5,47.582741,307028
2000-09-19,104.5,104.5,103.75,103.75,46.354073,1800
2000-09-20,102.5,103.25,102.5,103.25,46.130688,2800
2000-09-21,102.5,103.75,102.5,103.0,46.01899,17318
2000-09-22,101.5,102.0,101.5,102.0,45.572201,19200
2000-09-25,101.5,102.5,101.5,102.5,45.795596999999994,7082
2000-09-26,101.5,103.0,101.5,102.5,45.795596999999994,16208
2000-09-27,101.0,101.75,101.0,101.75,45.460503,22200
2000-09-28,101.0,101.75,101.0,101.75,45.460503,5180
2000-09-29,101.0,101.75,101.0,101.75,45.460503,205964
2000-10-02,102.5,102.5,102.25,102.25,45.683899,14800
2000-10-03,101.0,102.5,101.0,102.25,45.683899,41686
2000-10-04,103.5,103.5,101.5,102.25,45.683899,41686
2000-10-05,103.5,103.5,101.5,102.25,45.683899,1304786
2000-10-06,100.349998,101.0,100.0,101.0,45.125401000000004,10800
2000-10-09,99.375,100.5,99.375,100.25,44.790318,382000
2000-10-10,99.0,100.0,99.0,99.25,44.343533,49832
2000-10-11,97.625,98.5,96.0,96.0,42.891483,15000
2000-10-12,96.5,96.5,92.75,92.75,41.439415000000004,18000
2000-10-13,89.0,89.0,87.625,88.0,39.317192,196200
