Date,Open,High,Low,Close,Adj Close,Volume
2013-07-29,1.01,1.0125,1.0,1.0025,1.0025,2194658
2013-07-30,1.0025,1.0075,1.0,1.0075,1.0075,1309786
2013-07-31,0.983,0.983,0.983,0.983,0.983,0
2013-08-01,1.015,1.02,1.0055100000000001,1.0175,1.0175,1035231
2013-08-02,0.983,0.983,0.983,0.983,0.983,0
2013-08-05,0.983,0.983,0.983,0.983,0.983,0
2013-08-06,0.983,0.983,0.983,0.983,0.983,0
2013-08-07,0.983,0.983,0.983,0.983,0.983,0
2013-08-08,0.983,0.983,0.983,0.983,0.983,0
2013-08-09,0.983,0.983,0.983,0.983,0.983,0
2013-08-12,0.983,0.983,0.983,0.983,0.983,0
2013-08-13,0.983,0.983,0.983,0.983,0.983,0
2013-08-14,0.983,0.983,0.983,0.983,0.983,0
2013-08-15,0.983,0.983,0.983,0.983,0.983,0
2013-08-16,0.983,0.983,0.983,0.983,0.983,0
2013-08-19,0.983,0.983,0.983,0.983,0.983,0
2013-08-20,0.983,0.983,0.983,0.983,0.983,0
2013-08-21,0.983,0.983,0.983,0.983,0.983,0
2013-08-22,0.983,0.983,0.983,0.983,0.983,0
2013-08-23,0.983,0.983,0.983,0.983,0.983,0
2013-08-27,0.983,0.983,0.983,0.983,0.983,0
2013-08-28,0.983,0.983,0.983,0.983,0.983,0
2013-08-29,0.983,0.983,0.983,0.983,0.983,0
2013-08-30,0.983,0.983,0.983,0.983,0.983,0
2013-09-02,0.983,0.983,0.983,0.983,0.983,0
2013-09-03,0.983,0.983,0.983,0.983,0.983,0
2013-09-04,0.983,0.983,0.983,0.983,0.983,0
2013-09-05,0.983,0.983,0.983,0.983,0.983,0
2013-09-06,0.983,0.983,0.983,0.983,0.983,0
2013-09-09,0.983,0.983,0.983,0.983,0.983,0
2013-09-10,0.983,0.983,0.983,0.983,0.983,0
2013-09-11,0.983,0.983,0.983,0.983,0.983,0
2013-09-12,0.983,0.983,0.983,0.983,0.983,0
2013-09-13,0.983,0.983,0.983,0.983,0.983,0
2013-09-16,0.983,0.983,0.983,0.983,0.983,0
2013-09-17,0.983,0.983,0.983,0.983,0.983,0
2013-09-18,0.983,0.983,0.983,0.983,0.983,0
2013-09-19,0.983,0.983,0.983,0.983,0.983,0
2013-09-20,0.983,0.983,0.983,0.983,0.983,0
2013-09-23,0.983,0.983,0.983,0.983,0.983,0
2013-09-24,0.983,0.983,0.983,0.983,0.983,0
2013-09-25,0.983,0.983,0.983,0.983,0.983,0
2013-09-26,0.983,0.983,0.983,0.983,0.983,0
2013-09-27,0.983,0.983,0.983,0.983,0.983,0
2013-09-30,0.983,0.983,0.983,0.983,0.983,0
2013-10-01,0.983,0.983,0.983,0.983,0.983,0
2013-10-02,0.983,0.983,0.983,0.983,0.983,0
2013-10-03,0.983,0.983,0.983,0.983,0.983,0
2013-10-04,0.983,0.983,0.983,0.983,0.983,0
2013-10-08,0.983,0.983,0.983,0.983,0.983,0
2013-10-09,0.983,0.983,0.983,0.983,0.983,0
2013-10-10,0.983,0.983,0.983,0.983,0.983,0
2013-10-11,0.983,0.983,0.983,0.983,0.983,0
2013-10-14,0.983,0.983,0.983,0.983,0.983,0
2013-10-15,0.983,0.983,0.983,0.983,0.983,0
2013-10-16,0.983,0.983,0.983,0.983,0.983,0
2013-10-17,0.983,0.983,0.983,0.983,0.983,0
2013-10-18,0.983,0.983,0.983,0.983,0.983,0
2013-10-21,0.983,0.983,0.983,0.983,0.983,0
2013-10-22,0.983,0.983,0.983,0.983,0.983,0
2013-10-23,0.983,0.983,0.983,0.983,0.983,0
2013-10-24,0.983,0.983,0.983,0.983,0.983,0
2013-10-25,0.983,0.983,0.983,0.983,0.983,0
2013-10-28,0.983,0.983,0.983,0.983,0.983,0
2013-10-29,0.983,0.983,0.983,0.983,0.983,0
2013-10-30,0.983,0.983,0.983,0.983,0.983,0
2013-10-31,0.983,0.983,0.983,0.983,0.983,0
2013-11-01,0.983,0.983,0.983,0.983,0.983,0
2013-11-04,0.983,0.983,0.983,0.983,0.983,0
2013-11-05,0.983,0.983,0.983,0.983,0.983,0
2013-11-06,0.983,0.983,0.983,0.983,0.983,0
2013-11-07,0.983,0.983,0.983,0.983,0.983,0
2013-11-08,0.983,0.983,0.983,0.983,0.983,0
2013-11-11,0.983,0.983,0.983,0.983,0.983,0
2013-11-12,0.983,0.983,0.983,0.983,0.983,0
2013-11-13,0.983,0.983,0.983,0.983,0.983,0
2013-11-14,0.983,0.983,0.983,0.983,0.983,0
2013-11-15,0.983,0.983,0.983,0.983,0.983,0
2013-11-18,0.983,0.983,0.983,0.983,0.983,0
2013-11-19,0.983,0.983,0.983,0.983,0.983,0
2013-11-20,0.983,0.983,0.983,0.983,0.983,0
2013-11-21,0.983,0.983,0.983,0.983,0.983,0
2013-11-22,0.983,0.983,0.983,0.983,0.983,0
2013-11-25,0.983,0.983,0.983,0.983,0.983,0
2013-11-26,0.9838709999999999,0.9838709999999999,0.9838709999999999,0.9838709999999999,0.9838709999999999,0
2013-11-27,0.9838709999999999,0.9838709999999999,0.9838709999999999,0.9838709999999999,0.9838709999999999,0
2013-11-28,0.977118,0.977118,0.977118,0.977118,0.977118,0
2013-11-29,0.983,0.983,0.983,0.983,0.983,0
2013-12-02,0.9761280000000001,0.9761280000000001,0.9761280000000001,0.9761280000000001,0.9761280000000001,0
2013-12-03,0.9764700000000001,0.9764700000000001,0.9764700000000001,0.9764700000000001,0.9764700000000001,0
2013-12-04,0.976511,0.976511,0.976511,0.976511,0.976511,0
2013-12-05,0.978143,0.978143,0.978143,0.978143,0.978143,0
2013-12-06,0.978424,0.978424,0.978424,0.978424,0.978424,0
2013-12-09,0.9779950000000001,0.9779950000000001,0.9779950000000001,0.9779950000000001,0.9779950000000001,0
2013-12-10,0.978015,0.978015,0.978015,0.978015,0.978015,0
2013-12-11,0.979173,0.979173,0.979173,0.979173,0.979173,0
2013-12-12,0.9790700000000001,0.9790700000000001,0.9790700000000001,0.9790700000000001,0.9790700000000001,0
2013-12-13,0.9795360000000001,0.9795360000000001,0.9795360000000001,0.9795360000000001,0.9795360000000001,0
2013-12-16,0.979709,0.979709,0.979709,0.979709,0.979709,0
2013-12-17,0.98015,0.98015,0.98015,0.98015,0.98015,0
2013-12-18,0.9778209999999999,0.9778209999999999,0.9778209999999999,0.9778209999999999,0.9778209999999999,0
2013-12-19,0.9775780000000001,0.9775780000000001,0.9775780000000001,0.9775780000000001,0.9775780000000001,0
2013-12-20,0.978176,0.978176,0.978176,0.978176,0.978176,0
2013-12-23,0.978353,0.978353,0.978353,0.978353,0.978353,0
2013-12-24,0.97788,0.97788,0.97788,0.97788,0.97788,0
2013-12-27,0.977484,0.977484,0.977484,0.977484,0.977484,0
2013-12-30,0.9780969999999999,0.9780969999999999,0.9780969999999999,0.9780969999999999,0.9780969999999999,0
2013-12-31,0.99,0.99,0.99,0.99,0.99,0
2014-01-02,0.976823,0.976823,0.976823,0.976823,0.976823,0
2014-01-03,0.976107,0.976107,0.976107,0.976107,0.976107,0
2014-01-06,0.976842,0.976842,0.976842,0.976842,0.976842,0
2014-01-07,0.976685,0.976685,0.976685,0.976685,0.976685,0
2014-01-08,0.975663,0.975663,0.975663,0.975663,0.975663,0
2014-01-09,0.975692,0.975692,0.975692,0.975692,0.975692,0
2014-01-10,0.976509,0.976509,0.976509,0.976509,0.976509,0
2014-01-13,0.9775370000000001,0.9775370000000001,0.9775370000000001,0.9775370000000001,0.9775370000000001,0
2014-01-14,0.9770399999999999,0.9770399999999999,0.9770399999999999,0.9770399999999999,0.9770399999999999,0
2014-01-15,0.976931,0.976931,0.976931,0.976931,0.976931,0
2014-01-16,0.97724,0.97724,0.97724,0.97724,0.97724,0
2014-01-17,0.975434,0.975434,0.975434,0.975434,0.975434,0
2014-01-20,0.9754809999999999,0.9754809999999999,0.9754809999999999,0.9754809999999999,0.9754809999999999,0
2014-01-21,0.975101,0.975101,0.975101,0.975101,0.975101,0
2014-01-22,0.973959,0.973959,0.973959,0.973959,0.973959,0
2014-01-23,0.975139,0.975139,0.975139,0.975139,0.975139,0
2014-01-24,0.976576,0.976576,0.976576,0.976576,0.976576,0
2014-01-27,0.9755299999999999,0.9755299999999999,0.9755299999999999,0.9755299999999999,0.9755299999999999,0
2014-01-28,0.975375,0.975375,0.975375,0.975375,0.975375,0
2014-01-29,0.9755530000000001,0.9755530000000001,0.9755530000000001,0.9755530000000001,0.9755530000000001,0
2014-01-30,0.9748969999999999,0.9748969999999999,0.9748969999999999,0.9748969999999999,0.9748969999999999,0
2014-01-31,0.99,0.99,0.99,0.99,0.99,0
2014-02-03,0.9764719999999999,0.9764719999999999,0.9764719999999999,0.9764719999999999,0.9764719999999999,0
2014-02-04,0.9764719999999999,0.9764719999999999,0.9764719999999999,0.9764719999999999,0.9764719999999999,0
2014-02-05,0.9764780000000001,0.9764780000000001,0.9764780000000001,0.9764780000000001,0.9764780000000001,0
2014-02-06,0.977198,0.977198,0.977198,0.977198,0.977198,0
2014-02-07,0.9768450000000001,0.9768450000000001,0.9768450000000001,0.9768450000000001,0.9768450000000001,0
2014-02-10,0.9769709999999999,0.9769709999999999,0.9769709999999999,0.9769709999999999,0.9769709999999999,0
2014-02-11,0.9769709999999999,0.9769709999999999,0.9769709999999999,0.9769709999999999,0.9769709999999999,0
